MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nI fight to save the world that my mother loved.\nBut I'll need your help, Leif.\x0E\x04\x00\x00
MID_GR_Ivy_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08アイビー\nHaving your power used against your will...\nYou must be furious.\x0E\x04\x00\x00
MID_GR_Ivy_C_#002	\x0E\x03\x02\x08\x06リーフ\nNothing of the sort, Ivy. I am honored to fight\nat your side.\x0E\x04\x00\x00
MID_GR_Ivy_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08アイビー\nThere is so much to be done, and yet I only\nseem capable of wallowing in my own regrets.\x0E\x04\x00\x00
MID_GR_Ivy_B_#002	\x0E\x03\x02\x08\x06リーフ\nHonest introspection is never easy. But take\nheart─you will make a fine queen.\x0E\x04\x00\x00
MID_GR_Ivy_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08アイビー\nI wish I could be more like you and the Divine\nOne. You are both so honest and pure.\x0E\x04\x00\x00
MID_GR_Ivy_A_#002	\x0E\x03\x02\x0A\x08アイビー\nI want people to believe me─to believe in me.\nIt sounds ridiculous saying it out loud.\x0E\x04\x00\x00
MID_GR_Ivy_A_#003	\x0E\x03\x02\x08\x06リーフ\nIt is not ridiculous at all. In fact, I would argue\nthis wish of yours has already come true.\x0E\x04\x00\x00
MID_GR_Ivy_A_#004	\x0E\x03\x02\x08\x06リーフ\nYou are surrounded by friends and allies,\nare you not? They believe in you. As do I.\x0E\x04\x00\x00
MID_GR_Zelkova_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nYou are always in a rush to find something to\ndo after a battle, Zelkov. Are you all right?\x0E\x04\x00\x00
MID_GR_Zelkova_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nYour concern is unwarranted. I am simply\nreturning to the pursuits which *sustain* me.\x0E\x04\x00\x00
MID_GR_Zelkova_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nPerhaps you could teach me how to make\nmedicine. It would be useful for me to know.\x0E\x04\x00\x00
MID_GR_Zelkova_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nAbsolutely not. Making medicine is my *role.*\nWhat would I do if you replaced me?\x0E\x04\x00\x00
MID_GR_Zelkova_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nWhat do you *intend* to do next, after we have\nachieved our aims?\x0E\x04\x00\x00
MID_GR_Zelkova_A_#002	\x0E\x03\x02\x08\x06リーフ\nWhen all is done, and there is no more reason to\ncall on me, I suppose I will return to my ring.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nDoes the notion of *idleness* therein not\ntrouble you? Are you even conscious in there?\x0E\x04\x00\x00
MID_GR_Zelkova_A_#004	\x0E\x03\x02\x08\x06リーフ\nIt is like sleeping. Perhaps I will content myself\nto dream of the time we spent together.\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06カゲツ\nPlease ask if you need something, Leif. I am\nalways happy to help my dearest friends.\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#002	\x0E\x03\x02\x08\x06リーフ\nThank you, Kagetsu. No one has called me\na dearest friend quite so quickly as you.\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06カゲツ\nYou are well practiced in swordplay, are you\nnot? Come, show me your skill!\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#002	\x0E\x03\x02\x08\x06リーフ\nYou would like to spar? All right. I will gladly\nshow you the swordsmanship of Leonster.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06カゲツ\nTell me more stories of your world, Leif.\nI am very curious.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#002	\x0E\x03\x02\x08\x06リーフ\nI have already told you almost all there is to tell.\nI will run out of material very soon at this rate.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#003	\x0E\x03\x02\x08\x06カゲツ\nMy curiosity is not even close to running out!\nTell me more! I demand satisfaction!\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#004	\x0E\x03\x02\x08\x06リーフ\nHa! Very well. Let me tell you of a battle which\nhinged on the efficacy of murder holes...\x0E\x04\x00\x00
MID_GR_Hortensia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nYou've seen my sister fight up close, Leif.\nI know she's good. How do I measure up?\x0E\x04\x00\x00
MID_GR_Hortensia_C_#002	\x0E\x03\x02\x08\x06リーフ\nYour skills are impressive indeed. I look forward\nto seeing more of your work on the battlefield.\x0E\x04\x00\x00
MID_GR_Hortensia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nIt is time to move out, Hortensia. Are you\nready? Is something wrong with your head?\x0E\x04\x00\x00
MID_GR_Hortensia_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nI'm trying to get my hair right! You don't expect\nme to go to battle looking like this, do you?\x0E\x04\x00\x00
MID_GR_Hortensia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nDo you think it's OK to believe what I want,\neven if my country worships the Fell Dragon?\x0E\x04\x00\x00
MID_GR_Hortensia_A_#002	\x0E\x03\x02\x08\x06リーフ\nIf you are asking me that, I would say you must\nalready have the answer you seek.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nUgh, way to avoid the question. Can you just\ngive me some validation, please?\x0E\x04\x00\x00
MID_GR_Hortensia_A_#004	\x0E\x03\x02\x08\x06リーフ\nHaha, I think you should do what you feel is\nright, and I am happy to help you decide that.\x0E\x04\x00\x00
MID_GR_Rosado_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08ロサード\nCuteness is the highest virtue. I've never seen\na cute thing I didn't love.\x0E\x04\x00\x00
MID_GR_Rosado_C_#002	\x0E\x03\x02\x08\x06リーフ\nThere is something to be said for simple and\nstraightforward values. Good for you.\x0E\x04\x00\x00
MID_GR_Rosado_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nWhat motivates you to be a soldier, Rosado?\nThere is nothing cute about war.\x0E\x04\x00\x00
MID_GR_Rosado_B_#002	\x0E\x03\x02\x0A\x08ロサード\nOf course not. But I fight so everyone can have\nthe chance to be cute.\x0E\x04\x00\x00
MID_GR_Rosado_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08ロサード\nIt's time we realized the full potential of your\ncuteness, Leif. Take a look at this!\x0E\x04\x00\x00
MID_GR_Rosado_A_#002	\x0E\x03\x02\x08\x06リーフ\nThat is quite a colorful outfit. And a very nice\nwig, as well. Are these...for me?\x0E\x04\x00\x00
MID_GR_Rosado_A_#003	\x0E\x03\x02\x0A\x08ロサード\nOf course! Cuteness is the highest virtue,\nremember. Do your part for the cause, OK?\x0E\x04\x00\x00
MID_GR_Rosado_A_#004	\x0E\x03\x02\x08\x06リーフ\nRegrettably, I cannot. As fine as these may be,\nI lack the physical form needed to wear them.\x0E\x04\x00\x00
MID_GR_Goldmary_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nYou know, Leif, I wouldn't blame you if you\nbegan to develop feelings for me.\x0E\x04\x00\x00
MID_GR_Goldmary_C_#002	\x0E\x03\x02\x08\x06リーフ\nI already have feelings about you, Goldmary.\nI think you and I will make good friends.\x0E\x04\x00\x00
MID_GR_Goldmary_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nI'm sorry if my dazzling grace distracts you\nin battle. I'm afraid it's out of my control.\x0E\x04\x00\x00
MID_GR_Goldmary_B_#002	\x0E\x03\x02\x08\x06リーフ\nNo need to apologize. If by some chance I were\ndistracted, it would be my fault, not yours.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nIs something the matter? You seem dejected.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nI am thinking of all the distraction I've inflicted\non others in battle with my alluring elegance.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIs it selfish that I want you to notice how\ncharming I am, even in the middle of a war?\x0E\x04\x00\x00
MID_GR_Goldmary_A_#004	\x0E\x03\x02\x08\x06リーフ\nDo not trouble yourself over that, Goldmary.\nYou are a fine ally to have on the battlefield.\x0E\x04\x00\x00
MID_GR_Misutira_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nA pleasure to meet you, Timerra. I vow to do\nmy best and earn your friendship along the way.\x0E\x04\x00\x00
MID_GR_Misutira_C_#002	\x0E\x03\x02\x0C\nミスティラ\nPleasure's all mine. Oh, I just thought of a song!\n♪La-la-Leif, he's better than deep-fried beef!♪\x0E\x04\x00\x00
MID_GR_Misutira_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nミスティラ\nYou gotta appreciate a lady with a sense\nof style, am I right?\x0E\x04\x00\x00
MID_GR_Misutira_B_#002	\x0E\x03\x02\x08\x06リーフ\nOh, uh, yes. I once cherished a lady who\nI thought to be quite stylish.\x0E\x04\x00\x00
MID_GR_Misutira_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nIs something amiss, Timerra? You have not been\nsinging of late. That is quite unusual for you.\x0E\x04\x00\x00
MID_GR_Misutira_A_#002	\x0E\x03\x02\x0C\nミスティラ\nOh, Leif. I wrote this new song about how much\nI love Emblems, but no one wants to listen to it.\x0E\x04\x00\x00
MID_GR_Misutira_A_#003	\x0E\x03\x02\x08\x06リーフ\nAbout Emblems, you say? As an Emblem\nmyself, I would be happy to have a listen.\x0E\x04\x00\x00
MID_GR_Misutira_A_#004	\x0E\x03\x02\x0C\nミスティラ\nReally?! You're the best. I'm gonna belt it out\nstraight from the heart just for you! Here goes...\x0E\x04\x00\x00
MID_GR_Merin_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06メリン\nSir Leif, I wonder if we could discuss the recent\nbattle? I'd like your honest opinion on a matter. \x0E\x04\x00\x00
MID_GR_Merin_C_#002	\x0E\x03\x02\x08\x06リーフ\nOf course! I am always happy to provide\nwhatever knowledge or insight I can.\x0E\x04\x00\x00
MID_GR_Merin_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nMerrin, I have noticed you carefully observing\nanimals on several occasions. Why is that?\x0E\x04\x00\x00
MID_GR_Merin_B_#002	\x0E\x03\x02\x08\x06メリン\nI like to study things I admire. In fact, I have\nstudied you on occasion as well, Sir Leif.\x0E\x04\x00\x00
MID_GR_Merin_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06メリン\nWhen we finally have peace, I plan to travel. My\ndream is to see animals no one has seen before.\x0E\x04\x00\x00
MID_GR_Merin_A_#002	\x0E\x03\x02\x08\x06メリン\nI've traveled some, of course, but there's still so\nmuch to see. Sir Leif, what do you dream of?\x0E\x04\x00\x00
MID_GR_Merin_A_#003	\x0E\x03\x02\x08\x06リーフ\nI suppose I dream of seeing my hometown\nflourishing and at peace.\x0E\x04\x00\x00
MID_GR_Merin_A_#004	\x0E\x03\x02\x08\x06リーフ\nBut that is my dream as a king. Perhaps I should\nfind my own personal dream just as you have.\x0E\x04\x00\x00
MID_GR_Panetone_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nPanette! Why is there an insect trapped inside\nthat bottle?\x0E\x04\x00\x00
MID_GR_Panetone_C_#002	\x0E\x03\x02\x0A\x08パネトネ\nBecause I plan to keep it, that's why. Just look\nat it! Its colors are truly splendid to behold.\x0E\x04\x00\x00
MID_GR_Panetone_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nTime to pull these lousy weeds. Get outta here!\nOh, Leif! However might I be of service to you?\x0E\x04\x00\x00
MID_GR_Panetone_B_#002	\x0E\x03\x02\x08\x06リーフ\nOh, well, I thought I might help you with the\ngardening. But you seem to have it well in hand.\x0E\x04\x00\x00
MID_GR_Panetone_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nYou have arrived at a most opportune time. I am\nabout to have a snack. Would you join me?\x0E\x04\x00\x00
MID_GR_Panetone_A_#002	\x0E\x03\x02\x08\x06リーフ\nYes, thank you. Though I will have to enjoy the\nsmell only. Are you eating those red...things?\x0E\x04\x00\x00
MID_GR_Panetone_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nIndeed, I am! They are my favorite chips. I'm\ntold some people find their smell quite unusual.\x0E\x04\x00\x00
MID_GR_Panetone_A_#004	\x0E\x03\x02\x08\x06リーフ\nGah! Unusual...yes...quite. You do enjoy some\npeculiar things.\x0E\x04\x00\x00
MID_GR_Fogato_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nフォガート\nAll right, all right! It's time to do my rounds.\nI tell you, I am no good at sitting still.\x0E\x04\x00\x00
MID_GR_Fogato_C_#002	\x0E\x03\x02\x08\x06リーフ\nIf you are going on patrol, I shall join you. It will\nbe nice to have a chat off the battlefield.\x0E\x04\x00\x00
MID_GR_Fogato_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nフォガート\nYou know, my sister is real tough. Still, I can't\nhelp but feel like I should protect her.\x0E\x04\x00\x00
MID_GR_Fogato_B_#002	\x0E\x03\x02\x08\x06リーフ\nI know how you feel. I would want to help my\nsister as well. Siblings are like that.\x0E\x04\x00\x00
MID_GR_Fogato_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nフォガート\nSo, Leif, um...are you good at fishing? And if\nyou are, would you mind teaching me?\x0E\x04\x00\x00
MID_GR_Fogato_A_#002	\x0E\x03\x02\x08\x06リーフ\nTeach you to fish? You do not know how?\x0E\x04\x00\x00
MID_GR_Fogato_A_#003	\x0E\x03\x02\x0C\nフォガート\nI know. Seems like I should, but I don't. Please,\nyou're the only one I'm comfortable asking.\x0E\x04\x00\x00
MID_GR_Fogato_A_#004	\x0E\x03\x02\x08\x06リーフ\nHaha, in that case, I am pleased you asked.\nI may not teach you well, but I will teach you!\x0E\x04\x00\x00
MID_GR_Pandoro_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAh, Lord Leif! I─ I'm so nervous. I haven't even\ngreeted you. Here goes... AROOO!\x0E\x04\x00\x00
MID_GR_Pandoro_C_#002	\x0E\x03\x02\x08\x06リーフ\nAROO! That is your greeting? The etiquette\ntraditions in this country are strange indeed.\x0E\x04\x00\x00
MID_GR_Pandoro_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nLord Leif, I understand your parents passed\naway. Would it be OK if I prayed for them?\x0E\x04\x00\x00
MID_GR_Pandoro_B_#002	\x0E\x03\x02\x08\x06リーフ\nSo very thoughtful of you, Pandreo. I believe\nmy mother and father would appreciate it.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nYou seem unusually busy today. Are you\npreparing for some kind of event?\x0E\x04\x00\x00
MID_GR_Pandoro_A_#002	\x0E\x03\x02\x0A\x08パンドロ\nYes, in fact! I'm preparing for a banquet.\nA banquet...to celebrate our friendship!\x0E\x04\x00\x00
MID_GR_Pandoro_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nThere's a seat just for you. It's the one with\nall the decorations. There's a card for you too.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#004	\x0E\x03\x02\x08\x06リーフ\nIt says, "Thank you for everything." Ah, you are\ntoo kind. I should be thanking you, Pandreo.\x0E\x04\x00\x00
MID_GR_Bonet_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nI am called Sage Lord, but have much to learn.\nI hope you may teach me a thing or two.\x0E\x04\x00\x00
MID_GR_Bonet_C_#002	\x0E\x03\x02\x06\x04ボネ\nThe Sage Lord...what a delicious title. I'm sure\nwe can learn a great deal from each other, Leif.\x0E\x04\x00\x00
MID_GR_Bonet_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04ボネ\nI use my sense of taste to learn about the world.\nSo, might I taste the glowing light around you?\x0E\x04\x00\x00
MID_GR_Bonet_B_#002	\x0E\x03\x02\x08\x06リーフ\nYou want to taste...the light? I wonder... Does\neach Emblem's glow have a unique flavor?\x0E\x04\x00\x00
MID_GR_Bonet_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nYou want to make a dish...out of the glowy light\nemitted by Emblems? Is this even possible?\x0E\x04\x00\x00
MID_GR_Bonet_A_#002	\x0E\x03\x02\x06\x04ボネ\nSo far, I haven't been able to capture the glow,\nbut I am certain it will taste delicious when I do.\x0E\x04\x00\x00
MID_GR_Bonet_A_#003	\x0E\x03\x02\x06\x04ボネ\nWhich is why I need you, Leif. I need you to use\nall your might to glow as brightly as you can.\x0E\x04\x00\x00
MID_GR_Bonet_A_#004	\x0E\x03\x02\x08\x06リーフ\nI am not convinced this glow of mine will taste\ngood. But for you Bunet, I will glow my best!\x0E\x04\x00\x00
MID_GR_Anna_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nHave I...met you before?\x0E\x04\x00\x00
MID_GR_Anna_C_#002	\x0E\x03\x02\x08\x06アンナ\nI'm Lady Anna, a traveling merchant! I sell only\nthe best, so snap it up now or regret it later!\x0E\x04\x00\x00
MID_GR_Anna_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nI see you are in high spirits again today,\nLady Anna. Are you off to market?\x0E\x04\x00\x00
MID_GR_Anna_B_#002	\x0E\x03\x02\x08\x06アンナ\nYep! Today I'm rolling out a special membership\nprogram for repeat customers.\x0E\x04\x00\x00
MID_GR_Anna_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nWhy did you decide to join our cause?\x0E\x04\x00\x00
MID_GR_Anna_A_#002	\x0E\x03\x02\x08\x06アンナ\nFinding my family was a big part of it. Plus, if\nthe world ends, my business goes kaput too.\x0E\x04\x00\x00
MID_GR_Anna_A_#003	\x0E\x03\x02\x08\x06アンナ\nI figure people will be so happy when the war\nends that they'll be willing to spend big!\x0E\x04\x00\x00
MID_GR_Anna_A_#004	\x0E\x03\x02\x08\x06リーフ\nHa! You think big yourself, for one so small.\nI suspect you are correct.\x0E\x04\x00\x00
MID_GR_Jean_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nThat last battle was rather vicious. Are you all\nright, Jean?\x0E\x04\x00\x00
MID_GR_Jean_C_#002	\x0E\x03\x02\x08\x06ジャン\nThanks for asking, but it'll take more than that\nto discourage me.\x0E\x04\x00\x00
MID_GR_Jean_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nYou did very well last time. It was due to your\nefforts that we had no serious injuries.\x0E\x04\x00\x00
MID_GR_Jean_B_#002	\x0E\x03\x02\x08\x06ジャン\nI can patch people up, but what I'm working for\nis a world where they don't get hurt.\x0E\x04\x00\x00
MID_GR_Jean_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06ジャン\nHow did you get to be so strong, Leif? I wish\nI was more like you.\x0E\x04\x00\x00
MID_GR_Jean_A_#002	\x0E\x03\x02\x08\x06リーフ\nI wonder the same thing about others. Besides,\nJean, you are stronger than you know already.\x0E\x04\x00\x00
MID_GR_Jean_A_#003	\x0E\x03\x02\x08\x06ジャン\nIt doesn't feel like that. I've put in the study and\npracticed a lot, but I'm not a great doctor yet.\x0E\x04\x00\x00
MID_GR_Jean_A_#004	\x0E\x03\x02\x08\x06リーフ\nNo need to hurry. Simply fix your eyes upon\nyour goal and reach it one step at a time.\x0E\x04\x00\x00
MID_GR_Yunaka_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06ユナカ\nY'know, Leif, I get the feeling you've been\nthrough some tough stuff. I respect that.\x0E\x04\x00\x00
MID_GR_Yunaka_C_#002	\x0E\x03\x02\x08\x06リーフ\nThe feeling is mutual, Yunaka. I admire your\nfighting spirit.\x0E\x04\x00\x00
MID_GR_Yunaka_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nI heard quite a strange cackle coming from this\ndirection. What is going on, Yunaka?\x0E\x04\x00\x00
MID_GR_Yunaka_B_#002	\x0E\x03\x02\x08\x06ユナカ\nOh, not much─just got my hands on some of\nthe deadliest weaponry you've ever seen.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06ユナカ\nUgh... Think I did one too many impressions.\nThroat's killing me.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#002	\x0E\x03\x02\x08\x06リーフ\nYes, you may have overdone it. I wish I could\noffer you a restorative drink from my homeland.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#003	\x0E\x03\x02\x08\x06リーフ\nThat stuff could heal any ailment. It would have\nfixed you right up.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#004	\x0E\x03\x02\x08\x06ユナカ\nI can pretend. Power of imagination, right?\nKeep describing it. I'll tell you when it works.\x0E\x04\x00\x00
MID_GR_Seadas_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08セアダス\nYou should watch me dance, Leif. I've read your\nfortune, and it says dancing will bring you luck.\x0E\x04\x00\x00
MID_GR_Seadas_C_#002	\x0E\x03\x02\x08\x06リーフ\nOh? Your fortune-telling accuracy is renowned.\nI shall be sure to see your performance.\x0E\x04\x00\x00
MID_GR_Seadas_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08セアダス\nTempting as it is, I avoid food that is not the\nperfect fuel for my dance. This, for instance...\x0E\x04\x00\x00
MID_GR_Seadas_B_#002	\x0E\x03\x02\x08\x06リーフ\nI see lots of oil, butter, sugar... That does\nlook delicious.\x0E\x04\x00\x00
MID_GR_Seadas_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nYou seem so full of confidence, Seadall.\nBut you still evade savory treats, correct?\x0E\x04\x00\x00
