MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\x0E\x03\x02\x08\x06セピア\nOn a battlefield far from all you know, how will\nyou prove your bravery?\x0E\x04\x02\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01"\x12E002_Hide\x0CStrike\n\x0E\x03\x02\x14\x12E002_Hide\nThey made a Corrupted that looks like Alfred?\nHow vile!\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01 \x12E002_Hide\nAngry\n\x0E\x03\x02\x14\x12E002_Hide\nI will show no mercy to the Corrupted. Not even\nyou. Though...I've wanted to fight you all along.\x0E\x04\x00\x00
MID_BT12_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nWhy would you want to fight me?\x0E\x04\x00\x00
MID_BT12_#003	\x0E\x05\x01\x1C\x12E002_Hide\x06Die\n\x0E\x03\x02\x14\x12E002_Hide\nWere we allies, it would be unthinkable to\nwonder who would win in a fight to the death.\x0E\x04\x02\x00
MID_BT12_#004	\x0E\x05\x01 \x12E002_Hide\nSmile\nBut now I can satisfy my curiosity. I'm so\nhappy! A flower like you will fall so beautifully!\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01"\x12E002_Hide\x0CStatus\n\x0E\x03\x02\x14\x12E002_Hide\nIt's hard to see my former retainer on this\nbattlefield. It's as if you've come back to life. \x0E\x04\x00\x00
MID_BT13_#002	\x0E\x03\x00\x0A\x04ルイ\x02t\n\x0E\x05\x01\x0E\x04ルイ\x06Sad\n\x0E\x03\x02\x06\x04ルイ\nI had hoped to only watch you from afar. But\nthat is easier said than done in battle.\x0E\x04\x00\x00
MID_BT13_#003	\x0E\x05\x01\x1C\x12E002_Hide\x06Sad\n\x0E\x03\x02\x14\x12E002_Hide\nDo you remember the tea you once brewed for\nme? I've been unable to drink it since you died.\x0E\x04\x02\x00
MID_BT13_#004	I can no longer remember just how happy I was.\nCould you remind me, before you sleep forever?\x0E\x04\x00\x00
MID_BT13_#005	\x0E\x03\x02\x06\x04ルイ\nHow I wish that I could. However...I do not have\nthat right, Princess Céline...\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E002_Hide\nChloé. Is it really you? Did you discover\nanything on your reconnaissance flight?\x0E\x04\x00\x00
MID_BT14_#002	\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x03\x00\x0C\x06クロエ\x02t\n\x0E\x05\x01\x10\x06クロエ\x06Sad\n\x0E\x03\x02\x08\x06クロエ\nReconnaissance... What are you talking about?\x0E\x04\x00\x00
MID_BT14_#003	\x0E\x05\x01$\x12E002_Hide\x0ESerious\n\x0E\x03\x02\x14\x12E002_Hide\nI see... Your answer tells me all I need to know.\nYou're also a Corrupted, then. You already died.\x0E\x04\x02\x00
MID_BT14_#004	\x0E\x05\x01\x1A\x06クロエ\x10Surprise\nChloé never made it back from her mission.\nI had hoped she was still alive, but I was a fool!\x0E\x04\x02\x00
MID_BT14_#005	\x0E\x05\x01\x10\x06クロエ\x06Sad\n\x0E\x05\x01$\x12E002_Hide\x0EStandBy\nLearning of your death from the Fell Dragon's\nchild... I never wanted to meet you like this!\x0E\x04\x00\x00
MID_BT14_#006	\x0E\x03\x02\x08\x06クロエ\nP-Princess Céline... I'm sorry. But\nperhaps she's...\x0E\x04\x02\x00
MID_BT14_#007	\x0E\x05\x01\x18\x06クロエ\x0ESerious\nNo. I will not lie and tell you she might\nstill return.\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01\x1E\x12E002_Hide\x08Pain\n\x0E\x03\x02\x14\x12E002_Hide\nEtie... I had a feeling I might find you here.\x0E\x04\x00\x00
MID_BT15_#002	\x0E\x03\x00\x10\nエーティエ\x02t\n\x0E\x05\x01\x14\nエーティエ\x06Sad\n\x0E\x03\x02\x0C\nエーティエ\nCan't say I wanted to meet you here at all.\x0E\x04\x00\x00
MID_BT15_#003	\x0E\x03\x02\x14\x12E002_Hide\nMe too. I knew that if we met, I would have to\nkill you. My dear friend...\x0E\x04\x02\x00
MID_BT15_#004	\x0E\x05\x01\x1C\x12E002_Hide\x06Sad\nIf only I could have tea with you one last time...\nLet's finish this, before I change my mind.\x0E\x04\x00\x00
MID_BT15_#005	\x0E\x05\x01\x1C\nエーティエ\x0EStandBy\n\x0E\x03\x02\x0C\nエーティエ\nYes... If we keep going, I might forget that\nyou're actually a stranger.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_エル\x022\n\x0E\x03\x00\x1A\x14E002_敵ヘクトル\x023\n\x0E\x06\x00.\x14E002_敵ヘクトル\x16MPID_Hector\n\x0E\x03\x02\x0A\x08リュール\nThis is it. The Bracelet of the Brash General.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x10\x0EE002_エル\nEmblem Hector dwells within. A brave leader\nwho embodies the fighting spirit of the Firenese.\x0E\x04\x02\x00
MID_ED1_#003	He was once daring and gallant. Now, as\nZelestia informs us, he is tainted by evil.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nI wish I could summon him again. Give him a\nfresh start.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x10\x0EE002_エル\nThere is no point lamenting what cannot be\nchanged. I will return him to slumber now.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nRest easy, Emblem Hector.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x16\x14E002_敵ヘクトル\nThank you...\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x10\x0EE002_エル\nAgain, the Emblem speaks!\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x16\x14E002_敵ヘクトル\nSeems a shame to drift off so soon, but I\nsuppose it's not all bad.\x0E\x04\x02\x00
MID_ED1_#010	I just hope we can all stride into battle\ntogether...someday...\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nI'm sure we will.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nYou put the general to bed, I see.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nKing Alfred. Please, call off your invasion.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x14\x12E002_Boss\nWithout the bracelet I don't have much choice.\x0E\x04\x02\x00
MID_ED1_#015	But...Nil just told me you're from another\nworld? Is that true?\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x0A\x08リュール\nYes, it's true.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x14\x12E002_Boss\nAdds up, I guess. If you were our Divine Dragon,\nyou wouldn't have taken our bracelet by force.\x0E\x04\x02\x00
MID_ED1_#018	You'd have sided with us...or you'd at least\nhave been nicer.\x0E\x04\x02\x00
MID_ED1_#019	Clearly you're not the friend I knew.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x00\x18\x12E002_Hide\x023\n\x0E\x03\x02\x14\x12E002_Hide\nAlfred...\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x14\x12E002_Boss\nBut still, I'm glad I met you.\x0E\x04\x02\x00
MID_ED1_#022	You may not be from this world, but I can tell\nyou have the Divine Dragon's heart.\x0E\x04\x02\x00
MID_ED1_#023	Sorry about before. I really did think you were\none of the Corrupted.\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x14\x12E002_Hide\nFor my part, I owe an apology to Nel and Nil.\x0E\x04\x02\x00
MID_ED1_#025	I insulted you, tying you unfairly to Sombron.\nYou are not to blame for his actions.\x0E\x04\x02\x00
MID_ED1_#026	I am deeply, truly sorry for losing\nmy composure.\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x10\x0EE002_エル\nNoted.\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nWe were all devastated to lose our beloved\nDivine Dragon. Of course we understand.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x14\x12E002_Boss\nHey, I've got an idea. How about you take us\nwith you?\x0E\x04\x02\x00
MID_ED1_#031	A little extra muscle might come in handy if\nyou're going around collecting bracelets.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x00\x18\x12E002_Hide\x023\n\x0E\x03\x02\x14\x12E002_Hide\nYes! An excellent idea. I already have my\nknights assembled. They could come as well.\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x0A\x08リュール\nAbsolutely. It would be a great comfort having\nyou two on our side.\x0E\x04\x00\x00
MID_ED1_#034	\x0E\x03\x02\x10\x0EE002_エル\nAlas, we cannot.\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x0A\x08リュール\nHuh? Why not?\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x10\x0EE002_エル\nIt is out of the question. And it is not your\nchoice to make, Divine One.\x0E\x04\x02\x00
MID_ED1_#037	While it is true that we summoned you for help,\nthis is not your army.\x0E\x04\x02\x00
MID_ED1_#038	Whatever authority you are accustomed to in\nyour own world does not apply here.\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x0A\x08リュール\nRight... Sorry.\x0E\x04\x00\x00
MID_ED1_#040	\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nYou'll have to forgive us, Divine One. Nel is\nharsh, but she speaks the truth.\x0E\x04\x02\x00
MID_ED1_#041	I am also opposed to allowing the Firenese\nto join us.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x14\x12E002_Boss\nWhat do I have to say here? You gonna make\nme beg?\x0E\x04\x02\x00
MID_ED1_#043	I need to make up somehow for treating you\nall so badly.\x0E\x04\x02\x00
MID_ED1_#044	Let me help keep you safe.\x0E\x04\x00\x00
MID_ED1_#045	\x0E\x03\x02\x10\x0EE002_エル\nThe battlefield is no place for a king.\x0E\x04\x02\x00
MID_ED1_#046	The people need their ruler to watch over them.\x0E\x04\x00\x00
MID_ED1_#047	\x0E\x03\x02\x10\x0EE002_イル\nNot only that, but think of what would become\nof your kingdom if it were to lose you.\x0E\x04\x02\x00
MID_ED1_#048	Firene would be left entirely without a monarch.\nOr even an heir.\x0E\x04\x00\x00
MID_ED1_#049	\x0E\x03\x02\x14\x12E002_Boss\nThen at least let Céline and her knights\ngo with you.\x0E\x04\x00\x00
MID_ED1_#050	\x0E\x03\x02\x10\x0EE002_エル\nThe king's sister is every bit as indispensable.\nAnd the knights must defend their castle.\x0E\x04\x02\x00
MID_ED1_#051	If your intention is to make amends to us, then\nI would ask you to think foremost of yourselves.\x0E\x04\x00\x00
MID_ED1_#052	\x0E\x03\x02\x14\x12E002_Boss\nFair enough.\x0E\x04\x00\x00
MID_ED1_#053	\x0E\x03\x00\x18\x12E002_Hide\x024\n\x0E\x03\x02\x14\x12E002_Hide\nIf that is your wish, we will accept it. Shall we\nkeep our bracelet here in Firene?\x0E\x04\x00\x00
MID_ED1_#054	\x0E\x03\x02\x10\x0EE002_エル\nWhy?\x0E\x04\x00\x00
MID_ED1_#055	\x0E\x03\x02\x14\x12E002_Hide\nI can assure you we will not misuse it. After all,\nwe can't awaken sleeping Emblems.\x0E\x04\x02\x00
MID_ED1_#056	But if our enemy wants to collect the bracelets,\nis it not safer to keep them apart?\x0E\x04\x00\x00
MID_ED1_#057	\x0E\x03\x02\x10\x0EE002_エル\nThat would be logical, but for the likelihood that\nour enemy has the power to awaken Emblems.\x0E\x04\x02\x00
MID_ED1_#058	If that is so, the Emblems' slumber\nbecomes irrelevant.\x0E\x04\x02\x00
MID_ED1_#059	And if that happens, there is no telling what\nhavoc the Brash General will wreak.\x0E\x04\x00\x00
MID_ED1_#060	\x0E\x03\x02\x14\x12E002_Hide\nHm...\x0E\x04\x00\x00
MID_ED1_#061	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nBetter to keep them with you, since you can put\nthem back to sleep. Makes sense.\x0E\x04\x00\x00
MID_ED1_#062	\x0E\x03\x02\x10\x0EE002_エル\nI appreciate your understanding.\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x02\x14\x12E002_Boss\nNothing more to discuss, then. We'll head back\ninside and leave the bracelet with you.\x0E\x04\x02\x00
MID_ED1_#064	I'm sorry to give it up, but at least it's in the\nright hands.\x0E\x04\x02\x00
MID_ED1_#065	More importantly... Divine One?\x0E\x04\x00\x00
MID_ED1_#066	\x0E\x03\x02\x0A\x08リュール\nYes?\x0E\x04\x00\x00
MID_ED1_#067	\x0E\x03\x02\x14\x12E002_Boss\nThe hardest part of all this is saying goodbye\nto you, my old ally.\x0E\x04\x02\x00
MID_ED1_#068	But I'm so glad you're back. When we lost you,\nI...I was beside myself.\x0E\x04\x00\x00
MID_ED1_#069	\x0E\x03\x02\x0A\x08リュール\nUh, Alfred?\x0E\x04\x02\x00
MID_ED1_#070	I'm not the Divine Dragon you knew,\nremember? Nil explained it...\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x14\x12E002_Boss\nOh, right! Silly me.\x0E\x04\x02\x00
MID_ED1_#072	I'm new to the throne, so I've been burning the\ncandle at both ends. Guess I'm a little worn out.\x0E\x04\x02\x00
MID_ED1_#073	Not very becoming of a king, is it? If I'm not\ncareful, people will start to talk.\x0E\x04\x00\x00
MID_ED1_#074	\x0E\x03\x00\x18\x12E002_Hide\x024\n\x0E\x03\x02\x14\x12E002_Hide\nIt's all right. I am here to support you, Alfred.\nLet's head back so you can rest, hm?\x0E\x04\x02\x00
MID_ED1_#075	I will begin thinking about ways to revive\nindustry here in Firene without resorting to war.\x0E\x04\x02\x00
MID_ED1_#076	As for you all... When your mission is done,\nplease do come back and visit with us.\x0E\x04\x00\x00
MID_ED1_#077	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nYeah. Best of luck.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_エル\x022\n\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x03\x02\x0A\x08リュール\nWas Alfred all right? He seemed to be acting a\nlittle strange.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x10\x0EE002_イル\nProbably just terrified. My sister does have that\neffect on people when she's angry.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x10\x0EE002_エル\nI was not angry.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x0A\x08リュール\nNil's got a point, though. You were too harsh\nwith your words.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x10\x0EE002_エル\nI refused their offer to join us on principle.\nYou did not have the right to invite them.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08リュール\nI already apologized for that, didn't I?\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x18\x16E002_セレスティア\nAh... Lord Nil? Is there something going on\nbetween those two?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x10\x0EE002_イル\nThey've been tense with each other from the\nvery start. It is becoming a bit of a problem.\x0E\x04\x02\x00
MID_ED2_#009	I wish I could convince them to get along.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x18\x16E002_セレスティア\nPerhaps it's hard to accept that this one is, in\nfact, a different person. It is quite unexpected.\x0E\x04\x02\x00
MID_ED2_#011	In the past, Lady Nel was so...\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x10\x0EE002_エル\nI am right here, you know.\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x18\x16E002_セレスティア\nUh...my apologies.\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x0A\x08リュール\nAt least there were no assassins this time.\x0E\x04\x02\x00
MID_ED2_#015	I'm not sure I could have handled that. It was\nhard enough just fighting Alfred and Céline.\x0E\x04\x00\x00
MID_ED2_#016	\x0E\x03\x02\x10\x0EE002_イル\nThat does not mean they will not show up\nagain. We should remain on guard.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x02\x0A\x08リュール\nYou don't think we might be fighting twins,\ndo you?\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x02\x10\x0EE002_イル\nTwins?\x0E\x04\x00\x00
MID_ED2_#019	\x0E\x03\x02\x0A\x08リュール\nBack at Lythos, Nel mentioned that Fell Dragon\nchildren are always born as twins.\x0E\x04\x02\x00
MID_ED2_#020	It's just a thought.\x0E\x04\x00\x00
MID_ED2_#021	\x0E\x03\x02\x10\x0EE002_エル\nIt is possible.\x0E\x04\x02\x00
MID_ED2_#022	But nearly all Fell Dragon children lose their\ntwin siblings as they mature.\x0E\x04\x02\x00
MID_ED2_#023	I do not think it is terribly likely.\x0E\x04\x00\x00
MID_ED2_#024	\x0E\x03\x02\x0A\x08リュール\nSorry... Did you say "lose their twin siblings"?\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x18\x16E002_セレスティア\nThis is the first I've heard of it.\x0E\x04\x02\x00
MID_ED2_#026	Lady Nel and Lord Nil, you're still together.\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x02\x10\x0EE002_イル\nWe are exceptionally fortunate to be so.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x18\x16E002_セレスティア\nThen I'm glad neither of you lost your other\nhalf. That would've been awful.\x0E\x04\x00\x00
MID_ED2_#029	\x0E\x03\x02\x10\x0EE002_イル\nHaha, kind of you to say.\x0E\x04\x00\x00
MID_ED2_#030	\x0E\x03\x02\x10\x0EE002_エル\nThere is no point to baseless speculation. Let us\nfocus on reclaiming Brodia's bracelet.\x0E\x04\x00\x00
MID_ED2_#031	\x0E\x03\x02\x0A\x08リュール\nRight. Your world's Brodia... I'm curious to see\nwhat kind of place it is.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04イル\x022\n\x0E\x03\x02\x06\x04エル\nIt seems like we lose more siblings by the day.\x0E\x04\x02\x00
MID_ED3_#002	Pairs of twins like us do seem to be getting rare.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x06\x04イル\nMore and more, I see them talking about\nkilling one another.\x0E\x04\x02\x00
MID_ED3_#004	They call each other weak. They laugh at twins\nwho haven't fought to the death yet.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x06\x04エル\nUnthinkable.\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x06\x04イル\nI'll be next. I'm sure of it.\x0E\x04\x02\x00
MID_ED3_#007	They'll come for a failure like me any day now.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x06\x04エル\nDo not say such things.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x06\x04イル\nBut it's true.\x0E\x04\x02\x00
MID_ED3_#010	Stronger ones than me have already died─ones\nwho were much more useful to Father.\x0E\x04\x02\x00
MID_ED3_#011	Even if I'm not next, it's only a matter of time.\x0E\x04\x02\x00
MID_ED3_#012	I'm so scared.\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x06\x04エル\nNil.\x0E\x04\x02\x00
MID_ED3_#014	Listen to me.\x0E\x04\x02\x00
MID_ED3_#015	Come what may, I will protect you. I swear it.\x0E\x04\x00\x00
