MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x023\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nEt voilà, le château !\x0E\x04\x00\x00
MID_ED2_#047	Le périple qui vous attend sera long et\ndifficile, mais sachez que mes prières\nvous accompagnent.\x0E\x04\x02\x00
MID_ED2_#048	Puisse la chance vous sourire.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06錬成屋\x021\n\x0E\x03\x00\x0E\x08アクセ屋\x023\n\x0E\x03\x02\x08\x06錬成屋\nOhé ! Vous êtes le Dragon divin, n'est-ce pas ?\nVous auriez un moment pour discuter ?\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nBien sûr. À qui ai-je l'honneur ?\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x08\x06錬成屋\nMoi, je suis forgeronne. Je m'appelle Calney.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x0A\x08アクセ屋\nEt moi, je suis Pinet. Je tiens une boutique\nde mode. Ravi de vous rencontrer.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x08\x06錬成屋\nJe vais aller droit au but. Notre ami Durthon\nnous a dit dans une lettre qu'il avait ouvert\nun commerce dans votre base.\x0E\x04\x02\x00
MID_ED3_#006	Et, eh bien... ça nous intéresse aussi. Nous\npourrions vous aider ! Je pourrais rendre\nvos armes plus efficaces.\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x02\x0A\x08アクセ屋\nEt même si mes articles ne servent guère\nsur le champ de bataille, ils attirent l'œil\net font tourner les têtes !\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x0A\x08リュール\nSi Durthon répond de vous, cela me suffit.\nJe vous en prie, venez nous rejoindre à Somniel.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x08\x06錬成屋\nC'est vrai ? Formidable ! Je vous promets\nque vous ne le regretterez pas.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x0A\x08アクセ屋\nCarrément. Merci beaucoup, Votre Divinité.\x0E\x04\x00\x00
MID_ED4C_#001	Argh... Bon. Je crois que je l'ai semée...
MID_ED4C_#002	Vraiment ? Vous en êtes sûr, très cher ?
MID_ED4C_#003	AH !
MID_ED4C_#004	Vous tremblez comme une feuille. J'en conclus\nque vous n'avez pas su récupérer l'anneau.
MID_ED4C_#005	Je... euh ! Pardonnez-moi, m'dame ! C'est ces\ntypes... Ils sont plus costauds qu'ils en ont l'air !
MID_ED4C_#006	Mais j'ai des renseignements ! C'est la princesse\nCéline, elle a pris la fuite en l'emportant.
MID_ED4C_#007	Maintenant, c'est le Dragon divin \n\x0E\x06\x03\x00 qui l'a. Hé...
MID_ED4C_#008	Hmm...
MID_ED4C_#009	Alors, euh... Disons qu'on en reste là ?\nJe ferai mieux la prochaine fois.
MID_ED4C_#010	Oh, comme vous faites preuve\nde naïveté.
MID_ED4C_#010_2	Je ne donne jamais de deuxième chance\naprès un échec.
MID_ED4C_#011	Non ! Ne me tuez pas ! Pitié, ne me tuez pas !
MID_ED4C_#012	AAH !
MID_ED4C_#013	Hmph.
MID_ED4C_#014	 
MID_ED4C_#015	Pardonnez le désordre, Madame. Ainsi que\nnotre échec dans la poursuite de l'anneau.
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x16\x10ヴェイル_フード\x021\n\x0E\x03\x00\x0C\x06セピア\x022\n\x0E\x03\x02\x12\x10ヴェイル_フード\nJe m'attendais à en obtenir au moins un.\x0E\x04\x02\x00
MID_ED4_#002	Enfin... nous savons maintenant\nque Lumera est morte.\x0E\x04\x00\x00
MID_ED4_#003	\x0E\x03\x02\x08\x06セピア\nEn effet, mais un autre Dragon divin a pris sa\nplace. Je n'arrive pas à croire que la bête ait\ndonné naissance à un rejeton...\x0E\x04\x00\x00
MID_ED4_#004	\x0E\x03\x02\x12\x10ヴェイル_フード\nCela explique qu'elle ait sacrifié sa vie\nsans hésiter.\x0E\x04\x00\x00
MID_ED4_#005	\x0E\x03\x02\x08\x06セピア\nQue devons-nous faire ?\x0E\x04\x00\x00
MID_ED4_#006	\x0E\x03\x02\x12\x10ヴェイル_フード\nLa bataille du château de Lythos nous a\néprouvés. Nous ne sommes pas en état\nd'en livrer une autre immédiatement.\x0E\x04\x02\x00
MID_ED4_#007	Il serait avisé de rester discrets pendant un\ntemps. Épargnons-les. Pour le moment.\x0E\x04\x00\x00
MID_ED4_#008	\x0E\x03\x02\x08\x06セピア\nEntendu.\x0E\x04\x00\x00
