MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x08\x06マルス\nLe combat final est proche. Quand vous serez\nprêts, nous approcherons Somniel du portail.\x0E\x04\x02\x00
MID_OP5_Citrinica1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nシトリニカ\x02t\n\x0E\x05\x01\x18\nシトリニカ\nAngry\n\x0E\x03\x02\x0C\nシトリニカ\nJ'imagine que toutes les richesses du monde\nne seraient d'aucune aide en pareil cas...\nAlors je vais prier de tout mon cœur !\x0E\x04\x00\x00
MID_OP5_Lapis1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ラピス\x02t\n\x0E\x05\x01\x14\x06ラピス\nSmile\n\x0E\x03\x02\x08\x06ラピス\nVous pouvez le faire, Votre Divinité !\nOn trouve toujours du courage quand on\nen a le plus besoin, faites-moi confiance !\x0E\x04\x00\x00
MID_OP5_Diamand1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x02t\n\x0E\x05\x01\x1A\x0Cディアマンド\nAngry\n\x0E\x03\x02\x0E\x0Cディアマンド\nVotre Divinité ! Ce combat est pour Père...\net pour tous les soldats tombés au champ\nd'honneur.\x0E\x04\x00\x00
MID_OP5_Umber1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08アンバー\x02t\n\x0E\x05\x01\x16\x08アンバー\nAngry\n\x0E\x03\x02\x0A\x08アンバー\nMa force et mon courage sont à votre service !\nSi nous remportons cette bataille, peu importe\nque je devienne une légende ou non !\x0E\x04\x00\x00
MID_OP5_Jade1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x02t\n\x0E\x05\x01\x16\x08ジェーデ\nSmile\n\x0E\x03\x02\x0A\x08ジェーデ\nLa dernière page de notre aventure sera\nilluminée par l'éclat du soleil et le Dragon\ndivin victorieux.\x0E\x04\x00\x00
MID_OP5_Ivy1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x1A\x08アイビー\x0EStandBy\n\x0E\x03\x02\x0A\x08アイビー\nVous m'avez toujours rendue plus forte.\nLaissez-moi vous offrir ma foi, juste cette fois.\x0E\x04\x00\x00
MID_OP5_Kagetsu1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カゲツ\x02t\n\x0E\x05\x01\x14\x06カゲツ\nSmile\n\x0E\x03\x02\x08\x06カゲツ\nCette occasion n'a rien de particulier.\nMa foi en vous n'a jamais vacillé !\x0E\x04\x00\x00
MID_OP5_Zelkova1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x02t\n\x0E\x05\x01\x1A\x08ゼルコバ\x0EStandBy\n\x0E\x03\x02\x0A\x08ゼルコバ\nC'est si *mélodramatique*. Mais pour le\nDragon divin, je dois pouvoir faire une\nexception...\x0E\x04\x00\x00
MID_OP5_Fogato1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nフォガート\x02t\n\x0E\x05\x01\x18\nフォガート\nSmile\n\x0E\x03\x02\x0C\nフォガート\nHa ha, vous pensez qu'on pourrait rempiler ?\nGénial, c'est ce que j'aime avec vous, Votre\nDivinité !\x0E\x04\x00\x00
MID_OP5_Pandoro1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08パンドロ\x02t\n\x0E\x05\x01\x18\x08パンドロ\x0CStrike\n\x0E\x03\x02\x0A\x08パンドロ\nVotre Divinité. Emblèmes. Si je peux formuler\nune prière... Octroyez-moi la chance de vous\nassister dans la victoire qui s'annonce.\x0E\x04\x00\x00
MID_OP5_Bonet1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04ボネ\x02t\n\x0E\x05\x01\x14\x04ボネ\x0CStatus\n\x0E\x03\x02\x06\x04ボネ\nUne victoire donnerait une pointe de douceur à\nl'amertume de la guerre. Laissez-moi concocter\nun triomphe.\x0E\x04\x00\x00
MID_OP5_Misutira1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nミスティラ\x02t\n\x0E\x05\x01\x18\nミスティラ\nSmile\n\x0E\x03\x02\x0C\nミスティラ\nC'est pas le moment de flancher ! Haut les\ncœurs ! Nous croyons en vous et nous allons\ngagner ! Ce sera un jeu d'enfant !\x0E\x04\x00\x00
MID_OP5_Panetone1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08パネトネ\x02t\n\x0E\x05\x01\x18\x08パネトネ\x0CStrike\n\x0E\x03\x02\x0A\x08パネトネ\nOh oui ! Allez-y ! C'est ça ! L'ultime bataille !\nIl est temps d'anéantir l'ennemi !\x0E\x04\x00\x00
MID_OP5_Merin1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06メリン\x02t\n\x0E\x05\x01\x16\x06メリン\x0CStatus\n\x0E\x03\x02\x08\x06メリン\nVotre Divinité... Vous respirez la classe. Comme\ntout le monde ici, en fait. Nous ne pouvons pas\nperdre !\x0E\x04\x00\x00
MID_OP5_Hortensia1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x02t\n\x0E\x05\x01\x1A\x0Cオルテンシア\nAngry\n\x0E\x03\x02\x0E\x0Cオルテンシア\nOubliez la tristesse, Votre Divinité. J'en ai\nassez ! Tout le monde va s'en sortir.\nJe crois en vous !\x0E\x04\x00\x00
MID_OP5_Seadas1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\nSi vous avez foi dans la lune et les étoiles,\nnos chers Emblèmes seront de retour !\x0E\x04\x00\x00
MID_OP5_Rosado1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ロサード\x02t\n\x0E\x05\x01\x16\x08ロサード\nSmile\n\x0E\x03\x02\x0A\x08ロサード\nMon esquisse de victoire serait incomplète sans\nles Emblèmes, Votre Divinité. Allons vite les\nrécupérer !\x0E\x04\x00\x00
MID_OP5_Goldmary1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x02t\n\x0E\x05\x01\x16\x0Cゴルドマリー\x06Shy\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe suis désolée que les autres fassent durer les\nchoses. Nous savons tou\x0E\x0A\x00\x0C\x02s\x06tes deux que ma foi\nen vous est suffisante.\x0E\x04\x00\x00
MID_OP5_Linden1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リンデン\x02t\n\x0E\x05\x01\x16\x08リンデン\nSmile\n\x0E\x03\x02\x0A\x08リンデン\nVous avez déjà causé quelques miracles. Alors,\nbien évidemment que je crois en vous, sans\nl'ombre d'un doute.\x0E\x04\x00\x00
MID_OP5_Saphir1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nザフィーア\x02t\n\x0E\x05\x01\x1A\nザフィーア\x0CStatus\n\x0E\x03\x02\x0C\nザフィーア\nEncore un effort ! Récupérons les Emblèmes\net remportons la victoire !\x0E\x04\x00\x00
MID_OP5_Veyre1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x02t\n\x0E\x05\x01\x1A\x08ヴェイル\x0EStandBy\n\x0E\x03\x02\x0A\x08ヴェイル\nJe suis votre sœur et je suis un dragon.\nJe ferai tout mon possible pour vous\naider à stopper Papa !\x0E\x04\x00\x00
MID_OP5_Mauve1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06モーヴ\x02t\n\x0E\x05\x01\x14\x06モーヴ\nAngry\n\x0E\x03\x02\x08\x06モーヴ\nS'il y a ne serait-ce qu'une once de foi qui\nillumine encore mon cœur... Alors, elle est\ntoute à vous.\x0E\x04\x00\x00
MID_OP5_Anna1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x18\x06アンナ\x0EStandBy\n\x0E\x03\x02\x08\x06アンナ\nMademoiselle Anna a une offre exceptionnelle\nsur ses objets de soutien. Ils ne sont ni repris ni\néchangés, alors utilisez-les tous, et gagnons !\x0E\x04\x00\x00
MID_OP5_Jean1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ジャン\x02t\n\x0E\x05\x01\x16\x06ジャン\x0CStrike\n\x0E\x03\x02\x08\x06ジャン\nJe veux m'assurer que tout le monde\nrentre sain et sauf chez soi. Soyez fort\x0E\x0A\x00\x06
MID_OP6_#001	\x0E\x02\x00\x06\x04ST\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x04\x03\x04
MID_OP6_#002	\x0E\x03\x02\x0A\x08ソンブル\nImbéciles. Vos actes sont futiles et pitoyables.\x0E\x04\x00\x00
MID_OP6_#003	\x0E\x03\x02\x0A\x08リュール\nJe vous en prie, j'ai besoin de vous tous... une\ndernière fois. Je vous implore ! Fusionnons !\x0E\x04\x02\x00
MID_OP6_#004	Resplendissez, Emblème du\nCommencement. Marth !
MID_OP6_#005	\x0E\x03\x00\x0C\x06マルス\x023\n\x0E\x03\x02\x0A\x08リュール\nEmblème des Échos, veillez sur nous ! Celica !
MID_OP6_#006	\x0E\x03\x01\x08\x06マルス\n\x0E\x03\x00\x0C\x06セリカ\x023\n\x0E\x03\x02\x0A\x08リュール\nOffrez-nous votre soutien, Emblème de la\nGuerre Sainte ! Sigurd !
MID_OP6_#007	\x0E\x03\x01\x08\x06セリカ\n\x0E\x03\x00\x0E\x08シグルド\x023\n\x0E\x03\x02\x0A\x08リュール\nLibérez-nous, Emblème de la Généalogie ! Leif !
MID_OP6_#008	\x0E\x03\x01\x0A\x08シグルド\n\x0E\x03\x00\x0C\x06リーフ\x023\n\x0E\x03\x02\x0A\x08リュール\nDressez-vous, Emblème du Sceau ! Roy !
MID_OP6_#009	\x0E\x03\x01\x08\x06リーフ\n\x0E\x03\x00\x0A\x04ロイ\x023\n\x0E\x03\x02\x0A\x08リュール\nDéchaînez-vous, Emblème des Flammes ! Lyn !
MID_OP6_#010	\x0E\x03\x01\x06\x04ロイ\n\x0E\x03\x00\x0A\x04リン\x023\n\x0E\x03\x02\x0A\x08リュール\nRestaurez la quiétude, Emblème du Sacré !\nEirika !
MID_OP6_#011	\x0E\x03\x01\x06\x04ロイ\n\x0E\x03\x00\x10\nエイリーク\x023\n\x0E\x03\x02\x0A\x08リュール\nCombattez, Emblème du Rayonnement ! Ike !
MID_OP6_#012	\x0E\x03\x01\x0C\nエイリーク\n\x0E\x03\x00\x0C\x06アイク\x023\n\x0E\x03\x02\x0A\x08リュール\nSoignez-nous, Emblème de l'Aurore ! Micaiah !
MID_OP6_#013	\x0E\x03\x01\x08\x06アイク\n\x0E\x03\x00\x0C\x06ミカヤ\x023\n\x0E\x03\x02\x0A\x08リュール\nEmbrasez-nous, Emblème de l'Éveil ! Lucina !
MID_OP6_#014	\x0E\x03\x01\x08\x06ミカヤ\n\x0E\x03\x00\x0C\x06ルキナ\x023\n\x0E\x03\x02\x0A\x08リュール\nMontrez vos griffes, Emblème des Destinées !\nCorrin !
MID_OP6_#015	\x0E\x03\x01\x08\x06ルキナ\n\x0E\x03\x00\x0C\x06カムイ\x023\n\x0E\x03\x02\x0A\x08リュール\nEnseignez-nous, Emblème de l'Académie !\nByleth !
MID_OP6_#016	\x0E\x03\x01\x08\x06カムイ\n\x0E\x03\x00\x0C\x06ベレト\x023\n\x0E\x03\x02\x0A\x08リュール\nEt bien sûr, le dernier Emblème...\x0E\x04\x02\x00
MID_OP6_#017	Liez-nous, Emblème du Feu !\n\x0E\x06\x03\x00 !\x0E\x04\x00\x00
MID_OP6_#018	\x0E\x03\x01\x08\x06ベレト\n\x0E\x03\x02\x0A\x08ソンブル\nQuoi...\x0E\x04\x00\x00
MID_OP6_#019	\x0E\x03\x02\x0A\x08リュール\nLes treize Emblèmes se dressent contre vous\navec leurs alliés. Nous serons séparés à l'avenir.\x0E\x04\x02\x00
MID_OP6_#020	Mais nous sommes tous là, unis pour nous\nbattre. Ce moment est tout ce qui importe.\x0E\x04\x00\x00
MID_OP6_#021	\x0E\x03\x02\x0A\x08ソンブル\nBalivernes. Vous n'êtes même pas une braise.\nUne simple flamme vacillante. Vous n'êtes rien.\x0E\x04\x02\x00
MID_OP6_#022	Plus vos liens sont étroits, plus vous souffrirez\nquand ils seront réduits en poussière.\x0E\x04\x02\x00
MID_OP6_#022_2	Pourquoi vouloir souffrir et créer de tels liens ?\nPourquoi laisser une telle faiblesse exister ?\x0E\x04\x02\x00
MID_OP6_#023	Stupide enfant, abandonnez et mourez !\x0E\x04\x00\x00
MID_OP6_#024	\x0E\x03\x02\x0A\x08リュール\nOui. Vous m'avez toujours vu\x0E\x0A\x00\x06
MID_OP6_#025	Mais nous sommes tous unis contre vous...\nL'union fait la force !\x0E\x04\x02\x00
MID_OP6_#026	Briser un lien cause une peine énorme, mais s'il\nest restauré, il devient porteur d'espoir.\x0E\x04\x02\x00
MID_OP6_#027	Un lien brisé peut être renforcé si les deux côtés\nle veulent. Je m'en assurerai à chaque fois.\x0E\x04\x02\x00
MID_OP6_#028	Vous ne quitterez pas cet endroit.\nNous vous arrêterons !\x0E\x04\x02\x00
MID_OP6_#029	En garde, Sombron ! C'est la fin !\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ソンブル\x02b\n\x0E\x05\x01&\x18M026_ソンブル_人型\nAngry\n\x0E\x03\x02\x0A\x08ソンブル\nVous avez tant combattu et voyagé juste\npour mourir de ma main ?\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1E\x18M026_ソンブル_人型\x02b\n\x0E\x05\x01(\x18M026_ソンブル_人型\x0CNormal\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nVous êtes pathétique.\x0E\x04\x02\x00
MID_BT2_#002	Comme si me rejeter pour devenir un Dragon\ndivin ne suffisait pas... Un parricide ? Vous êtes\nimpardonnable.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nVous avez tué vos propres enfants et tenté\nde détruire le monde pour assouvir vos\ndésirs égoïstes.\x0E\x04\x02\x00
MID_BT2_#004	C'est vous qui êtes impardonnable.\x0E\x04\x00\x00
MID_BT2_#005	\x0E\x05\x01&\x18M026_ソンブル_人型\nAngry\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nJe vous ai dit que votre monde n'avait aucune\nimportance pour moi. Ses habitants, mes\nenfants... même vous.\x0E\x04\x02\x00
MID_BT2_#006	Lorsque j'aurai quitté ces lieux, je ne me\nsouviendrai plus de vous. Même si nous\nnous revoyons, j'aurai oublié votre visage.\x0E\x04\x00\x00
MID_BT2_#007	\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nDans d'autres mondes, vous ferez les mêmes\nerreurs qu'avant. Alors, qui de nous deux est\nvraiment si pathétique ?\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x02t\n\x0E\x05\x01\x12\x08ヴェイル\x06Sad\n\x0E\x03\x02\x0A\x08ヴェイル\nPapa...\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x00\x1E\x18M026_ソンブル_人型\x02b\n\x0E\x05\x01&\x18M026_ソンブル_人型\nAngry\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nOh. la tare. Je croyais m'être débarrassé\nde vous, mais vous revoilà.\x0E\x04\x00\x00
MID_BT3_#003	\x0E\x05\x01\x16\x08ヴェイル\nSmile\n\x0E\x03\x02\x0A\x08ヴェイル\nHé.\x0E\x04\x00\x00
MID_BT3_#004	\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nVous riez.\x0E\x04\x00\x00
MID_BT3_#005	\x0E\x03\x02\x0A\x08ヴェイル\nVous êtes en colère parce que j'ai résisté et\nsurvécu. Pour moi, c'est presque comme si\nvous me faisiez des éloges.\x0E\x04\x02\x00
MID_BT3_#006	\x0E\x05\x01\x12\x08ヴェイル\x06Sad\nNous n'avons jamais passé de temps ensemble\ncomme je le voulais, juste un père et sa fille.\x0E\x04\x02\x00
MID_BT3_#007	\x0E\x05\x01\x16\x08ヴェイル\nAngry\nCependant, je suis ravie de ne pas avoir baissé\nles bras. J'ai réussi. Maintenant, je serai celle\nqui mettra un terme à vos agissements.\x0E\x04\x00\x00
MID_BT3_#008	\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nQuelle vilaine enfant. Je n'en attendais pas\nmoins de la part de ma progéniture.\x0E\x04\x00\x00
MID_BT3_#009	\x0E\x05\x01\x18\x08ヴェイル\x0CStrike\n\x0E\x03\x02\x0A\x08ヴェイル\nJ'espère que vous nous regardez, Maman.\nJe vais arrêter Papa, comme vous me l'avez\ndemandé.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1E\x18M026_ソンブル_人型\x02b\n\x0E\x05\x01&\x18M026_ソンブル_人型\nSmile\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nHé hé... Ce n'est pas terminé.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1E\x18M026_ソンブル_人型\x02b\n\x0E\x05\x01*\x18M026_ソンブル_人型\x0EStandBy\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nHors de ma vue, misérables vermines !\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nSombron a appelé des renforts.\nMais de qui s'agit-il ?\x0E\x04\x00\x00
MID_EV2_#002	\x0E\x03\x00\x1E\x18M026_ソンブル_人型\x02b\n\x0E\x06\x00>\x18M026_ソンブル_人型"MPID_SombreDragon\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nVous pensiez que j'allais attendre\nsagement votre arrivée ?\x0E\x04\x02\x00
MID_EV2_#003	Je n'ai pas pu ramener mon Emblème, alors\nj'ai invoqué des êtres au pouvoir équivalent.\x0E\x04\x02\x00
MID_EV2_#004	Des Emblèmes Noirs qui ont jadis plongé\nleurs mondes dans le désespoir.\x0E\x04\x00\x00
MID_EV2_#005	\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nDes Emblèmes Noirs ?\x0E\x04\x00\x00
MID_EV2_#006	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x0C\x06マルス\x02t\n\x0E\x05\x01\x14\x06マルス\nAngry\n\x0E\x03\x02\x08\x06マルス\nCes présences... sont si familières... Oui. Ce\nsont les adversaires que nous avons affrontés\nsous notre forme originelle.\x0E\x04\x02\x00
MID_EV2_#007	Nous devrions peut-être faire en sorte de\nconfronter chaque Emblème à son ennemi\nd'alors... Mais difficile de dire qui est qui...\x0E\x04\x02\x00
MID_EV2_#008	Approchons-nous, mais restons sur nos gardes.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nLe bouclier est détruit ! C'est le moment !\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1E\x18M026_ソンブル_人型\x02b\n\x0E\x06\x00>\x18M026_ソンブル_人型"MPID_SombreDragon\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nEmblèmes Noirs ! Arrêtez-les !\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1E\x18M026_ソンブル_人型\x02b\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nAlors... voilà qu'on me refuse...\nmes retrouvailles.\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06マルス\x02t\n\x0E\x05\x01\x1A\x06マルス\x10Surprise\n\x0E\x03\x02\x08\x06マルス\nJe vous sens, Ombre, et je crois\nsavoir qui vous êtes !\x0E\x04\x02\x00
MID_BT9_#002	\x0E\x05\x01\x14\x06マルス\nAngry\nJe vous ai déjà vaincue et je recommencerai,\ncar je brandis la Sainte-Falchion !\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08シグルド\x02t\n\x0E\x05\x01\x1C\x08シグルド\x10Surprise\n\x0E\x03\x02\x0A\x08シグルド\nL'épée divine Tyrfing est éveillée. Vous devez\ndonc être... Non, c'est impossible...\x0E\x04\x02\x00
MID_BT10_#002	\x0E\x05\x01\x16\x08シグルド\nAngry\nEn tant que chevalier de Grannvale et\ndescendant d'un des douze croisés,\nje serai votre fin !\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06セリカ\x02t\n\x0E\x05\x01\x16\x06セリカ\x0CStatus\n\x0E\x03\x02\x08\x06セリカ\nEncore vous, Duma... Enfin, je ne suis pas\nsûre que ce soit vous...\x0E\x04\x02\x00
MID_BT11_#002	\x0E\x05\x01\x14\x06セリカ\nAngry\nQuoi qu'il en soit, cessez de faire le mal.\nDonnez à votre âme grandiose et lasse\nle repos qu'elle mérite...\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ミカヤ\x02t\n\x0E\x05\x01\x14\x06ミカヤ\nAngry\n\x0E\x03\x02\x08\x06ミカヤ\nVous ?! Sombron a-t-il fait appel à vous pour\ninitier le jugement du monde entier ?\x0E\x04\x02\x00
MID_BT12_#002	Je ne le permettrai pas ! Yune... accordez-moi\nvotre force !\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04ロイ\x02t\n\x0E\x05\x01\x18\x04ロイ\x10Surprise\n\x0E\x03\x02\x06\x04ロイ\nPourquoi êtes-vous ici et sous cette forme ?\nNous n'avons aucun désaccord.\x0E\x04\x02\x00
MID_BT13_#002	\x0E\x05\x01\x12\x04ロイ\nAngry\nSoit... je ferai mon possible pour vous stopper.\nEt je libérerai votre âme d'un combat éternel.\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06リーフ\x02t\n\x0E\x05\x01\x14\x06リーフ\nAngry\n\x0E\x03\x02\x08\x06リーフ\nLe mal émane de vous... mais êtes-vous bien\nl'évêque noir que j'ai affronté par le passé ?\x0E\x04\x02\x00
MID_BT14_#002	Souhaitez-vous également répandre la peur\net le désespoir en ce monde ? Je ne le\npermettrai pas !\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ルキナ\x02t\n\x0E\x03\x02\x08\x06ルキナ\nVous êtes encore après moi. Vous qui arborez\nvos ailes destructrices, vous qui soufflez le\nfeu du désespoir...\x0E\x04\x02\x00
MID_BT15_#002	\x0E\x05\x01\x14\x06ルキナ\nAngry\nMais je braverai le destin !\nMourez afin que notre avenir puisse vivre !\x0E\x04\x00\x00
MID_BT16_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04リン\x02t\n\x0E\x03\x02\x06\x04リン\nLe destin regorge de surprises. Qui eût cru\nque nous nous reverrions un jour ?\x0E\x04\x02\x00
MID_BT16_#002	\x0E\x05\x01\x12\x04リン\nAngry\nPourtant, j'ai bien peur que l'heure de notre\nséparation ait sonné. Vous ne serez bientôt\nplus qu'une tache sur ma lame !\x0E\x04\x00\x00
MID_BT17_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アイク\x02t\n\x0E\x03\x02\x08\x06アイク\nJe sais exactement qui vous êtes. Je le sens.\nVous êtes le Roi fou.\x0E\x04\x02\x00
MID_BT17_#002	Je ne retiendrai pas mes coups contre vous !\nJe combattrai de toutes mes forces !\x0E\x04\x00\x00
MID_BT18_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ベレト\x02t\n\x0E\x05\x01\x14\x06ベレト\nAngry\n\x0E\x03\x02\x08\x06ベレト\nLe Roi de la Libération de retour ? Je doute\nque vous mouriez sans combattre. Eh bien,\nmoi non plus, je vous rassure.\x0E\x04\x02\x00
MID_BT18_#002	C'est peut-être la course du temps qui nous a\nguidés ici, mais ma lame mettra fin à votre\npériple.\x0E\x04\x00\x00
MID_BT19_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カムイ\x02t\n\x0E\x05\x01\x14\x06カムイ\nAngry\n\x0E\x03\x02\x08\x06カムイ\nJe n'avais aucune envie de vous voir... Mais s'il\nest vrai que tous les chemins que j'emprunte\nme mènent à vous...\x0E\x04\x02\x00
MID_BT19_#002	Alors, je vous arrêterai à chaque fois.\nJamais je ne renoncerai !\x0E\x04\x00\x00
MID_BT20_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02t\n\x0E\x03\x02\x0C\nエイリーク\nCes miasmes démoniaques... Seriez-vous\nle Roi-démon ?\x0E\x04\x02\x00
MID_BT20_#002	\x0E\x05\x01\x18\nエイリーク\nAngry\nSi c'est bien vous, je vous vaincrai avant que\nvous ayez le temps d'envoûter qui que ce soit\nou de causer une quelconque tragédie !\x0E\x04\x00\x00
MID_BT21_#001	\x0E\x02\x01\x00\n\x0E\x03\x00,&M026_異形兵_マスター_メディウス\x02b\n\x0E\x03\x02(&M026_異形兵_マスター_メディウス\nPourquoi ? Pourquoi ai-je été vaincu\nsi facilement ?\x0E\x04\x00\x00
MID_BT22_#001	\x0E\x02\x01\x00\n\x0E\x03\x00,&M026_異形兵_マスター_ロプトウス\x02b\n\x0E\x03\x02(&M026_異形兵_マスター_ロプトウス\nMisérables humains...\x0E\x04\x00\x00
MID_BT23_#001	\x0E\x02\x01\x00\n\x0E\x03\x00("M026_異形兵_マスター_ドーマ\x02b\n\x0E\x03\x02$"M026_異形兵_マスター_ドーマ\nSeule compte la puissance.\nSeule importe la force...\x0E\x04\x00\x00
MID_BT24_#001	\x0E\x02\x01\x00\n\x0E\x03\x00,&M026_異形兵_マスター_アスタルテ\x02b\n\x0E\x03\x02(&M026_異形兵_マスター_アスタルテ\nMa puissance ne connaît nulle limite... Et\npourtant, vous m'avez vaincu. Impossible...\x0E\x04\x00\x00
MID_BT25_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$M026_異形兵_マスター_イドゥン\x02b\n\x0E\x03\x02&$M026_異形兵_マスター_イドゥン\nJe... Je suis seule... Seule dans les ténèbres...\x0E\x04\x00\x00
MID_BT26_#001	\x0E\x02\x01\x00\n\x0E\x03\x00("M026_異形兵_マスター_ベルド\x02b\n\x0E\x03\x02$"M026_異形兵_マスター_ベルド\nJ'ai échoué... Tout est de ma faute...\x0E\x04\x00\x00
MID_BT27_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$M026_異形兵_マスター_ギムレー\x02b\n\x0E\x03\x02&$M026_異形兵_マスター_ギムレー\nVous êtes tous faibles, inutiles,\ninsignifiants. Vous n'êtes rien...\x0E\x04\x00\x00
