MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nDans les ténèbres insondables de votre solitude,\nrêvez-vous que la lumière vous appartienne ?\x0E\x04\x02\x00
MID_BT7_#005	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nJe vois. Si tu es une apparition, je ne perdrai\npas mon temps à te conter des histoires.\x0E\x04\x02\x00
MID_BT7_#006	\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\nMême si je dois dire que te parler me rappelle\nce grand bal où nous étions tous conviés.\nNous nous sommes tellement amusés...\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\nDragon divin ? Vous êtes de retour parmi nous ?\x0E\x04\x00\x00
MID_BT8_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nJe ne suis pas la personne que vous croyez.\nConsidérez-moi comme n'importe quel autre\nadversaire.\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nJe ne peux vous affronter et risquer de vous\nperdre de nouveau. Votre disparition a été\nune insoutenable tragédie...\x0E\x04\x02\x00
MID_BT8_#004	J'ai toujours pensé que les nations\ndevaient mettre fin à leurs querelles\net vivre en bonne entente !\x0E\x04\x02\x00
MID_BT8_#005	Je vous en supplie, aidez-nous à retrouver\nla concorde.\x0E\x04\x00\x00
MID_BT8_#006	\x0E\x05\x01\x12\x08リュール\x06Sad\n\x0E\x03\x02\x0A\x08リュール\nSeul le Dragon divin de ce monde pourrait\nfaire une telle chose...\x0E\x04\x02\x00
MID_BT8_#007	\x0E\x05\x01\x16\x08リュール\nAngry\nLe seul moyen d'arrêter ce conflit est de livrer\nle combat que vous voulez précisément éviter.\x0E\x04\x02\x00
MID_BT8_#008	Je n'ai d'autre choix que de vous affronter !\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\nAmber ? Est-ce une vision ?\nJe dois perdre la raison...\x0E\x04\x02\x00
MID_BT9_#002	\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\nJ'ai beau me concentrer, tu ne disparais pas.\nJe dois avoir la berlue. Ha ha... Ha ha ha !\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x03\x00\x0E\x08アンバー\x02t\n\x0E\x05\x01\x1C\x08アンバー\x10Surprise\n\x0E\x03\x02\x0A\x08アンバー\nPrince Diamant ? On dirait que ma présence\nvous perturbe...\x0E\x04\x00\x00
MID_BT9_#004	\x0E\x03\x02\x14\x12E003_Boss\nJ'ai de quoi être confus. Tu as donné ta vie\npour me défendre, après tout. Et tu reviens\npour m'affronter ?\x0E\x04\x02\x00
MID_BT9_#005	\x0E\x05\x01\x12\x08アンバー\x06Sad\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\nEs-tu une illusion ? Ou l'une de ces\nAberrations ? Peu importe. Sur le champ\nde bataille, je devrai t'anéantir.\x0E\x04\x02\x00
MID_BT9_#006	\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\nTu as gardé ton insouciance d'antan...\nComme elle m'a manqué !\x0E\x04\x00\x00
MID_BT9_#007	\x0E\x03\x02\x0A\x08アンバー\nAlors dans ce monde, j'ai disparu...\x0E\x04\x02\x00
MID_BT9_#008	Prince Diamant... Je suis désolé. Je ne voulais\npas vous faire de la peine.\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\n\x0E\x03\x02\x14\x12E003_Boss\nJade ? Que fais-tu ici ? On dirait une scène\ntirée de l'un de tes romans...\x0E\x04\x02\x00
MID_BT10_#002	Celui où un vieil homme que l'on pensait mort\nse réveille en baillant bruyamment... Tu t'en\nsouviens ? C'était un vrai chef-d'œuvre.\x0E\x04\x02\x00
MID_BT10_#003	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\nLorsque tu t'es assoupie, j'ai attendu ton réveil.\nPour pouvoir encore rire avec toi. Mais tu ne\nt'es jamais réveillée.\x0E\x04\x00\x00
MID_BT10_#004	\x0E\x03\x00\x0E\x08ジェーデ\x02t\n\x0E\x05\x01\x12\x08ジェーデ\x06Sad\n\x0E\x03\x02\x0A\x08ジェーデ\nPrince Diamant...\x0E\x04\x00\x00
MID_BT10_#005	\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nPourquoi ne t'es-tu pas réveillée ?! Pourquoi\navoir attendu si longtemps pour revenir ?!\x0E\x04\x02\x00
MID_BT10_#006	Alors que ma blessure allait se refermer,\ntu ressurgis du passé comme pour me\ntourmenter...\x0E\x04\x00\x00
MID_BT10_#007	\x0E\x03\x02\x0A\x08ジェーデ\nDésolée d'avoir rouvert une telle blessure, mais\nje ne suis pas la Jade que vous connaissiez.\x0E\x04\x02\x00
MID_BT10_#008	Même si mon visage vous semble familier,\nje ne suis qu'une adversaire dont l'objectif\nest de vous éliminer.\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\nSaphir ! Que fais-tu avec l'ennemi ?\nAurais-tu oublié ton allégeance ?\x0E\x04\x00\x00
MID_BT11_#002	\x0E\x03\x00\x10\nザフィーア\x02t\n\x0E\x05\x01\x1E\nザフィーア\x10Surprise\n\x0E\x03\x02\x0C\nザフィーア\nPrince Diamant ? Je suis pas...\x0E\x04\x00\x00
MID_BT11_#003	\x0E\x03\x02\x14\x12E003_Boss\nLaisse-moi deviner. Tu es juste une étrangère\nqui lui ressemble, c'est cela ?\x0E\x04\x02\x00
MID_BT11_#004	\x0E\x05\x01\x14\nザフィーア\x06Sad\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\nJ'ai vu juste. Saphir a dû mourir\nil y a bien longtemps.\x0E\x04\x02\x00
MID_BT11_#005	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\nPourtant, chaque fois que je vais au combat,\nje l'imagine encore à mes côtés.\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01&\x12E003_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E003_Hide\nAttends ! Tu es... moi !\x0E\x04\x00\x00
MID_BT12_#002	\x0E\x03\x00\x10\nスタルーク\x02t\n\x0E\x05\x01\x16\nスタルーク\x08Pain\n\x0E\x03\x02\x0C\nスタルーク\nNon, désolé. Nos traits sont similaires, mais\nl'expression de votre visage est plus résolue.\x0E\x04\x00\x00
MID_BT12_#003	\x0E\x05\x01"\x12E003_Hide\x0CStatus\n\x0E\x03\x02\x14\x12E003_Hide\nQuel pleutre. Es-tu une illusion ? Tu ne me\ndéstabiliseras pas en me renvoyant l'image\nde ma propre faiblesse.\x0E\x04\x02\x00
MID_BT12_#004	Je triompherai, même de moi-même. Tu verras.\x0E\x04\x00\x00
MID_BT12_#005	\x0E\x05\x01\x14\nスタルーク\x06Sad\n\x0E\x03\x02\x0C\nスタルーク\nOh, c'est incroyable... On dirait moi, mais\nen bien plus courageux !\x0E\x04\x02\x00
MID_BT12_#006	Si seulement je pouvais être comme ça...\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01 \x12E003_Hide\nAngry\n\x0E\x03\x02\x14\x12E003_Hide\nMon frère, je ne suis pas ton ennemi...\nOu peut-être t'en prends-tu à moi dans\nla confusion de la bataille ?\x0E\x04\x02\x00
MID_BT13_#002	\x0E\x05\x01$\x12E003_Hide\x0EStandBy\nSi tel est ton objectif, j'accepte ce défi.\x0E\x04\x00\x00
MID_BT13_#003	\x0E\x03\x00\x12\x0Cディアマンド\x02t\n\x0E\x05\x01\x16\x0Cディアマンド\x06Sad\n\x0E\x03\x02\x0E\x0Cディアマンド\nJ'ai l'impression que nos rapports ne sont pas\nsi fraternels que ça dans ce monde...\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01 \x12E003_Hide\nAngry\n\x0E\x03\x02\x14\x12E003_Hide\nVous... Qui êtes-vous vraiment ?\x0E\x04\x02\x00
MID_BT14_#002	Je n'arrive toujours pas à comprendre. Pourquoi\navez-vous pris l'apparence du Dragon divin ?\x0E\x04\x00\x00
MID_BT14_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1A\x08リュール\x0EStandBy\n\x0E\x03\x02\x0A\x08リュール\nJe n'ai pris l'apparence de personne.\nMe croirez-vous si je vous dis que je viens\nd'un autre monde ?\x0E\x04\x00\x00
MID_BT14_#004	\x0E\x05\x01$\x12E003_Hide\x0EStandBy\n\x0E\x03\x02\x14\x12E003_Hide\nVotre audace est déconcertante...\nSoit, poursuivez votre pantalonnade.\x0E\x04\x02\x00
MID_BT14_#005	\x0E\x05\x01 \x12E003_Hide\nSmile\nJe vous laisserai me divertir jusqu'à ce que\nvotre tête finisse au bout d'une pique.\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01&\x12E003_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E003_Hide\nJ'ai du mal à croire que tu sois vraiment là\ndevant moi.\x0E\x04\x02\x00
MID_BT15_#002	\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\nC'est la rancœur qui doit te pousser à revenir\nme tourmenter ainsi... J'avais promis de te\nprotéger, et j'ai failli.\x0E\x04\x00\x00
MID_BT15_#003	\x0E\x03\x00\x0C\x06ラピス\x02t\n\x0E\x05\x01\x1A\x06ラピス\x10Surprise\n\x0E\x03\x02\x08\x06ラピス\nÇa n'a aucun sens... Je n'éprouve aucune\nrancœur envers vous.\x0E\x04\x02\x00
MID_BT15_#004	\x0E\x05\x01\x14\x06ラピス\nSmile\nSi le moi de ce monde est parvenu à vous\npréserver du danger, je suis sûre que\nsa conscience est tranquille.\x0E\x04\x02\x00
MID_BT15_#005	Vous n'avez aucune raison de lui en vouloir.\x0E\x04\x00\x00
MID_BT15_#006	\x0E\x05\x01\x1C\x12E003_Hide\x06Sad\n\x0E\x03\x02\x14\x12E003_Hide\nJe ne permettrai pas qu'une hallucination créée\npar l'ennemi se joue ainsi de mon discernement.\x0E\x04\x02\x00
MID_BT15_#007	\x0E\x05\x01$\x12E003_Hide\x0ESerious\nPourtant... J'aurais tant voulu que tu assistes\nà mon ascension au trône, Lapis.\x0E\x04\x00\x00
MID_BT15_#008	\x0E\x05\x01\x10\x06ラピス\x06Sad\n\x0E\x03\x02\x08\x06ラピス\nQuoi qu'il advienne, mon admiration à votre\négard demeurera toujours intacte.\x0E\x04\x00\x00
MID_BT16_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\n\x0E\x03\x02\x14\x12E003_Hide\nCitrinne ? Te voir ici me fend le cœur, sachant\nque je n'ai pas su te protéger.\x0E\x04\x02\x00
MID_BT16_#002	Tous les membres de ta noble maison ont aussi\npéri. Ils étaient comme une famille pour moi...\nChacune de leur mort m'a...\x0E\x04\x00\x00
MID_BT16_#003	\x0E\x03\x00\x10\nシトリニカ\x02t\n\x0E\x05\x01\x14\nシトリニカ\x06Sad\n\x0E\x03\x02\x0C\nシトリニカ\nJe m'y attendais un peu... ainsi vont les choses.\nVoir ton regard affligé m'attriste profondément.\x0E\x04\x00\x00
MID_BT16_#004	\x0E\x05\x01\x1C\x12E003_Hide\x06Sad\n\x0E\x03\x02\x14\x12E003_Hide\nPeu importe la naissance, la vie est le seul bien\nque l'on ne peut remplacer. Sa perte est la\ncause d'une infinie souffrance...\x0E\x04\x02\x00
MID_BT16_#005	\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\nJ'aurais dû mourir aussi ce jour-là. Je ne voulais\npas vous perdre... Je ne voulais perdre aucun\nd'entre vous !\x0E\x04\x00\x00
MID_BT16_#006	\x0E\x05\x01\x14\nシトリニカ\x06Shy\n\x0E\x03\x02\x0C\nシトリニカ\nMalgré son apparente assurance, l'Alcryst de ce\nmonde ne diffère guère de celui que je connais.\x0E\x04\x02\x00
MID_BT16_#007	Je ne doute point que tu as fait de ton mieux.\nMalgré la douleur, je ne suis pas mécontente\nd'être partie la première.\x0E\x04\x00\x00
MID_BT17_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nザフィーア\x02t\n\x0E\x05\x01\x18\nザフィーア\nRelax\n\x0E\x03\x02\x0C\nザフィーア\nQuelle surprise de vous voir si pugnace, Prince\nAlcryst... Ce n'est pas pour me déplaire.\x0E\x04\x00\x00
MID_BT17_#002	\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01&\x12E003_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E003_Hide\nS'agit-il d'une autre illusion ? Saphir ?!\nTu as pourtant péri en protégeant notre père...\x0E\x04\x00\x00
MID_BT17_#003	\x0E\x05\x01\x1E\nザフィーア\x10Surprise\n\x0E\x03\x02\x0C\nザフィーア\nVraiment ? Je suis contente d'avoir rendu mon\ndernier souffle en défendant le roi Morion.\x0E\x04\x02\x00
MID_BT17_#004	\x0E\x05\x01\x18\nザフィーア\nRelax\nCette fierté m'anime d'autant plus à combattre,\nPrince Alcryst. Ne retenez pas vos coups !\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E003_Boss\x021\n\x0E\x03\x00\x18\x12E003_Hide\x022\n\x0E\x03\x00\x14\x0EE003_エル\x023\n\x0E\x03\x00\x14\x0EE003_イル\x024\n\x0E\x03\x02\x14\x12E003_Boss\nC'est fini. Nous rendons les armes.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x14\x12E003_Hide\nNon, Diamant ! On ne peut pas capituler ! On ne\npeut pas les laisser prendre notre bracelet !\x0E\x04\x02\x00
MID_ED1_#003	On doit le récupérer... Allez, reprenons\nle combat !\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x14\x12E003_Boss\nTu as un plan, peut-être ? Une idée\nqui inversera le cours de la bataille ?\nSi oui, fais-m'en part.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x14\x12E003_Hide\nGrrr...\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x14\x12E003_Boss\nNel. Nil. Nous nous retirons de cette lutte.\x0E\x04\x02\x00
MID_ED1_#007	Nous n'interférerons plus avec vos plans.\nNous laissons entre vos mains le bracelet,\ntout comme le destin de Brodia.\x0E\x04\x02\x00
MID_ED1_#008	Nous comptons sur vous... pour mener le monde\nvers la paix.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x10\x0EE003_エル\nIl s'agit sans nul doute du Bracelet de\nl'Héritière Solitaire.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08リュール\nNous avons désormais quatre bracelets\nen notre possession.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x10\x0EE003_エル\nIl abrite l'Emblème Veronica, qui a le pouvoir\nd'invoquer des soldats venus d'autres mondes.\x0E\x04\x02\x00
MID_ED1_#012	Cependant, tout comme l'Emblème de Firene,\nil aura été corrompu. Comme certainement\ntous les autres...\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x00\x1C\x16E003_敵ヴェロニカ\x022\n\x0E\x06\x004\x16E003_敵ヴェロニカ\x1AMPID_Veronica\n\x0E\x03\x02\x18\x16E003_敵ヴェロニカ\nSuis-je vraiment ici parmi vous ?\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nOui, Emblème Veronica.\x0E\x04\x02\x00
MID_ED1_#015	Mais nous ne vous demanderons pas\nde combattre pour nous. Vous pouvez\nreposer sereinement.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x18\x16E003_敵ヴェロニカ\nMerci... J'attendais cette trêve.\nMême si la solitude... Elle me pèse.\x0E\x04\x02\x00
MID_ED1_#017	À mon réveil, j'espère vous trouver à mes côtés,\nmême si aucun pacte ne nous lie.\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x0A\x08リュール\nNe vous en faites pas. Vous resterez à nos côtés\ntout au long de notre mission. Et un jour, nous\nnous reverrons.\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x10\x0EE003_イル\nBien, tout est réglé, je crois.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x00\x1A\x14E003_グレゴリー\x022\n\x0E\x03\x02\x16\x14E003_グレゴリー\nJe dois avouer que je suis peu habitué à mener\nde front un combat, et encore moins à en sortir\nvainqueur...\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x10\x0EE003_エル\nEn effet. À l'exception du Dragon divin,\nnous sommes tous ici plus enclins à la fuite.\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nC'est vrai. Chacun de nous a fui quelque chose.\x0E\x04\x00\x00
MID_ED1_#023	\x0E\x03\x02\x0A\x08リュール\nQue voulez-vous dire ?\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x18\x16E003_セレスティア\nDurant la guerre d'il y a mille ans, lorsque\nSombron réduisit en cendres mon village,\nje fuis jusqu'à Lythos.\x0E\x04\x02\x00
MID_ED1_#025	Les autres dragons mages possédaient de\npuissants pouvoirs, mais les miens faisaient\npâle figure en comparaison.\x0E\x04\x02\x00
MID_ED1_#026	C'est ce qui me permit de me cacher de\nSombron, tandis que mes proches et mes amis,\ntous des mages émérites, périrent.\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x0A\x08リュール\nOh...\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x02\x18\x16E003_セレスティア\nSombron voulait contraindre les dragons mages\nà combattre pour lui, mais nous avons refusé\nde nous soumettre.\x0E\x04\x02\x00
MID_ED1_#029	Je suis aujourd'hui la dernière représentante\nde mon peuple.\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x16\x14E003_グレゴリー\nJe vivais jadis en Elusia en tant que fidèle\nde Sombron. Mais j'étais incapable d'agir\ncomme les autres.\x0E\x04\x02\x00
MID_ED1_#031	Le Dragon déchu se délectait de la douleur\net du sang, et ses disciples satisfaisaient\ntous ses noirs désirs.\x0E\x04\x02\x00
MID_ED1_#032	Leur ferveur m'était étrangère, alors je\nfeignais de les suivre, mais un prêtre\nfinit par me démasquer...\x0E\x04\x02\x00
MID_ED1_#033	Je n'eus pas d'autre choix que de m'échapper.\nFuir, ou périr pour le Dragon déchu.\x0E\x04\x00\x00
MID_ED1_#034	\x0E\x03\x02\x18\x16E003_セレスティア\nJ'ai recueilli Gregory à Lythos. Il m'était venu\nen aide au péril de sa vie lors d'une bataille\ndésespérée en Elusia.\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x16\x14E003_グレゴリー\nTu parles de moi en des termes héroïques...\nTu étais encerclée par des Aberrations,\nj'ai juste fait ce que la situation exigeait.\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x00\x14\x0EE003_イル\x022\n\x0E\x03\x02\x10\x0EE003_イル\nQuant à moi, vous le savez, je suis un raté...\x0E\x04\x02\x00
MID_ED1_#037	Si je suis en vie, c'est uniquement parce que Nel\net moi avons fui ensemble loin de Sombron.\x0E\x04\x00\x00
MID_ED1_#038	\x0E\x03\x02\x10\x0EE003_エル\nJe n'aurai de cesse de te le redire, Nil.\nTu n'es pas un raté.\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x10\x0EE003_イル\nJe suis désolé. Je sais que tu détestes lorsque\nje parle en ces termes.\x0E\x04\x02\x00
MID_ED1_#040	Nel est beaucoup plus forte que moi.\nElle peut tenir tête à n'importe quel adversaire...\nquand elle ne doit pas me protéger.\x0E\x04\x02\x00
MID_ED1_#041	Je suppose qu'elle n'aurait jamais besoin\nde fuir, si ce n'était à cause de moi.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x10\x0EE003_エル\nTu as tort. J'ai fui tout autant que vous autres.\x0E\x04\x00\x00
MID_ED1_#043	\x0E\x03\x02\x10\x0EE003_イル\nNe dis pas de bêtises. Je ne t'ai jamais vue\nfuir devant le danger.\x0E\x04\x00\x00
MID_ED1_#044	\x0E\x03\x02\x10\x0EE003_エル\nJ'ai fui devant mes responsabilités.\x0E\x04\x02\x00
MID_ED1_#045	J'aurais dû empêcher les familles royales\nde ramener leurs bracelets respectifs\ndans les quatre nations.\x0E\x04\x00\x00
MID_ED1_#046	\x0E\x03\x02\x10\x0EE003_イル\nTu as respecté leur souhait. Tu disais toi-même\nque c'était ce que le Dragon divin aurait voulu.\x0E\x04\x00\x00
MID_ED1_#047	\x0E\x03\x02\x10\x0EE003_エル\nJe n'ai dit cela que pour masquer mes propres\ncraintes.\x0E\x04\x02\x00
MID_ED1_#048	Je craignais qu'ils rejettent ma requête.\nQue je perde le soutien de nos alliés.\x0E\x04\x02\x00
MID_ED1_#049	Et que je me voie forcée de les affronter\ndans l'enceinte du château de Lythos.\x0E\x04\x00\x00
MID_ED1_#050	\x0E\x03\x02\x10\x0EE003_イル\nJ'ignorais tout cela...\x0E\x04\x00\x00
MID_ED1_#051	\x0E\x03\x02\x10\x0EE003_エル\nJ'ai donc fui, moi aussi, devant l'adversité, alors\nque j'aurais pu mettre un terme au chaos.\x0E\x04\x02\x00
MID_ED1_#052	C'est la raison pour laquelle je n'ai pu me\nrésoudre à quitter Lythos avant l'arrivée\nde notre sauveu\x0E\x0A\x00\x0A\x02r\x04se.\x0E\x04\x02\x00
MID_ED1_#053	Peut-être que mes choix sont, en somme,\nresponsables de l'état actuel des choses.\x0E\x04\x00\x00
MID_ED1_#054	\x0E\x03\x02\x10\x0EE003_イル\nNe dis pas cela. Tu n'as rien fait de mal.\x0E\x04\x00\x00
MID_ED1_#055	\x0E\x03\x02\x18\x16E003_セレスティア\nJe suis d'accord. Notre mystérieux adversaire\nporte l'entière responsabilité de ce qui arrive.\x0E\x04\x00\x00
MID_ED1_#056	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nJe n'aurais jamais imaginé que vous puissiez\nfuir vous aussi, Dame Nel. Vous qui paraissez\ntoujours si forte.\x0E\x04\x02\x00
MID_ED1_#057	Enfin, malgré nos faiblesses, nous sommes tous\nen vie. Ce n'est pas négligeable.\x0E\x04\x00\x00
MID_ED1_#058	\x0E\x03\x02\x10\x0EE003_エル\nMalgré sa force, notre Dragon divin a péri.\x0E\x04\x00\x00
MID_ED1_#059	\x0E\x03\x02\x0A\x08リュール\nNel...\x0E\x04\x00\x00
MID_ED1_#060	\x0E\x03\x02\x10\x0EE003_イル\nAssez d'apitoiements, nous devons garder\nnotre moral au plus haut... pour nous et pour\nce Dragon divin !\x0E\x04\x02\x00
MID_ED1_#061	Les choses sont différentes, à présent. Chacun\nd'entre nous a prouvé sa valeur au combat.\x0E\x04\x02\x00
MID_ED1_#062	Et cela est en grande partie grâce à vous.\nVotre présence à nos côtés est une véritable\nbénédiction.\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nC'est vrai.\x0E\x04\x00\x00
MID_ED1_#064	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nOui, votre aide nous a été vitale.\x0E\x04\x00\x00
MID_ED1_#065	\x0E\x03\x02\x10\x0EE003_エル\nJe vous suis également reconnaissante\npour votre assistance.\x0E\x04\x02\x00
MID_ED1_#066	Jusqu'à maintenant, du moins.\x0E\x04\x00\x00
MID_ED1_#067	\x0E\x03\x02\x0A\x08リュール\nJe m'attendais bien à un « mais »...\x0E\x04\x02\x00
MID_ED1_#068	Cela étant dit, j'apprécie votre sincérité.\nEt je me réjouis de pouvoir vous aider.\x0E\x04\x00\x00
MID_ED1_#069	\x0E\x03\x02\x10\x0EE003_イル\nIl nous reste encore beaucoup à faire avant\nde pouvoir crier victoire.\x0E\x04\x00\x00
MID_ED1_#070	\x0E\x03\x02\x0A\x08リュール\nQuelle est notre prochaine destination ?\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x10\x0EE003_エル\nLe royaume de la sagesse, à l'ouest.\nElusia.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x1E\x18デモ用_邪竜のきょうだい\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nRegardez, voici Nel. La fierté de sa lignée.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nElle peut non seulement se transformer, mais\naussi endormir les Emblèmes. Pas vrai, Nel ?\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nÇa ne doit pas être facile, d'avoir ce raté\npour frère.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x06\x04エル\nTu parles de Nil ?\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nOh, ce raté a un nom ?\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nOn ne doit pas l'utiliser souvent.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nTu n'as pas peur que sa faiblesse déteigne\nsur toi ?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nOn pourrait s'en débarrasser pour toi.\nCe ne serait pas difficile.\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nCe n'est qu'un fardeau pour toi.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nTu n'es pas d'accord, Nel ?\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nAlors, Nel, qu'en dis-tu ?\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x02\x00
MID_ED2_#013	Vous n'êtes pas sérieux.\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nHein ?\x0E\x04\x00\x00
MID_ED2_#015	\x0E\x03\x02\x06\x04エル\nJ'espère que vous n'êtes pas sérieux.\x0E\x04\x02\x00
