MSID_Hp_5	PV +5
MSID_H_LeafEngage_Fly	Si l'ennemi initie le combat, l'unité\nrépond avec la meilleure arme\ndisponible (portée, avantage des\narmes, efficacité, etc).\nVolant : Rés +5 pendant ce combat.
MSID_LeafEngageAtk	Quadruple coup
MSID_H_LeafEngageAtk	Permet d'attaquer avec l'épée,\nla lance, la hache et l'arc, à raison\nd'1 coup par arme.
MSID_H_LeafEngageAtk_Dragon	Permet d'attaquer avec l'épée,\nla lance, la hache et l'arc, à raison\nd'1 coup par arme.\nDragon : +20 % de dégâts.
MSID_H_LeafEngageAtk_Covert	Permet d'attaquer avec l'épée,\nla lance, la hache et l'arc, à raison\nd'1 coup par arme.\nFurtif : les ennemis peuvent faire\ntomber 1 000 écus, selon Cha.
MSID_H_LeafEngageAtk_Prana	Permet d'attaquer avec l'épée,\nla lance, la hache et l'arc, à raison\nd'1 coup par arme.\nAdepte qi : brise la garde\nde l'ennemi.
MSID_H_LeafEngageAtk_CMD	Attaquez avec quatre armes.
MSID_BondPower	Attaque combinée
MSID_H_BondPower	L'unité participe à des attaques\nenchaînées à l'instar d'une unité\nde soutien.
MSID_DualAssist_1	Assistance double
MSID_H_DualAssist_1	Si l'unité peut effectuer une attaque\nenchaînée, elle est susceptible de le\nfaire quand des alliés attaquent des\nennemis dans une zone qu'elle peut\natteindre. Probabilité : 35 %.
MSID_DualAssist_2	Assistance double +
MSID_H_DualAssist_2	Si l'unité peut effectuer une attaque\nenchaînée, elle est susceptible de le\nfaire quand des alliés attaquent des\nennemis dans une zone qu'elle peut\natteindre. Probabilité : 70 %.
MSID_DualSupport	Acolyte
MSID_H_DualSupport	Confère un bonus d'Esq qui\naugmente selon le niveau de soutien\nqu'a l'unité avec ses alliés adjacents.\n(+90 max)
MSID_LucinaEngage	Bouclier du lien
MSID_H_LucinaEngage_CMD	Peut empêcher les attaques initiales sur\nles alliés adjacents. Probabilité : 80 %.
MSID_H_LucinaEngage_CMD_Dragon	Peut empêcher les attaques initiales sur\nles alliés adjacents. Probabilité : 90 %.
MSID_H_LucinaEngage_CMD_Prana	Empêche les attaques initiales\nsur les alliés adjacents.
MSID_H_LucinaEngage	Empêche les attaques initiales sur\nles alliés adjacents jusqu'à votre\nprochain tour. Probabilité : 80 %.
MSID_H_LucinaEngage_Dragon	Empêche les attaques initiales sur\nles alliés adjacents jusqu'à votre\nprochain tour. Probabilité : 80 %.\nDragon : probabilité augmentée\nde 10 %.
MSID_H_LucinaEngage_Horse	Empêche les attaques initiales sur\nles alliés adjacents jusqu'à votre\nprochain tour. Probabilité : 80 %.\nCavalerie : probabilité de 100 %\npour un allié cavalier.
MSID_H_LucinaEngage_Heavy	Empêche les attaques initiales sur\nles alliés adjacents jusqu'à votre\nprochain tour. Probabilité : 80 %.\nCuirassé : probabilité de 100 %\npour un allié cuirassé.
MSID_H_LucinaEngage_Fly	Empêche les attaques initiales sur\nles alliés adjacents jusqu'à votre\nprochain tour. Probabilité : 80 %.\nVolant : probabilité de 100 %\npour un allié volant.
MSID_H_LucinaEngage_Prana	Empêche les attaques initiales sur\nles alliés adjacents jusqu'à votre\nprochain tour. Probabilité : 80 %.\nAdepte qi : probabilité de 100 %.
MSID_LucinaEngageAtk	Tous pour un
MSID_H_LucinaEngageAtk	Permet d'attaquer à l'épée 1 ennemi\nadjacent. Tous les alliés situés à 2\ncases max lancent une attaque\nenchaînée.
MSID_H_LucinaEngageAtk_Dragon	Permet d'attaquer à l'épée 1 ennemi\nadjacent. Tous les alliés situés à 2\ncases max lancent une attaque\nenchaînée. Dragon : succès garanti\ndes attaques enchaînées.
MSID_H_LucinaEngageAtk_Coop	Permet d'attaquer à l'épée 1 ennemi\nadjacent. Tous les alliés situés à 2\ncases max lancent une attaque\nenchaînée. Soutien : portée +1.
MSID_H_LucinaEngageAtk_CMD	Tous les alliés proches lancent\nune attaque enchaînée.
MSID_Pursuit_1	Alacrité
MSID_H_Pursuit_1	Si l'unité initie le combat avec un\navantage de Vit d'au moins 9, sa\ndouble frappe (si elle est possible)\nse produit avant que l'ennemi ne\npuisse contre-attaquer.
MSID_Pursuit_2	Alacrité +
MSID_H_Pursuit_2	Si l'unité initie le combat avec un\navantage de Vit d'au moins 7, sa\ndouble frappe (si elle est possible)\nse produit avant que l'ennemi ne\npuisse contre-attaquer.
MSID_Pursuit_3	Alacrité ++
MSID_H_Pursuit_3	Si l'unité initie le combat avec un\navantage de Vit d'au moins 5, sa\ndouble frappe (si elle est possible)\nse produit avant que l'ennemi ne\npuisse contre-attaquer.
MSID_SpeedAbsorption	Vole-Vitesse
MSID_H_SpeedAbsorption	Confère Vit +2 cumulable\nchaque fois que l'unité initie\nle combat et bat un ennemi\n(+10 max et dure jusqu'à la fin\nde la bataille).
MSID_LinEngage	Double recours
MSID_H_LinEngage	Permet de créer quatre doubles\nspectraux qui peuvent effectuer des\nattaques enchaînées avec l'unité.
MSID_H_LinEngage_Dragon	Permet de créer quatre doubles\nspectraux qui peuvent effectuer des\nattaques enchaînées avec l'unité.\nDragon : 1 double supplémentaire.
MSID_H_LinEngage_Fly	Permet de créer quatre doubles\nspectraux qui peuvent effectuer\ndes attaques enchaînées avec l'unité.\nVolant : Esq +10 pour les doubles.
MSID_H_LinEngage_CMD	Invoquez des doubles lançant\ndes attaques enchaînées.
MSID_LinEngage_Delete_CMD	Renvoi doubles
MSID_H_LinEngage_Delete_CMD	Renvoyez les doubles.
MSID_LinEngageAtk	Tempête astra
MSID_H_LinEngageAtk	Permet d'effectuer 5 attaques à\nl'arc à 30 % de dégâts, avec une\nportée maximale de 10.
MSID_H_LinEngageAtk_Dragon	Permet d'effectuer 5 attaques à\nl'arc à 30 % de dégâts, avec une\nportée maximale de 10.\nDragon : portée +5.
MSID_H_LinEngageAtk_Covert	Permet d'effectuer 5 attaques à\nl'arc à 30 % de dégâts, avec une\nportée maximale de 10.\nFurtif : portée +10.
MSID_H_LinEngageAtk_Prana	Permet d'effectuer 5 attaques à\nl'arc à 30 % de dégâts, avec une\nportée maximale de 10.\nAdepte qi : brise la garde de la cible.
MSID_H_LinEngageAtk_CMD	Tirez à l'arc à très\nlongue distance.
MSID_H_LinEngageAtk_Weak	Permet d'effectuer 5 attaques à\nl'arc à 20 % de dégâts, avec une\nportée maximale de 10.
MSID_H_LinEngageAtk_DarkSide_Prana	Permet d'effectuer 5 attaques à\nl'arc à 20 % de dégâts, avec une\nportée maximale de 10. Adepte qi :\nbrise la garde de la cible.
MSID_Ravage	Démolition
MSID_H_Ravage	Permet de casser d'un seul\ncoup un terrain destructible\nen utilisant Destruction.
MSID_PullBack	Pivot
MSID_H_PullBack	Permet de déplacer un allié adjacent\nde l'autre côté de l'unité.
MSID_H_PullBack_CMD	Déplacez un allié adjacent.
MSID_Anger	Courroux
MSID_H_Anger	Au début du combat, confère\nCrit +1 pour chaque PV perdu\n(+30 max).
MSID_BraveGeneral_1	Bravoure
MSID_H_BraveGeneral_1	Confère Déf/Rés +5 tant que les PV\nde l'unité sont à 75 % ou moins.
MSID_BraveGeneral_2	Bravoure +
MSID_H_BraveGeneral_2	Confère Déf/Rés +7 tant que les PV\nde l'unité sont à 75 % ou moins.
MSID_IkeEngage	Ami des Laguz
MSID_H_IkeEngage	L'unité subit 50 % de dégâts en\nmoins mais son Esq tombe à 0.
MSID_H_IkeEngage_Dragon	L'unité subit 50 % de dégâts en\nmoins mais son Esq tombe à 0.\nDragon : -10 % de dégâts\nsupplémentaires.
MSID_IkeEngageAtk	Grand Éther
MSID_H_IkeEngageAtk	Déf/Rés +5, mais pas de contre sur\n1 tour. Au suivant, attaque sur 2\ncases et convertit 30 % des dégâts\nen PV. Réservé aux haches/épées.
MSID_H_IkeEngageAtk_Dragon	Déf/Rés +5, mais pas de contre sur\n1 tour. Au suivant, attaque sur 2\ncases et convertit 30 % des dégâts\nen PV. Réservé aux haches/épées.\nDragon : dégâts +1 par coup subi.
MSID_H_IkeEngageAtk_Heavy	Déf/Rés +5, mais pas de contre sur\n1 tour. Au suivant, attaque sur 2\ncases et convertit 30 % des dégâts\nen PV. Réservé aux haches/épées.\nCuirassé : Déf +5 supplémentaire.
MSID_H_IkeEngageAtk_Fly	Déf/Rés +5, mais pas de contre sur\n1 tour. Au suivant, attaque sur 2\ncases et convertit 30 % des dégâts\nen PV. Réservé aux haches/épées.\nVolant : Rés +5 supplémentaire.
MSID_H_IkeEngageAtk_CMD	Subissez pour mieux lancer\nune attaque de zone ensuite.
MSID_HeavenBeat_1	Impulsion Divine
MSID_H_HeavenBeat_1	Peut transformer une attaque\nmanquée en attaque réussie.\nProbabilité : 30 %, augmentant\navec la Cha.
MSID_HeavenBeat_2	Impulsion Divine +
MSID_H_HeavenBeat_2	Peut transformer une attaque\nmanquée en attaque réussie.\nProbabilité : 50 %, augmentant\navec la Cha.
MSID_TeacherGuidance	Conseils de professeur
MSID_H_TeacherGuidance	Confère 1,2x plus d'Exp à l'unité\net à ses alliés adjacents.
MSID_PickUp	Objet trouvé
MSID_H_PickUp	En finissant son tour près d'un\nallié, l'unité peut trouver un objet et\naugmenter son niveau de soutien.\nProbabilité : Cha en %.
MSID_PickUp_Message	\x0E\x01\x00\x00 avait perdu un objet\nqui lui a été restitué.
MSID_BylethEngage	Tutorat
MSID_H_BylethEngage	Permet d'accorder aux alliés situés\nà 2 cases max un bonus de\ncaractéristiques selon le type de\nl'utilisateur, qui dure pendant 1 tour.
MSID_H_BylethEngage_Dragon	Accorde aux alliés situés à 2 cases\nmax un bonus de caractéristiques\nselon le type de l'utilisateur, qui dure\npendant 1 tour. Dragon : +3 aux\n7 caractéristiques de base.
MSID_BylethEngage_Dragon_CMD	Tutorat général
MSID_H_BylethEngage_Dragon_CMD	+3 à toutes les caractéristiques\ndes alliés proches.
MSID_H_BylethEngage_Coop	Permet d'accorder aux alliés situés\nà 2 cases max un bonus de\ncaractéristiques selon le type de\nl'utilisateur, qui dure pendant 1 tour.\nSoutien : Frc +4.
MSID_BylethEngage_Coop_CMD	Tutorat de Force
MSID_H_BylethEngage_Coop_CMD	Conférez Frc +4 aux alliés\nproches.
MSID_H_BylethEngage_Horse	Permet d'accorder aux alliés situés\nà 2 cases max un bonus de\ncaractéristiques selon le type de\nl'utilisateur, qui dure pendant 1 tour.\nCavalerie : Tec +10.
MSID_BylethEngage_Horse_CMD	Tutorat de Technique
MSID_H_BylethEngage_Horse_CMD	Conférez Tec +10 aux alliés proches.
MSID_H_BylethEngage_Covert	Permet d'accorder aux alliés situés\nà 2 cases max un bonus de\ncaractéristiques selon le type de\nl'utilisateur, qui dure pendant 1 tour.\nFurtif : Vit +5.
MSID_BylethEngage_Covert_CMD	Tutorat de Vitesse
MSID_H_BylethEngage_Covert_CMD	Conférez Vit +5 aux alliés\nproches.
MSID_H_BylethEngage_Heavy	Permet d'accorder aux alliés situés\nà 2 cases max un bonus de\ncaractéristiques selon le type de\nl'utilisateur, qui dure pendant 1 tour.\nCuirassé : Déf +5.
MSID_BylethEngage_Heavy_CMD	Tutorat de Défense
MSID_H_BylethEngage_Heavy_CMD	Conférez Déf +5 aux alliés\nproches.
MSID_H_BylethEngage_Fly	Permet d'accorder aux alliés situés\nà 2 cases max un bonus de\ncaractéristiques selon le type de\nl'utilisateur, qui dure pendant 1 tour.\nVolant : Rés +5.
MSID_BylethEngage_Fly_CMD	Tutorat de Résistance
MSID_H_BylethEngage_Fly_CMD	Conférez Rés +5 aux alliés\nproches.
MSID_H_BylethEngage_Magic	Permet d'accorder aux alliés situés\nà 2 cases max un bonus de\ncaractéristiques selon le type de\nl'utilisateur, qui dure pendant 1 tour.\nMystique : Mag +4.
MSID_BylethEngage_Magic_CMD	Tutorat de Magie
MSID_H_BylethEngage_Magic_CMD	Conférez Mag +4 aux alliés\nproches.
MSID_H_BylethEngage_Prana	Permet d'accorder aux alliés situés\nà 2 cases max un bonus de\ncaractéristiques selon le type de\nl'utilisateur, qui dure pendant 1 tour.\nAdepte qi : Cha +10.
MSID_BylethEngage_Prana_CMD	Tutorat de Chance
MSID_H_BylethEngage_Prana_CMD	Conférez Cha +10 aux alliés\nproches.
MSID_BylethEngageAtk	Danse de la Déesse
MSID_H_BylethEngageAtk	Permet d'accorder une autre action\nà tous les alliés adjacents.
MSID_H_BylethEngageAtk_Dragon	Permet d'accorder une autre action\nà tous les alliés adjacents.\nDragon : confère aux cibles +3\naux 7 caractéristiques de base\npendant 1 tour.
MSID_H_BylethEngageAtk_Coop	Permet d'accorder une autre action\nà tous les alliés adjacents.\nSoutien : confère aux cibles\nFrc +4 pendant 1 tour.
MSID_H_BylethEngageAtk_Horse	Permet d'accorder une autre action\nà tous les alliés adjacents.\nCavalerie : confère aux cibles\nTec +10 pendant 1 tour.
MSID_H_BylethEngageAtk_Covert	Permet d'accorder une autre action\nà tous les alliés adjacents.\nFurtif : confère aux cibles\nVit +5 pendant 1 tour.
MSID_H_BylethEngageAtk_Heavy	Permet d'accorder une autre action\nà tous les alliés adjacents.\nCuirassé : confère aux cibles\nDéf +5 pendant 1 tour.
MSID_H_BylethEngageAtk_Fly	Permet d'accorder une autre action\nà tous les alliés adjacents.\nVolant : confère aux cibles\nRés +5 pendant 1 tour.
MSID_H_BylethEngageAtk_Magic	Permet d'accorder une autre action\nà tous les alliés adjacents.\nMystique : confère aux cibles\nMag +4 pendant 1 tour.
MSID_H_BylethEngageAtk_Prana	Permet d'accorder une autre action\nà tous les alliés adjacents.\nAdepte qi : confère aux cibles\nCha +10 pendant 1 tour.
MSID_H_BylethEngageAtk_CMD	Octroyez une action de plus\naux alliés adjacents.
MSID_M014_BylethEngageAtk_DarkSide	Danse démoniaque
MSID_H_M014_BylethEngageAtk_DarkSide	Permet d'accorder une autre action\naux alliés situés à 2 cases max.
MSID_DragonPulse	Veine dragunaire
MSID_H_DragonPulse	Permet d'ajouter un effet spécial\nà certaines cases.
MSID_H_DragonPulse_CMD	Ajoutez un effet à une zone.
MSID_H_DragonPulse_Dragon	Permet d'ajouter un effet spécial\nà certaines cases (soins, bonus,\nhandicap de terrain, etc).\nDragon : choisit n'importe quel\neffet de Veine dragunaire.
MSID_DragonPulse_DefUp	Veine de pierre
MSID_H_DragonPulse_DefUp	Crée des piliers de pierre qui\naugmentent la Déf/Rés.
MSID_H_DragonPulse_Coop	Permet d'ajouter un effet spécial\nà certaines cases.\nSoutien : crée des piliers de pierre\nqui augmentent la Déf/Rés.
MSID_DragonPulse_AvoDown	Veine d'eau
MSID_H_DragonPulse_AvoDown	Crée de l'eau qui fait diminuer\nl'Esq.
MSID_H_DragonPulse_Horse	Permet d'ajouter un effet spécial\nà certaines cases.\nCavalerie : crée de l'eau qui fait\ndiminuer l'Esq.
MSID_DragonPulse_AvoUp	Veine de brouillard
MSID_H_DragonPulse_AvoUp	Crée un brouillard qui augmente\nl'Esq.
MSID_H_DragonPulse_Covert	Permet d'ajouter un effet spécial\nà certaines cases.\nFurtif : crée un brouillard qui\naugmente l'Esq.
MSID_DragonPulse_NotBreak	Veine de lianes
MSID_H_DragonPulse_NotBreak	Crée des lianes qui immunisent\nl'unité face au brise-garde.
MSID_H_DragonPulse_Heavy	Permet d'ajouter un effet spécial\nà certaines cases.\nCuirassé : crée des lianes qui\nimmunisent l'unité face au\nbrise-garde.
MSID_DragonPulse_Heal	Veine de soins
MSID_H_DragonPulse_Heal	Crée une aura qui restitue des PV.
MSID_H_DragonPulse_Fly	Permet d'ajouter un effet spécial\nà certaines cases.\nVolant : crée une aura qui restitue\ndes PV.
MSID_DragonPulse_Damage	Veine de flammes
MSID_H_DragonPulse_Damage	Crée des flammes qui infligent des\ndégâts.
MSID_H_DragonPulse_Magic	Permet d'ajouter un effet spécial\nà certaines cases.\nMystique : crée des flammes qui\ninfligent des dégâts.
MSID_DragonPulse_Block	Veine de glace
MSID_H_DragonPulse_Block	Crée des piliers de glace qui\nentravent les mouvements.
MSID_H_DragonPulse_Prana	Permet d'ajouter un effet spécial\nà certaines cases.\nAdepte qi : crée des piliers de glace\nqui entravent les mouvements.
MSID_DragonCurse	Aura dragunaire
MSID_H_DragonCurse	Après le combat, inflige -4 aux\ncaractéristiques de base de l'ennemi\nsi l'unité initie le combat (pénalité\nréduite de 1 à chaque tour).
MSID_DefenseStyle	Duo
MSID_H_DefenseStyle	Annule les dégâts des attaques\nenchaînées contre l'unité.
MSID_PhysicalContact_1	En tête-à-tête
MSID_H_PhysicalContact_1	Si l'unité agit ou attend, restaure\n5 PV aux alliés adjacents et améliore\nlégèrement leur soutien avec l'unité.
MSID_PhysicalContact_2	En tête-à-tête +
MSID_H_PhysicalContact_2	Si l'unité agit ou attend, restaure\n10 PV aux alliés adjacents et\naméliore légèrement leur soutien\navec l'unité.
MSID_KamuiEngage	Aura effroyable
MSID_H_KamuiEngage	Si l'unité initie le combat, la cible et\nles ennemis qui lui sont adjacents\nne peuvent pas se déplacer pendant\n1 tour après le combat.
MSID_H_KamuiEngage_Covert	Si l'unité initie le combat, la cible et\nles ennemis qui lui sont adjacents ne\npeuvent pas se déplacer pendant 1\ntour après le combat. Furtif : l'Esq\nde la cible diminue de 20.
MSID_KamuiEngageAtk	Rugissement torrentiel
MSID_H_KamuiEngageAtk	Permet d'attaquer sur 3 cases\nalignées et de les transformer\nen eau.
MSID_H_KamuiEngageAtk_Dragon	Permet d'attaquer sur 3 cases\nalignées et de les transformer\nen eau.\nDragon : portée +1
MSID_H_KamuiEngageAtk_CMD	Attaquez et inondez une zone.
MSID_God_Change_CMD	Nuit et jour
MSID_H_God_Change	Permet d'échanger les Emblèmes et\nd'inverser Bracelet lunaire/Noblesse\navec Bracelet solaire/Courage chez\ntous les alliés.
MSID_H_God_Change_CMD	Échangez les Emblèmes.
MSID_MoonBracelet_1	Bracelet lunaire
MSID_H_MoonBracelet_1	Si l'unité initie le combat par une\nattaque physique, elle inflige des\ndégâts supplémentaires à hauteur\nde 20 % de la Déf de l'ennemi.
MSID_MoonBracelet_2	Bracelet lunaire +
MSID_H_MoonBracelet_2	Si l'unité initie le combat par une\nattaque physique, elle inflige des\ndégâts supplémentaires à hauteur\nde 30 % de la Déf de l'ennemi.
MSID_SunBracelet_1	Bracelet solaire
MSID_H_SunBracelet_1	Si l'unité initie le combat, elle\nrécupère 30 % des dégâts qu'elle\ninflige en PV.
MSID_SunBracelet_2	Bracelet solaire +
MSID_H_SunBracelet_2	Si l'unité initie le combat, elle\nrécupère 50 % des dégâts qu'elle\ninflige en PV.
MSID_SunMoonBracelet_1	Bracelet d'éclipse
MSID_H_SunMoonBracelet_1	Si l'unité initie le combat, ses\nattaques physiques infligent des\ndégâts suppl. à hauteur de 20 % de\nla Déf de l'ennemi et elle récupère\nen PV 30 % des dégâts infligés.
MSID_SunMoonBracelet_2	Bracelet d'éclipse +
MSID_H_SunMoonBracelet_2	Si l'unité initie le combat, ses\nattaques physiques infligent des\ndégâts suppl. à hauteur de 30 % de\nla Déf de l'ennemi et elle récupère\nen PV 50 % des dégâts infligés.
MSID_GentleWind_1	Noblesse
MSID_H_GentleWind_1	L'unité subit -3 points de dégâts.
MSID_GentleWind_2	Noblesse +
MSID_H_GentleWind_2	L'unité subit -5 points de dégâts.
MSID_BraveSky_1	Courage
MSID_H_BraveSky_1	L'unité inflige +3 points de dégâts.
MSID_BraveSky_2	Courage +
MSID_H_BraveSky_2	L'unité inflige +5 points de dégâts.
MSID_Azure_1	Cieux azurés
MSID_H_Azure_1	L'unité subit -3 points de dégâts\net inflige +3 points de dégâts.
MSID_Azure_2	Cieux azurés +
MSID_H_Azure_2	L'unité subit -5 points de dégâts\net inflige +5 points de dégâts.
MSID_EirikEngage	Jumeaux sacrés
MSID_H_EirikEngage	Pendant la fusion avec Eirika,\nBracelet lunaire devient Bracelet\nd'éclipse et Noblesse devient Cieux\nazurés pour tous les alliés.
MSID_EirikEngageAtk	Frappe jumelle
MSID_H_EirikEngageAtk	Permet de porter un coup à l'épée,\nsuivi par un coup de lance d'Ephraim\nsur un ennemi adjacent. Efficace\ncontre les Aberrations.
MSID_H_EirikEngageAtk_Dragon	Permet de porter un coup à l'épée,\nsuivi par un coup de lance d'Ephraim\nsur un ennemi adjacent. Efficace\ncontre les Aberrations.\nDragon : +20 % de dégâts.
MSID_H_EirikEngageAtk_Horse	Permet de porter un coup à l'épée,\nsuivi par un coup de lance d'Ephraim\nsur un ennemi adjacent. Efficace\ncontre les Aberrations. Cavalerie :\nEphraim inflige +50 % de dégâts.
MSID_H_EirikEngageAtk_CMD	Attaquez avec Ephraim.
MSID_EvilDragonSpecialEffect	Aura sacrée
MSID_H_EvilDragonSpecialEffect	L'unité est efficace contre les\nDragons déchus. Les alliés à deux\ncases max qui sont efficaces contre\nles dragons sont également efficaces\ncontre les Dragons déchus.
MSID_GodDragonProtection	Bouclier sacré
MSID_H_GodDragonProtection	Neutralise l'efficacité contre l'unité.
MSID_ConnectPerson_1	Création de lien
MSID_H_ConnectPerson_1	Confère Prc/Esq +20 aux unités\net alliés à 2 cases max qui sont\nengagés avec un Emblème ou en\nfusion avec lui.
MSID_ConnectPerson_2	Création de lien +
MSID_H_ConnectPerson_2	Confère Prc/Esq +30 aux unités\net alliés à 2 cases max qui sont\nengagés avec un Emblème ou en\nfusion avec lui.
MSID_BlessingOfEleos	Bénédiction d'Elyos
MSID_H_BlessingOfEleos	Si l'unité initie le combat, confère\nun bonus de Crit et d'Évit égal au\ndouble du nombre d'alliés ayant\nagi durant le tour.
MSID_LueurEngage	Accord parfait
MSID_H_LueurEngage	Si l'unité initie le combat et élimine\nl'ennemi, le partenaire de fusion\nreçoit +4 à ses 7 caractéristiques\nde base.
MSID_H_LueurEngage_Dragon	Si l'unité initie le combat et élimine\nl'ennemi, le partenaire de fusion\nreçoit +4 à ses 7 caractéristiques\nde base. Dragon : +1 supplémentaire\naux 7 caractéristiques de base.
MSID_H_LueurEngage_Coop	Si l'unité initie le combat et élimine\nl'ennemi, le partenaire de fusion\nreçoit +4 à ses 7 caractéristiques de\nbase. Soutien : +2 supplémentaires\nà la Frc.
MSID_H_LueurEngage_Horse	Si l'unité initie le combat et élimine\nl'ennemi, le partenaire de fusion\nreçoit +4 à ses 7 caractéristiques de\nbase. Cavalerie : +2 supplémentaires\nà la Tec.
MSID_H_LueurEngage_Covert	Si l'unité initie le combat et élimine\nl'ennemi, le partenaire de fusion\nreçoit +4 à ses 7 caractéristiques de\nbase. Furtif : +2 supplémentaires\nà la Vit.
MSID_H_LueurEngage_Heavy	Si l'unité initie le combat et élimine\nl'ennemi, le partenaire de fusion\nreçoit +4 à ses 7 caractéristiques de\nbase. Cuirassé : +2 supplémentaires\nà la Déf.
MSID_H_LueurEngage_Fly	Si l'unité initie le combat et élimine\nl'ennemi, le partenaire de fusion\nreçoit +4 à ses 7 caractéristiques de\nbase. Volant : +2 supplémentaires\nà la Rés.
MSID_H_LueurEngage_Magic	Si l'unité initie le combat et élimine\nl'ennemi, le partenaire de fusion\nreçoit +4 à ses 7 caractéristiques de\nbase. Mystique : +2 supplémentaires\nà la Mag.
MSID_H_LueurEngage_Prana	Si l'unité initie le combat et élimine\nl'ennemi, le partenaire de fusion\nreçoit +4 à ses 7 caractéristiques de\nbase. Adepte qi : +2 supplémentaires\nà la Cha.
MSID_LueurEngageAtk	Explosion draconique
MSID_H_LueurEngageAtk	Permet d'effectuer une attaque\nà l'épée combinée à un rayon\nmagique puissant contre un ennemi\nadjacent.
MSID_H_LueurEngageAtk_Dragon	Permet d'effectuer une attaque\nà l'épée combinée à un rayon\nmagique puissant contre un ennemi\nadjacent.\nDragon : +20 % de dégâts.
MSID_H_LueurEngageAtk_Coop	Permet d'effectuer une attaque\nà l'épée combinée à un rayon\nmagique puissant contre un ennemi\nadjacent. Soutien : attaque à l'épée\naméliorée de 20 % de Frc.
MSID_H_LueurEngageAtk_Magic	Permet d'effectuer une attaque\nà l'épée combinée à un rayon\nmagique puissant contre un ennemi\nadjacent. Mystique : attaque du\nrayon améliorée de 20 % de Mag.
MSID_H_LueurEngageAtk_Prana	Permet d'effectuer une attaque\nà l'épée combinée d'un rayon\nmagique puissant contre un ennemi\nadjacent. Adepte qi : brise la garde\nde l'ennemi.
MSID_H_LueurEngageAtk_CMD	Lancez une attaque combinée\népée/magie.
MSID_LueurEngageAtk_p	Explosion de lien
MSID_H_LueurEngageAtk_p	Permet à l'unité et à un partenaire\nde fusion de lancer une attaque à\nl'épée suivie d'un rayon magique\nsur un ennemi adjacent.
MSID_H_LueurEngageAtk_p_Dragon	Permet à l'unité et à un partenaire\nde fusion de lancer une attaque à\nl'épée suivie d'un rayon magique\nsur un ennemi adjacent.\nDragon : +20 % de dégâts.
MSID_H_LueurEngageAtk_p_Coop	Permet à l'unité et à un partenaire\nde fusion de lancer une attaque à\nl'épée suivie d'un rayon magique\nsur un ennemi adjacent.\nSoutien : + 20 % de Frc à l'épée.
MSID_H_LueurEngageAtk_p_Magic	Permet à l'unité et à un partenaire\nde fusion de lancer une attaque à\nl'épée suivie d'un rayon magique\nsur un ennemi adjacent. Mystique :\n+20 % de Mag pour le rayon.
MSID_H_LueurEngageAtk_p_Prana	Permet à l'unité et à un partenaire\nde fusion de lancer une attaque à\nl'épée suivie d'un rayon magique\nsur un ennemi adjacent. Adepte qi :\nbrise la garde de l'ennemi.
MSID_H_LueurEngageAtk_p_CMD	Effectuez une attaque avec\nun partenaire de fusion.
MSID_PrivateSkill_Lueur	Inspiration divine
MSID_H_PrivateSkill_Lueur	Les alliés adjacents infligent +3\npoints de dégâts et subissent -1\npoint de dégâts.
MSID_PrivateSkill_Vandre	Devoir albâtre
MSID_H_PrivateSkill_Vandre	Confère Crit +5 à l'unité et au\nDragon divin pendant le combat\nsi tous deux sont adjacents.
MSID_PrivateSkill_Clan	Foi émeraude
MSID_H_PrivateSkill_Clan	Confère Prc +10 à l'unité et au\nDragon divin pendant le combat\nsi tous deux sont adjacents.
MSID_PrivateSkill_Fran	Soutien écarlate
MSID_H_PrivateSkill_Fran	Confère Esq +10 à l'unité et au\nDragon divin pendant le combat\nsi tous deux sont adjacents.
MSID_PrivateSkill_Alfred	Dépassement de soi
MSID_H_PrivateSkill_Alfred	Confère Frc +2 pendant 1 tour si\nl'unité n'agit pas et utilise l'option\nAttendre.
MSID_PrivateSkill_Boucheron	Ému aux larmes
MSID_H_PrivateSkill_Boucheron	Quand un allié prend part à une\nattaque enchaînée avec l'unité,\ncelle-ci inflige +2 points de dégâts.
MSID_PrivateSkill_Atie	Regain d'énergie
MSID_H_PrivateSkill_Atie	Confère Frc +2 pendant 1 tour\nquand l'unité récupère des PV\nà l'aide d'un objet de soin.
MSID_PrivateSkill_Celine	Fleur douce
MSID_H_PrivateSkill_Celine	Les objets de soin utilisés par les\nalliés situés à 2 cases max leur\npermettent de récupérer 50 %\nde PV supplémentaires.
MSID_PrivateSkill_Chloe	Conte de fées
MSID_H_PrivateSkill_Chloe	Si un homme et une femme alliés\nsont à 2 cases max de l'unité,\ncelle-ci inflige +2 points de dégâts\npendant le combat.
MSID_PrivateSkill_Louis	Admiration
MSID_H_PrivateSkill_Louis	Si deux alliées sont à 2 cases max\nde l'unité, celle-ci subit -2 points de\ndégâts pendant le combat.
MSID_PrivateSkill_Diamand	Combat loyal
MSID_H_PrivateSkill_Diamand	Si l'unité initie le combat et que\nl'ennemi peut contre-attaquer,\nl'unité et l'ennemi reçoivent\nPrc +15.
MSID_PrivateSkill_Umber	Légende en devenir
MSID_H_PrivateSkill_Umber	Si aucune autre unité n'est à\n1 case de l'unité ou de l'ennemi,\nconfère Prc +20 et inflige\nEsq -10 durant le combat.
MSID_PrivateSkill_Jade	Méditation
