MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x00\x0C\x06マロン\x022\n\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06セピア\nQuoi ?\x0E\x04\x02\x00
MID_ED3_#030	\x0E\x03\x02\x0A\x08リュール\nSeul un Dragon divin pouvait emprisonner\nSombron comme l'a fait Mère.\x0E\x04\x02\x00
MID_ED3_#031	Quel espoir nous reste-t-il désormais de\nsurvivre à cette guerre ?\x0E\x04\x02\x00
MID_ED3_#032	Sans ce pouvoir, nous n'avons aucune chance\nd'arrêter Sombron.\x0E\x04\x00\x00
MID_ED3_#033	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x01\x0A\x08シグルド\n\x0E\x03\x00\x0E\x08シグルド\x021\n\x0E\x03\x02\x0A\x08シグルド\nPourquoi pensez-vous ne pas disposer du\npouvoir des Dragons divins ?\x0E\x04\x00\x00
MID_ED3_#034	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED3_#035	\x0E\x03\x02\x0A\x08シグルド\nVous avez du sang de Dragon déchu, certes...\nMais vous oubliez de quoi vous êtes capable.\x0E\x04\x02\x00
MID_ED3_#036	Repensez au port de Florra, lorsque vous avez\nrécupéré mon anneau et que vous avez\nfait appel à moi.\x0E\x04\x00\x00
MID_ED3_#037	\x0E\x03\x02\x0A\x08リュール\nMais j'ai prononcé une incantation.\x0E\x04\x00\x00
MID_ED3_#038	\x0E\x03\x02\x0A\x08シグルド\nLes Emblèmes invoqués grâce au pouvoir des\nDragons déchus sont incapables de parler.\x0E\x04\x00\x00
MID_ED3_#039	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED3_#040	\x0E\x03\x02\x0A\x08シグルド\nRepensez aux Emblèmes invoqués à l'aide du\npouvoir du Dragon déchu. Pouvaient-ils parler ?\x0E\x04\x00\x00
MID_ED3_#041	\x0E\x03\x02\x0A\x08リュール\nNon... Quand je me suis adressé\x0E\x0A\x00\x06
MID_ED3_#042	\x0E\x03\x00\x10\nヴァンドレ\x024\n\x0E\x03\x02\x0C\nヴァンドレ\nExpliquez-vous, je vous en prie, Messire Sigurd.\x0E\x04\x00\x00
MID_ED3_#043	\x0E\x03\x02\x0A\x08シグルド\nLes incantations des Dragons déchus privent les\nEmblèmes de leur libre arbitre. Ils n'ont alors\nd'autre choix que d'obéir.\x0E\x04\x02\x00
MID_ED3_#044	Avec une prière, l'Emblème garde toute sa\nvolonté, en revanche. Un Dragon divin ne\npourrait souhaiter quoi que ce soit d'autre.\x0E\x04\x02\x00
MID_ED3_#045	Vous utilisez à la fois l'incantation et la prière.\x0E\x04\x02\x00
MID_ED3_#046	\x0E\x03\x02\x0A\x08リュール\nCe qui veut dire... que je possède bien\nle pouvoir des Dragons divins.\x0E\x04\x00\x00
MID_ED3_#047	\x0E\x03\x02\x0A\x08シグルド\nPrécisément.\x0E\x04\x02\x00
MID_ED3_#048	Vos cheveux et vos yeux en sont la preuve\nirréfutable. Jadis, ils étaient simplement\nrouges...\x0E\x04\x02\x00
MID_ED3_#049	Le bleu prouve que Lumera, grâce à l'amour\nqu'elle vous portait, vous a offert le pouvoir\ndes Dragons divins.\x0E\x04\x02\x00
MID_ED3_#050	Lumera a abrégé sa vie pour vous accorder\nle pouvoir de lui succéder comme Dragon divin.\x0E\x04\x00\x00
MID_ED3_#051	\x0E\x03\x02\x0A\x08リュール\nMère...\x0E\x04\x00\x00
MID_ED3_#052	\x0E\x03\x02\x0A\x08シグルド\nNous, les Emblèmes, combattons à vos côtés\nde notre propre initiative.\x0E\x04\x02\x00
MID_ED3_#053	Nous n'avons pu renforcer nos liens avec vous\nque parce que vous possédez le pouvoir des\nDragons divins.\x0E\x04\x02\x00
MID_ED3_#054	Vous avez toujours été pressenti\x0E\x0A\x00\x06
MID_ED3_#055	Souhaitez-vous encore partir maintenant que\nvous avez entendu cela ? Est-ce là toujours\nvotre souhait, \x0E\x06\x03\x00 ?\x0E\x04\x02\x00
MID_ED3_#056	\x0E\x03\x02\x0A\x08リュール\nNon.\x0E\x04\x02\x00
MID_ED3_#057	Je désire rester.\x0E\x04\x02\x00
MID_ED3_#058	Je ne peux changer le fait que je suis l'enfant\nd'un Dragon déchu, je le sais bien.\x0E\x04\x02\x00
MID_ED3_#059	Mais j'aimerais continuer d'être le Dragon\ndivin... si vous le voulez bien.\x0E\x04\x00\x00
MID_ED3_#060	\x0E\x03\x01\x0A\x08シグルド\n\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x02\x0E\x0Cアルフレッド\nÉvidemment !\x0E\x04\x00\x00
MID_ED3_#061	\x0E\x03\x02\x0A\x08リュール\nOh, Alfred...\x0E\x04\x00\x00
MID_ED3_#062	\x0E\x03\x02\x0E\x0Cアルフレッド\nSi au départ, nous sommes venus vers vous car\nnous avions besoin de votre aide, désormais,\nc'est votre personne dont je me soucie.\x0E\x04\x02\x00
MID_ED3_#063	Dragon divin ou déchu, nous avons besoin de\nvous. Alors, ne dites plus jamais que vous allez\npartir, entendu ?\x0E\x04\x00\x00
MID_ED3_#064	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nJamais nous n'en serions là sans votre aide.\nJe vous suivrai où vous irez.\x0E\x04\x02\x00
MID_ED3_#065	Si vous avez ne serait-ce que la moitié de votre\npouvoir, nous compenserons l'autre moitié.\x0E\x04\x00\x00
MID_ED3_#066	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\nCe qui compte, c'est pas d'où vous venez.\nC'est ce que vous faites de votre vie.\x0E\x04\x02\x00
MID_ED3_#067	Si vous choisissez de mener une vie de Dragon\ndivin, c'est que vous en êtes vraiment un !\x0E\x04\x00\x00
MID_ED3_#068	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x02\x0A\x08アイビー\nMa situation est certes compliquée, mais je sais\ndésormais que l'idée de vous perdre me terrifie.\x0E\x04\x02\x00
MID_ED3_#069	Car pour moi, vous êtes le Dragon divin. Partir\nne changerait en rien le lien qui nous unit.\x0E\x04\x00\x00
MID_ED3_#070	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x0E\x08シグルド\x021\n\x0E\x03\x02\x0A\x08シグルド\nTout le monde est d'accord. Après tout,\nc'est vous qui assurez la cohésion du groupe.\x0E\x04\x02\x00
MID_ED3_#071	Vous êtes et serez toujours...\nle Dragon divin, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_ED3_#072	\x0E\x03\x02\x0A\x08リュール\nMerci à tous.\x0E\x04\x02\x00
MID_ED3_#073	Il y a tant de choses que j'ignore. J'ai peut-être\npris des décisions par le passé que je ne saurais\neffacer.\x0E\x04\x02\x00
MID_ED3_#074	Mais, pour l'instant, je vais continuer cette\naventure avec vous.\x0E\x04\x00\x00
MID_ED3_#075	\x0E\x03\x02\x0A\x08シグルド\nNous, les Emblèmes, vous suivrons toujours.\nCar ainsi en avons-nous décidé.\x0E\x04\x00\x00
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x08\x06モーヴ\nDragon divin.\x0E\x04\x00\x00
MID_ED4_#002	\x0E\x03\x02\x0A\x08リュール\nMauvier, c'est vous.\x0E\x04\x00\x00
MID_ED4_#003	\x0E\x03\x02\x08\x06モーヴ\nJ'ai entendu que vous étiez l'enfant du\nseigneur Sombron.\x0E\x04\x02\x00
MID_ED4_#004	Si c'est exact, alors je vous conjure de\nsecourir Dame Veyle.\x0E\x04\x00\x00
MID_ED4_#005	\x0E\x03\x02\x0A\x08リュール\nQuoi ? Vous n'êtes pas là pour nous arrêter ?\x0E\x04\x00\x00
MID_ED4_#006	\x0E\x03\x02\x08\x06モーヴ\nTout ce temps, Dame Veyle n'a été mue que par\nson désir de retrouver s\x0E\x0A\x00 \x10on frère\x0Ca sœur.\x0E\x04\x02\x00
MID_ED4_#007	Si elle vous voit, elle sera sauvée. Je le sais.\x0E\x04\x00\x00
MID_ED4_#008	\x0E\x03\x02\x0A\x08リュール\nJ'aimerais lui offrir mon soutien comme mes\namis l'ont fait pour moi.\x0E\x04\x02\x00
MID_ED4_#009	Veyle, la véritable Veyle, s'est toujours montrée\namicale envers nous. Mais nous ne savons pas\noù elle se trouve.\x0E\x04\x00\x00
MID_ED4_#010	\x0E\x03\x02\x08\x06モーヴ\nLe seigneur Sombron et elle font\nroute vers la terre de Lythos.\x0E\x04\x00\x00
MID_ED4_#011	\x0E\x03\x02\x0A\x08リュール\nLythos ? Mais dans quel dessein ?!\x0E\x04\x00\x00
MID_ED4_#012	\x0E\x03\x02\x08\x06モーヴ\nVous devez me faire confiance. Je vous dirai\ntout en chemin.\x0E\x04\x00\x00
MID_ED4_#013	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nQu'en pensez-vous ?\x0E\x04\x00\x00
MID_ED4_#014	\x0E\x03\x02\x0A\x08リュール\nAllons-y ensemble.\x0E\x04\x00\x00
