MID_SYS_EnchantEffect	Effet d'enchant.
MAID_H_RabbitEar	Accessoire évoquant les oreilles d'un lapin sautillant.\nSa fourrure est incroyablement douce.
MAID_FoxEar	Oreilles renard
MAID_H_FoxEar	Accessoire évoquant les oreilles d'un renard d'une espèce rare.\nOn dit que son porteur peut se transformer en l'une de ces créatures.
MID_BONDSRING_Hector00	Noble d'Ositia en Elibe, continent\nd'un autre monde.
MID_BONDSRING_Hector01	Brandissant sa hache Armadès, il se\nbat aux côtés de son ami Eliwood.
MID_BONDSRING_Senerio00	Membre des mercenaires de Greil en\nTellius, continent d'un autre monde.
MID_BONDSRING_Senerio01	Stratège accompli qui sauvera ses\ncompagnons à maintes reprises.
MID_BONDSRING_Camilla00	L'aînée des princesses de Nohr,\nun royaume d'un autre monde.
MID_BONDSRING_Camilla01	De nature douce et affectueuse, elle\nest impitoyable avec ses ennemis.
MGID_Ring_Hector	Bracelet du Général Impétueux
MGID_H_Ring_Hector	Le bracelet où sommeille Hector,\njeune héros exubérant et plein\nd'assurance.
MGID_Ring_Senerio	Bracelet du Stratège
MGID_H_Ring_Senerio	Le bracelet où sommeille Soren,\nstratège tout de noir vêtu, aux\nconseils avisés et précieux.
MGID_Ring_Camilla	Bracelet de la Sœur Dévouée
MGID_H_Ring_Camilla	Le bracelet où sommeille Camilla,\nravissant chevalier wyverne\nà l'aura charismatique.
MGID_World_Hector	Monde de la Lady de Sacae
MGID_World_Senerio	Monde du Héros de l'Aube
MGID_World_Camilla	Monde de la Main du Destin
MID_RELAY_Stamp_Hector_0	Faites davantage appel à moi.
MID_RELAY_Stamp_Senerio_0	Acceptable...
MID_RELAY_Stamp_Camilla_0	Quelqu'un mérite une punition...
MID_Hub_Horse	Écurie
MID_Hub_Fruit	Cueillette
MID_Hub_Pool	Baignade
MID_Hub_Refresh	Détente
MID_Hub_Refresh_Help	Choisissez deux alliés.
MID_Hub_Refresh_Entrust	Recommandé
MID_Hub_Refresh_Entrust_Help	Choisir un personnage\nrecommandé qui gagnera\ndes points de soutien.
MID_Hub_Refresh_RelianceLv	Soutien
MID_Hub_Refresh_Place	Lieu
MID_Hub_Refresh_Unit	Alliés qui vont se détendre :
MID_Hub_Refresh_Used	Indisponible
MID_Hub_Refresh_Attention	Vous devrez attendre d'avoir mené la prochaine\nbataille à son terme pour choisir à nouveau\ncette activité.
MID_Hub_Refresh_Confirmation	Commencer le moment de détente ?
MID_Hub_Refresh_Start	Commencer
MID_Hub_Refresh_Result	Passer aux résultats
MID_Hub_Refresh_Stop	Annuler
MID_Hub_Refresh_RelianceLvUP	L'affinité entre\n\x0E\x01\x00\x00 et \x0E\x01\x01\x00\na augmenté.
MID_Hub_Refresh_Reliance_Occurrence	Un nouveau dialogue de soutien\nentre \x0E\x01\x00\x00 et \x0E\x01\x01\x00\na été débloqué.
MID_Hub_Refresh_NoReliance_Occurrence	\x0E\x01\x00\x00 et \x0E\x01\x01\x00\nont retrouvé toute leur énergie.
PCTMID_Hector	« Faites appel à moi. »
PCTMID_Senerio	« Les faits avant tout. »
PCTMID_Camilla	« Je vous adore. »
MID_Movie_K15	Emblème Hector
MID_H_Movie_K15	L'Emblème Hector, invoqué depuis\nle Bracelet du Général Impétueux.
MID_Movie_K16	Emblème Soren
MID_H_Movie_K16	L'Emblème Soren, invoqué depuis\nle Bracelet du Stratège.
MID_Movie_K17	Emblème Camilla
MID_H_Movie_K17	L'Emblème Camilla, invoquée depuis\nle Bracelet de la Sœur Dévouée.
MID_MAP_HIS_EngageWait	\x0E\x01\x00\x00 a utilisé Œil du cyclone.
MID_MAP_HIS_EngageWaitPlus	\x0E\x01\x00\x00 a utilisé Œil du cyclone +.
MID_MAP_HIS_Enchant	\x0E\x01\x00\x00 a utilisé Vague d'objet.
MID_MAP_HIS_Enchant_Weapon	\x0E\x01\x00\x00 a utilisé Vague d'arme.
