MID_OP1C_#001	\x0E\x02\x00\x06\x04PP\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNous avons traversé la frontière, nous\nvoilà sur le territoire de Brodia.\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M007_ゴルドマリー\x02b\n\x0E\x05\x01 \x16M007_ゴルドマリー\x06Sad\n\x0E\x03\x02\x18\x16M007_ゴルドマリー\nDe près, vous n'êtes pas aussi fascinant\x0E\x0A\x00\x06
MID_BT8_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nC'est tout ce qui vous tracasse ? Ici, au\ncombat ? Bien, réglons ça immédiatement !\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M007_ゴルドマリー\x02b\n\x0E\x05\x01"\x16M007_ゴルドマリー\x08Pain\n\x0E\x03\x02\x18\x16M007_ゴルドマリー\nVous êtes vraiment horrible. Ça suffit.\nJe m'en vais.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\nAaaah ! C'est trop rageant !\x0E\x04\x02\x00
MID_ED1_#002	Rosado, Goldmary ! Soldats...\nOn bat en retraite !\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x00\x10\nスタルーク\x024\n\x0E\x03\x02\x0C\nスタルーク\nIls ont filé sans demander leur reste.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x00\x12\x0Cアルフレッド\x023\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm... Le pont est dans un sale état.\nDéterminer l'itinéraire le plus sûr pour\navancer pourrait nous prendre du temps.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nNous n'avons pas récupéré\nl'Anneau d'Emblème.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nNous n'en avons pas perdu non plus.\nEt vous êtes indemne, c'est le plus important.\x0E\x04\x02\x00
MID_ED1_#007	Voyons le bon côté des choses, d'accord ?\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nOui, vous avez raison.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x02\x0C\nヴァンドレ\nIl est maintenant évident que les anneaux\nvolés à la reine Lumera se trouvent entre\nles mains des Elusiens.\x0E\x04\x02\x00
MID_ED1_#010	Cela signifie qu'ils en disposent de cinq.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nCinq ?\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0C\nヴァンドレ\nOui, en comptant les anneaux volés au\nchâteau de Lythos.\x0E\x04\x02\x00
MID_ED1_#013	L'Anneau du Souverain Éclairé, l'Anneau des\nJumeaux Célestes, l'Anneau de l'Instructeur,\net bien sûr, l'Anneau de la Sainte-Lignée.\x0E\x04\x02\x00
MID_ED1_#014	C'est celui-là que portait la princesse Hortensia.\x0E\x04\x02\x00
MID_ED1_#015	Et en plus de ces quatre-là, il y a celui qui a été\nconfié à Elusia dès le départ.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x0A\x08リュール\nLequel est-ce ?\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0C\nスタルーク\nJe pense pouvoir le dire. Je crois me\nsouvenir qu'Elusia a reçu l'Anneau de\nla Lady de Sacae.\x0E\x04\x02\x00
MID_ED1_#018	Il paraît que le roi l'estime au point de\nle garder dans ses appartements.\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nSes appartements... C'est étrange.\nEn Firene, on conserve notre anneau dans\nune galerie dédiée.\x0E\x04\x02\x00
MID_ED1_#020	Où votre royaume conserve-t-il le sien ?\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x0C\nスタルーク\nTout comme en Firene, il est préservé dans\nune galerie spéciale du château.\x0E\x04\x02\x00
MID_ED1_#022	À ce sujet, quand pourrons-nous nous mettre\nen route ?\x0E\x04\x02\x00
MID_ED1_#023	Je suis très inquiet de la situation au château\nde Brodia.\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nLes soldats envoyés en éclaireurs\ndevraient bientôt revenir.\x0E\x04\x00\x00
MID_ED1_#025	\x0E\x03\x02\x0A\x08リュール\nPréparons-nous pour le départ.\x0E\x04\x00\x00
MID_ED1_#026	\x0E\x03\x02\x0C\nスタルーク\nMerci. S'il est arrivé quoi que ce soit à mon père\nou à mon frère, je ne sais pas ce que je ferai...\x0E\x04\x00\x00
MID_ED2_#001	Voilà pour toi !
MID_ED2_#002	Raaargh !
MID_ED2_#003	J'y suis presque.
MID_ED2_#004	Aaagh !
MID_ED2_#005	C'était le dernier.
MID_ED2_#005_2	Le village... est enfin en sécurité.
MID_ED2_#006	Mais ça ne suffira pas.\nJe dois... Je dois être forte.
MID_ED2_#007	Comme vous. Vous me manquez tant...
MID_ED2_#007_2	Je pense encore à ce que vous\nm'avez dit... il y a bien longtemps.
MID_ED2_#008	Mon cher frère... où êtes-vous ?
MID_ED2_#008_F	Ma chère sœur... où êtes-vous ?
