MID_OP1_#001	\x0E\x02\x00\x10\x0EDefault\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\n \x0E\x04\x02\x00
MID_ED3_#013	\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x02\x0C\nヴァンドレ\nDepuis son réveil, les souvenirs de Sa Divinité\nsont quelque peu embrouillés.\x0E\x04\x00\x00
MID_ED3_#014	\x0E\x03\x02\x0A\x08ルミエル\nOh ! Je vois.\x0E\x04\x00\x00
MID_ED3_#015	\x0E\x03\x02\x0A\x08リュール\nJe suis navré\x0E\x0A\x00\x06
MID_ED3_#016	\x0E\x03\x02\x0A\x08ルミエル\nNon, je te dois des excuses. J'étais tellement\nheureuse que je n'ai pas su contenir mon\nétreinte.\x0E\x04\x02\x00
MID_ED3_#017	Cela veut dire que tu ne te souviens...\nde rien ?\x0E\x04\x02\x00
MID_ED3_#018	C'était prévisible, je suppose. C'est si long,\nun millénaire.\x0E\x04\x00\x00
MID_ED3_#019	\x0E\x03\x02\x0A\x08リュール\nVander m'a expliqué que je me suis endormi\x0E\x0A\x00\x06
MID_ED3_#020	\x0E\x03\x02\x0A\x08ルミエル\nOui. Tu étais gravement blessé\x0E\x0A\x00\x06
MID_ED3_#021	\x0E\x03\x02\x0A\x08リュール\nBlessé\x0E\x0A\x00\x06
MID_ED3_#022	\x0E\x03\x02\x0A\x08ルミエル\nNe te torture pas ainsi, mon enfant.\nJe t'expliquerai tout ce que tu as oublié.\x0E\x04\x02\x00
MID_ED3_#023	Peu importe l'état de tes souvenirs, je suis\nsimplement heureuse de t'avoir retrouvé\x0E\x0A\x00\x06
MID_ED3_#024	\x0E\x03\x02\x0A\x08リュール\nEt pourtant... Ce ne sont pas là les retrouvailles\nque vous espériez.\x0E\x04\x00\x00
MID_ED3_#025	\x0E\x03\x02\x0A\x08ルミエル\nOh, ne t'en fais pas pour moi ! Le simple\nfait d'entendre ta voix mélodieuse est pour\nmoi le plus grand réconfort !\x0E\x04\x02\x00
MID_ED3_#026	Et aussi de plonger mes yeux dans les tiens.\nQuelle couleur magnifique, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_ED4_#001	\x0E\x02\x00\x10\x0EDefault\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x0B\x00f
MID_MOVIE3_#001	\x0E\x03\x02\x0A\x08ルミエル\nNous vivons sur le continent d'Elyos, quatre\nroyaumes qui entourent une terre sainte.\x0E\x04\x02\x00
MID_MOVIE3_#002	Firene l'abondante.\x0E\x04\x02\x00
MID_MOVIE3_#002_2	Brodia la guerrière.\x0E\x04\x02\x00
MID_MOVIE3_#002_3	Elusia la sage.\x0E\x04\x02\x00
MID_MOVIE3_#002_4	Solm la libre.\x0E\x04\x02\x00
MID_MOVIE3_#003	Lythos, foyer des Dragons divins.\x0E\x04\x02\x00
MID_MOVIE3_#003_2	Et Gradlon, celui du Dragon déchu,\nen ruines à présent.\x0E\x04\x02\x00
MID_MOVIE3_#004	Il y a mille ans, nos contrées ont été le théâtre\nd'une terrible guerre contre le Dragon déchu.\x0E\x04\x02\x00
MID_MOVIE3_#005	Nous avons fait appel à des héros d'autres\nmondes. Des héros appelés les Emblèmes.\x0E\x04\x02\x00
MID_MOVIE3_#006	Grâce à eux, les guerriers ont\ncoopéré à travers les nations.\x0E\x04\x02\x00
MID_MOVIE3_#007	Nous avons fini par triompher du Dragon\ndéchu, et nous l'avons emprisonné.\x0E\x04\x02\x00
MID_MOVIE3_#008	Notre monde n'a plus été inquiété depuis.\x0E\x04\x02\x00
MID_MOVIE3_#008_2	Mais je le sens renaître. Le sceau faiblit.\x0E\x04\x02\x00
MID_MOVIE3_#009	S'il est vraiment de retour, nous n'aurons\nd'autre choix que de l'affronter à nouveau.\x0E\x04\x02\x00
MID_MOVIE3_#010	Car Sombron, le Dragon déchu, doit être arrêté.\x0E\x04\x02\x00
