MSID_Hp_5	PV + 5
MSID_H_LeafEngageAtk_Prana	Permite a la unidad atacar\nconsecutivamente con espada,\nlanza, hacha y arco.\nQigong: Causa ruptura al objetivo.
MSID_H_LeafEngageAtk_CMD	Ataca con cuatro armas.
MSID_BondPower	Golpe doble
MSID_H_BondPower	La unidad puede encadenar ataques\ncon los de sus aliados como si fuese\nuna unidad de refuerzo.
MSID_DualAssist_1	Refuerzo dual
MSID_H_DualAssist_1	Si puede encadenar ataques,\nla unidad lo hará cuando los aliados\nataquen a enemigos en su área\nde movimiento. Probabilidad = 35 %.
MSID_DualAssist_2	Refuerzo dual +
MSID_H_DualAssist_2	Si puede encadenar ataques,\nla unidad lo hará cuando los aliados\nataquen a enemigos en su área\nde movimiento. Probabilidad = 70 %.
MSID_DualSupport	Apoyo dual
MSID_H_DualSupport	Bonificación de Esq en función del\nnivel de apoyo que la unidad tenga\ncon aliados adyacentes. (Máx. + 90)
MSID_LucinaEngage	Refuerzo escudo
MSID_H_LucinaEngage_CMD	Puede anular primeros ataques contra\naliados adyacentes. Prob. = 80 %.
MSID_H_LucinaEngage_CMD_Dragon	Puede anular primeros ataques contra\naliados adyacentes. Prob. = 90 %.
MSID_H_LucinaEngage_CMD_Prana	Anula los primeros ataques\ncontra aliados adyacentes.
MSID_H_LucinaEngage	Permite anular los primeros ataques\ncontra aliados adyacentes hasta el\nturno siguiente. Probabilidad = 80 %.
MSID_H_LucinaEngage_Dragon	Permite anular los primeros ataques\ncontra aliados adyacentes hasta el\nturno siguiente. Probabilidad = 80 %.\nDragón: Probabilidad + 10 %.
MSID_H_LucinaEngage_Horse	Permite anular los primeros ataques\ncontra aliados adyacentes hasta el\nturno siguiente. Probabilidad = 80 %.\nCaballería: Probabilidad del 100 %\ncon aliados de su mismo tipo.
MSID_H_LucinaEngage_Heavy	Permite anular los primeros ataques\ncontra aliados adyacentes hasta el\nturno siguiente. Probabilidad = 80 %.\nAcorazado: Probabilidad del 100 %\ncon aliados de su mismo tipo.
MSID_H_LucinaEngage_Fly	Permite anular los primeros ataques\ncontra aliados adyacentes hasta el\nturno siguiente. Probabilidad = 80 %.\nVolador: Probabilidad del 100 %\ncon aliados de su mismo tipo.
MSID_H_LucinaEngage_Prana	Permite anular los primeros ataques\ncontra aliados adyacentes hasta el\nturno siguiente. Probabilidad = 80 %.\nQigong: Probabilidad del 100 %.
MSID_LucinaEngageAtk	Todos para uno
MSID_H_LucinaEngageAtk	Ataca con la espada a un rival\nadyacente. Los aliados en un radio\nde 2 casillas encadenan ataques\ncon la unidad.
MSID_H_LucinaEngageAtk_Dragon	Ataca con la espada a un rival\nadyacente. Los aliados en un radio\nde 2 casillas encadenan ataques\ncon la unidad. Dragón: 100 %\nde acierto en ataques en cadena.
MSID_H_LucinaEngageAtk_Coop	Ataca con la espada a un rival\nadyacente. Los aliados en un radio\nde 2 casillas encadenan ataques\ncon la unidad.\nRefuerzo: Alc + 1.
MSID_H_LucinaEngageAtk_CMD	Los aliados cercanos atacan.
MSID_Pursuit_1	Prontitud
MSID_H_Pursuit_1	Si supera la Vel del enemigo\nen 9 o más puntos, asesta todos\nsus golpes (si se diera el caso)\nantes de que el rival contrataque.
MSID_Pursuit_2	Prontitud +
MSID_H_Pursuit_2	Si supera la Vel del enemigo\nen 7 o más puntos, asesta todos\nsus golpes (si se diera el caso)\nantes de que el rival contrataque.
MSID_Pursuit_3	Prontitud ++
MSID_H_Pursuit_3	Si supera la Vel del enemigo\nen 5 o más puntos, asesta todos\nsus golpes (si se diera el caso)\nantes de que el rival contrataque.
MSID_SpeedAbsorption	Ejecución veloz
MSID_H_SpeedAbsorption	Otorga Vel + 2 acumulable\na la unidad cada vez que esta\ninicia el ataque y derrota a\nun rival. (Máx. + 10, hasta\nel final de la batalla.)
MSID_LinEngage	Invocar dobles
MSID_H_LinEngage	Permite crear 4 dobles ilusorios\nque pueden encadenar ataques\ncon la unidad.
MSID_H_LinEngage_Dragon	Permite crear 4 dobles ilusorios\nque pueden encadenar ataques\ncon la unidad.\nDragón: Crea un doble adicional.
MSID_H_LinEngage_Fly	Permite crear 4 dobles ilusorios\nque pueden encadenar ataques\ncon la unidad.\nVolador: Dobles tienen Esq + 10.
MSID_H_LinEngage_CMD	Crea dobles como refuerzo.
MSID_LinEngage_Delete_CMD	Espantadobles
MSID_H_LinEngage_Delete_CMD	Elimina los dobles invocados.
MSID_LinEngageAtk	Tormenta Fobos
MSID_H_LinEngageAtk	Permite a la unidad asestar\n5 ataques con arco al 30 %\ndel daño normal y con un alcance\nde 10 casillas.
MSID_H_LinEngageAtk_Dragon	Permite a la unidad asestar\n5 ataques con arco al 30 %\ndel daño normal y con un alcance\nde 10 casillas.\nDragón: Alcance + 5 adicional.
MSID_H_LinEngageAtk_Covert	Permite a la unidad asestar\n5 ataques con arco al 30 %\ndel daño normal y con un alcance\nde 10 casillas.\nFurtivo: Alcance + 10 adicional.
MSID_H_LinEngageAtk_Prana	Permite a la unidad asestar\n5 ataques con arco al 30 %\ndel daño normal y con un alcance\nde 10 casillas.\nQigong: Causa ruptura al objetivo.
MSID_H_LinEngageAtk_CMD	Ataques lejanos con arco.
MSID_H_LinEngageAtk_Weak	Permite a la unidad asestar\n5 ataques con arco al 20 %\ndel daño normal y con un alcance\nde 10 casillas.
MSID_H_LinEngageAtk_DarkSide_Prana	Permite a la unidad asestar\n5 ataques con arco al 20 %\ndel daño normal y con un alcance\nde 10 casillas.\nQigong: Causa ruptura al objetivo.
MSID_Ravage	Demoler
MSID_H_Ravage	Permite derribar obstáculos\ndestructibles de un solo golpe\nusando la orden "Destruir".
MSID_PullBack	Refugio
MSID_H_PullBack	Permite a la unidad desplazar\na un aliado adyacente a la casilla\nopuesta.
MSID_H_PullBack_CMD	Mueve a un aliado adyacente\nal lado opuesto.
MSID_Anger	Furia
MSID_H_Anger	Al inicio del enfrentamiento,\notorga Crí + 1 por cada PV\nque pierda la unidad. (Máx. + 30)
MSID_BraveGeneral_1	Tenacidad
MSID_H_BraveGeneral_1	Si, tras el enfrentamiento, la unidad\ntiene el 75 % de los PV o menos,\notorga Def y Res + 5.
MSID_BraveGeneral_2	Tenacidad +
MSID_H_BraveGeneral_2	Si, tras el enfrentamiento, la unidad\ntiene el 75 % de los PV o menos,\notorga Def y Res + 7.
MSID_IkeEngage	Defensa laguz
MSID_H_IkeEngage	Limita al 50 % el daño sufrido,\npero reduce Esq a 0.
MSID_H_IkeEngage_Dragon	Limita al 50 % el daño sufrido,\npero reduce Esq a 0.\nDragón: - 10 % adicional al daño\nsufrido.
MSID_IkeEngageAtk	Gran Éter
MSID_H_IkeEngageAtk	Def/Res + 5; 1 turno sin contratacar.\nAl turno siguiente, ataca en un radio\nde 2 casillas y recupera PV = 30 %\ndaño infligido. Solo espada y hacha.
MSID_H_IkeEngageAtk_Dragon	Def/Res + 5; 1 turno sin contratacar.\nAl turno siguiente, ataca en un radio\nde 2 casillas y recupera PV = 30 %\ndaño infligido. Solo espada y hacha.\nDragón: Daño + 1 por golpe sufrido.
MSID_H_IkeEngageAtk_Heavy	Def/Res + 5; 1 turno sin contratacar.\nAl turno siguiente, ataca en un radio\nde 2 casillas y recupera PV = 30 %\ndaño infligido. Solo espada y hacha.\nAcorazado: Otorga Def + 5 adicional.
MSID_H_IkeEngageAtk_Fly	Def/Res + 5; 1 turno sin contratacar.\nAl turno siguiente, ataca en un radio\nde 2 casillas y recupera PV = 30 %\ndaño infligido. Solo espada y hacha.\nVolador: Otorga Res + 5 adicional.
MSID_H_IkeEngageAtk_CMD	Resiste y ataca una zona.
MSID_HeavenBeat_1	Pulso Divino
MSID_H_HeavenBeat_1	Puede convertir ataques fallidos\nen aciertos. Probabilidad = 30 %;\naumenta en función de la Sue.
MSID_HeavenBeat_2	Pulso Divino +
MSID_H_HeavenBeat_2	Puede convertir ataques fallidos\nen aciertos. Probabilidad = 50 %;\naumenta en función de la Sue.
MSID_TeacherGuidance	Clase magistral
MSID_H_TeacherGuidance	Incrementa en un 20 % la Exp\nadquirida por la unidad y los aliados\nadyacentes.
MSID_PickUp	Objetos perdidos
MSID_H_PickUp	Puede encontrar objetos si termina\nuna acción o acaba junto a un aliado,\nasí como aumentar el nivel de apoyo\ncon ese aliado. Probabilidad = Sue %.
MSID_PickUp_Message	Un objeto de \x0E\x01\x00\x00\nha sido encontrado y devuelto.
MSID_BylethEngage	Influencia
MSID_H_BylethEngage	Mejora los atributos a aliados en\nun radio de 2 casillas según su tipo\ndurante 1 turno.
MSID_H_BylethEngage_Dragon	Mejora los atributos a aliados en\nun radio de 2 casillas según su tipo\ndurante 1 turno.\nDragón: + 3 adicional a los 7\natributos básicos.
MSID_BylethEngage_Dragon_CMD	Influencia (todos)
MSID_H_BylethEngage_Dragon_CMD	+ 3 a todos los atributos\nde aliados cercanos.
MSID_H_BylethEngage_Coop	Mejora los atributos a aliados en\nun radio de 2 casillas según su tipo\ndurante 1 turno.\nRefuerzo: Fue + 4.
MSID_BylethEngage_Coop_CMD	Influencia (Fue)
MSID_H_BylethEngage_Coop_CMD	Fue + 4 a aliados cercanos.
MSID_H_BylethEngage_Horse	Mejora los atributos a aliados en\nun radio de 2 casillas según su tipo\ndurante 1 turno.\nCaballería: Hab + 10.
MSID_BylethEngage_Horse_CMD	Influencia (Hab)
MSID_H_BylethEngage_Horse_CMD	Hab + 10 a aliados cercanos.
MSID_H_BylethEngage_Covert	Mejora los atributos a aliados en\nun radio de 2 casillas según su tipo\ndurante 1 turno.\nFurtivo: Vel + 5.
MSID_BylethEngage_Covert_CMD	Influencia (Vel)
MSID_H_BylethEngage_Covert_CMD	Vel + 5 a aliados cercanos.
MSID_H_BylethEngage_Heavy	Mejora los atributos a aliados en\nun radio de 2 casillas según su tipo\ndurante 1 turno.\nAcorazado: Def + 5.
MSID_BylethEngage_Heavy_CMD	Influencia (Def)
MSID_H_BylethEngage_Heavy_CMD	Def + 5 a aliados cercanos.
MSID_H_BylethEngage_Fly	Mejora los atributos a aliados en\nun radio de 2 casillas según su tipo\ndurante 1 turno.\nVolador: Res + 5.
MSID_BylethEngage_Fly_CMD	Influencia (Res)
MSID_H_BylethEngage_Fly_CMD	Res + 5 a aliados cercanos.
MSID_H_BylethEngage_Magic	Mejora los atributos a aliados en\nun radio de 2 casillas según su tipo\ndurante 1 turno.\nMístico: Mag + 4.
MSID_BylethEngage_Magic_CMD	Influencia (Mag)
MSID_H_BylethEngage_Magic_CMD	Mag + 4 a aliados cercanos.
MSID_H_BylethEngage_Prana	Mejora los atributos a aliados en\nun radio de 2 casillas según su tipo\ndurante 1 turno.\nQigong: Sue + 10.
MSID_BylethEngage_Prana_CMD	Influencia (Sue)
MSID_H_BylethEngage_Prana_CMD	Sue + 10 a aliados cercanos.
MSID_BylethEngageAtk	Danza de la Diosa
MSID_H_BylethEngageAtk	Permite otorgar una acción adicional\na todos los aliados adyacentes.
MSID_H_BylethEngageAtk_Dragon	Permite otorgar una acción adicional\na todos los aliados adyacentes.\nDragón: + 3 a los 7 atributos básicos\nde las unidades beneficiadas\ndurante 1 turno.
MSID_H_BylethEngageAtk_Coop	Permite otorgar una acción adicional\na todos los aliados adyacentes.\nRefuerzo: Fue + 4 a las unidades\nbeneficiadas durante 1 turno.
MSID_H_BylethEngageAtk_Horse	Permite otorgar una acción adicional\na todos los aliados adyacentes.\nCaballería: Hab + 10 a las unidades\nbeneficiadas durante 1 turno.
MSID_H_BylethEngageAtk_Covert	Permite otorgar una acción adicional\na todos los aliados adyacentes.\nFurtivo: Vel + 5 a las unidades\nbeneficiadas durante 1 turno.
MSID_H_BylethEngageAtk_Heavy	Permite otorgar una acción adicional\na todos los aliados adyacentes.\nAcorazado: Def + 5 a las unidades\nbeneficiadas durante 1 turno.
MSID_H_BylethEngageAtk_Fly	Permite otorgar una acción adicional\na todos los aliados adyacentes.\nVolador: Res + 5 a las unidades\nbeneficiadas durante 1 turno.
MSID_H_BylethEngageAtk_Magic	Permite otorgar una acción adicional\na todos los aliados adyacentes.\nMístico: Mag + 4 a las unidades\nbeneficiadas durante 1 turno.
MSID_H_BylethEngageAtk_Prana	Permite otorgar una acción adicional\na todos los aliados adyacentes.\nQigong: Sue + 10 a las unidades\nbeneficiadas durante 1 turno.
MSID_H_BylethEngageAtk_CMD	Otorga una acción extra\na los aliados adyacentes.
MSID_M014_BylethEngageAtk_DarkSide	Danza diabólica
MSID_H_M014_BylethEngageAtk_DarkSide	Permite otorgar una acción adicional\na los aliados situados en un radio\nde 2 casillas.
MSID_DragonPulse	Vena de dragón
MSID_H_DragonPulse	Permite añadir un efecto especial\na ciertas casillas.
MSID_H_DragonPulse_CMD	Otorga un efecto a una zona.
MSID_H_DragonPulse_Dragon	Permite añadir un efecto especial\na ciertas casillas.\nDragón: Elige cualquier efecto.
MSID_DragonPulse_DefUp	Vena pétrea
MSID_H_DragonPulse_DefUp	Crea pilares de piedra que aumentan\nla Def/Res.
MSID_H_DragonPulse_Coop	Permite añadir un efecto especial\na ciertas casillas.\nRefuerzo: Crea pilares de piedra\nque otorgan una mejora de Def/Res.
MSID_DragonPulse_AvoDown	Vena acuática
MSID_H_DragonPulse_AvoDown	Crea agua que reduce la Esq.
MSID_H_DragonPulse_Horse	Permite añadir un efecto especial\na ciertas casillas.\nCaballería: Crea agua que provoca\nuna reducción de Esq.
MSID_DragonPulse_AvoUp	Vena brumosa
MSID_H_DragonPulse_AvoUp	Crea niebla que aumenta la Esq.
MSID_H_DragonPulse_Covert	Permite añadir un efecto especial\na ciertas casillas.\nFurtivo: Crea niebla que otorga\nuna mejora de Esq.
MSID_DragonPulse_NotBreak	Vena de hiedra
MSID_H_DragonPulse_NotBreak	Crea una maraña de hiedra\nque impide la ruptura.
MSID_H_DragonPulse_Heavy	Permite añadir un efecto especial\na ciertas casillas.\nAcorazado: Crea hiedra que\notorga inmunidad a la ruptura.
MSID_DragonPulse_Heal	Vena sanadora
MSID_H_DragonPulse_Heal	Crea una luz curativa\nque restaura PV.
MSID_H_DragonPulse_Fly	Permite añadir un efecto especial\na ciertas casillas.\nVolador: Crea una luz curativa\nque restaura PV.
MSID_DragonPulse_Damage	Vena ardiente
MSID_H_DragonPulse_Damage	Crea llamas que infligen daño.
MSID_H_DragonPulse_Magic	Permite añadir un efecto especial\na ciertas casillas.\nMístico: Crea llamas que infligen\ndaño.
MSID_DragonPulse_Block	Vena gélida
MSID_H_DragonPulse_Block	Crea pilares de hielo que limitan\nel movimiento.
MSID_H_DragonPulse_Prana	Permite añadir un efecto especial\na ciertas casillas.\nQigong: Crea pilares de hielo\nque limitan el movimiento.
MSID_DragonCurse	Dracomaleficio
MSID_H_DragonCurse	Si la unidad inicia el ataque, - 4\na todos los atributos básicos del rival\ntras el enfrentamiento (el efecto se\nreduce en 1 cada turno).
MSID_DefenseStyle	Agrupar
MSID_H_DefenseStyle	Anula el daño infligido\npor los ataques en cadena\ndel enemigo contra la unidad.
MSID_PhysicalContact_1	Familiaridad
MSID_H_PhysicalContact_1	Tras actuar o esperar, la unidad\nsana 5 PV a los aliados adyacentes\ny sube ligeramente el nivel de apoyo.
MSID_PhysicalContact_2	Familiaridad +
MSID_H_PhysicalContact_2	Tras actuar o esperar, la unidad\nsana 10 PV a los aliados adyacentes\ny sube ligeramente el nivel de apoyo.
MSID_KamuiEngage	Cazacorazones
MSID_H_KamuiEngage	Si la unidad inicia el enfrentamiento,\nel objetivo y los rivales situados\na 1 casilla de distancia no podrán\nmoverse durante el turno siguiente.
MSID_H_KamuiEngage_Covert	Si la unidad inicia el enfrentamiento,\nel objetivo y los rivales situados\na 1 casilla de distancia no podrán\nmoverse durante el turno siguiente.\nFurtivo: Esq - 20 al objetivo.
MSID_KamuiEngageAtk	Rugido torrencial
MSID_H_KamuiEngageAtk	Permite atacar con agua una fila\nde 3 casillas e inundarlas.
MSID_H_KamuiEngageAtk_Dragon	Permite atacar con agua una fila\nde 3 casillas e inundarlas.\nDragón: Alcance + 1.
MSID_H_KamuiEngageAtk_CMD	Ataca e inunda una zona.
MSID_God_Change_CMD	Noche y día
MSID_H_God_Change	Permite alternar entre Emblemas:\ncambia Brazalete lunar y Brisa gentil\npor Brazalete solar y Brisa audaz\nen todos los aliados.
MSID_H_God_Change_CMD	Alterna entre Emblemas.
MSID_MoonBracelet_1	Brazalete lunar
MSID_H_MoonBracelet_1	Si la unidad inicia el enfrentamiento\ncon un ataque físico, inflige daño\nextra equivalente al 20 % de la\nDef del rival.
MSID_MoonBracelet_2	Brazalete lunar +
MSID_H_MoonBracelet_2	Si la unidad inicia el enfrentamiento\ncon un ataque físico, inflige daño\nextra equivalente al 30 % de la\nDef del rival.
MSID_SunBracelet_1	Brazalete solar
MSID_H_SunBracelet_1	Si la unidad inicia el enfrentamiento,\nrecupera una cantidad de PV\nequivalente al 30 % del daño\ninfligido.
MSID_SunBracelet_2	Brazalete solar +
MSID_H_SunBracelet_2	Si la unidad inicia el enfrentamiento,\nrecupera una cantidad de PV\nequivalente al 50 % del daño\ninfligido.
MSID_SunMoonBracelet_1	Brazalete solilunio
MSID_H_SunMoonBracelet_1	Si la unidad inicia el enfrentamiento,\nsus ataques físicos infligen daño\nextra = 20 % de la Def del enemigo.\nLa unidad recupera PV = 30 %\ndel daño infligido.
MSID_SunMoonBracelet_2	Brazalete solilunio +
MSID_H_SunMoonBracelet_2	Si la unidad inicia el enfrentamiento,\nsus ataques físicos infligen daño\nextra = 30 % de la Def del enemigo.\nLa unidad recupera PV = 50 %\ndel daño infligido.
MSID_GentleWind_1	Brisa gentil
MSID_H_GentleWind_1	Reduce en 3 puntos el daño sufrido.
MSID_GentleWind_2	Brisa gentil +
MSID_H_GentleWind_2	Reduce en 5 puntos el daño sufrido.
MSID_BraveSky_1	Brisa audaz
MSID_H_BraveSky_1	Incrementa en 3 puntos el daño\ninfligido.
MSID_BraveSky_2	Brisa audaz +
MSID_H_BraveSky_2	Incrementa en 5 puntos el daño\ninfligido.
MSID_Azure_1	Cielo azul
MSID_H_Azure_1	Reduce en 3 puntos el daño sufrido\ne incrementa en 3 puntos el daño\ninfligido.
MSID_Azure_2	Cielo azul +
MSID_H_Azure_2	Reduce en 5 puntos el daño sufrido\ne incrementa en 5 puntos el daño\ninfligido.
MSID_EirikEngage	Gemelos sagrados
MSID_H_EirikEngage	Durante la fusión con Eirika, cambia\nBrazalete lunar a Brazalete solilunio\ny Brisa gentil a Cielo azul en todos\nlos aliados.
MSID_EirikEngageAtk	Golpe gemelo
MSID_H_EirikEngageAtk	Permite a la unidad lanzar un ataque\ncon espada seguido de un lanzazo\nde Ephraim a un rival adyacente.\nEficaz contra las aberraciones.
MSID_H_EirikEngageAtk_Dragon	Permite a la unidad lanzar un ataque\ncon espada seguido de un lanzazo\nde Ephraim a un rival adyacente.\nEficaz contra las aberraciones.\nDragón: + 20 % de daño adicional.
MSID_H_EirikEngageAtk_Horse	Permite a la unidad lanzar un ataque\ncon espada seguido de un lanzazo\nde Ephraim a un rival adyacente.\nEficaz contra las aberraciones.\nCaballería: Ephraim + 50 % de daño.
MSID_H_EirikEngageAtk_CMD	Ataca junto a Ephraim.
MSID_EvilDragonSpecialEffect	Aura sagrada
MSID_H_EvilDragonSpecialEffect	Otorga eficacia ante Dragones\nCaídos a la unidad y a los aliados\nsituados en un radio de 2 casillas\nque ya sean eficaces ante dragones.
MSID_GodDragonProtection	Amparo sagrado
MSID_H_GodDragonProtection	Anula la eficacia contra la unidad.
MSID_ConnectPerson_1	Tejevínculos
MSID_H_ConnectPerson_1	Gol y Esq + 20 a la unidad\ny los aliados situados en un radio\nde 2 casillas que estén sincronizados\no fusionados con un Emblema.
MSID_ConnectPerson_2	Tejevínculos +
MSID_H_ConnectPerson_2	Gol y Esq + 30 a la unidad\ny los aliados situados en un radio\nde 2 casillas que estén sincronizados\no fusionados con un Emblema.
MSID_BlessingOfEleos	Bendición de Elyos
MSID_H_BlessingOfEleos	Si la unidad inicia el enfrentamiento,\nrecibe una bonificación de Crí y Evit\nequivalente al número de aliados\nque hayan actuado en ese turno × 2.
MSID_LueurEngage	Sintonía
MSID_H_LueurEngage	Si la unidad inicia el enfrentamiento\ny derrota al rival, otorga una mejora\nde + 4 a todos los atributos básicos\nmientras esté fusionada.
MSID_H_LueurEngage_Dragon	Si la unidad inicia el enfrentamiento\ny derrota al rival, otorga una mejora\nde + 4 a todos los atributos básicos\nmientras esté fusionada.\nDragón: Mejora de + 1 adicional.
MSID_H_LueurEngage_Coop	Si la unidad inicia el enfrentamiento\ny derrota al rival, otorga una mejora\nde + 4 a todos los atributos básicos\nmientras esté fusionada.\nRefuerzo: + 2 adicional a Fue.
MSID_H_LueurEngage_Horse	Si la unidad inicia el enfrentamiento\ny derrota al rival, otorga una mejora\nde + 4 a todos los atributos básicos\nmientras esté fusionada.\nCaballería: + 2 adicional a Hab.
MSID_H_LueurEngage_Covert	Si la unidad inicia el enfrentamiento\ny derrota al rival, otorga una mejora\nde + 4 a todos los atributos básicos\nmientras esté fusionada.\nFurtivo: + 2 adicional a Vel.
MSID_H_LueurEngage_Heavy	Si la unidad inicia el enfrentamiento\ny derrota al rival, otorga una mejora\nde + 4 a todos los atributos básicos\nmientras esté fusionada.\nAcorazado: + 2 adicional a Def.
MSID_H_LueurEngage_Fly	Si la unidad inicia el enfrentamiento\ny derrota al rival, otorga una mejora\nde + 4 a todos los atributos básicos\nmientras esté fusionada.\nVolador: + 2 adicional a Res.
MSID_H_LueurEngage_Magic	Si la unidad inicia el enfrentamiento\ny derrota al rival, otorga una mejora\nde + 4 a todos los atributos básicos\nmientras esté fusionada.\nMístico: + 2 adicional a Mag.
MSID_H_LueurEngage_Prana	Si la unidad inicia el enfrentamiento\ny derrota al rival, otorga una mejora\nde + 4 a todos los atributos básicos\nmientras esté fusionada.\nQigong: + 2 adicional a Sue.
MSID_LueurEngageAtk	Ráfaga dragón
MSID_H_LueurEngageAtk	Asesta dos ataques, uno con\nla espada y otro con un rayo\nmágico, a un enemigo adyacente.
MSID_H_LueurEngageAtk_Dragon	Asesta dos ataques, uno con\nla espada y otro con un rayo\nmágico, a un enemigo adyacente.\nDragón: + 20 % de daño adicional.
MSID_H_LueurEngageAtk_Coop	Asesta dos ataques, uno con\nla espada y otro con un rayo\nmágico, a un enemigo adyacente.\nRefuerzo: Suma el 20 % de Fue\nal ataque con espada.
MSID_H_LueurEngageAtk_Magic	Asesta dos ataques, uno con\nla espada y otro con un rayo\nmágico, a un enemigo adyacente.\nMístico: Suma el 20 % de Mag\nal ataque mágico.
MSID_H_LueurEngageAtk_Prana	Asesta dos ataques, uno con\nla espada y otro con un rayo\nmágico, a un enemigo adyacente.\nQigong: Causa ruptura al objetivo.
MSID_H_LueurEngageAtk_CMD	Ataque mixto espada/magia.
MSID_LueurEngageAtk_p	Ráfaga fusión
MSID_H_LueurEngageAtk_p	Permite lanzar un ataque con espada\nseguido de uno mágico de la unidad\nfusionada a un rival adyacente.
MSID_H_LueurEngageAtk_p_Dragon	Permite lanzar un ataque con espada\nseguido de uno mágico de la unidad\nfusionada a un rival adyacente.\nDragón: + 20 % de daño adicional.
MSID_H_LueurEngageAtk_p_Coop	Permite lanzar un ataque con espada\nseguido de uno mágico de la unidad\nfusionada a un rival adyacente.\nRefuerzo: Suma el 20 % de Fue\nal ataque con espada.
MSID_H_LueurEngageAtk_p_Magic	Permite lanzar un ataque con espada\nseguido de uno mágico de la unidad\nfusionada a un rival adyacente.\nMístico: Suma el 20 % de Mag\nal ataque mágico.
MSID_H_LueurEngageAtk_p_Prana	Permite lanzar un ataque con espada\nseguido de uno mágico de la unidad\nfusionada a un rival adyacente.\nQigong: Inflige ruptura al rival.
MSID_H_LueurEngageAtk_p_CMD	Ataque con unidad fusionada.
MSID_PrivateSkill_Lueur	Inspiración divina
MSID_H_PrivateSkill_Lueur	Otorga a los aliados adyacentes\n+ 3 de daño infligido y - 1\nde daño sufrido.
MSID_PrivateSkill_Vandre	Lealtad alba
MSID_H_PrivateSkill_Vandre	Si la unidad ocupa una casilla\nadyacente al Dragón Divino,\notorga a ambos Crí + 5 durante\nel combate.
MSID_PrivateSkill_Clan	Fe esmeralda
MSID_H_PrivateSkill_Clan	Si la unidad ocupa una casilla\nadyacente al Dragón Divino,\notorga a ambos Gol + 10 durante\nel combate.
MSID_PrivateSkill_Fran	Ánimo carmesí
MSID_H_PrivateSkill_Fran	Si la unidad ocupa una casilla\nadyacente al Dragón Divino,\notorga a ambos Esq + 10 durante\nel combate.
MSID_PrivateSkill_Alfred	Autosuperación
MSID_H_PrivateSkill_Alfred	Si la unidad espera sin usar objetos\nni atacar, obtiene Fue + 2 durante\n1 turno.
MSID_PrivateSkill_Boucheron	Lágrima fácil
MSID_H_PrivateSkill_Boucheron	Si un aliado encadena un ataque\ndurante un enfrentamiento de la\nunidad, esta inflige daño + 2.
MSID_PrivateSkill_Atie	Estimulante
MSID_H_PrivateSkill_Atie	Si la unidad recupera PV usando\nun objeto curativo, recibe Fue + 2\ndurante 1 turno.
MSID_PrivateSkill_Celine	Flor generosa
MSID_H_PrivateSkill_Celine	Los aliados situados en un radio\nde 2 casillas recuperan un 50 %\nmás de PV al usar objetos curativos.
MSID_PrivateSkill_Chloe	Pareja de fábula
MSID_H_PrivateSkill_Chloe	La unidad inflige daño + 2 si en un\nradio de 2 casillas hay 2 unidades\naliadas adyacentes entre sí de sexo\nmasculino y femenino.
MSID_PrivateSkill_Louis	Admiración
MSID_H_PrivateSkill_Louis	Si hay 2 unidades aliadas femeninas\nadyacentes entre sí en un radio de 2\ncasillas, - 2 al daño sufrido por la\nunidad en combate.
MSID_PrivateSkill_Diamand	Cara a cara
MSID_H_PrivateSkill_Diamand	Si la unidad inicia el enfrentamiento,\notorga Gol + 15 tanto a la unidad\ncomo al enemigo en caso de que\npueda contratacar.
MSID_PrivateSkill_Umber	Grito de guerra
MSID_H_PrivateSkill_Umber	Si no hay unidades adyacentes\nal rival ni a la unidad, otorga\nGol + 20 a costa de Esq - 10\nen combate.
MSID_PrivateSkill_Jade	Meditación
MSID_H_PrivateSkill_Jade	Si la unidad espera sin usar objetos\nni atacar, obtiene Res + 2 durante\n1 turno.
MSID_PrivateSkill_Staluke	Protector
MSID_H_PrivateSkill_Staluke	Otorga Fue + 3 a la unidad\ndurante 1 turno si un aliado que esté\nen un radio de 2 casillas es atacado.
MSID_PrivateSkill_Lapis	Altruismo
MSID_H_PrivateSkill_Lapis	Si hay un aliado adyacente,\nla unidad obtiene Gol/Esq + 10\na costa de Crí - 10.
MSID_PrivateSkill_Citrinica	Generosidad
MSID_H_PrivateSkill_Citrinica	Si la unidad usa un objeto curativo,\nlos aliados adyacentes recuperan\ntambién la misma cantidad de PV.
MSID_PrivateSkill_Ivy	Fijación
MSID_H_PrivateSkill_Ivy	Si la unidad se enfrenta de nuevo\na su rival más reciente, obtiene\nGol + 20.
MSID_PrivateSkill_Zelkova	Punto y *final*
MSID_H_PrivateSkill_Zelkova	Si el rival inicia el ataque,\nle inflige Gol - 10 durante\nel combate.
MSID_PrivateSkill_Kagetsu	Brillo cegador
MSID_H_PrivateSkill_Kagetsu	Si la unidad inicia el ataque,\nle inflige Esq - 10 al rival\ndurante el combate.
MSID_PrivateSkill_Hortensia	Vivacidad
MSID_H_PrivateSkill_Hortensia	Otorga Alc + 1 cuando la unidad\nusa un bastón curativo.
MSID_PrivateSkill_Rosado	Sonrisa radiante
MSID_H_PrivateSkill_Rosado	Si el rival es masculino, le inflige\nEsq - 20 durante el combate.
MSID_PrivateSkill_Goldmary	Suspiro sensual
MSID_H_PrivateSkill_Goldmary	Si el rival es masculino, le inflige\nGol - 20 durante el combate.
MSID_PrivateSkill_Misutira	Estruendo de Solm
