MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08ルミエル\nYa hemos llegado.\nTras estos muros estaremos a salvo.\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x0A\x08リュール\nEl anillo representa una promesa que me hiciste,\n¿verdad? Pero no puedo recordarla.\x0E\x04\x02\x00
MID_ED1_#023	No puedo aceptarlo... Sería como tomar\nun regalo destinado para otra persona.\x0E\x04\x02\x00
MID_ED1_#024	Ofrécemelo de nuevo cuando\nvuelva a recordarlo todo, por favor.\x0E\x04\x00\x00
MID_ED1_#025	\x0E\x03\x02\x0A\x08ルミエル\nRecordarlo todo...\x0E\x04\x02\x00
MID_ED1_#026	(...)\x0E\x04\x02\x00
MID_ED1_#027	\x0E\x06\x03\x00, ¿luchar contra mí\nno ha hecho aflorar algún recuerdo?\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x02\x0A\x08リュール\nN-no... Lo siento.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08ルミエル\nNo te disculpes, por favor...\nAhora mismo, eso es un tema secundario.\x0E\x04\x02\x00
MID_ED1_#030	Solo espero que algún día\nvuelvas a considerarme tu madre...\x0E\x04\x02\x00
MID_ED1_#031	Tal y como ocurría hace mil años...\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x0A\x08ルミエル\nPerdona... No imaginas la alegría que supone\npara una madre recuperar a su \x0E\x0A\x00\x14\x08hijo\x08hija.\x0E\x04\x02\x00
MID_ED1_#034	Me he dejado llevar por la emoción.\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x0A\x08リュール\nNo, no pasa nada.\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x0A\x08ルミエル\nEn menudos bretes te estoy poniendo, ¿verdad?\n¿Qué te parece si lo dejamos por hoy?\x0E\x04\x02\x00
MID_ED1_#037	Seguiremos hablando mañana.\x0E\x04\x02\x00
MID_ED1_#038	¿Qué te parece? ¿Me lo prometes?\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x0A\x08リュール\nDe acuerdo.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x02\x0A\x08ルミエル\n¡Ja, ja!\x0E\x04\x02\x00
MID_ED3_#002	Me alegra tanto volver a ver a mi \x0E\x0A\x00<\x1Chijo despierto\x1Chija despierta.\nYa no volveremos a separarnos jamás.\x0E\x04\x02\x00
MID_ED3_#003	Tenemos tanto tiempo perdido que recuperar...\n¡Tantas cosas que ver y hacer \x0E\x0A\x00\x1C\x0Cjuntos\x0Cjuntas!\x0E\x04\x02\x00
MID_ED3_#004	Charlaremos sin parar, pasearemos\ny comeremos \x0E\x0A\x00\x1C\x0Cjuntos\x0Cjuntas... Y entonces...\x0E\x04\x02\x00
MID_ED3_#005	Aunque su memoria...\nSi no recuerda nada, me pregunto si...\x0E\x04\x02\x00
MID_ED3_#006	(...)\x0E\x04\x02\x00
MID_ED3_#007	Emblema Sigurd.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nEstoy aquí.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x0A\x08ルミエル\nNecesito hablar contigo.\x0E\x04\x00\x00
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nMenudo día...\x0E\x04\x02\x00
MID_ED4_#002	La reina Lumera parece tan amable y cariñosa.\nSeguro que era una madre excelente.\x0E\x04\x02\x00
MID_ED4_#003	Ojalá pudiera recordar esos tiempos...\x0E\x04\x02\x00
MID_ED4_#004	Debía de sentirme muy afortunad\x0E\x0A\x00\x08\x02o\x02a\nde ser su hij\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
