MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\n¿Deseas aferrarte a tu inocencia,\na los principios que te han guiado siempre?\x0E\x04\x02\x00
MID_BT19_#004	Aunque dispusieras de un milenio\npara estudiarme, jamás me comprenderías.\x0E\x04\x00\x00
MID_BT19_#005	\x0E\x03\x02\x10\x0EE006_エル\nEl tiempo que pasamos juntos como mellizos\nfue mucho más corto.\x0E\x04\x02\x00
MID_BT19_#006	\x0E\x05\x01 \x0EE006_エル\x0ESerious\nY, aun así, me sobró para darme cuenta\nde lo mucho que me importas.\x0E\x04\x02\x00
MID_BT19_#007	\x0E\x05\x01\x1A\x0EE006_エル\x08Pain\nDetén esto, Nil. Evita que todo vuelva a ser\ncomo en la época de Sombron.\x0E\x04\x02\x00
MID_BT19_#008	Te lo ruego. No soporto la idea de perderte.\x0E\x04\x00\x00
MID_BT20_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nMi deseo se ha hecho realidad.\nDebo darte las gracias, Divinidad.\x0E\x04\x02\x00
MID_BT20_#002	\x0E\x05\x01 \x12E005_Boss\nAngry\n¡Has provocado el fin de este mundo!\x0E\x04\x00\x00
MID_BT20_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1A\x08リュール\x0ESerious\n\x0E\x03\x02\x0A\x08リュール\nTienes razón: mi llegada desencadenó\ntodo lo que ha ocurrido aquí.\x0E\x04\x02\x00
MID_BT20_#004	\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x05\x01\x12\x08リュール\x06Sad\nY, al eliminar la protección del último brazalete,\npuede que haya condenado este lugar.\x0E\x04\x02\x00
MID_BT20_#005	\x0E\x05\x01\x16\x08リュール\nAngry\nPero se me ha invocado para tratar de salvarte,\ny, mientras quede esperanza, no me rendiré.\x0E\x04\x00\x00
MID_BT20_#006	\x0E\x05\x01 \x12E005_Boss\nAngry\n\x0E\x03\x02\x14\x12E005_Boss\nNo lo necesito. Con verte morir me sobra,\n¡sabiendo que tú tienes la culpa de todo!\x0E\x04\x00\x00
MID_BT20_#007	\x0E\x05\x01\x1A\x08リュール\x0ESerious\n\x0E\x03\x02\x0A\x08リュール\nNo estoy aquí para socorrer a vuestro mundo,\nsino a la gente que vive en él.\x0E\x04\x02\x00
MID_BT20_#008	\x0E\x05\x01\x16\x08リュール\nAngry\nVine porque alguien me pidió que os ayudara,\naunque hacerlo supusiera el fin del mundo.\x0E\x04\x02\x00
MID_BT20_#009	¿No te das cuenta de que hay personas que te\nquieren? ¡Haré lo que sea para que lo entiendas!\x0E\x04\x00\x00
MID_BT21_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\n¡Contémplame y tiembla, Zelestia!\n¡Este es el poder de un auténtico dragón!\x0E\x04\x00\x00
MID_BT21_#002	\x0E\x03\x00\x1C\x16E006_セレスティア\x02t\n\x0E\x05\x01 \x16E006_セレスティア\x06Sad\n\x0E\x03\x02\x18\x16E006_セレスティア\nLord Nil... He de admitir que vuestra forma\ndragontina resulta ciertamente impresionante.\x0E\x04\x02\x00
MID_BT21_#003	Pero, aunque quizá así nunca preciséis ayuda\nde nadie, con el tiempo os sentiréis aislado.\x0E\x04\x02\x00
MID_BT21_#004	Carecer de un apoyo es menos liberador\nde lo que seguramente creéis. Pensadlo bien.\x0E\x04\x00\x00
MID_BT21_#005	\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nNo estoy de acuerdo. Eres tú la que se siente\nsola. ¿Echas de menos a tu compañero caído?\x0E\x04\x02\x00
MID_BT21_#006	\x0E\x05\x01 \x12E005_Boss\nSmile\n¡Te enviaré con él de buen grado!\x0E\x04\x00\x00
MID_BT21_#007	\x0E\x05\x01(\x16E006_セレスティア\x0ESerious\n\x0E\x03\x02\x18\x16E006_セレスティア\nMauvier, loco, estaba dispuesta a morir contigo.\nPero, gracias... Aprovecharé esta oportunidad.\x0E\x04\x02\x00
MID_BT21_#008	\x0E\x05\x01$\x16E006_セレスティア\nAngry\n¡Vuestros actos me confieren la fuerza necesaria\npara medirme a vos! ¡Es vuestro fin, lord Nil!\x0E\x04\x00\x00
MID_BT22_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nTú. Me sorprende que no huyas despavorido\nen mi presencia.\x0E\x04\x02\x00
MID_BT22_#002	\x0E\x05\x01 \x12E005_Boss\nSmile\n¿Acaso has reunido el valor para enfrentarte\na una muerte segura? Procuraré que sea rápida.\x0E\x04\x00\x00
MID_BT22_#003	\x0E\x03\x00\x1A\x14E006_グレゴリー\x02t\n\x0E\x05\x01\x1E\x14E006_グレゴリー\x06Shy\n\x0E\x03\x02\x16\x14E006_グレゴリー\nSi vais a matarme, prefiero que me duela.\nSería injusto que yo recibiese un trato mejor.\x0E\x04\x02\x00
MID_BT22_#004	\x0E\x05\x01 \x14E006_グレゴリー\x08Pain\nMauvier no corrió tanta suerte... Seguro que fue\naterrador. Pero, gracias a él, ¡sigo de una pieza!\x0E\x04\x02\x00
MID_BT22_#005	\x0E\x05\x01"\x14E006_グレゴリー\nAngry\n¿Eso no os conmueve lo más mínimo?\n¿¡No os apena la muerte de vuestro caballero!?\x0E\x04\x00\x00
MID_BT22_#006	\x0E\x05\x01 \x12E005_Boss\nRelax\n\x0E\x03\x02\x14\x12E005_Boss\nNo me digas que te consolaría verme\nderramar unas cuantas lágrimas...\x0E\x04\x00\x00
MID_BT22_#007	\x0E\x03\x02\x16\x14E006_グレゴリー\nVoy a daros razones para llorar. Sé que vos sois\nel lord Nil que conocí. No me cabe duda.\x0E\x04\x02\x00
MID_BT22_#008	Acabaré con vos. Pero, antes, ¡os contaré cada\nrecuerdo que tengo de él hasta veros sollozar!\x0E\x04\x02\x00
MID_BT22_#009	¡Lo juro como lugarteniente\nde los Cuatro Vientos!\x0E\x04\x00\x00
MID_BT23_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nConque Mauvier ha muerto...\nEstarás sedienta de sangre, ¿verdad?\x0E\x04\x02\x00
MID_BT23_#002	\x0E\x05\x01 \x12E005_Boss\nSmile\nSi quieres la mía, apresúrate...\nantes de que yo derrame cada gota de la tuya.\x0E\x04\x00\x00
MID_BT23_#003	\x0E\x03\x00\x1A\x14E006_マデリーン\x02t\n\x0E\x05\x01 \x14E006_マデリーン\x08Pain\n\x0E\x03\x02\x16\x14E006_マデリーン\nNo os guardo rencor.\nTampoco deseo cambiar lo que ha ocurrido.\x0E\x04\x02\x00
MID_BT23_#004	Soy una caballero, al igual que lo fue mi mentor.\nAcepto cuanto ha sucedido.\x0E\x04\x00\x00
MID_BT23_#005	\x0E\x05\x01 \x12E005_Boss\nRelax\n\x0E\x03\x02\x14\x12E005_Boss\n¿Dices que no tienes nada contra mí?\n¿Es un chiste? ¿O pretendes que me lo crea?\x0E\x04\x00\x00
MID_BT23_#006	\x0E\x05\x01&\x12E005_Boss\x10Surprise\n\x0E\x03\x02\x16\x14E006_マデリーン\nVos no matasteis a Mauvier. Fue él quien\ndio su vida libremente por nuestro bien.\x0E\x04\x02\x00
MID_BT23_#007	\x0E\x05\x01"\x14E006_マデリーン\nAngry\n\x0E\x05\x01 \x12E005_Boss\nAngry\nEn honor a su sacrificio, pienso poner fin\na vuestros planes.\x0E\x04\x02\x00
MID_BT23_#008	Lo haré en nombre de la justicia.\nEs lo que él habría querido.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x00\x14\x0EE006_エル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1C\x16E006_セレスティア\x024\n\x0E\x03\x02\x0A\x08リュール\nLos brazaletes... ¿Dónde están?\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x10\x0EE006_エル\nUna vez cumplida su función, se desvanecen.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nEntonces ha llegado la hora del adiós.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x14\x12E005_Boss\nPor qué... ¡¿Por qué?! Ni siquiera con el poder\nde los brazaletes he sido rival para ti...\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x10\x0EE006_エル\n¿Lo entiendes ahora?\x0E\x04\x02\x00
MID_ED1_#006	El plan que Sombron designó para ti\nnunca fue el correcto.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x14\x12E005_Boss\nSi no soy capaz de cumplir la voluntad\nde mi padre, mi existencia carece de sentido.\x0E\x04\x02\x00
MID_ED1_#008	Toda mi vida he querido que se me valore...\npero he descubierto que no sirvo para nada.\x0E\x04\x02\x00
MID_ED1_#009	Jamás seré como tú.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x10\x0EE006_エル\nEso no es cierto. Eres mi irremplazable mellizo.\nTú y yo formamos parte de un mismo ser.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x14\x12E005_Boss\nTonterías. Ya te he dicho que no soy Nil.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x10\x0EE006_エル\nLo sé.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\n¿Que no es Nil? ¿A qué se refiere?\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x18\x16E006_セレスティア\nNo lo comprendo...\n¿Qué fue entonces del Nil real?\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x14\x12E005_Boss\nMurió en combate hace un milenio, poco\ndespués de que Nel le diera su piedra dragón.\x0E\x04\x02\x00
MID_ED1_#016	Solo quería que su hermana se sintiera\norgullosa de él.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08リュール\nY tú... ¿quién eres?\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x14\x12E005_Boss\nUn Dragón Caído cuya hermana melliza pereció\ndemasiado pronto para recordarla siquiera.\x0E\x04\x02\x00
MID_ED1_#019	Yo era un niño solitario, sin ningún talento,\nrodeado de parejas de hermanos.\x0E\x04\x02\x00
MID_ED1_#020	Hasta que encontré a Nil, mi viva imagen...\x0E\x04\x02\x00
MID_ED1_#021	Nuestro parecido físico era sorprendente, pero\ndescubrimos que nos unían muchas cosas más.\x0E\x04\x02\x00
MID_ED1_#022	Durante un tiempo fuimos inseparables, casi\ncomo hermanos, algo que me llenaba de alegría.\x0E\x04\x02\x00
MID_ED1_#023	Se convirtió en mi otra mitad.\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x10\x0EE006_エル\n(...)\x0E\x04\x00\x00
MID_ED1_#025	\x0E\x03\x02\x14\x12E005_Boss\nAl menos era lo que yo sentía. Pero él no habría\ncambiado a Nel por nada del mundo.\x0E\x04\x02\x00
MID_ED1_#026	Cuando lo encontré en el campo de batalla,\nal borde de la muerte, solo pensaba en ella.\x0E\x04\x02\x00
MID_ED1_#027	Me entregó su piedra dragón y dijo que no\nquería que Nel llorase nunca su pérdida.\x0E\x04\x02\x00
MID_ED1_#028	Y por eso... me pidió que ocupara su lugar.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\nY así fue como te convertiste en Nil.\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x14\x12E005_Boss\nMe las ingenié para que la gente creyera que fui\nyo quien murió ese día. En cierto modo, así fue.\x0E\x04\x02\x00
MID_ED1_#031	Al fin y al cabo, nadie lamentaría mi muerte.\nNi siquiera padre se daría cuenta...\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x02\x18\x16E006_セレスティア\nMe cuesta creer una palabra de todo esto.\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x14\x12E005_Boss\nNo miento: soy un impostor.\nDeberías matarme sin dudarlo un instante.\x0E\x04\x02\x00
MID_ED1_#034	He traído la ruina a este mundo.\nY, si me permitís vivir, volveré a hacerlo.\x0E\x04\x02\x00
MID_ED1_#035	Aunque solo sea por eso, os sobran motivos\npara acabar conmigo. ¿Qué dices tú, Nel?\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x10\x0EE006_エル\nQue siempre he sabido que no eras Nil.\x0E\x04\x00\x00
MID_ED1_#037	\x0E\x03\x02\x14\x12E005_Boss\n¿Cómo?...\x0E\x04\x00\x00
MID_ED1_#038	\x0E\x03\x02\x10\x0EE006_エル\nHace mucho tiempo que sé de su muerte.\x0E\x04\x02\x00
MID_ED1_#039	No tardé en descubrir el engaño,\npero preferí no destaparlo.\x0E\x04\x02\x00
MID_ED1_#040	Ocupaste su lugar en deferencia a él y también\na mí. Fue un acto de generosidad.\x0E\x04\x02\x00
MID_ED1_#041	Aunque no naciéramos como mellizos,\nsiempre te he considerado mi otra mitad.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x14\x12E005_Boss\nEn ese caso... ¡eres una estúpida!\x0E\x04\x00\x00
MID_ED1_#043	\x0E\x03\x02\x10\x0EE006_エル\nNo me importan tus palabras.\nSolo digo la verdad.\x0E\x04\x02\x00
MID_ED1_#044	Recordarás nuestra visita al cementerio\ndel castillo de Lythos antes de marcharnos...\x0E\x04\x02\x00
MID_ED1_#045	Quizá no te dieras cuenta, pero dejé allí\nuna flor prensada. Pertenecía a Nil.\x0E\x04\x02\x00
MID_ED1_#046	Aquel día no solo quería despedirme\ndel Dragón Divino...\x0E\x04\x00\x00
MID_ED1_#047	\x0E\x03\x02\x0A\x08リュール\nTambién de Nil.\x0E\x04\x00\x00
MID_ED1_#048	\x0E\x03\x02\x10\x0EE006_エル\nPorté aquella flor durante años. Parte de mí,\nhe de suponer, se negaba a pasar página.\x0E\x04\x02\x00
MID_ED1_#049	Y, a pesar de ello, me encariñé\nprofundamente de ti.\x0E\x04\x02\x00
MID_ED1_#050	Tu compañía me rescató de la soledad y la\ndesesperación. Me hacía feliz ser tu hermana.\x0E\x04\x02\x00
MID_ED1_#051	Nunca renegaré del tiempo que pasamos juntos,\nsea cual sea tu opinión al respecto.\x0E\x04\x02\x00
MID_ED1_#052	Sin tu ayuda, no habría sido capaz\nde seguir luchando.\x0E\x04\x02\x00
MID_ED1_#053	Confiaba en ti más que en nadie.\nCreía en ti con todo mi corazón.\x0E\x04\x02\x00
MID_ED1_#054	Que no fuera capaz de adivinar tus intenciones\nes la única prueba de que no éramos mellizos.\x0E\x04\x00\x00
MID_ED1_#055	\x0E\x03\x02\x14\x12E005_Boss\nEs posible. Confieso que anhelaba escuchar algo\nasí. Me parece una buena forma de despedirse.\x0E\x04\x02\x00
MID_ED1_#056	¿Estás lista?\x0E\x04\x00\x00
MID_ED1_#057	\x0E\x03\x02\x10\x0EE006_エル\nSí.\x0E\x04\x00\x00
MID_ED1_#058	\x0E\x03\x02\x14\x12E005_Boss\nGracias. Por todo.\x0E\x04\x02\x00
MID_ED1_#059	Adiós, Nel.\x0E\x04\x00\x00
MID_ED1_#060	\x0E\x03\x02\x10\x0EE006_エル\nAdiós.\x0E\x04\x02\x00
MID_ED1_#061	Arg...\x0E\x04\x00\x00
MID_ED1_#062	\x0E\x03\x02\x14\x12E005_Boss\n¡Para! ¡¿Qué te propones?!\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x02\x0A\x08リュール\n¡¿Nel?!\x0E\x04\x00\x00
MID_ED1_#064	\x0E\x03\x02\x10\x0EE006_エル\nExiste otro modo de acabar con tu sufrimiento.\x0E\x04\x02\x00
MID_ED1_#065	Cuando yo ya no esté, serás libre.\x0E\x04\x02\x00
MID_ED1_#066	Y prefiero morir que perder a nadie más.\x0E\x04\x00\x00
MID_ED1_#067	\x0E\x03\x02\x14\x12E005_Boss\n¡Nel!\x0E\x04\x02\x00
MID_ED1_#068	\x0E\x03\x02\x10\x0EE006_エル\nSi lo hubiera sabido antes...\npodría haber evitado esto...\x0E\x04\x02\x00
MID_ED1_#069	Ver de nuevo a Nil y a mi Dragón Divino...\nQuizá sea demasiado esperar...\x0E\x04\x02\x00
MID_ED1_#070	Pero me consolará saber...\nque te he librado de tu dolor.\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x14\x12E005_Boss\n¿Por qué lo haces? Soy yo quien merecía\neste destino, y no tú.\x0E\x04\x02\x00
MID_ED1_#072	¡Deberías haberme matado!\x0E\x04\x00\x00
MID_ED1_#073	\x0E\x03\x02\x10\x0EE006_エル\nNo soportaba la idea de perder a otro hermano.\nPorque eso significas para mí, a pesar de todo.\x0E\x04\x02\x00
MID_ED1_#074	Antes de que nos separemos,\n¿consentirás en revelarme tu nombre?\x0E\x04\x02\x00
MID_ED1_#075	(...)\x0E\x04\x00\x00
MID_ED1_#076	\x0E\x03\x02\x18\x16E006_セレスティア\n¡Lady Nel! ¡No! ¡No, por favor!\x0E\x04\x00\x00
MID_ED1_#077	\x0E\x03\x02\x0A\x08リュール\nEstá...\x0E\x04\x00\x00
MID_ED1_#078	\x0E\x03\x00"\x1Cデモ用_竜石なし_ラファール\x021\n\x0E\x06\x00.\x1Cデモ用_竜石なし_ラファール\x0EMPID_Il\n\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nYa no está con nosotros.\x0E\x04\x02\x00
MID_ED1_#079	Se ha ido sin una palabra de reproche.\nSin un solo lamento por su propia muerte.\x0E\x04\x02\x00
MID_ED1_#080	Solo quería... conocer mi nombre...\x0E\x04\x02\x00
MID_ED1_#081	(...)\x0E\x04\x02\x00
MID_ED1_#082	\x0E\x06\x006\x1Cデモ用_竜石なし_ラファール\x16MPID_Rafale\n\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nRafal, hermana.\x0E\x04\x02\x00
MID_ED1_#083	Me llamo Rafal.\x0E\x04\x00\x00
MID_ED1_#084	\x0E\x03\x02\x0A\x08リュール\nRafal...\x0E\x04\x00\x00
MID_ED1_#085	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\n¿Cómo he podido permitirlo?\x0E\x04\x02\x00
MID_ED1_#086	Nil me pidió que velara por su hermana.\nFue su último deseo.\x0E\x04\x02\x00
MID_ED1_#087	Y acabó por convertirse también en el mío.\x0E\x04\x02\x00
MID_ED1_#088	Todo lo que yo quería, lo que deseaba\npor encima de todo, era ser su hermano.\x0E\x04\x02\x00
MID_ED1_#089	¿Cuándo olvidé mis propios sentimientos?\x0E\x04\x02\x00
MID_ED1_#090	Dijiste que pondrías fin a mi sufrimiento, Nel...\npero te equivocabas.\x0E\x04\x02\x00
MID_ED1_#091	¡¿Cómo es posible?!\x0E\x04\x00\x00
MID_ED1_#092	\x0E\x03\x02\x0A\x08リュール\nPercibo algo... Los pedazos de la piedra dragón.\nTransmiten una energía muy peculiar.\x0E\x04\x00\x00
MID_ED1_#093	\x0E\x03\x02\x18\x16E006_セレスティア\nEs la magia de Sombron. ¿Creéis que hechizó\nde algún modo esa piedra dragón?\x0E\x04\x02\x00
MID_ED1_#094	Quizá para sembrar el odio en el corazón\nde lord Nil... De Rafal, mejor dicho.\x0E\x04\x02\x00
MID_ED1_#095	Estas piedras se rompen al morir su dueño.\nEl hechizo se disipó cuando lady Nel falleció.\x0E\x04\x00\x00
MID_ED1_#096	\x0E\x03\x02\x0A\x08リュール\nEl plan de Sombron era enfrentaros para evitar\nque ambos os aliarais en su contra.\x0E\x04\x00\x00
MID_ED1_#097	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nTonterías.\x0E\x04\x02\x00
MID_ED1_#098	¿Decís que todo fue culpa de un hechizo?\n¿Que no hay nada que perdonar, en tal caso?\x0E\x04\x02\x00
MID_ED1_#099	¡Es ridículo!\x0E\x04\x02\x00
MID_ED1_#100	Yo soy el único responsable de mis acciones,\nfueran cuales fueran los designios de Sombron.\x0E\x04\x02\x00
MID_ED1_#101	Elegí lo que hice. Era lo que deseaba.\x0E\x04\x02\x00
MID_ED1_#102	Y no pienso compartir mi culpa con nadie.\nNi siquiera con mi padre.\x0E\x04\x00\x00
MID_ED1_#103	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_ED1_#104	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nAnsiaba el poder y lo obtuve.\nY no me arrepiento, ni siquiera ahora.\x0E\x04\x02\x00
MID_ED1_#105	Lo único que desearía es haber mantenido\nla promesa que le hice a Nil.\x0E\x04\x02\x00
MID_ED1_#106	(...)\x0E\x04\x02\x00
MID_ED1_#107	Divinidad.\x0E\x04\x00\x00
MID_ED1_#108	\x0E\x03\x02\x0A\x08リュール\n¿Qué ocurre?\x0E\x04\x00\x00
MID_ED1_#109	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nSe rumorea que los dragones más poderosos\nson capaces de entregar su fuerza vital a otros.\x0E\x04\x02\x00
MID_ED1_#110	¿Crees que es cierto?\x0E\x04\x00\x00
MID_ED1_#111	\x0E\x03\x02\x0A\x08リュール\nSí... Mi madre me confirió a mí su energía.\nPero después tardé mil años en despertar.\x0E\x04\x00\x00
MID_ED1_#112	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nPues yo haré lo mismo.\nReviviré a Nel por mucho que dure su letargo.\x0E\x04\x02\x00
MID_ED1_#113	Deambularé solo en el mundo con la esperanza\nde, algún día, reunirme de nuevo con ella.\x0E\x04\x02\x00
MID_ED1_#114	No se me ocurre mejor castigo\npara expiar mis culpas.\x0E\x04\x02\x00
MID_ED1_#115	Y quizá... si algún día despiertas...\x0E\x04\x02\x00
MID_ED1_#116	pueda llegar a ser de verdad tu otra mitad.\x0E\x04\x00\x00
MID_ED1_#117	\x0E\x03\x02\x0A\x08リュール\nNo me cabe ninguna duda.\x0E\x04\x02\x00
MID_ED1_#118	De hecho... ya lo eres.\x0E\x04\x00\x00
MID_ED1_#119	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\n¿Tú crees?...\x0E\x04\x00\x00
MID_ED1_#120	\x0E\x03\x02\x0A\x08リュール\nRafal, cuando Nel despierte... ¿por qué\nno os venís a vivir conmigo a mi Elyos?\x0E\x04\x00\x00
MID_ED1_#121	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\n¿Qué?\x0E\x04\x00\x00
MID_ED1_#122	\x0E\x03\x02\x0A\x08リュール\nSospecho que seréis capaces de viajar\nde un mundo al otro a través del Somniel.\x0E\x04\x02\x00
MID_ED1_#123	No sé cómo explicarlo, pero puedo sentir\nmi tierra ahora mismo. La noto... más cerca.\x0E\x04\x00\x00
MID_ED1_#124	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nSí... Diría que se ha abierto un portal a otras\ndimensiones. Quizá se deba a los brazaletes.\x0E\x04\x02\x00
MID_ED1_#125	Puede que la conquista de otros mundos\nformara parte de las ambiciones de mi padre...\x0E\x04\x02\x00
MID_ED1_#126	Pero creo que tienes razón. Debería ser posible\nusar el Somniel para viajar del nuestro al tuyo.\x0E\x04\x00\x00
MID_ED1_#127	\x0E\x03\x02\x0A\x08リュール\nEn ese caso, os concederé mi protección\npara que podáis hacerlo cuando estéis listos.\x0E\x04\x02\x00
MID_ED1_#128	Sin la bendición de un Dragón Divino,\nno es posible acceder al Somniel.\x0E\x04\x02\x00
MID_ED1_#129	Venid a buscarme cuando llegue el momento.\nLa invitación no tiene fecha de caducidad.\x0E\x04\x00\x00
MID_ED1_#130	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\n¿Aceptarías como aliado a aquel que ha\nintentado matarte hace solo unos instantes?\x0E\x04\x02\x00
MID_ED1_#131	Si tuviera que contestar yo a esa pregunta,\nla respuesta sería un rotundo "no".\x0E\x04\x02\x00
MID_ED1_#132	Pero entiendo que mil años son mucho tiempo...\x0E\x04\x02\x00
MID_ED1_#133	Si, por algún milagro, Nel despierta\ny tiene a bien perdonarme...\x0E\x04\x02\x00
MID_ED1_#134	me comprometo, solo entonces, a visitarte.\x0E\x04\x00\x00
MID_ED1_#135	\x0E\x03\x02\x0A\x08リュール\nLo comprendo.\x0E\x04\x00\x00
MID_ED1_#136	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nY ahora márchate. No me queda más que decir.\x0E\x04\x00\x00
MID_ED1_#137	\x0E\x03\x02\x0A\x08リュール\nComo desees. Pero espero volver a verte.\x0E\x04\x00\x00
MID_ED1_#138	\x0E\x03\x02\x18\x16E006_セレスティア\n¿Lord Rafal?\x0E\x04\x00\x00
MID_ED1_#139	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\n¿Sí?\x0E\x04\x00\x00
MID_ED1_#140	\x0E\x03\x02\x18\x16E006_セレスティア\nA pesar de cuanto ha ocurrido, os agradezco\nlos momentos que hemos compartido.\x0E\x04\x02\x00
MID_ED1_#141	Confío en que volvamos a encontrarnos\ncomo aliados.\x0E\x04\x00\x00
MID_ED1_#142	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nNo merezco la amabilidad que me dispensas.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1C\x16デモ用_神竜王リュール\x021\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\n\x0E\x03\x00\x1C\x16E006_セレスティア\x022\n\x0E\x03\x00\x1A\x14E006_マデリーン\x023\n\x0E\x03\x00\x1A\x14E006_グレゴリー\x024\n\x0E\x03\x02\x18\x16デモ用_神竜王リュール\nYa estamos aquí.\nDe vuelta en el castillo de Lythos.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x18\x16E006_セレスティア\nSe diría que ha pasado una eternidad\ndesde que nos marchamos.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nHan sucedido tantas cosas desde que conocí\na Nel y a Nil...\x0E\x04\x02\x00
MID_ED2_#004	Reyes, reinas, Emblemas...\nYa no queda ninguno de ellos.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x18\x16E006_セレスティア\nSí... También perdimos a Mauvier.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x16\x14E006_マデリーン\n(...)\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x18\x16E006_セレスティア\n¿Qué vamos a hacer ahora?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x16\x14E006_グレゴリー\nNi idea. Las naciones han perdido a sus líderes.\nQuizá a toda su población, de hecho.\x0E\x04\x02\x00
MID_ED2_#009	Nos toca reconstruir, supongo. ¿O nos rifamos\nlos tronos y nos hacemos llamar reyes?\x0E\x04\x00\x00
