MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\x0E\x03\x02\x08\x06セピア\n¿Cómo planeas demostrar tu arrojo en este\ncampo de batalla alejado de cuanto conoces?\x0E\x04\x02\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01&\x12E002_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E002_Boss\n¡¿Boucheron?!\n¿Tú también eres una aberración?\x0E\x04\x02\x00
MID_BT8_#002	\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\nDeseaba verte una vez más\nen el campo de batalla. Pero no de este modo...\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x03\x00\x10\nブシュロン\x02t\n\x0E\x05\x01\x14\nブシュロン\x06Sad\n\x0E\x03\x02\x0C\nブシュロン\nPríncipe Alfred...\n¿Mi yo de este mundo está ya...?\x0E\x04\x00\x00
MID_BT8_#004	\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nSí, caíste protegiéndome. Y ahora debo matarte\nde nuevo yo mismo... ¡Malditos Nel y Nil!\x0E\x04\x02\x00
MID_BT8_#005	Pero, aunque seas una aberración, espero que\nmis palabras te alcancen. Fuiste un buen amigo.\x0E\x04\x00\x00
MID_BT8_#006	\x0E\x03\x02\x0C\nブシュロン\nSeguro que a mi yo de este mundo\nle agradaría oírlo...\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\n¡Etie! Primero el Dragón Divino y ahora tú.\n¿Por qué solo reaparecen mis más allegados?\x0E\x04\x02\x00
MID_BT9_#002	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\nNo era capaz ni de mirar las flores que dejamos\nen tu recuerdo. El dolor me consumía...\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x03\x00\x10\nエーティエ\x02t\n\x0E\x05\x01\x14\nエーティエ\x06Sad\n\x0E\x03\x02\x0C\nエーティエ\nPerdonadme. Como vasalla, debí haber estado\na vuestro lado para protegeros hasta el final.\x0E\x04\x02\x00
MID_BT9_#004	\x0E\x05\x01\x18\nエーティエ\nAngry\nSé que es cruel haberme presentado ante vos.\nAcabemos ya con esto y os dejaré en paz.\x0E\x04\x00\x00
MID_BT9_#005	\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nEtie, mi fuerte y leal vasalla...\nTe concederé el descanso que mereces.\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x02t\n\x0E\x05\x01\x16\x08セリーヌ\nAngry\n\x0E\x03\x02\x0A\x08セリーヌ\nInvadir Brodia... ¡Jamás he tenido\nuna idea más estúpida! ¡Abre los ojos, Céline!\x0E\x04\x00\x00
MID_BT10_#002	\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E002_Hide\n¿De qué hablas? ¿Yo... soy tú?\n¿Es esta otra argucia del Dragón Caído?\x0E\x04\x02\x00
MID_BT10_#003	\x0E\x05\x01 \x12E002_Hide\nAngry\nSuplicar no te servirá de nada.\n¡Haré que te evapores, por el bien de mi pueblo!\x0E\x04\x00\x00
MID_BT10_#004	\x0E\x03\x02\x0A\x08セリーヌ\nSolo se evaporarán tus ambiciones.\nDeberías recapacitar sobre tus acciones.\x0E\x04\x02\x00
MID_BT10_#005	Una paz sustentada en la guerra no perdurará.\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01"\x12E002_Hide\x0CStrike\n\x0E\x03\x02\x14\x12E002_Hide\n¡Han creado una aberración\na imagen y semejanza de Alfred! Qué crueldad...\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01 \x12E002_Hide\nAngry\n\x0E\x03\x02\x14\x12E002_Hide\nNo me apiadaré de aberraciones. Ni siquiera\nde vos. Aunque... deseaba que nos midiésemos.\x0E\x04\x00\x00
MID_BT12_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\n¿Por qué?\x0E\x04\x00\x00
MID_BT12_#003	\x0E\x05\x01\x1C\x12E002_Hide\x06Die\n\x0E\x03\x02\x14\x12E002_Hide\nPorque, como \x0E\x0A\x00 \x0Ealiados\x0Ealiadas, jamás descubriríamos\nquién de \x0E\x0A\x00\x10\x06los\x06las dos ganaría en un duelo a muerte.\x0E\x04\x02\x00
MID_BT12_#004	\x0E\x05\x01 \x12E002_Hide\nSmile\nAl fin podré satisfacer mi curiosidad. ¡Qué bien!\n¡Caeréis como la más bella de las flores!\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01"\x12E002_Hide\x0CStatus\n\x0E\x03\x02\x14\x12E002_Hide\nSe me hace duro verte de nuevo en el campo\nde batalla. Es como si hubieras vuelto a la vida. \x0E\x04\x00\x00
MID_BT13_#002	\x0E\x03\x00\x0A\x04ルイ\x02t\n\x0E\x05\x01\x0E\x04ルイ\x06Sad\n\x0E\x03\x02\x06\x04ルイ\nEsperaba observaros solamente desde la lejanía,\npero es difícil controlar el curso de la batalla.\x0E\x04\x00\x00
MID_BT13_#003	\x0E\x05\x01\x1C\x12E002_Hide\x06Sad\n\x0E\x03\x02\x14\x12E002_Hide\n¿Te acuerdas del té que solías prepararme?\nNo he vuelto a probarlo desde que moriste.\x0E\x04\x02\x00
MID_BT13_#004	Ya no recuerdo cuán feliz era... ¿Me refrescas la\nmemoria, antes de volver a tu descanso eterno?\x0E\x04\x00\x00
MID_BT13_#005	\x0E\x03\x02\x06\x04ルイ\nOjalá pudiera, pero eso queda fuera\nde mi alcance, princesa Céline...\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E002_Hide\n¿Chloé, de veras eres tú? ¿Has descubierto\nalgo en tu misión de reconocimiento?\x0E\x04\x00\x00
MID_BT14_#002	\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x03\x00\x0C\x06クロエ\x02t\n\x0E\x05\x01\x10\x06クロエ\x06Sad\n\x0E\x03\x02\x08\x06クロエ\n¿Reconocimiento?... ¿De qué hablas?\x0E\x04\x00\x00
MID_BT14_#003	\x0E\x05\x01$\x12E002_Hide\x0ESerious\n\x0E\x03\x02\x14\x12E002_Hide\nComprendo... Tu respuesta lo dice todo.\nTambién eres una aberración. Ya estás muerta.\x0E\x04\x02\x00
MID_BT14_#004	\x0E\x05\x01\x1A\x06クロエ\x10Surprise\nChloé nunca volvió de su misión. Soñaba con\nque siguiera viva, pero era una esperanza vana.\x0E\x04\x02\x00
MID_BT14_#005	\x0E\x05\x01\x10\x06クロエ\x06Sad\n\x0E\x05\x01$\x12E002_Hide\x0EStandBy\nQue los hijos del Dragón Caído me informaran\nde tu muerte... Ah, qué desgracia verte así.\x0E\x04\x00\x00
MID_BT14_#006	\x0E\x03\x02\x08\x06クロエ\nL-lo siento, princesa Céline. Quizá algún...\x0E\x04\x02\x00
MID_BT14_#007	\x0E\x05\x01\x18\x06クロエ\x0ESerious\nNo, no voy a mentirte diciéndote\nque algún día podría regresar.\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01\x1E\x12E002_Hide\x08Pain\n\x0E\x03\x02\x14\x12E002_Hide\nEtie... Imaginaba que acabaría encontrándote.\x0E\x04\x00\x00
MID_BT15_#002	\x0E\x03\x00\x10\nエーティエ\x02t\n\x0E\x05\x01\x14\nエーティエ\x06Sad\n\x0E\x03\x02\x0C\nエーティエ\nYo hubiera preferido no verte.\x0E\x04\x00\x00
MID_BT15_#003	\x0E\x03\x02\x14\x12E002_Hide\nLo mismo digo. Así me habría evitado\nel mal trago de tener que matarte, amiga mía...\x0E\x04\x02\x00
MID_BT15_#004	\x0E\x05\x01\x1C\x12E002_Hide\x06Sad\nDaría lo que fuera por tomarme un té contigo\nuna vez más... Acabemos con esto, por favor.\x0E\x04\x00\x00
MID_BT15_#005	\x0E\x05\x01\x1C\nエーティエ\x0EStandBy\n\x0E\x03\x02\x0C\nエーティエ\nSí... De seguir hablando, podría olvidar que,\nen realidad, no eres la persona que conozco.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_エル\x022\n\x0E\x03\x00\x1A\x14E002_敵ヘクトル\x023\n\x0E\x06\x00.\x14E002_敵ヘクトル\x16MPID_Hector\n\x0E\x03\x02\x0A\x08リュール\nAl fin. Este es el Brazalete del General Audaz.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x10\x0EE002_エル\nEn él reside el Emblema Hector, un líder fiero\nque personifica el espíritu de lucha firenés.\x0E\x04\x02\x00
MID_ED1_#003	Antes era valiente y cortés, aunque,\nsegún cuenta Zelestia, el mal ha anidado en él.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nOjalá pudiera invocarlo\ny darle una nueva oportunidad.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x10\x0EE002_エル\nDe nada sirve lamentarse por algo\nque no tiene remedio. Lo devolveré a su letargo.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nDescansa, Emblema Hector.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x16\x14E002_敵ヘクトル\nGracias...\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x10\x0EE002_エル\n¡Este Emblema también puede hablar!\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x16\x14E002_敵ヘクトル\nEs una lástima tener que irme a dormir\ntan pronto, pero qué se le va a hacer.\x0E\x04\x02\x00
MID_ED1_#010	Espero que todavía podamos luchar juntos...\nalgún día...\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nSeguro que sí.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nAsí que habéis mandado al general a dormir...\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nRey Alfred, te ruego que pongas fin\nal intento de invasión.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x14\x12E002_Boss\nSin el brazalete, no nos queda otra opción...\x0E\x04\x02\x00
MID_ED1_#015	Nil decía que provenís de otro mundo.\n¿Es cierto?\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x0A\x08リュール\nEn efecto.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x14\x12E002_Boss\nTiene sentido. Si fuerais nuestro Dragón Divino,\nno nos habríais arrebatado el brazalete.\x0E\x04\x02\x00
MID_ED1_#018	Os habríais puesto de nuestro lado,\no al menos mostrado más deferencia.\x0E\x04\x02\x00
MID_ED1_#019	Es obvio que no sois \x0E\x0A\x00$\x10la amiga\x10el amigo que conocí.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x00\x18\x12E002_Hide\x023\n\x0E\x03\x02\x14\x12E002_Hide\nAlfred...\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x14\x12E002_Boss\nPero, aun así, me alegra haberos visto.\x0E\x04\x02\x00
MID_ED1_#022	Aunque no seáis de este mundo, sin duda\nposeéis el corazón de un Dragón Divino.\x0E\x04\x02\x00
MID_ED1_#023	Lamento lo que dije antes.\nDe veras pensaba que erais una aberración.\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x14\x12E002_Hide\nY yo les debo una disculpa a Nel y a Nil.\x0E\x04\x02\x00
MID_ED1_#025	Os insulté al asociaros con Sombron.\nNo sois responsables de sus acciones.\x0E\x04\x02\x00
MID_ED1_#026	Siento profundamente haber perdido\nla compostura.\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x10\x0EE002_エル\nAcepto tus disculpas.\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nEs comprensible. Todos estábamos devastados\npor la pérdida del Dragón Divino.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x14\x12E002_Boss\nEstaba pensando...\n¿Por qué no nos lleváis con vosotros?\x0E\x04\x02\x00
MID_ED1_#031	Si queréis reunir los demás brazaletes,\nos vendría bien nuestro apoyo.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x00\x18\x12E002_Hide\x023\n\x0E\x03\x02\x14\x12E002_Hide\n¡Sí! Excelente idea. Mi batallón de caballeros ya\nestá reunido. Podrían acompañarnos también.\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x0A\x08リュール\nPor supuesto. Sería todo un alivio\ncontar con vosotros en lo sucesivo.\x0E\x04\x00\x00
MID_ED1_#034	\x0E\x03\x02\x10\x0EE002_エル\nPor desgracia, no es posible.\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x0A\x08リュール\n¿Qué? ¿Por qué no?\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x10\x0EE002_エル\nEstá fuera de lugar. Además, no te corresponde\na ti decidirlo, Divinidad.\x0E\x04\x02\x00
MID_ED1_#037	Te invocamos para que nos prestases tu ayuda,\npero nuestro ejército no te pertenece.\x0E\x04\x02\x00
MID_ED1_#038	La autoridad de la que dispusieras en tu mundo\nno tiene repercusión alguna en este.\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x0A\x08リュール\nEntiendo... Lo siento.\x0E\x04\x00\x00
MID_ED1_#040	\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nNo, discúlpanos tú a nosotros.\nLas palabras de Nel son crudas pero sinceras.\x0E\x04\x02\x00
MID_ED1_#041	Yo también me opongo a que los fireneses\nse nos unan.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x14\x12E002_Boss\n¿Mi opinión no cuenta?\n¿Vais a obligarme a suplicar de rodillas?\x0E\x04\x02\x00
MID_ED1_#043	Necesito compensaros por trataros\nde forma tan injusta.\x0E\x04\x02\x00
MID_ED1_#044	No me neguéis el honor de protegeros.\x0E\x04\x00\x00
MID_ED1_#045	\x0E\x03\x02\x10\x0EE002_エル\nEl campo de batalla no es lugar para un rey.\x0E\x04\x02\x00
MID_ED1_#046	El pueblo precisa que su líder vele por ellos.\x0E\x04\x00\x00
MID_ED1_#047	\x0E\x03\x02\x10\x0EE002_イル\nAdemás, ¿qué sería de tu reino si te perdiese?\x0E\x04\x02\x00
MID_ED1_#048	Firene quedaría sin monarca y sin heredero.\x0E\x04\x00\x00
MID_ED1_#049	\x0E\x03\x02\x14\x12E002_Boss\nEn tal caso, permitid al menos que Céline\ny sus caballeros os acompañen.\x0E\x04\x00\x00
MID_ED1_#050	\x0E\x03\x02\x10\x0EE002_エル\nLa hermana del rey es esencial para Firene.\nY sus caballeros defienden el castillo.\x0E\x04\x02\x00
MID_ED1_#051	Si queréis congraciaros con nosotros, sugiero\nque antepongáis vuestros propios intereses.\x0E\x04\x00\x00
MID_ED1_#052	\x0E\x03\x02\x14\x12E002_Boss\nMuy bien.\x0E\x04\x00\x00
MID_ED1_#053	\x0E\x03\x00\x18\x12E002_Hide\x024\n\x0E\x03\x02\x14\x12E002_Hide\nSi es vuestro deseo, lo acataremos.\n¿Podemos quedarnos con el brazalete?\x0E\x04\x00\x00
MID_ED1_#054	\x0E\x03\x02\x10\x0EE002_エル\n¿Por qué?\x0E\x04\x00\x00
MID_ED1_#055	\x0E\x03\x02\x14\x12E002_Hide\nTe aseguro que no le daremos un mal uso.\nDe hecho, no podemos despertar Emblemas.\x0E\x04\x02\x00
MID_ED1_#056	Además, si el enemigo planea hacerse con los\nbrazaletes, ¿no es mejor que estén separados?\x0E\x04\x00\x00
MID_ED1_#057	\x0E\x03\x02\x10\x0EE002_エル\nSería lógico, si no fuera porque probablemente\nnuestro rival sí pueda despertar Emblemas.\x0E\x04\x02\x00
MID_ED1_#058	Y, en tal caso, que los Emblemas permanezcan\nen letargo resulta irrelevante.\x0E\x04\x02\x00
MID_ED1_#059	De suceder lo peor, quién sabe qué calamidades\npodría provocar el General Audaz.\x0E\x04\x00\x00
MID_ED1_#060	\x0E\x03\x02\x14\x12E002_Hide\nMmm...\x0E\x04\x00\x00
MID_ED1_#061	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nSí, conviene que lo custodiéis vosotros, ya que\npodéis devolverlo a su reposo. Tiene sentido.\x0E\x04\x00\x00
MID_ED1_#062	\x0E\x03\x02\x10\x0EE002_エル\nGracias por mostrarte tan comprensivo.\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x02\x14\x12E002_Boss\nAsunto zanjado, pues. Volveremos al castillo\ny os dejaremos el brazalete.\x0E\x04\x02\x00
MID_ED1_#064	Me duele separarme de él,\npero al menos lo dejo en las mejores manos.\x0E\x04\x02\x00
MID_ED1_#065	Ah, una cosa más, Divinidad...\x0E\x04\x00\x00
MID_ED1_#066	\x0E\x03\x02\x0A\x08リュール\nDime.\x0E\x04\x00\x00
MID_ED1_#067	\x0E\x03\x02\x14\x12E002_Boss\nLo que más me cuesta aceptar de todo esto\nes volver a despedirme de vos, \x0E\x0A\x00<\x1Cviejo camarada\x1Cvieja camarada.\x0E\x04\x02\x00
MID_ED1_#068	Pero lo importante es que hayáis regresado.\nCuando os perdimos... creí enloquecer.\x0E\x04\x00\x00
MID_ED1_#069	\x0E\x03\x02\x0A\x08リュール\nEsto... ¿Alfred?\x0E\x04\x02\x00
MID_ED1_#070	Nil ya te lo ha explicado... No soy el Dragón\nDivino que conociste, ¿recuerdas?\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x14\x12E002_Boss\n¡Ah, cierto! Qué torpeza por mi parte.\x0E\x04\x02\x00
MID_ED1_#072	Las responsabilidades del trono son nuevas\npara mí, y creo que explican mi agotamiento.\x0E\x04\x02\x00
MID_ED1_#073	Pero no es propio de un rey ser tan olvidadizo.\nSi me descuido, daré pábulo a los rumores...\x0E\x04\x00\x00
MID_ED1_#074	\x0E\x03\x00\x18\x12E002_Hide\x024\n\x0E\x03\x02\x14\x12E002_Hide\nNo te preocupes, majestad: yo te ayudaré.\nRegresemos; es hora de que descanses.\x0E\x04\x02\x00
MID_ED1_#075	Empezaré a buscar el modo de revivir\nnuestra economía sin recurrir a la guerra.\x0E\x04\x02\x00
MID_ED1_#076	En cuanto a vosotros... volved a visitarnos\ncuando hayáis cumplido vuestra misión.\x0E\x04\x00\x00
MID_ED1_#077	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nEso. Os deseo mucha suerte.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_エル\x022\n\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x03\x02\x0A\x08リュール\n¿Qué le ocurría a Alfred?\nSe comportaba de un modo un tanto extraño.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x10\x0EE002_イル\nSería miedo, supongo.\nCuando mi hermana se enfada, causa pavor...\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x10\x0EE002_エル\nNo estaba enfadada.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x0A\x08リュール\nPero Nil no anda desencaminado.\nHiciste algunos comentarios muy hirientes.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x10\x0EE002_エル\nRechazar que se nos unieran fue cuestión\nde principios. No deberías haberlos invitado.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08リュール\nYa he pedido disculpas, ¿no?\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x18\x16E002_セレスティア\nEsto... Lord Nil, ¿ha ocurrido algo\nentre \x0E\x0A\x00\x18\nestos\nestas dos?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x10\x0EE002_イル\nLa tensión ha sido una constante desde el\nprincipio. Se está convirtiendo en un problema.\x0E\x04\x02\x00
MID_ED2_#009	Ya no sé qué hacer para que se lleven bien.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x18\x16E002_セレスティア\nQuizá a Nel le cueste aceptar que se trata\nde otra persona. Habrá sido toda una sorpresa.\x0E\x04\x02\x00
MID_ED2_#011	Antes, ella era tan...\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x10\x0EE002_エル\nOs estoy oyendo, ¿sabéis?\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x18\x16E002_セレスティア\nAh... Mil perdones.\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x0A\x08リュール\nAl menos esta vez no nos hemos topado\ncon asesinos.\x0E\x04\x02\x00
MID_ED2_#015	No sé qué habría pasado en ese caso. Bastante\nnos ha costado luchar con Alfred y Céline...\x0E\x04\x00\x00
MID_ED2_#016	\x0E\x03\x02\x10\x0EE002_イル\nLo que no significa que nos hayamos librado\nde la amenaza... Debemos permanecer alerta.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x02\x0A\x08リュール\n¿Crees que nos enfrentamos a otros mellizos?\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x02\x10\x0EE002_イル\n¿Mellizos?\x0E\x04\x00\x00
MID_ED2_#019	\x0E\x03\x02\x0A\x08リュール\nEn Lythos, Nel aseguró que los hijos\ndel Dragón Caído siempre nacen como tales.\x0E\x04\x02\x00
MID_ED2_#020	Por eso lo decía.\x0E\x04\x00\x00
MID_ED2_#021	\x0E\x03\x02\x10\x0EE002_エル\nEntra dentro de lo posible.\x0E\x04\x02\x00
MID_ED2_#022	Pero casi todos los vástagos del Dragón Caído\npierden a su hermano mellizo al crecer.\x0E\x04\x02\x00
MID_ED2_#023	De modo que no es demasiado probable.\x0E\x04\x00\x00
MID_ED2_#024	\x0E\x03\x02\x0A\x08リュール\nPerdona... ¿Has dicho que "pierden"\na su hermano?\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x18\x16E002_セレスティア\nNunca había oído nada semejante.\x0E\x04\x02\x00
MID_ED2_#026	Vosotros dos aún seguís juntos, al fin y al cabo.\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x02\x10\x0EE002_イル\nSí, y somos conscientes de nuestra\nextraordinaria fortuna.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x18\x16E002_セレスティア\nMe alegro de que no os hayan apartado\nde vuestra otra mitad. Habría sido horrible.\x0E\x04\x00\x00
MID_ED2_#029	\x0E\x03\x02\x10\x0EE002_イル\nGracias, Zelestia.\x0E\x04\x00\x00
MID_ED2_#030	\x0E\x03\x02\x10\x0EE002_エル\nDejémonos de elucubraciones.\nEs hora de centrarse en el brazalete de Brodia.\x0E\x04\x00\x00
MID_ED2_#031	\x0E\x03\x02\x0A\x08リュール\nCorrecto. Siento curiosidad por conocer\nla Brodia de vuestro mundo...\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04イル\x022\n\x0E\x03\x02\x06\x04エル\nParece que perdemos a algún hermano\ncada día que pasa...\x0E\x04\x02\x00
MID_ED3_#002	Cada vez hay menos mellizos\ncomo nosotros.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x06\x04イル\nSí, y los pocos que quedan están todo el rato\nhablando de matarse mutuamente.\x0E\x04\x02\x00
MID_ED3_#004	Se mofan de la debilidad del otro, se ríen\nde otros mellizos que aún no han combatido...\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x06\x04エル\nQué desgracia.\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x06\x04イル\nYo seré el siguiente, estoy seguro.\x0E\x04\x02\x00
MID_ED3_#007	Un fracasado como yo es presa fácil.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x06\x04エル\nNo digas esas cosas.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x06\x04イル\nPero es la verdad...\x0E\x04\x02\x00
MID_ED3_#010	Han muerto muchos que eran más fuertes\nque yo. Y también más útiles para padre.\x0E\x04\x02\x00
MID_ED3_#011	Aunque mi turno no haya llegado aún,\nes cuestión de tiempo.\x0E\x04\x02\x00
MID_ED3_#012	Y tengo miedo.\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x06\x04エル\nNil.\x0E\x04\x02\x00
MID_ED3_#014	Escúchame.\x0E\x04\x02\x00
MID_ED3_#015	Ocurra lo que ocurra, te protegeré. Lo juro.\x0E\x04\x00\x00
