MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x02\x06\x04エル\nMe debato entre el dolor de una separación\nmilenaria y el arrepentimiento de un largo siglo.\x0E\x04\x02\x00
MID_ED1_#043	En este mundo ya no quedan Dragones Divinos,\nasí que debe de ser un Dragón Caído.\x0E\x04\x02\x00
MID_ED1_#044	En otras palabras, uno de nuestros hermanos.\x0E\x04\x00\x00
MID_ED1_#045	\x0E\x03\x02\x0A\x08リュール\nEn ese caso, sabréis de quién puede\ntratarse en concreto, ¿me equivoco?\x0E\x04\x00\x00
MID_ED1_#046	\x0E\x03\x02\x10\x0EE001_イル\nTenemos un gran número de hermanos\ny hermanas. Y no los conocemos a todos.\x0E\x04\x02\x00
MID_ED1_#047	Muchos perecieron en la última guerra.\nNo tenemos noticias de cuántos sobrevivieron.\x0E\x04\x00\x00
MID_ED1_#048	\x0E\x03\x02\x10\x0EE001_エル\nEl poder de controlar a los Emblemas es\npoco usual. Recordaríamos a quien lo poseyera.\x0E\x04\x02\x00
MID_ED1_#049	Quizá nació después de separarnos\nde Sombron. O adquirió más tarde su poder.\x0E\x04\x00\x00
MID_ED1_#050	\x0E\x03\x02\x10\x0EE001_イル\nLos poderes dragontinos son impredecibles. Yo\nno puedo transformarme ni controlar Emblemas.\x0E\x04\x02\x00
MID_ED1_#051	Sombron me veía como un fracasado. Si hubiera\nseguido a su lado, seguramente estaría muerto.\x0E\x04\x00\x00
MID_ED1_#052	\x0E\x03\x02\x0A\x08リュール\nQué horror...\x0E\x04\x00\x00
MID_ED1_#053	\x0E\x03\x02\x10\x0EE001_イル\nSobreviví gracias a Nel, que me llevó\ncon ella cuando decidió marcharse.\x0E\x04\x02\x00
MID_ED1_#054	Me enfurece pensar que nuestros propios\nhermanos quizá sean los culpables de todo esto.\x0E\x04\x02\x00
MID_ED1_#055	Utilizar un talento como el suyo\npara hacer el mal... Qué desperdicio.\x0E\x04\x00\x00
MID_ED1_#056	\x0E\x03\x02\x0A\x08リュール\nNil...\x0E\x04\x00\x00
MID_ED1_#057	\x0E\x03\x02\x10\x0EE001_イル\nLo lamento. No era mi intención agriar\nel ambiente con mis diatribas.\x0E\x04\x00\x00
MID_ED1_#058	\x0E\x03\x02\x10\x0EE001_エル\nDivinidad, nuestro objetivo es desbaratar\nlos planes del misterioso sucesor de Sombron.\x0E\x04\x02\x00
MID_ED1_#059	Como luchamos por devolver a los Emblemas\na su letargo, no podrán ayudarnos.\x0E\x04\x02\x00
MID_ED1_#060	En vista de este contratiempo, me pregunto\nsi aún deseas unirte a nuestra causa. ¿Y bien?\x0E\x04\x00\x00
MID_ED1_#061	\x0E\x03\x02\x0A\x08リュール\nSí, os ayudaré.\x0E\x04\x00\x00
MID_ED1_#062	\x0E\x03\x02\x10\x0EE001_イル\n¡Fantástico! Supone todo un alivio contar\ncontigo en nuestro bando. ¿Verdad, Nel?\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x02\x10\x0EE001_エル\nA tenor de lo visto en la última batalla,\ndebo admitir que así es.\x0E\x04\x02\x00
MID_ED1_#064	Pero luchar junto a un dragón muerto\nme sigue resultando perturbador.\x0E\x04\x00\x00
MID_ED1_#065	\x0E\x03\x02\x0A\x08リュール\nAh, conque te perturbo...\x0E\x04\x00\x00
MID_ED1_#066	\x0E\x03\x02\x10\x0EE001_イル\n¡No os peleéis, os lo ruego!\x0E\x04\x02\x00
MID_ED1_#067	Daos la mano y procurad llevaros bien\nde ahora en adelante, ¿de acuerdo?\x0E\x04\x00\x00
MID_ED1_#068	\x0E\x03\x02\x10\x0EE001_エル\nMe niego.\x0E\x04\x00\x00
MID_ED1_#069	\x0E\x03\x02\x0A\x08リュール\nEn ese caso, yo también.\x0E\x04\x00\x00
MID_ED1_#070	\x0E\x03\x02\x10\x0EE001_イル\nPor lo menos podríais intentar\nno echaros los trastos a la cabeza...\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x10\x0EE001_エル\nDebemos despedirnos antes de abandonar\nel castillo, Nil.\x0E\x04\x00\x00
MID_ED1_#072	\x0E\x03\x02\x10\x0EE001_イル\nAh, cierto.\x0E\x04\x00\x00
MID_ED1_#073	\x0E\x03\x02\x0A\x08リュール\nNo sabía que hubiera nadie más aquí.\n¿Es alguien que yo conozca?\x0E\x04\x00\x00
MID_ED1_#074	\x0E\x03\x02\x10\x0EE001_エル\nPronto lo sabrás. Pero acaso el descubrimiento\nno sea de tu agrado.\x0E\x04\x00\x00
MID_ED1_#075	\x0E\x03\x02\x0A\x08リュール\nMmm...\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_エル\x021\n\x0E\x03\x00\x14\x0EE001_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x0A\x08リュール\nParece una especie de lápida...\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x10\x0EE001_エル\nAquí reposa el Dragón Divino.\nEs decir, esta es tu tumba.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x10\x0EE001_エル\nTe lo advertí.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x10\x0EE001_イル\nNo nos demoraremos, Divinidad.\nSi lo deseas, puedes volver y dejarnos aquí.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08リュール\nAl contrario... ¿Me permitís decir unas palabras?\x0E\x04\x02\x00
MID_ED2_#007	Quisiera hablar con mi otro yo,\nel que vivía aquí con vosotros.\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x10\x0EE001_イル\nSería un gesto precioso.\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x0A\x08リュール\nVisitar mi propia tumba... no es algo\nque planeara hacer jamás.\x0E\x04\x02\x00
MID_ED2_#010	Ahora entiendo por qué a Nel le perturba\ntoda esta situación...\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x10\x0EE001_エル\n(...)\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x0A\x08リュール\nPrometo recoger tu testigo y proteger\na quienes amabas con todo mi empeño.\x0E\x04\x02\x00
MID_ED2_#013	Y con eso me despido, reflejo mío... Adiós.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04イル\x022\n\x0E\x03\x02\x06\x04イル\nSnif. Snif. Ay...\x0E\x04\x02\x00
MID_ED3_#002	¿Por qué no puedo convertirme en dragón\ncomo tú o como padre?\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x06\x04エル\nTranquilo, no pasa nada.\nAlgún día lo conseguirás.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x06\x04イル\n¡No valgo para nada! ¡Soy débil!\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x06\x04エル\nNo, Nil. Tienes más fuerza de la que crees,\ny algún día llegarás a convertirte en dragón.\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x06\x04イル\n¿Cuándo?\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x02\x06\x04エル\nNi siquiera padre sabría decirlo con seguridad.\x0E\x04\x02\x00
MID_ED3_#008	Pero, hasta entonces, guarda esto.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x0B\x00v
MID_ED3_#010	Sin ella no podrás transformarte...\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x0B\x01>
MID_ED3_#012	Somos como dos caras de la misma moneda,\nNil. Debemos compartir nuestro poder.\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x06\x04イル\n(...)\x0E\x04\x02\x00
MID_ED3_#014	Nuestro poder...\x0E\x04\x00\x00
