MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nEn las tinieblas de la soledad, ¿no desearías\nque la luz obedeciera tus designios?\x0E\x04\x02\x00
MID_BT8_#006	\x0E\x05\x01\x12\x08リュール\x06Sad\n\x0E\x03\x02\x0A\x08リュール\nLo lamento. Solo el Dragón Divino de este\nmundo podría asumir tal responsabilidad, pero...\x0E\x04\x02\x00
MID_BT8_#007	\x0E\x05\x01\x16\x08リュール\nAngry\nsí que puedo detener el conflicto librando\nla batalla que tú deseas evitar.\x0E\x04\x02\x00
MID_BT8_#008	¡Perdóname por enfrentarme a ti!\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\n¿Amber? ¿Qué clase de visión es esta?\nAcaso he perdido la cordura...\x0E\x04\x02\x00
MID_BT9_#002	\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\nPor más que me empeñe, no consigo apartar\nde mi vista este espejismo... ¡Ja, ja, ja!\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x03\x00\x0E\x08アンバー\x02t\n\x0E\x05\x01\x1C\x08アンバー\x10Surprise\n\x0E\x03\x02\x0A\x08アンバー\n¿Qué pasa, príncipe Diamant?\n¿Os hago gracia?\x0E\x04\x00\x00
MID_BT9_#004	\x0E\x03\x02\x14\x12E003_Boss\nMe río por pura desesperación. Te vi morir\ndefendiéndome... ¿Y ahora he de combatirte?\x0E\x04\x02\x00
MID_BT9_#005	\x0E\x05\x01\x12\x08アンバー\x06Sad\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n¿Eres una ilusión? ¿Una aberración?\nPoco importa: es necesario que acabe contigo.\x0E\x04\x02\x00
MID_BT9_#006	\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\n¿Sigues teniendo el mismo espíritu alegre\nde siempre? Cuánto lo he echado de menos...\x0E\x04\x00\x00
MID_BT9_#007	\x0E\x03\x02\x0A\x08アンバー\nAsí que mi yo de este mundo ha muerto...\x0E\x04\x02\x00
MID_BT9_#008	Lo siento, príncipe Diamant...\nMe duele haberos entristecido.\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\n\x0E\x03\x02\x14\x12E003_Boss\n¿Jade? ¿Qué haces aquí? Ja... Esta escena\nparece sacada de una de tus comedias...\x0E\x04\x02\x00
MID_BT10_#002	¿Recuerdas? El viejo al que se creía muerto\ny que despierta con un gran bostezo. ¡Genial!\x0E\x04\x02\x00
MID_BT10_#003	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\nCuando moriste, esperé por si despertabas así.\nCuánto nos habríamos reído juntos...\x0E\x04\x00\x00
MID_BT10_#004	\x0E\x03\x00\x0E\x08ジェーデ\x02t\n\x0E\x05\x01\x12\x08ジェーデ\x06Sad\n\x0E\x03\x02\x0A\x08ジェーデ\nPríncipe Diamant...\x0E\x04\x00\x00
MID_BT10_#005	\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\n¿Por qué no regresaste entonces?\n¡¿Por qué lo has hecho precisamente ahora?!\x0E\x04\x02\x00
MID_BT10_#006	Cuando comenzaba a pasar página, reapareces\ny me obligas a recordar tiempos mejores...\x0E\x04\x00\x00
MID_BT10_#007	\x0E\x03\x02\x0A\x08ジェーデ\nLamento abrir viejas heridas,\npero no soy la Jade que conocisteis.\x0E\x04\x02\x00
MID_BT10_#008	Para vos soy una extraña de rostro familiar\ncuya misión es derrotaros.\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\n¡Saphir! ¿Por qué te alías con ellos?\n¡Es a mí a quien debes lealtad!\x0E\x04\x00\x00
MID_BT11_#002	\x0E\x03\x00\x10\nザフィーア\x02t\n\x0E\x05\x01\x1E\nザフィーア\x10Surprise\n\x0E\x03\x02\x0C\nザフィーア\n¿Príncipe Diamant? Estáis confundido...\x0E\x04\x00\x00
MID_BT11_#003	\x0E\x03\x02\x14\x12E003_Boss\nYa veo... Solo eres una extraña\nque tiene su mismo aspecto, ¿verdad?\x0E\x04\x02\x00
MID_BT11_#004	\x0E\x05\x01\x14\nザフィーア\x06Sad\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\nNo cabe otra posibilidad.\nSaphir murió hace mucho tiempo...\x0E\x04\x02\x00
MID_BT11_#005	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\nAun así, cada vez que entro en el campo\nde batalla, imagino que está a mi lado.\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01&\x12E003_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E003_Hide\n¡Un momento! Tú... ¡eres yo!\x0E\x04\x00\x00
MID_BT12_#002	\x0E\x03\x00\x10\nスタルーク\x02t\n\x0E\x05\x01\x16\nスタルーク\x08Pain\n\x0E\x03\x02\x0C\nスタルーク\nTe equivocas. Nuestros rostros son idénticos,\npero palidezco en comparación contigo.\x0E\x04\x00\x00
MID_BT12_#003	\x0E\x05\x01"\x12E003_Hide\x0CStatus\n\x0E\x03\x02\x14\x12E003_Hide\nQué servil... ¿Acaso eres una ilusión? De nada\nte servirá proyectar tus debilidades en mí.\x0E\x04\x02\x00
MID_BT12_#004	Venceré incluso contra mí mismo. Ya lo verás.\x0E\x04\x00\x00
MID_BT12_#005	\x0E\x05\x01\x14\nスタルーク\x06Sad\n\x0E\x03\x02\x0C\nスタルーク\nHala... ¡Qué emoción! Somos tan similares...\nSin embargo... ¡tú rezumas confianza!\x0E\x04\x02\x00
MID_BT12_#006	Ojalá compartiese ese rasgo contigo.\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01 \x12E003_Hide\nAngry\n\x0E\x03\x02\x14\x12E003_Hide\n¿Eh? Hermano, no soy tu enemigo. ¿O buscas\nlibrarte de mí en medio del caos de la batalla?\x0E\x04\x02\x00
MID_BT13_#002	\x0E\x05\x01$\x12E003_Hide\x0EStandBy\nSi ese es tu propósito, acepto el desafío.\x0E\x04\x00\x00
MID_BT13_#003	\x0E\x03\x00\x12\x0Cディアマンド\x02t\n\x0E\x05\x01\x16\x0Cディアマンド\x06Sad\n\x0E\x03\x02\x0E\x0Cディアマンド\nMe da la impresión de que nuestra relación\nen este mundo deja mucho que desear...\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01 \x12E003_Hide\nAngry\n\x0E\x03\x02\x14\x12E003_Hide\nVos... ¿Quién sois realmente?\x0E\x04\x02\x00
MID_BT14_#002	Llevo un tiempo preguntándomelo.\n¿Por qué adoptáis el aura del Dragón Divino?\x0E\x04\x00\x00
MID_BT14_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1A\x08リュール\x0EStandBy\n\x0E\x03\x02\x0A\x08リュール\nNo he adoptado nada. ¿Me creerás si te digo\nque provengo de otro mundo?\x0E\x04\x00\x00
MID_BT14_#004	\x0E\x05\x01$\x12E003_Hide\x0EStandBy\n\x0E\x03\x02\x14\x12E003_Hide\nInsistís en la patraña de haceros pasar\npor el Dragón Divino. Qué osadía la vuestra.\x0E\x04\x02\x00
MID_BT14_#005	\x0E\x05\x01 \x12E003_Hide\nSmile\nPero seguid. Así me entretendré hasta que\nos decapite y ponga fin a vuestra existencia.\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01&\x12E003_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E003_Hide\nNo puedo creerme que estés aquí...\x0E\x04\x02\x00
MID_BT15_#002	\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\nTe apareces ante mí porque me odias.\nPorque juré protegerte y falté a mi palabra.\x0E\x04\x00\x00
MID_BT15_#003	\x0E\x03\x00\x0C\x06ラピス\x02t\n\x0E\x05\x01\x1A\x06ラピス\x10Surprise\n\x0E\x03\x02\x08\x06ラピス\nNo digáis tonterías... Jamás podría odiaros.\x0E\x04\x02\x00
MID_BT15_#004	\x0E\x05\x01\x14\x06ラピス\nSmile\nSi mi doble de este mundo murió sabiendo\nque vos seguíais a salvo, se iría satisfecha.\x0E\x04\x02\x00
MID_BT15_#005	Así que no sufráis, por favor.\x0E\x04\x00\x00
MID_BT15_#006	\x0E\x05\x01\x1C\x12E003_Hide\x06Sad\n\x0E\x03\x02\x14\x12E003_Hide\nNo eres más que una alucinación. Permitir\nque nubles mi juicio es darle alas al enemigo.\x0E\x04\x02\x00
MID_BT15_#007	\x0E\x05\x01$\x12E003_Hide\x0ESerious\nCon todo... Cuánto me habría gustado\nque me hubieras visto ascender al trono, Lapis.\x0E\x04\x00\x00
MID_BT15_#008	\x0E\x05\x01\x10\x06ラピス\x06Sad\n\x0E\x03\x02\x08\x06ラピス\nNo habría cambiado nada. Para mí,\nsois maravilloso al margen de vuestro destino.\x0E\x04\x00\x00
MID_BT16_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\n\x0E\x03\x02\x14\x12E003_Hide\n¿Citrinne? Volver a verte es doloroso,\nsabiendo que no logré salvarte.\x0E\x04\x02\x00
MID_BT16_#002	Nadie de tu noble casa sobrevivió. Para mí erais\nfamilia. Cada una de vuestras muertes supuso...\x0E\x04\x00\x00
MID_BT16_#003	\x0E\x03\x00\x10\nシトリニカ\x02t\n\x0E\x05\x01\x14\nシトリニカ\x06Sad\n\x0E\x03\x02\x0C\nシトリニカ\nTemía encontrarte... Qué le vamos a hacer.\nSiento tanta lástima al ver cómo me miras...\x0E\x04\x00\x00
MID_BT16_#004	\x0E\x05\x01\x1C\x12E003_Hide\x06Sad\n\x0E\x03\x02\x14\x12E003_Hide\nNo hay riqueza en este mundo que repare\nla pérdida de una vida. El dolor es insufrible.\x0E\x04\x02\x00
MID_BT16_#005	\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\nDebí haber muerto yo aquel día. Deseaba\nque tú fueses feliz. ¡Que todos lo fuerais!\x0E\x04\x00\x00
MID_BT16_#006	\x0E\x05\x01\x14\nシトリニカ\x06Shy\n\x0E\x03\x02\x0C\nシトリニカ\nEste Alcryst está tan seguro de sí mismo... pero\nsé que en el fondo es como el que conozco.\x0E\x04\x02\x00
MID_BT16_#007	Sé que hiciste todo lo posible. Por más que te\nduela, me alegro de haber sido yo la que murió.\x0E\x04\x00\x00
MID_BT17_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nザフィーア\x02t\n\x0E\x05\x01\x18\nザフィーア\nRelax\n\x0E\x03\x02\x0C\nザフィーア\nOs conducís con arrogancia en este mundo,\nmi señor. Me resulta extraño, pero lo veo bien.\x0E\x04\x00\x00
MID_BT17_#002	\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01&\x12E003_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E003_Hide\n¿Saphir? ¿Será otra visión?\nSé que caíste protegiendo a mi padre...\x0E\x04\x00\x00
MID_BT17_#003	\x0E\x05\x01\x1E\nザフィーア\x10Surprise\n\x0E\x03\x02\x0C\nザフィーア\n¿De veras? Bueno, no se me ocurre mejor forma\nde morir que defendiendo al rey Morion.\x0E\x04\x02\x00
MID_BT17_#004	\x0E\x05\x01\x18\nザフィーア\nRelax\nPero dejémonos de historias y pasemos\na la acción. ¡Demostradme de qué sois capaz!\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E003_Boss\x021\n\x0E\x03\x00\x18\x12E003_Hide\x022\n\x0E\x03\x00\x14\x0EE003_エル\x023\n\x0E\x03\x00\x14\x0EE003_イル\x024\n\x0E\x03\x02\x14\x12E003_Boss\nSe acabó. Acepto la derrota.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x14\x12E003_Hide\n¡No, Diamant! ¡No podemos rendirnos!\n¡Nos han arrebatado el brazalete!\x0E\x04\x02\x00
MID_ED1_#003	¡Tenemos que recuperarlo!\n¡Vamos, intentémoslo de nuevo!\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x14\x12E003_Boss\n¿Y cuál es tu plan? Escuchemos esa idea\ncapaz de cambiar las tornas... ¡Soy todo oídos!\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x14\x12E003_Hide\n(...)\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x14\x12E003_Boss\nNel, Nil... Nos retiramos de la contienda.\x0E\x04\x02\x00
MID_ED1_#007	No interferiremos más. El brazalete queda en\nvuestras manos, igual que el destino de Brodia.\x0E\x04\x02\x00
MID_ED1_#008	Traed la paz a nuestro mundo... os lo ruego.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x10\x0EE003_エル\nEs el Brazalete de la Heredera Solitaria...\nNo cabe ninguna duda.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08リュール\nCon este, ya poseemos cuatro.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x10\x0EE003_エル\nDentro de él reside el Emblema Veronica.\nPuede invocar guerreros de otros mundos.\x0E\x04\x02\x00
MID_ED1_#012	El mal la ha corrompido, al igual que le ocurrió\nal Emblema de Firene. Quizá suceda con todos.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x00\x1C\x16E003_敵ヴェロニカ\x022\n\x0E\x06\x004\x16E003_敵ヴェロニカ\x1AMPID_Veronica\n\x0E\x03\x02\x18\x16E003_敵ヴェロニカ\n¿Ahora estoy con vosotros?\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nAsí es, Emblema Veronica.\x0E\x04\x02\x00
MID_ED1_#015	Pero no te obligaremos a luchar.\nPor ahora, puedes descansar.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x18\x16E003_敵ヴェロニカ\nYa veo... Os lo agradezco,\naunque no hace que me sienta menos sola.\x0E\x04\x02\x00
MID_ED1_#017	Cuando despierte, espero que sigáis a mi lado,\naunque no medie contrato que os ligue a mí.\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x0A\x08リュール\nNo te preocupes: nos acompañarás durante\nnuestro viaje. Y, algún día, volveremos a vernos.\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x10\x0EE003_イル\nPues asunto arreglado, supongo.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x00\x1A\x14E003_グレゴリー\x022\n\x0E\x03\x02\x16\x14E003_グレゴリー\nMenos mal... No tengo por costumbre combatir,\nasí que de ganar... mejor ni os cuento.\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x10\x0EE003_エル\nCierto. Todos, exceptuando al Dragón Divino,\ntendemos a huir cuando las cosas se complican.\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nNo negaré lo que dices. Cada uno de nosotros\nse ha visto obligado a escapar de algo.\x0E\x04\x00\x00
MID_ED1_#023	\x0E\x03\x02\x0A\x08リュール\n¿De qué habláis?\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x18\x16E003_セレスティア\nHace mil años, durante la guerra, Sombron\narrasó mi aldea y busqué refugio en Lythos.\x0E\x04\x02\x00
MID_ED1_#025	Mis poderes no estaban a la altura\nde los de otros dragones magos.\x0E\x04\x02\x00
MID_ED1_#026	Por eso yo me oculté mientras que mi familia\ny amigos, todos grandes hechiceros, perecieron.\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x0A\x08リュール\nAh...\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x02\x18\x16E003_セレスティア\nSombron planeaba utilizar a los dragones magos\ncomo soldados, pero no nos sometimos a él.\x0E\x04\x02\x00
MID_ED1_#029	Y ahora soy la última de mi especie...\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x16\x14E003_グレゴリー\nYo vivía en Elusia, donde era un seguidor de\nSombron. Pero no soportaba aquella situación.\x0E\x04\x02\x00
MID_ED1_#031	El Dragón Caído ansiaba sangre y dolor,\ny sus discípulos satisfacían gustosos ese deseo.\x0E\x04\x02\x00
MID_ED1_#032	Aquel fervor se me antojaba excesivo, así que\nfingía... hasta que un sacerdote me delató.\x0E\x04\x02\x00
MID_ED1_#033	No me quedó otra alternativa que huir. Era eso\no entregar mi vida como sacrificio a Sombron.\x0E\x04\x00\x00
MID_ED1_#034	\x0E\x03\x02\x18\x16E003_セレスティア\nCuando Gregory vino a Lythos, lo acogí.\nMe salvó la vida en una brutal batalla en Elusia.\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x16\x14E003_グレゴリー\nLo cuentas como si fuera una especie de héroe.\nTe rodeaban aberraciones y quise ayudarte.\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x00\x14\x0EE003_イル\x022\n\x0E\x03\x02\x10\x0EE003_イル\nComo todos sabéis, yo no soy más\nque un fracasado.\x0E\x04\x02\x00
MID_ED1_#037	Sigo vivo gracias a que Nel y yo escapamos\njuntos de las garras de Sombron.\x0E\x04\x00\x00
MID_ED1_#038	\x0E\x03\x02\x10\x0EE003_エル\nNo eres ningún fracasado. No sé cuántas\nveces vas a obligarme a repetírtelo, Nil.\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x10\x0EE003_イル\nLo siento. Me consta que no te gusta\nque hable de ese modo...\x0E\x04\x02\x00
MID_ED1_#040	Pero tú eres más fuerte que yo. Te habrías\nenfrentado a cualquiera... de no ser por mí.\x0E\x04\x02\x00
MID_ED1_#041	Así que creo que deberías haberte incluido\na ti misma entre las excepciones.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x10\x0EE003_エル\nNo. Me he limitado a huir, al igual que vosotros.\x0E\x04\x00\x00
MID_ED1_#043	\x0E\x03\x02\x10\x0EE003_イル\nEso no es cierto.\nNunca te he visto escapar ante el peligro.\x0E\x04\x00\x00
MID_ED1_#044	\x0E\x03\x02\x10\x0EE003_エル\nSí que he eludido mis responsabilidades.\x0E\x04\x02\x00
MID_ED1_#045	Debería haber impedido que la nobleza de las\ncuatro naciones se hiciera con los brazaletes.\x0E\x04\x00\x00
MID_ED1_#046	\x0E\x03\x02\x10\x0EE003_イル\nSolo respetabas sus deseos. Dijiste que era\nlo que el Dragón Divino hubiera querido.\x0E\x04\x00\x00
MID_ED1_#047	\x0E\x03\x02\x10\x0EE003_エル\nLo hice para camuflar mis temores.\x0E\x04\x02\x00
MID_ED1_#048	Temía que mis súplicas serían rechazadas.\nQue perdería a nuestros aliados.\x0E\x04\x02\x00
MID_ED1_#049	Y que tendría que enfrentarme a ellos\nen el castillo de Lythos.\x0E\x04\x00\x00
MID_ED1_#050	\x0E\x03\x02\x10\x0EE003_イル\nNo sabía nada de eso...\x0E\x04\x00\x00
MID_ED1_#051	\x0E\x03\x02\x10\x0EE003_エル\nYa lo veis: yo también hui cuando no me\ncorrespondía. Podía haber parado todo esto.\x0E\x04\x02\x00
MID_ED1_#052	Y de ahí que no abandonase el castillo\nde Lythos hasta que llegó \x0E\x0A\x00F nuestro salvador"nuestra salvadora.\x0E\x04\x02\x00
MID_ED1_#053	En definitiva, podría afirmarse que soy culpable\nde la situación en la que nos encontramos.\x0E\x04\x00\x00
MID_ED1_#054	\x0E\x03\x02\x10\x0EE003_イル\nNo estoy de acuerdo.\nTú no has hecho nada malo.\x0E\x04\x00\x00
MID_ED1_#055	\x0E\x03\x02\x18\x16E003_セレスティア\nOpino igual que Nil. Si hay que buscar\nun culpable, es el enemigo, no vos.\x0E\x04\x00\x00
MID_ED1_#056	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nNunca pensé que alguien tan fuerte como vos\ntambién tuviera que huir de algo, mi señora Nel.\x0E\x04\x02\x00
MID_ED1_#057	Quizá solo seamos una panda de enclenques...\nPero seguimos vivos, que es lo que cuenta.\x0E\x04\x00\x00
MID_ED1_#058	\x0E\x03\x02\x10\x0EE003_エル\nDesde luego, al Dragón Divino no le bastó\nsu poder para sobrevivir...\x0E\x04\x00\x00
MID_ED1_#059	\x0E\x03\x02\x0A\x08リュール\nNel...\x0E\x04\x00\x00
MID_ED1_#060	\x0E\x03\x02\x10\x0EE003_イル\nYa basta. ¡Arriba esos ánimos! Vais a conseguir\narruinarle la moral al nuevo Dragón Divino...\x0E\x04\x02\x00
MID_ED1_#061	Las cosas han cambiado. Todos hemos\ndemostrado saber defendernos en una batalla.\x0E\x04\x02\x00
MID_ED1_#062	Y en buena medida te lo debemos a ti.\nContar con tu guía ha sido una bendición.\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nMuy cierto.\x0E\x04\x00\x00
MID_ED1_#064	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nSí, habéis sido de gran ayuda para todos.\x0E\x04\x00\x00
MID_ED1_#065	\x0E\x03\x02\x10\x0EE003_エル\nYo también quiero agradecer tu colaboración.\x0E\x04\x02\x00
MID_ED1_#066	Al menos hasta ahora.\x0E\x04\x00\x00
MID_ED1_#067	\x0E\x03\x02\x0A\x08リュール\nJa... Debí haberme imaginado\nque añadirías algún matiz.\x0E\x04\x02\x00
MID_ED1_#068	Pero sé que no lo dices con mala intención,\nasí que gracias. Me alegra ser de utilidad.\x0E\x04\x00\x00
MID_ED1_#069	\x0E\x03\x02\x10\x0EE003_イル\nBueno, aún nos queda mucha tarea por delante.\nNo perdamos más tiempo.\x0E\x04\x00\x00
MID_ED1_#070	\x0E\x03\x02\x0A\x08リュール\n¿Adónde nos dirigimos?\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x10\x0EE003_エル\nA la patria del saber, hacia el oeste.\nEl Reino de Elusia.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x1E\x18デモ用_邪竜のきょうだい\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nMirad, pero si es Nel...\nEl orgullo de nuestra estirpe.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nNo solo se transforma, sino que también es\ncapaz de dormir a los Emblemas. ¿Verdad, Nel?\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nDebe de ser todo un trauma tener\nsemejante deshonra de mellizo.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x06\x04エル\n¿Hablas de Nil?\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nAh, ¿así se llama ese perdedor?\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nEs que nunca me acuerdo.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\n¿No te da miedo contagiarte\nde todos sus defectos?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nSi quieres, te libramos de él. Sería fácil...\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nNo hace más que lastrarte.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\n¿A que sí, Nel?\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\n¿Qué respondes?\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x06\x04エル\n(...)\x0E\x04\x02\x00
MID_ED2_#013	Supongo que estáis bromeando.\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\n¿Eh?\x0E\x04\x00\x00
MID_ED2_#015	\x0E\x03\x02\x06\x04エル\nDigo que no podéis hablar en serio.\x0E\x04\x02\x00
MID_ED2_#016	Si de verdad os propusieseis matar a mi\nhermano, no me quedaría más remedio que...\x0E\x04\x02\x00
MID_ED2_#017	Tendría que...\x0E\x04\x02\x00
MID_ED2_#018	(...)\x0E\x04\x02\x00
MID_ED2_#019	¿Qué...?\n¿Qué ha ocurrido?\x0E\x04\x02\x00
MID_ED2_#020	¿Esto es... obra mía?\x0E\x04\x02\x00
MID_ED2_#021	¡¿Qué he hecho?!\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x03\x02\x0A\x08ソンブル\nEliminar a los débiles.\x0E\x04\x00\x00
MID_ED2_#023	\x0E\x03\x02\x06\x04エル\n(...)\x0E\x04\x02\x00
MID_ED2_#024	Perdóname, padre. No era mi intención...\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x0A\x08ソンブル\nNo hay nada que perdonar.\x0E\x04\x02\x00
MID_ED2_#026	Continúa, por favor.\nNo era mi intención interrumpir la matanza.\x0E\x04\x02\x00
MID_ED2_#027	Creo que serás una digna heredera.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x06\x04エル\nYo...\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE003_エル\x021\n\x0E\x03\x00\x18\x12E003_Boss\x022\n\x0E\x03\x00\x18\x12E003_Hide\x023\n\x0E\x03\x02\x14\x12E003_Hide\n¡Tú!\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x02\x14\x12E003_Boss\nYa te hemos dicho que Brodia se retira\ndel conflicto. ¿Qué más garantía necesitas?\x0E\x04\x02\x00
MID_ED3_#003	¿Y por qué te han dejado pasar los guardias?\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x10\x0EE003_エル\nLos maté.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x14\x12E003_Boss\n(...)\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x10\x0EE003_エル\nDelegar en ellos vuestra propia seguridad\nha sido un grave error.\x0E\x04\x02\x00
MID_ED3_#007	Y ahora, me gustaría saber si el ataque\nal castillo de Lythos fue obra vuestra. Hablad.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x14\x12E003_Boss\n¿Qué estás diciendo? ¿Qué ataque a Lythos?\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x14\x12E003_Hide\n¿Qué país osaría hacer algo así? ¿Firene?\nLo dudo... Quizá Elusia...\x0E\x04\x00\x00
