MID_MENU_YES	Vale
MID_MENU_PROFILE_CARD_HELP	Revisa tu perfil e intercambia\nfichas con jugadores en línea.
MID_RINGLIST_SKILLLIST_TITLE	Efectos de lazo
MID_RINGLIST_BONDSRING_NAME	Anillo lazo
MID_RINGLIST_BONDSRING_NAME_MULTIPLE	Anillos lazo
MID_RINGLIST_BONDSRINGLIST_TITLE	Efectos del anillo lazo
MID_MAINMENU_START	Nueva partida
MID_MAINMENU_CONTINUE	Continuar
MID_MAINMENU_OPTION	Ajustes
MID_MAINMENU_SAVEDATA_COPY	Copiar
MID_MAINMENU_SAVEDATA_DELETE	Borrar
MID_MAINMENU_LANGUAGE_SETTING	Idioma
MID_MAINMENU_LANGUAGE_SETTING_HELP	Cambia el idioma del juego.
MID_MAINMENU_LANGUAGE_MESS	Texto
MID_MAINMENU_LANGUAGE_VOICE	Voz
MID_MAINMENU_LANGUAGE_CONFIRM	¿Cambiar idioma?
MID_MAINMENU_LANGUAGE_CONFIRM_YES	Cambiar
MID_MAINMENU_PRIVILEFE_LABEL	© Nintendo / INTELLIGENT SYSTEMS
MID_MAINMENU_GAME_VERSION	Ver. \x0E\x01\x00\x00
MID_GAMESTART_PRESS_ANY_BUTTON	PULSA UN BOTÓN
MID_GAMESTART_MODE_TITLE	Modo
MID_GAMESTART_PLAYER_NAME_TITLE	Nombre
MID_GAMESTART_PLAYER_BIRTHDAY_TITLE	Cumpleaños
MID_GAMESTART_DIFFICULTY_TITLE	Dificultad
MID_GAMESTART_GROWMODE_TITLE	Mejora
MID_GAMESTART_NETWORK_SERVICE_TITLE	Red
MID_GAMESTART_DIFFICULTY_SELECT_TITLE	Dificultad
MID_GAMESTART_DIFFICULTY_SELECT_HELP	Elige un nivel de dificultad.
MID_GAMESTART_MODE_SELECT_TITLE	Modo
MID_GAMESTART_MODE_SELECT_HELP	Elige un modo.
MID_GAMESTART_GROWMODE_SELECT_TITLE	Mejora de atributos
MID_GAMESTART_GROWMODE_SELECT_HELP	Elige cómo progresarán las unidades.
MID_GAMESTART_GROEMODE_LOCKED_BY_LUNATIC	Para seleccionar que las mejoras de atributos\nal subir de nivel sean aleatorias en la dificultad\nExtremo, primero debes superar el juego\nen dicha dificultad.
MID_GAMESTART_NETWORK_SERVICE_ON	Sí
MID_GAMESTART_NETWORK_SERVICE_OFF	No
MID_GAMESTART_PLAYER_GENDER_SELECT_TITLE	Aspecto
MID_GAMESTART_PLAYER_GENDER_SELECT_HELP	Elige el aspecto de tu personaje.
MID_GAMESTART_PLAYER_NAME_INPUT	Introduce un nombre.
MID_GAMESTART_PLAYER_NAME_CHECK	¿Te parece bien este nombre? (Los caracteres\nque no se puedan mostrar aparecerán como \x0E\x01\x00\x00.)
MID_GAMESTART_PLAYER_NAME_CHECK_YES	Sí
MID_GAMESTART_PLAYER_NAME_CHECK_NO	No
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_TITLE	Cumpleaños
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_HELP	Introduce la fecha de cumpleaños.
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_MONTH	Mes
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_DAY	Día
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_MONTH_DAY	\x0E\x01\x01\x00/\x0E\x01\x00\x00
MID_GAMESTART_NETWORK_SERVICE_SELECT_TITLE	Ajustes en línea
MID_GAMESTART_NETWORK_SERVICE_SELECT_HELP	Conéctate a la red\npara jugar en línea.
MID_GAMESTART_CONFIRM_FINAL	¿Comenzar la partida?
MID_GAMESTART_CONFIRM_FINAL_OK	Comenzar
