MID_TUT_CATEGORY_TITLE_Battle	Batalla
MID_TUT_GOD_LIN_2	El arma de fusión Arco asesino permite\nasestar golpes críticos con frecuencia.
MID_TUT_GOD_LIN_3	La habilidad de fusión Invocar dobles permite\ncrear dobles ilusorios que pueden encadenar\nataques con la unidad.
MID_TUT_GOD_LIN_4	El ataque de fusión Tormenta Fobos permite\nasestar 5 golpes de largo alcance consecutivos\ncon el arco.
MID_TUT_GOD_LUCINA_TITLE	Emblema Lucina
MID_TUT_GOD_LUCINA_0	El punto fuerte del Emblema Lucina es la\ncooperación. Alcanza su máximo potencial\ncuando combate cerca de sus aliados.
MID_TUT_GOD_LUCINA_1	La habilidad de sincronización Golpe doble\npermite al usuario encadenar ataques\nindependientemente de su tipo de unidad.
MID_TUT_GOD_LUCINA_2	El arma de fusión Estoque noble inflige daño\nextra a las unidades de caballería y acorazadas.
MID_TUT_GOD_LUCINA_3	La habilidad de fusión Refuerzo escudo\nproporciona una elevada probabilidad de\nevitar los ataques contra aliados adyacentes.
MID_TUT_GOD_LUCINA_4	El ataque de fusión Todos para uno permite\nencadenar ataques a todo aliado en un radio\nde 2 casillas con independencia de su tipo.
MID_TUT_GOD_IKE_TITLE	Emblema Ike
MID_TUT_GOD_IKE_0	El sólido ataque y la resistencia del Emblema\nIke aumentan conforme sufre daño.
MID_TUT_GOD_IKE_1	La habilidad de sincronización Tenacidad\nhace que la defensa y la resistencia aumenten\na medida que se reducen los PV.
MID_TUT_GOD_IKE_2	El arma de fusión Martillo permite asestar\ngolpes rotundos e infligir daño extra\na las unidades acorazadas.
MID_TUT_GOD_IKE_3	La habilidad de fusión Defensa laguz\ndisminuye a la mitad el daño sufrido,\npero reduce la Esq de la unidad a 0.
MID_TUT_GOD_IKE_4	El ataque de fusión Gran Éter permite aumentar\nla defensa de la unidad durante un turno,\nlanzar un ataque de área y recuperar PV.
MID_TUT_GOD_KAMUI_TITLE	Emblema Corrin
MID_TUT_GOD_KAMUI_0	El Emblema Corrin puede limitar el movimiento\ndel enemigo y cambiar el terreno\npara alterar el curso de la batalla.
MID_TUT_GOD_KAMUI_1	La habilidad de sincronización Vena de dragón\nañade efectos especiales al terreno según el tipo\nde unidad del usuario y anula llamas y miasma.
MID_TUT_GOD_KAMUI_2	El arma de fusión Katana doble, al contrario que\nla mayoría de las espadas, otorga ventaja ante\nlas lanzas, aunque es vulnerable a las hachas.
MID_TUT_GOD_KAMUI_3	La habilidad de fusión Cazacorazones inmoviliza\nal objetivo y a los rivales adyacentes a él\ndurante 1 turno si la unidad inicia el ataque.
MID_TUT_GOD_KAMUI_4	El ataque de fusión Rugido torrencial golpea\nal enemigo inundando una fila de 3 casillas\nfrente a la unidad y anula llamas y miasma.
MID_TUT_GOD_BYLETH_TITLE	Emblema Byleth
MID_TUT_GOD_BYLETH_0	El talento del Emblema Byleth para\nla instrucción aumenta los atributos de\nlos aliados para conducirlos hacia la victoria.
MID_TUT_GOD_BYLETH_1	La habilidad de sincronización Pulso Divino\na veces consigue que los ataques fallidos\nse conviertan en aciertos.
MID_TUT_GOD_BYLETH_2	La primera arma de fusión del Emblema Byleth\nes una reliquia de los héroes: un objeto que\nvaría para cada tipo de unidad.
MID_TUT_GOD_BYLETH_3	La habilidad de fusión Influencia permite\nmejorar los atributos de los aliados cercanos.
MID_TUT_GOD_BYLETH_4	El ataque de fusión Danza de la Diosa otorga a\nlos aliados adyacentes una mejora de atributos\ny una acción adicional si ya han actuado.
MID_TUT_GOD_EIRIK_TITLE	Emblema Eirika
MID_TUT_GOD_EIRIK_0	El Emblema Eirika se turna con su hermano\nmellizo, Ephraim, para adaptarse a las diferentes\nsituaciones de la batalla.
MID_TUT_GOD_EIRIK_1	La habilidad de sincronización Brazalete lunar\naumenta el daño infligido en función de la\ndefensa del enemigo.
MID_TUT_GOD_EIRIK_2	El arma de fusión Estoque inflige daño extra\na las unidades de caballería y acorazadas.
MID_TUT_GOD_EIRIK_3	La habilidad de fusión Gemelos sagrados\npermite utilizar las habilidades de Eirika\ny Ephraim de manera simultánea.
MID_TUT_GOD_EIRIK_4	El ataque de fusión Golpe gemelo permite usar\nespada y lanza, aumentando la posibilidad de\nruptura, e inflige daño extra a las aberraciones.
MID_TUT_GOD_LUEUR_TITLE	Emblema \x0E\x06\x03\x00
MID_TUT_GOD_LUEUR_0	El Emblema \x0E\x06\x03\x00 puede usar Fusión +\ndurante la batalla para fusionarse con un aliado\nsin necesidad de estar sincronizados.
MID_TUT_GOD_LUEUR_1	La habilidad de sincronización Tejevínculos\naumenta Gol y Esq de la unidad y los aliados\nsincronizados o fusionados cercanos.
MID_TUT_GOD_LUEUR_2	El arma de fusión Lyrátion otorga + 1 al\ncontador de fusión de los aliados adyacentes si\nla unidad inicia el combate y derrota a un rival.
MID_TUT_GOD_LUEUR_3	La habilidad de fusión Sintonía aumenta mucho\nlos atributos de la unidad fusionada cuando\nderrota a un enemigo tras iniciar el ataque.
MID_TUT_GOD_LUEUR_4	El ataque de fusión Ráfaga dragón lanza un\nataque con espada y uno mágico e inflige gran\ndaño hasta a los enemigos con Def y Res altas.
MID_TUT_GOD_LUEUR_KL_TITLE	Lazo del Emblema \x0E\x06\x03\x00
MID_TUT_GOD_LUEUR_KL_0	A diferencia de otros Emblemas, el nivel de lazo\nde \x0E\x06\x03\x00 depende del nivel de apoyo\ndel aliado en lugar de la Exp de lazo.
MID_TUT_GOD_LUEUR_KL_1	La ausencia de nivel de apoyo corresponde\nal nivel 1 de lazo; el C, al nivel 5; el B,\nal nivel 10; y el A, al nivel 20.
MID_TUT_ENGAGE_PLUS_TITLE	Fusión +
MID_TUT_ENGAGE_PLUS_0	Cuando el contador de fusión de \x0E\x06\x03\x00\nse llena, puedes fusionarte con un aliado\nadyacente seleccionando "Fusión +".
MID_TUT_ENGAGE_PLUS_1	El Emblema \x0E\x06\x03\x00 se fusiona\ncon el aliado y ambos entran en estado\nde fusión.
MID_TUT_ENGAGE_PLUS_2	Mientras el Emblema \x0E\x06\x03\x00 y la unidad\nfusionada estén adyacentes, Ráfaga dragón\nse potencia y se convierte en Ráfaga fusión.
MID_TUT_BMAP_SORTIE_TITLE	Preparativos para la batalla
MID_TUT_BMAP_SORTIE_0	Antes de una batalla, puedes seleccionar qué\naliados te acompañarán, así como gestionar\ntus objetos y anillos\x0E\x01\x0B\x00 Emblema.
MID_TUT_BMAP_SORTIE_1	Cuando termines los preparativos, selecciona\n"¡A luchar!" para empezar el combate.
MID_TUT_BMAP_UNIT_SELECT_TITLE	Unidades
MID_TUT_BMAP_UNIT_SELECT_0	En "Unidades" puedes elegir los aliados\nque lucharán junto a ti. Usa \x0E\x08\x02\x04\x02A para\nañadir o quitar el icono \x0E\x08\x02\x16\x14IconSortie.
MID_TUT_BMAP_UNIT_SELECT_1	Los aliados que aparecen resaltados en verde\nno se pueden excluir de la batalla.
MID_TUT_BMAP_UNIT_SELECT_2	Cada mapa tiene un número determinado\nde aliados que pueden unirse al combate.
MID_TUT_BMAP_MAPVERIFICATION_TITLE	Despliegue de unidades
MID_TUT_BMAP_MAPVERIFICATION_0	Usa "Despliegue" para cambiar la posición\nde los aliados antes de empezar el combate.
MID_TUT_BMAP_MAPVERIFICATION_1	Selecciona el aliado que quieras mover\ncon \x0E\x08\x02\x04\x02A.
MID_TUT_BMAP_MAPVERIFICATION_2	Selecciona otro aliado con \x0E\x08\x02\x04\x02A para\nintercambiar sus posiciones. Algunos\naliados no pueden moverse.
MID_TUT_BMAP_MAPVERIFICATION_3	Puedes aprovechar el momento para consultar\nla información del terreno y los atributos de\nlos enemigos con el cursor.
MID_TUT_BMAP_HERALDICCHOICE_TITLE	Anillos\x0E\x01\x0B\x00 Emblema
MID_TUT_BMAP_HERALDICCHOICE_0	Usa la opción "Emblemas" para asignar\nEmblemas a tus aliados, de modo que\npuedan sincronizarse con ellos en combate.
MID_TUT_BMAP_HERALDICCHOICE_1	Para emparejar a un aliado con un Emblema,\nselecciona un aliado y, a continuación,\nun anillo\x0E\x01\x0A\x00 Emblema.
MID_TUT_BMAP_GETTINGDRESSED_TITLE	Inventario
MID_TUT_BMAP_GETTINGDRESSED_0	Selecciona "Inventario" para elegir las armas\ny los objetos que usarás durante la batalla.
MID_TUT_BMAP_GETTINGDRESSED_1	Organiza el equipo de tus aliados con "Objetos"\ne intercambia objetos con el carro o con otros\naliados con la opción "Intercambiar".
MID_TUT_BMAP_GETTINGDRESSED_2	Para equipar a tus aliados automáticamente\ndesde el carro, selecciona la opción\n"Optimizar equipamiento".
MID_TUT_BMAP_GETTINGDRESSED_3	Con la opción "Depositar todo", puedes\ndevolver al carro todos los objetos\ndel aliado seleccionado.
MID_TUT_BMAP_EQUIP_SKILL_TITLE	Habilidades
MID_TUT_BMAP_EQUIP_SKILL_0	En el menú "Inventario", selecciona la opción\n"Habilidades" para ver las habilidades de tus\naliados y equipar las habilidades heredadas.
MID_TUT_BMAP_EQUIP_SKILL_1	Los aliados pueden heredar habilidades\nde los Emblemas en el coliseo y en la Sala\nde Emblemas del Somniel.
MID_TUT_BMAP_CLASSCHANGE_TITLE	Cambio de clase
MID_TUT_BMAP_CLASSCHANGE_0	Las unidades de nivel 10 o más pueden usar\nun sello maestro para promocionar a una clase\navanzada.
MID_TUT_BMAP_CLASSCHANGE_1	Cambiar a una clase avanzada permite a las\nunidades mejorar sus atributos y les da acceso\na nuevas armas y habilidades más poderosas.
MID_TUT_BMAP_CLASSCHANGE_2	Puedes usar un segundo sello para cambiar\na otro tipo de clase diferente del mismo rango.
MID_TUT_BMAP_CLASSCHANGE_3	Puedes cambiar la clase de tus unidades\nen el menú del inventario.
MID_TUT_BMAP_APTITUDE_TITLE	Dominio de armas
MID_TUT_BMAP_APTITUDE_0	Para que una unidad pueda cambiar de clase,\nes necesario que posea cierto nivel de dominio\nde algunas armas o artes de combate.
MID_TUT_BMAP_APTITUDE_1	Cada unidad posee de partida un nivel\ndeterminado de dominio de ciertos aspectos\ndel combate en los que tiene más potencial.
MID_TUT_BMAP_APTITUDE_2	No obstante, es posible llegar a dominar\nnuevas formas de combate gracias a los\nEmblemas. Esto permite cambiar de clase.
MID_TUT_GMAP_BASIC_TITLE	Mapa
MID_TUT_GMAP_BASIC_0	Usa el mapa para seleccionar un destino\no pasar al capítulo siguiente.
MID_TUT_GMAP_BASIC_1	Para iniciar un capítulo nuevo, mueve\na \x0E\x06\x03\x00 al destino\ncorrespondiente y pulsa \x0E\x08\x02\x04\x02A.
MID_TUT_GMAP_BASIC_2	Puedes usar el menú para gestionar\nel inventario o volver al Somniel.
MID_TUT_GMAP_SIDE_TITLE	Desvíos
MID_TUT_GMAP_SIDE_0	A medida que progrese la historia,\naparecerán en el mapa capítulos especiales\nllamados "desvíos".
MID_TUT_GMAP_SIDE_1	Aunque no es necesario completar los desvíos,\nhacerlo te reportará grandes beneficios.\n¡Incluso podrías encontrar nuevos aliados!
MID_TUT_GMAP_ENCOUNT_TITLE	Escaramuzas
MID_TUT_GMAP_ENCOUNT_0	A veces podrían volver a aparecer soldados\nenemigos o aberraciones en los mapas\nque ya has completado.
MID_TUT_GMAP_ENCOUNT_1	Puedes volver a visitar esos lugares para librar\nbatallas opcionales llamadas "escaramuzas".
MID_TUT_GMAP_ENCOUNT_2	Aprovecha estas batallas para obtener\nexperiencia y ganar recompensas como oro\ny diversos objetos.
MID_TUT_GMAP_RANKING_TITLE	Clasificación
MID_TUT_GMAP_RANKING_0	Mientras estés en línea, podrás ver las unidades\ny Emblemas que más han desplegado otros\njugadores en un mapa determinado.
MID_TUT_GMAP_RANKING_1	Estos datos pueden serte muy útiles\na la hora de decidir qué unidades usarás.
MID_TUT_KR_KIZUNARESULT_TITLE	Exploración
MID_TUT_KR_KIZUNARESULT_0	Tras la batalla, puedes explorar el mapa\nlibremente y charlar con tus aliados.
MID_TUT_KR_KIZUNARESULT_1	Hasta puede que encuentres objetos\npor el suelo.
MID_TUT_KR_KIZUNARESULT_2	Para finalizar la exploración, dirígete\na la salida o abre el menú con \x0E\x08\x02\x0A\x08Plus\ny selecciona "Partir".
MID_TUT_KR_KIZUNAPIECE_TITLE	Fragmentos de lazo
MID_TUT_KR_KIZUNAPIECE_0	En ocasiones, tus aliados te entregarán\nfragmentos de lazo si conversas con ellos\ndurante la exploración.
MID_TUT_KR_KIZUNAPIECE_1	Usa fragmentos de lazo en el Somniel para\ncrear anillos lazo o entrenar con Emblemas.
MID_TUT_KR_KIZUNAPIECE_2	Cuando acabes de explorar, obtendrás\nautomáticamente los fragmentos de lazo\nque se te hayan pasado.
MID_TUT_HUB_BASIC_TITLE	El Somniel
MID_TUT_HUB_BASIC_0	El Somniel es tu cuartel general.\nAllí podrás prepararte para la próxima batalla\ne interactuar con tus aliados.
MID_TUT_HUB_BASIC_1	A medida que progrese la historia,\nse abrirán nuevas zonas y habrá más\nactividades disponibles en el Somniel.
MID_TUT_HUB_BASIC_2	Abre el mapa para continuar tu aventura.\nPuedes acceder a él desde el menú\no dirigiéndote a la salida situada en la plaza.
MID_TUT_HUB_CENTRALLOBBY_OPEN	La cafetería ya ha abierto.
MID_TUT_HUB_CENTRALLOBBY_TITLE	Cafetería
MID_TUT_HUB_CENTRALLOBBY_0	La cafetería es un espacio común de relajación\ncon puntos de acceso a otras instalaciones.
MID_TUT_HUB_CENTRALLOBBY_1	Usa el gramófono para cambiar\nla música ambiental en el Somniel.
MID_TUT_HUB_CENTRALLOBBY_2	El tablón de anuncios ofrece información útil.\nPuedes usarlo para hacer donaciones a las\nnaciones de Elyos o consultar tus logros.
MID_TUT_HUB_INVESTMENT_TITLE	Donaciones
MID_TUT_HUB_INVESTMENT_0	Si apoyas a las regiones de Elyos mediante\ndonaciones, te enviarán regalos como muestra\nde agradecimiento.
MID_TUT_HUB_INVESTMENT_1	En los países con un nivel alto de donación\nes más probable que aparezcan enemigos raros\nque otorgan más oro y Exp si los derrotas.
MID_TUT_HUB_INVESTMENT_2	Un nivel alto de donaciones te reportará\notros beneficios, como la posibilidad de\nencontrar más recursos al visitar el país.
MID_TUT_HUB_INFORMATION_TITLE	Mapa del Somniel
MID_TUT_HUB_INFORMATION_0	Consulta el mapa del Somniel para ver\ndónde se encuentran tus aliados y el estado\nde las instalaciones.
MID_TUT_HUB_INFORMATION_1	Selecciona un área del Somniel\npara desplazarte allí inmediatamente.
MID_TUT_HUB_ACHIEVEMENT_TITLE	Logros
MID_TUT_HUB_ACHIEVEMENT_0	Consulta todas tus hazañas en la pantalla\nde logros. Puedes ganar fragmentos de lazo\npor tus esfuerzos.
MID_TUT_HUB_ACHIEVEMENT_1	Cuando completes un logro, aparecerá una\nnotificación. ¡Recuerda reclamar los fragmentos\nde lazo que tanto mereces!
MID_TUT_HUB_MYROOM_TITLE	Tus aposentos
MID_TUT_HUB_MYROOM_0	La estancia sagrada donde \x0E\x06\x03\x00\nreposó durante su letargo de mil años.
MID_TUT_HUB_MYROOM_1	Selecciona "Descansar" para dormir\ny dejar que transcurra el tiempo en el Somniel.
MID_TUT_HUB_MYROOM_2	Es posible que oigas cosas interesantes\nmientras descansas. Es recomendable usar\nauriculares para no perderte ningún detalle.
MID_TUT_HUB_MYROOM_3	Selecciona "Recuerdos" para rememorar\nconversaciones de apoyo y acontecimientos\npasados.
MID_TUT_HUB_MYROOM_4	La opción "Dificultad" permite reducir el nivel\nde dificultad del juego, pero no aumentarla.
MID_TUT_HUB_WEAPONSHOP_OPEN	La armería y el bazar ya han abierto.
MID_TUT_HUB_WEAPONSHOP_TITLE	Armería
MID_TUT_HUB_WEAPONSHOP_0	Aquí puedes comprar y vender armas.
MID_TUT_HUB_WEAPONSHOP_1	La oferta de la armería se ampliará a medida\nque progrese la historia y llegue nuevo\ngénero al establecimiento.
MID_TUT_HUB_ITEMSHOP_TITLE	Bazar
MID_TUT_HUB_ITEMSHOP_0	Aquí puedes comprar y vender objetos\nque se usan en batalla, como pociones\ny bastones.
MID_TUT_HUB_ITEMSHOP_1	A medida que la historia progrese, el bazar\ndispondrá de más artículos a la venta.
MID_TUT_HUB_HERALDICSPACE_OPEN	Ya puedes acceder a la Sala de Emblemas.
MID_TUT_HUB_HERALDICSPACE_TITLE	La Sala de Emblemas
MID_TUT_HUB_HERALDICSPACE_0	En la Sala de Emblemas puedes interactuar\ncon los Emblemas y sus anillos\x0E\x01\x0B\x00.\nAquí es donde puedes heredar sus habilidades.
MID_TUT_HUB_HERALDICSPACE_1	Puedes usar fragmentos de lazo\npara combinar y fortalecer anillos lazo\no crear otros nuevos.
MID_TUT_HUB_HERALDICSPACE_2	Pule los anillos\x0E\x01\x0B\x00 Emblema tras luchar\npara fortalecer tus lazos con los Emblemas.
MID_TUT_HUB_INHERITSKILL_TITLE	Heredar habilidades
MID_TUT_HUB_INHERITSKILL_0	Los aliados pueden adquirir ciertas\nhabilidades de los Emblemas mediante\nla opción "Heredar habilidades".
MID_TUT_HUB_INHERITSKILL_1	Gana nivel de lazo y puntos de habilidad (PH)\nluchando junto a Emblemas sincronizados\ny llevando anillos lazo para heredar habilidades.
MID_TUT_HUB_INHERITSKILL_2	Las habilidades heredadas estarán disponibles\nen el inventario de la unidad.
MID_TUT_HUB_INHERITSKILL_3	No es posible recibir el efecto de la misma\nhabilidad dos veces, así que intenta evitar\nlos solapamientos.
MID_TUT_HUB_CREATE_RING_TITLE	Crear anillos lazo
MID_TUT_HUB_CREATE_RING_0	Es posible crear anillos lazo\nusando fragmentos de lazo.
MID_TUT_HUB_CREATE_RING_1	Los anillos lazo permiten ganar PH y otorgan\nmejoras de atributos, aunque no en la misma\ncuantía que los anillos\x0E\x01\x0B\x00 Emblema.
MID_TUT_HUB_ENGWEAPON_REFINE_OPEN	Ahora puedes potenciar las armas de fusión\nde tus Emblemas en la Sala de Emblemas.
MID_TUT_HUB_ENGWEAPON_REFINE_TITLE	Armas de fusión
MID_TUT_HUB_ENGWEAPON_REFINE_0	Potencia las armas de fusión con cristales\npara mejorar sus atributos y añadiéndoles\neficacia frente a ciertos tipos de enemigos.
MID_TUT_HUB_ENGWEAPON_REFINE_1	Podrás adquirir materiales para potenciar\nlas armas de fusión en La Tormenta\ny los retos por relevos.
MID_TUT_HUB_ENGWEAPON_REFINE_2	Cada arma de fusión tiene una capacidad\nde potenciación. Cuando alcance el máximo\nde su capacidad, no podrás potenciarla más.
MID_TUT_HUB_ENGWEAPON_REFINE_3	Vuelve al estado original para probar diferentes\nefectos, o aumenta su capacidad subiendo\nel nivel de lazo del Emblema con los aliados.
MID_TUT_HUB_MASCOT_OPEN	El aire de la gruta está impregnado\nde un aura misteriosa.
MID_TUT_HUB_MASCOT_TITLE	\x0E\x06\x05\x00
MID_TUT_HUB_MASCOT_0	\x0E\x06\x05\x00 es una enigmática criatura\nque ha vivido en esta tierra desde tiempos\ninmemoriales.
MID_TUT_HUB_MASCOT_1	Si cuidas bien de ella, puede que ocurran\ncosas maravillosas.
MID_TUT_HUB_MUSCLEEXERCISES_OPEN	El entrenamiento físico ya está disponible.
MID_TUT_HUB_MUSCLEEXERCISES_TITLE	Entrenamiento físico
MID_TUT_HUB_MUSCLEEXERCISES_0	El entrenamiento físico se compone de tres\nejercicios a elegir para aumentar temporalmente\nlos atributos de \x0E\x06\x03\x00.
MID_TUT_HUB_MUSCLEEXERCISES_1	Cada ejercicio es diferente y afecta a un\natributo diferente. ¡Intenta conseguir la máxima\npuntuación en todos ellos!
MID_TUT_HUB_MUSCLEEXERCISES_2	A medida que progreses en la historia,\nse desbloquearán más niveles de dificultad.
MID_TUT_HUB_ME_PUSHUPS_TITLE	Flexiones
MID_TUT_HUB_ME_PUSHUPS_0	En las flexiones, lo que cuenta es la precisión.\nPara la barra en la posición correcta cuando\nacelere. Si fallas tres veces, se acabó.
MID_TUT_HUB_ME_PUSHUPS_1	Haz el número de flexiones que se indica para\ncompletar la actividad. ¡La barra irá cada vez\nmás rápido, así que mantén la concentración!
MID_TUT_HUB_ME_PUSHUPS_2	¡Ponte en forma!
MID_TUT_HUB_ME_SITUP_TITLE	Abdominales
MID_TUT_HUB_ME_SITUP_0	Para los abdominales hay que pulsar botones\nsin cesar. Pulsa rápidamente para elevar\nla barra. Si llega abajo, se acabó.
MID_TUT_HUB_ME_SITUP_1	Subir la barra será más difícil cada vez, pero,\ncuanto más rápido hagas que suba, mejor será\ntu puntuación.
MID_TUT_HUB_ME_SITUP_2	¡Ponte en forma!
MID_TUT_HUB_ME_SQUAT_TITLE	Sentadillas
MID_TUT_HUB_ME_SQUAT_0	En las sentadillas, lo que cuenta es el ritmo.\nSigue las indicaciones para mover \x0E\x08\x02\x0E\x0CStickL y \x0E\x08\x02\x0E\x0CStickR.\nSi fallas tres veces, se acabó.
MID_TUT_HUB_ME_SQUAT_1	La clave está en aprender a inclinar y girar\n\x0E\x08\x02\x0E\x0CStickL y \x0E\x08\x02\x0E\x0CStickR del modo correcto.
MID_TUT_HUB_ME_SQUAT_2	¡Ponte en forma!
MID_TUT_HUB_ARENA_OPEN	Las puertas del coliseo se han abierto.
MID_TUT_HUB_ARENA_TITLE	Coliseo
MID_TUT_HUB_ARENA_0	En el coliseo puedes entrenar a tus aliados\npara que ganen Exp y aumente vuestro nivel\nde apoyo y de lazo.
MID_TUT_HUB_ARENA_1	En el entrenamiento normal, el aliado que elijas\nse enfrentará a otro aliado. No tiene coste,\npero hay un límite de sesiones entre batallas.
MID_TUT_HUB_ARENA_2	El entrenamiento Emblema aumenta el lazo\nentre un aliado y un Emblema. Cuesta\nfragmentos de lazo, pero no hay límite.
MID_TUT_HUB_ANIMAL_OPEN	Ahora puedes adoptar animales.
MID_TUT_HUB_ANIMAL_TITLE	Animales
MID_TUT_HUB_ANIMAL_0	Puedes adoptar animales que encuentres\nmientras exploras y llevarlos al Somniel.
MID_TUT_HUB_ANIMAL_1	Puedes dejar que los animales que has\nadoptado pasten en la granja. Quién sabe,\nquizá te dejen algún objeto o ingrediente.
MID_TUT_HUB_ANIMAL_2	Si donas a los diferentes países a través\ndel tablón de anuncios, podrás adoptar\nmás animales.
MID_TUT_HUB_AMIIBO_OPEN	El pabellón amiibo está abierto.
MID_TUT_HUB_AMIIBO_TITLE	Pabellón amiibo
MID_TUT_HUB_AMIIBO_0	Puedes escanear amiibo para obtener\nobjetos y recompensas.
MID_TUT_HUB_AMIIBO_1	Si escaneas un amiibo de la serie Fire Emblem,\nrecibirás recompensas especiales.
MID_TUT_HUB_DRILLINGSHOP_OPEN	La herrería y la tienda de accesorios\nya han abierto.
MID_TUT_HUB_DRILLINGSHOP_TITLE	Herrería
MID_TUT_HUB_DRILLINGSHOP_0	Entrega materiales y oro para mejorar\ntus armas en la herrería.
MID_TUT_HUB_DRILLINGSHOP_1	Mejora tus armas refinándolas\no añadiéndoles grabados.
MID_TUT_HUB_DRILLINGSHOP_2	Modifica tu armamento grabándolo con\nel poder de un Emblema. Los Emblemas\npueden grabarse solo en un arma a la vez.
MID_TUT_HUB_DRILLINGSHOP_3	También puedes intercambiar\nmateriales de refinado.
MID_TUT_HUB_ACCESSORYSHOP_TITLE	Accesorios
MID_TUT_HUB_ACCESSORYSHOP_0	Entrega materiales y oro para encargar ropa\no complementos que llevar en el Somniel.
MID_TUT_HUB_ACCESSORYSHOP_1	Una vez creados, cualquiera puede usar\nla mayoría de los artículos.
MID_TUT_HUB_ACCESSORYSHOP_2	A medida que avanza la historia,\nhabrá más artículos disponibles.
MID_TUT_HUB_COOK_OPEN	La cafetería ya sirve comidas.
MID_TUT_HUB_COOK_TITLE	Comer con aliados
MID_TUT_HUB_COOK_0	Puedes pedir platos para degustarlos\ncon tus aliados.
MID_TUT_HUB_COOK_1	En función de la calidad de la comida,\nlos atributos de los aliados mejorarán\ndurante la batalla siguiente.
MID_TUT_HUB_COOK_2	Invita a tus aliados a comer\npara fortalecer tu relación con ellos.
MID_TUT_HUB_COOK_3	Puede que el chef te ponga las sobras para\nllevar. En ese caso, podrás usarlas en batalla\npara recuperar PV.
MID_TUT_HUB_CAPERIDGE_OPEN	La Torre de los Retos ya está disponible.
MID_TUT_HUB_CAPERIDGE_TITLE	Torre de los Retos
MID_TUT_HUB_CAPERIDGE_0	Obtén recompensas superando las pruebas\nespeciales de la Torre de los Retos.
MID_TUT_HUB_CAPERIDGE_1	En La Tormenta, deberás superar varios mapas\nconsecutivos. Puedes seleccionar el nivel\nde dificultad antes de empezar.
MID_TUT_HUB_CAPERIDGE_2	En el reto por relevos deberás formar\nequipo con jugadores en línea para luchar\npor turnos contra los enemigos.
MID_TUT_HUB_CAPERIDGE_3	El reto alóctono te permite enfrentarte\na otros jugadores en línea en mapas\ncreados por ti.
MID_TUT_HUB_FISHING_OPEN	Ya puedes ir de pesca.
MID_TUT_HUB_FISHING_TITLE	Pescar
MID_TUT_HUB_FISHING_0	Ya puedes pescar en el estanque. Echa la caña\ndonde quieras con \x0E\x08\x02\x04\x02A, pero fíjate en las ondas\nque delatan la presencia de peces grandes.
MID_TUT_HUB_FISHING_1	Pulsa \x0E\x08\x02\x04\x02A cuando la boya de pesca alcance\nsu punto más bajo para enganchar al pez.
MID_TUT_HUB_FISHING_2	Si el pez se resiste, inclina \x0E\x08\x02\x0E\x0CStickL en sentido\ncontrario a su movimiento. ¡Tira del pez\nantes de que se escape!
MID_TUT_HUB_FISHING_3	Cuando el pez esté cerca, pulsa \x0E\x08\x02\x04\x02A\nrepetidamente para reducir su resistencia.
MID_TUT_HUB_FISHING_4	Cuando su resistencia llegue a cero, lo habrás\ncapturado. Usa distintas cañas de pescar para\npescar peces más grandes.
MID_TUT_HUB_DRAGONRIDE_OPEN	Ya puedes ir en wyvern.
MID_TUT_HUB_DRAGONRIDE_TITLE	Ir en wyvern
MID_TUT_HUB_DRAGONRIDE_0	Ir en wyvern es una actividad en la que vuelas\npor un circuito mientras disparas\ncontra dianas flotantes.
MID_TUT_HUB_DRAGONRIDE_1	¡Intenta acertar a las dianas especiales y\nconseguir una puntuación alta! Desbloquearás\ndiferentes circuitos según avances en la historia.
MID_TUT_HUB_FLEAMARKET_OPEN	El mercadillo ha abierto.
MID_TUT_HUB_FLEAMARKET_TITLE	Mercadillo
MID_TUT_HUB_FLEAMARKET_0	En el mercadillo podrás encontrar algunos\nobjetos inusuales que no están a la venta\nen las tiendas ordinarias.
MID_TUT_HUB_FLEAMARKET_1	La oferta cambia, así que procura\nechar un vistazo de vez en cuando.
MID_TUT_HUB_FORTUNE_OPEN	El vidente ha abierto.
MID_TUT_HUB_FORTUNE_TITLE	Vidente
MID_TUT_HUB_FORTUNE_0	El vidente Seadall lee las cartas\npara hacer sus predicciones.
MID_TUT_HUB_FORTUNE_1	Solo está disponible al anochecer,\npásate tras la puesta de sol.
MID_TUT_HUB_PROFILE_OPEN	Ya puedes acceder al registro.
MID_TUT_HUB_CAPERIDGE_DETAIL_TITLE	Retos
MID_TUT_HUB_CAPERIDGE_DETAIL_0	Al acabar un reto, los objetos usados,\nlos cambios de estado y los aliados caídos\nse restablecerán.
MID_TUT_HUB_CAPERIDGE_DETAIL_1	Sin embargo, conservarás la experiencia\ny el resto de recompensas obtenidas.
MID_TUT_HUB_CAPERIDGE_DETAIL_2	En otras palabras, no debes preocuparte\npor agotar tus recursos durante los retos.\n¡Ve a por todas!
MID_TUT_CHALLENGE_TITLE	La Tormenta
MID_TUT_CHALLENGE_0	El objetivo en La Tormenta es superar\nvarios mapas sucesivos.
MID_TUT_CHALLENGE_1	Por cada batalla que superes, obtendrás\nmateriales y experiencia para los aliados\nque participen.
MID_TUT_CHALLENGE_2	Puedes elegir la dificultad de un reto al\nseleccionar el mapa. Cuanto más difícil sea,\nmayores serán las recompensas.
MID_TUT_RELAY_TITLE	Retos por relevos
