MID_SYS_EnchantEffect	Efecto del encanto
MGID_Ring_Hector	Brazalete del General Audaz
MGID_H_Ring_Hector	Alberga el Emblema de Héctor,\nhéroe joven y enérgico que tiene una\ndesbordante confianza en sí mismo.
MGID_Ring_Senerio	Brazalete del Estratega
MGID_H_Ring_Senerio	Alberga el Emblema de Soren,\nestratega reservado y juicioso\nque siempre va vestido de negro.
MGID_Ring_Camilla	Brazalete de la Hermana Protectora
MGID_H_Ring_Camilla	Alberga el Emblema de Camilla,\nbella princesa de aura cautivadora\nque cabalga a lomos de un wyvern.
MGID_World_Hector	Mundo de la Noble de Sacae
MGID_World_Senerio	Mundo del Héroe Resplandeciente
MGID_World_Camilla	Mundo del Quid del Destino
MID_RELAY_Stamp_Hector_0	Confía totalmente en mí.
MID_RELAY_Stamp_Senerio_0	No está mal...
MID_RELAY_Stamp_Camilla_0	Alguien se ha portado mal...
MID_Hub_Horse	Establo
MID_Hub_Fruit	Vergel
MID_Hub_Pool	Alberca
MID_Hub_Refresh	Esparcimiento
MID_Hub_Refresh_Help	Elige dos aliados.
MID_Hub_Refresh_Entrust	Recomendado
MID_Hub_Refresh_Entrust_Help	Elige un personaje recomendado\npara incrementar el nivel de apoyo.
MID_Hub_Refresh_RelianceLv	Apoyo
MID_Hub_Refresh_Place	Lugar
MID_Hub_Refresh_Unit	Aliados que disfrutarán:
MID_Hub_Refresh_Used	Usado
MID_Hub_Refresh_Attention	No podrás volver a usar este lugar\nhasta que superes la próxima batalla.
MID_Hub_Refresh_Confirmation	¿Quieres iniciar la actividad de esparcimiento?
MID_Hub_Refresh_Start	Sí
MID_Hub_Refresh_Result	Pasar al resultado
MID_Hub_Refresh_Stop	Cancelar
MID_Hub_Refresh_RelianceLvUP	\x0E\x01\x00\x00 ha aumentado su nivel\nde apoyo con \x0E\x01\x01\x00.
MID_Hub_Refresh_Reliance_Occurrence	Ya está disponible la conversación de apoyo\nde \x0E\x01\x00\x00 con \x0E\x01\x01\x00.
MID_Hub_Refresh_NoReliance_Occurrence	\x0E\x01\x00\x00 ha disfrutado de un momento\nde descanso junto a \x0E\x01\x01\x00.
PCTMID_Hector	"Confía en mí."
PCTMID_Senerio	"Hechos son hechos."
PCTMID_Camilla	"Aún te quiero."
MID_Movie_K15	Emblema Héctor
MID_H_Movie_K15	Emblema Héctor, invocado desde\nel Brazalete del General Audaz.
MID_Movie_K16	Emblema Soren
MID_H_Movie_K16	Emblema Soren, invocado desde\nel Brazalete del Estratega.
MID_Movie_K17	Emblema Camilla
MID_H_Movie_K17	Emblema Camilla, invocado desde\nel Brazalete de la Hermana Protectora.
MID_MAP_HIS_EngageWait	\x0E\x01\x00\x00 usó Ojo de la tormenta.
MID_MAP_HIS_EngageWaitPlus	\x0E\x01\x00\x00 usó Ojo de la tormenta +.
MID_MAP_HIS_Enchant	\x0E\x01\x00\x00 usó Empuje objeto.
MID_MAP_HIS_Enchant_Weapon	\x0E\x01\x00\x00 usó Empuje arma.
