MID_Hub_ThisTime	Hora
MID_Hub_CafeTerrace_Cook_RelianceStatus	Apoyo
MID_Hub_CafeTerrace_Cook_AddFood	Ingredientes extra
MID_Hub_CafeTerrace_Cook_AddFood_Nothing	Nada
MID_Hub_CafeTerrace_Cook_CanAddFood	Ingredientes disponibles
MID_Hub_CafeTerrace_Cook_Confirmation	¿Empezar a cocinar?
MID_Hub_CafeTerrace_Cook_Everyone	Todos obtienen
MID_Hub_CafeTerrace_Cook_Effect_Nothing	Sin efectos
MID_Hub_CafeTerrace_Cook_Also	Si es \x0E\x01\x00\x00, también obtiene
MID_Hub_CafeTerrace_Cook_Workmanship	Rango
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_SS	S+
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_S	S
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_A	A
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_B	B
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_C	C
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_D	D
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_E	E
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_F	F
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_G	G
MID_Hub_CafeTerrace_Bento_Get	Te han preparado las sobras para llevar.
MID_Hub_CafeTerrace_Bento_Discard	Se han tirado las sobras de: \x0E\x01\x00\x00.
MID_MENU_NOTICE_BOARD_TITLE	Tablero de anuncios
MID_MENU_NOTICE_BOARD_HELP	Elige qué información ver.
MID_MENU_NOTICE_BOARD_INVESTMENT	Donaciones
MID_MENU_NOTICE_BOARD_INVESTMENT_HELP	Elige a qué país donar.
MID_MENU_NOTICE_SOLANEL_INFO	Mapa del Somniel
MID_MENU_NOTICE_ACHIEVEMENT	Logros
MID_MENU_INVESTMENT_AmountOfMoney	¿Qué cantidad quieres donar?
MID_MENU_INVESTMENT_G	\x0E\x01\x00\x00 \x0E\x01\x01\x00 M
MID_MENU_INVESTMENT_NEXT_LEVEL	Siguiente nivel
MID_MENU_INVESTMENT_TOTAL	Total donado
MID_MENU_INVESTMENT_LEVEL_EFFECT	Efecto por subir de nivel
MID_MENU_INVESTMENT_LEVEL_BONUS	Recompensas
MID_MENU_INVESTMENT_RESULT	Exploración
MID_MENU_INVESTMENT_LEVEL_EFFECT_MAX	Nivel máx. alcanzado
MID_MENU_INVESTMENT_COMPLETE	¡COMPLETO!
MID_MENU_INVESTMENT_COMPLETE_INFO	Has donado el máximo.
MID_MENU_INVESTMENT_COMPLETE_HELP	Oprime \x0E\x08\x02\x04\x02X para ver más detalles.
MID_MENU_INVESTMENT_GOLD_ENEMY	Aberraciones oro
MID_MENU_INVESTMENT_EXP_ENEMY	Aberraciones plata
MID_MENU_INVESTMENT_ANIMAL_ENABLE	Adoptable
MID_MENU_NATIONDATA_TITLE	Obtenible en \x0E\x01\x00\x00
MID_MENU_NATIONDATA_REFINE_ITEM	Minerales
MID_MENU_NATIONDATA_FOOD	Ingredientes
MID_MENU_NATIONDATA_ANIMAL	Animales
MID_MENU_INVESTMENT_BONUS_FILENE_1	Cosecha
MID_MENU_INVESTMENT_BONUS_BRODIA_1	Minería
MID_MENU_INVESTMENT_BONUS_IRCION_1	Sanación
MID_MENU_INVESTMENT_BONUS_SOLUM_1	Comercio
MID_MENU_INVESTMENT_BONUS_2	Textiles
MID_MENU_INVESTMENT_BONUS_3	Mascotas
MID_MENU_INVESTMENT_BONUS_4	Ropa tradicional
MID_MENU_INVESTMENT_BONUS_Get	Has obtenido: \x0E\x01\x00\x00.
MID_MENU_INVESTMENT_DIALOG_NEXT_ITEM	Siguiente nivel: \x0E\x01\x00\x00
MID_MENU_SOLANEL_INFO_TITLE	Mapa del Somniel
MID_MENU_SOLANEL_INFO_COMMENT	Elige un destino.
MID_MENU_SOLANEL_INFO_CONFIRM_TEXT	¿Quieres ir a: \x0E\x01\x00\x00?
MID_MENU_SOLANEL_INFO_CONFIRM_YES	Ir
MID_MENU_ACHIEVEMENT_TITLE	Logros
MID_MENU_ACHIEVEMENT_COUNT_TITLE	Logros conseguidos
MID_MENU_ACHIEVEMENT_COUNT_UNIT	Aliados
MID_MENU_ACHIEVEMENT_COUNT_BATTLE	Batallas
MID_MENU_ACHIEVEMENT_COUNT_SOLANEL	Somniel
MID_MENU_ACHIEVEMENT_COUNT_SHOP	Tiendas
MID_MENU_ACHIEVEMENT_COUNT_SYSTEM	Sistema
MID_MENU_ACHIEVEMENT_COUNT_TOTAL	Total
MID_MENU_ACHIEVEMENT_NOW	Llevas
MID_MENU_ACHIEVEMENT_BONUS	Recomp.
MID_MENU_ACHIEVEMENT_CLEAR	¡HECHO!
MID_MENU_ACHIEVEMENT_COMPLETE	HECHO
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE	Has obtenido la recompensa por:\n\x0E\x01\x00\x00
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALL	¿Quieres obtener todas las recompensas?
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALLGET	Has obtenido todas las recompensas.
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALL_YES	Aceptar
MID_MENU_ACHIEVEMENT_UNIT_HUMAN	 
MID_MENU_ACHIEVEMENT_UNIT_ITEM	 
MID_MENU_ACHIEVEMENT_UNIT_COUNT	 
MID_MENU_ACHIEVEMENT_UNIT_TIME	 
MID_MENU_ACHIEVEMENT_UNIT_ENEMY	 
MID_MENU_ACHIEVEMENT_Clear_Nothing	No hay logros nuevos.
MID_Hub_AnimalCoop_Nothing	Aún no hay animales...
MID_Hub_AnimalCoop_Choice	Elige qué animal saldrá a pastar.
MID_Hub_AnimalCoop_Trade	Cambiar
MID_Hub_AnimalCoop_FreeAnimal	Pastando
MID_Hub_AnimalCoop_InAnimal	En establo
MID_Hub_AnimalCoop_Number	Total
MID_Hub_AnimalCoop_Entrust	Establo
MID_Hub_AnimalCoop_Contact	Observar
MID_TUT_HUB_RECORD_HALL_TITLE	Registro
MID_TUT_HUB_RECORD_HALL_0	En el registro puedes editar tu ficha de perfil\ny ver las fichas obtenidas de otros jugadores.
MID_TUT_HUB_RECORD_HALL_1	El menú "Referencia" permite llevar a cabo las\nmismas acciones, pero solo podrás tomar fotos\nen las localizaciones exteriores del Somniel.
MID_TUT_HUB_PROFILE_TITLE	Ficha de perfil
MID_TUT_HUB_PROFILE_0	La ficha es un apartado personalizable\nque te permite mostrar tus logros en el juego.
MID_TUT_HUB_PROFILE_1	Mediante las funciones en línea, puedes hacer\nque tu ficha sea pública e intercambiarla con\notros jugadores.
MID_TUT_HUB_PROFILE_EDIT_TITLE	Editar ficha
MID_TUT_HUB_PROFILE_EDIT_0	Con la opción "Mi ficha", podrás personalizar\ntu ficha de perfil.
MID_TUT_HUB_PROFILE_EDIT_1	A medida que progreses en el juego,\nse irán desbloqueando nuevas opciones\npara personalizar tu ficha.
MID_TUT_HUB_PROFILE_PHOTO_TITLE	Tomar foto
MID_TUT_HUB_PROFILE_PHOTO_0	Puedes tomar una foto para mostrarla\nen tu ficha de perfil.
MID_TUT_HUB_PROFILE_PHOTO_1	Viste a tus aliados y haz que posen\nen una de las localizaciones exteriores\ndel Somniel.
MID_TUT_HUB_PROFILE_PHOTO_2	Cuando la escena esté lista, oprime \x0E\x08\x02\x0A\x08Plus para pasar\nal modo foto y luego \x0E\x08\x02\x04\x02L o \x0E\x08\x02\x04\x02R para tomar la foto.
MID_TUT_HUB_PROFILE_TRADE_TITLE	Intercambio de fichas
MID_TUT_HUB_PROFILE_TRADE_0	Puedes intercambiar fichas con los jugadores\nque encuentres en los retos por relevos\ny los retos alóctonos.
MID_TUT_HUB_PROFILE_TRADE_1	Si no deseas que otros jugadores vean tu ficha,\npuedes hacer que sea privada.
MID_TUT_HUB_PROFILE_TRADE_2	En el menú podrás consultar y borrar\nlas fichas obtenidas de otros jugadores.
