MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nTramas ardides y estrategias para servirle a él.\n¿Luchas también por su felicidad?\x0E\x04\x00\x00
MID_BT9_#007	\x0E\x05\x01\x18\x06カゲツ\x0EStandBy\n\x0E\x03\x02\x08\x06カゲツ\nMe temo que malinterpretas sus sentimientos...\nSeguro que no te desprecia lo más mínimo.\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\n¿Lindon? No. Debe de ser otra patética\ntreta de los solmíes.\x0E\x04\x02\x00
MID_BT10_#002	\x0E\x05\x01\x1E\x12E004_Boss\x08Pain\nLástima. Si de veras estuvieras con nosotros,\nya habríamos traído de vuelta a lord Sombron.\x0E\x04\x00\x00
MID_BT10_#003	\x0E\x03\x00\x0E\x08リンデン\x02t\n\x0E\x05\x01\x12\x08リンデン\x06Sad\n\x0E\x03\x02\x0A\x08リンデン\nPor desgracia, princesa Ivy, no puedo hablar\nen nombre del Lindon de este mundo.\x0E\x04\x02\x00
MID_BT10_#004	\x0E\x05\x01\x16\x08リンデン\nAngry\nAunque soy incapaz de creer que te apoyara\nen tal empresa. Perdón, pero he de detenerte.\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nミスティラ\x02t\n\x0E\x05\x01\x18\nミスティラ\nSmile\n\x0E\x03\x02\x0C\nミスティラ\n¡Hola! ¡Encantada de conocerme!\x0E\x04\x00\x00
MID_BT11_#002	\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nUn espejismo... ¿Qué propósito tiene?\n¿Minar mi voluntad?\x0E\x04\x02\x00
MID_BT11_#003	\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\nPues no va a funcionar. La magia del Dragón\nCaído no me engañará, por convincente que sea.\x0E\x04\x00\x00
MID_BT11_#004	\x0E\x05\x01\x1A\nミスティラ\x0CNormal\n\x0E\x03\x02\x0C\nミスティラ\n¡Oye, que no soy ninguna visión! Pero entiendo\ntu sorpresa. Ver a tu propia doble es extraño.\x0E\x04\x02\x00
MID_BT11_#005	\x0E\x05\x01\x14\nミスティラ\x06Shy\nA mí también me choca. Sobre todo porque\nte noto tan... digna. Pareces una auténtica reina.\x0E\x04\x02\x00
MID_BT11_#006	\x0E\x05\x01\x18\nミスティラ\nSmile\nAunque te vendría bien soltarte un poco.\n¿Peleamos para descargar algo de adrenalina?\x0E\x04\x00\x00
MID_BT11_#007	\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nNo. Prefiero matarte antes y asunto resuelto.\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\n\x0E\x03\x02\x14\x12E004_Hide\nEste lugar apesta a muerte.\nSeguramente por eso veo fantasmas.\x0E\x04\x02\x00
MID_BT12_#002	Cuanto tiempo, Fogado...\nTengo el impulso de correr a abrazarte.\x0E\x04\x02\x00
MID_BT12_#003	Sería una falta de decoro. Soy la reina.\x0E\x04\x00\x00
MID_BT12_#004	\x0E\x03\x00\x10\nフォガート\x02t\n\x0E\x05\x01\x14\nフォガート\x06Shy\n\x0E\x03\x02\x0C\nフォガート\nPor muy reina que seas, también eres humana.\x0E\x04\x02\x00
MID_BT12_#005	Ven aquí y llora en mi hombro. Ya lucharemos\ncuando se te pase el disgusto. ¿Qué te parece?\x0E\x04\x00\x00
MID_BT12_#006	\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nNo... No necesito llorar.\nY menos que un fantasma me consuele.\x0E\x04\x02\x00
MID_BT12_#007	Si de verdad quieres que me sienta mejor,\ndesaparece de mi vista.\x0E\x04\x00\x00
MID_BT12_#008	\x0E\x05\x01\x14\nフォガート\x06Sad\n\x0E\x03\x02\x0C\nフォガート\nYa me imaginaba que dirías algo así...\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01&\x12E004_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E004_Hide\nNo puedo creerlo... ¿Es usted?\n¿Elusia ha resucitado al Dragón Divino?\x0E\x04\x02\x00
MID_BT13_#002	\x0E\x05\x01 \x12E004_Hide\nAngry\nEn todo caso, Solm necesita su ayuda.\nDebemos impedir que revivan al Dragón Caído.\x0E\x04\x02\x00
MID_BT13_#003	¡Por favor, únase a nosotros!\x0E\x04\x00\x00
MID_BT13_#004	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nLo siento, pero no me aliaré ni con ustedes\nni con Ivy. Vengo a recuperar los brazaletes.\x0E\x04\x00\x00
MID_BT13_#005	\x0E\x05\x01&\x12E004_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E004_Hide\n¿Cómo puede decir algo así?\x0E\x04\x02\x00
MID_BT13_#006	\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\nDeben de haber corrompido su espíritu\ncon esos tétricos rituales elusianos.\x0E\x04\x02\x00
MID_BT13_#007	En tal caso, le haré el favor de hacer que vuelva\nal sueño eterno de un modo rápido e indoloro.\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06メリン\x02t\n\x0E\x05\x01\x10\x06メリン\x06Shy\n\x0E\x03\x02\x08\x06メリン\nHola, mi princesa. Esperaba no cruzarme\nen su camino, pero... la guerra es cruel.\x0E\x04\x00\x00
MID_BT14_#002	\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01&\x12E004_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E004_Hide\n¡¿Merrin?! ¿Elusia también te ha resucitado a ti?\x0E\x04\x02\x00
MID_BT14_#003	\x0E\x05\x01\x1C\x12E004_Hide\x06Sad\nSiento tanto lo que ocurrió... Fue injusto que\nmurieras al poco de convertirte en mi caballero.\x0E\x04\x02\x00
MID_BT14_#004	\x0E\x05\x01$\x12E004_Hide\x0ESerious\nPor si fuera poco, has acabado convertida\nen una aberración. Qué horror...\x0E\x04\x00\x00
MID_BT14_#005	\x0E\x05\x01\x1C\x12E004_Hide\x06Sad\n\x0E\x03\x02\x08\x06メリン\nNo me compadezca, princesa. Seguro que\nla Merrin de este mundo descansa en paz.\x0E\x04\x02\x00
MID_BT14_#006	Tan cómoda como una liebre en hibernación.\nPara una amante de los animales, el mejor final.\x0E\x04\x00\x00
MID_BT14_#007	\x0E\x03\x02\x14\x12E004_Hide\nMerrin... No puedo creer que sigas\nbromeando incluso después de muerta.\x0E\x04\x02\x00
MID_BT14_#008	\x0E\x05\x01$\x12E004_Hide\x0ESerious\n¿Acaso no recuerdas cuánto odiabas\na los animales?\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08パネトネ\x02t\n\x0E\x05\x01\x12\x08パネトネ\x06Sad\n\x0E\x03\x02\x0A\x08パネトネ\nAh, qué crueldad verme obligada a confrontar\na quien más respeto y venero.\x0E\x04\x00\x00
MID_BT15_#002	\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\n\x0E\x03\x02\x14\x12E004_Hide\nPanette. ¿Elusia te ha revivido?\n¿Debo enfrentarme a mi propia vasalla?\x0E\x04\x00\x00
MID_BT15_#003	\x0E\x03\x02\x0A\x08パネトネ\nSe lo ruego, patrona, no se angustie.\x0E\x04\x02\x00
MID_BT15_#004	\x0E\x05\x01\x12\x08パネトネ\x06Shy\n¡Ya sé! ¿Y si cantamos juntas una tonada?\n¿Quizá una de sus odas a la carne?\x0E\x04\x00\x00
MID_BT15_#005	\x0E\x05\x01\x1C\x08パネトネ\x10Surprise\n\x0E\x05\x01\x1C\x12E004_Hide\x06Shy\n\x0E\x03\x02\x14\x12E004_Hide\nPanette, ¿me tomas el pelo? ¡Soy vegetariana!\nY sabes que odio la música, además.\x0E\x04\x02\x00
MID_BT15_#006	\x0E\x05\x01\x12\x08パネトネ\x06Sad\n\x0E\x05\x01$\x12E004_Hide\x0ESerious\nAunque me duela, te enviaré a un sitio mejor:\nun lugar donde dormitar al sol del desierto.\x0E\x04\x02\x00
MID_BT15_#007	\x0E\x05\x01\x1C\x12E004_Hide\x06Sad\nAunque lamento que debas morir aquí,\nen un cementerio... Siempre te dieron pavor.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x00\x18\x12E004_Boss\x022\n\x0E\x03\x00\x18\x12E004_Hide\x023\n\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x14\x12E004_Hide\n(...)\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x10\x0EE004_エル\nLa batalla está sentenciada.\nEntreguen los brazaletes.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x14\x12E004_Boss\nNel... ¿A qué rayos viene esto?\x0E\x04\x02\x00
MID_ED1_#004	Estoy de tu parte. Intentamos devolverle la vida\na nuestro señor. ¡A tu padre!\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x10\x0EE004_エル\nYo nunca les he pedido tal cosa.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x12\x10M011_モーヴ\nLady Nel, estaban oficiando un ritual\nen la catedral.\x0E\x04\x00\x00
MID_ED1_#007	El sacerdote se ha rendido a nuestras fuerzas\ny ya he desmantelado el altar.\x0E\x04\x02\x00
MID_ED1_#008	\x0E\x03\x02\x10\x0EE004_エル\nExcelente trabajo, Mauvier.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x14\x12E004_Boss\n¡Has pisoteado la última esperanza de Elusia!\n¡¿Cómo te atreves?!\x0E\x04\x02\x00
MID_ED1_#010	Jamás te lo perdonaré. ¡Y no me importa\nque seas la mismísima hija de lord Sombron!\x0E\x04\x02\x00
MID_ED1_#011	¡Soldados! Si les queda la más mínima fuerza,\n¡maten a esa mujer!\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x10\x0EE004_エル\nSi no resolvemos el asunto de una vez,\nnos arriesgamos a que se reorganicen.\x0E\x04\x02\x00
MID_ED1_#013	No se los volveremos a advertir.\nEntréguennos los brazaletes.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x14\x12E004_Boss\n¡Jamás!\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x14\x12E004_Hide\nNunca renunciaré al brazalete de Solm.\nTendrán que pasar por encima de mi cadáver.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x10\x0EE004_エル\nUna lástima... Pero que así sea.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nNel... ¿Qué planeas hacer?\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x10\x0EE004_エル\nAparta la mirada, Divinidad.\nNo quisiera incomodarte.\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x0A\x08リュール\n¡¿Qué?!\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x02\x10\x0EE004_エル\n(...)\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x14\x12E004_Boss\n(...)\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x14\x12E004_Hide\nSiempre supe que eras un monstruo...\x0E\x04\x02\x00
MID_ED1_#023	¡No!\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x0B\x00x
MID_ED1_#025	\x0E\x03\x02\x0A\x08リュール\n¿Cómo has podido?\x0E\x04\x02\x00
MID_ED1_#026	\x0E\x0B\x01@
MID_ED1_#027	\x0E\x03\x02\x10\x0EE004_エル\nTe aconsejé que no miraras.\x0E\x04\x02\x00
MID_ED1_#028	Ya hemos terminado, en cualquier caso.\nMarchémonos.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\n¿Cómo hemos llegado a esto?...\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x1A\x14E004_敵セネリオ\x023\n\x0E\x06\x000\x14E004_敵セネリオ\x18MPID_Senerio\n\x0E\x03\x00\x18\x12E004_敵カミラ\x024\n\x0E\x06\x00.\x12E004_敵カミラ\x18MPID_Camilla\n\x0E\x03\x02\x10\x0EE004_エル\nDescansen, Emblema Soren, Emblema Camilla.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x16\x14E004_敵セネリオ\nEste mundo jamás me interesó demasiado.\x0E\x04\x02\x00
MID_ED2_#003	Y prefiero no verme obligado a librar\nuna guerra sin sentido.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x14\x12E004_敵カミラ\n¿Ya vamos a despedirnos? Aún me quedaban\nfuerzas para unas cuantas batallas más.\x0E\x04\x02\x00
MID_ED2_#005	Pero otra vez será, supongo... Espero que en la\npróxima ocasión tengamos tiempo de charlar.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x10\x0EE004_エル\nLos Emblemas ya están a salvo, sumidos\nen su letargo. Solo queda un brazalete más.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x0A\x08リュール\nNel, nuestra misión consistía únicamente\nen recuperar los brazaletes.\x0E\x04\x02\x00
MID_ED2_#008	¡Jamás acordamos, para nada,\nmatar a Ivy y a Timerra!\x0E\x04\x02\x00
MID_ED2_#009	Las gobernantes de dos naciones, muertas.\n¿Qué será de sus súbditos ahora?\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x10\x0EE004_エル\nYo no las maté. Es imposible arrebatar una vida\nque ya se ha perdido.\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x0A\x08リュール\n¿Cómo? Explícate, por favor.\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x10\x0EE004_エル\nNo eran inocentes hormiguitas,\nsino aberraciones.\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x0A\x08リュール\n¿Qué? No...\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x10\x0EE004_エル\nY lo mismo ocurría con los nobles de Brodia y\nFirene, así como con sus soldados. Todos ellos.\x0E\x04\x00\x00
MID_ED2_#015	\x0E\x03\x02\x0A\x08リュール\n¿Afirmas que todos estaban ya muertos?\x0E\x04\x00\x00
MID_ED2_#016	\x0E\x03\x00\x1A\x14E004_グレゴリー\x023\n\x0E\x03\x02\x16\x14E004_グレゴリー\nPero ¿queda algún humano más vivo?\n¿O ya solo estamos... nosotros?\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nToda la gente con la que hablé durante\nmi misión en Firene... ¿Eran aberraciones?\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nHemos librado una guerra en la que no había\nesperanza de salir victoriosos.\x0E\x04\x00\x00
MID_ED2_#019	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\n¿Usted también lo sabía, lord Nil?\x0E\x04\x00\x00
MID_ED2_#020	\x0E\x03\x00\x14\x0EE004_イル\x024\n\x0E\x03\x02\x10\x0EE004_イル\nAlbergaba ciertas sospechas,\npero ninguna certeza.\x0E\x04\x02\x00
MID_ED2_#021	He de decir que parecían los mismos\nde siempre. ¿Quién haría algo tan horrible?\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x02\x10\x0EE004_エル\nDesconozco cuándo murieron\ny cuándo se convirtieron en aberraciones.\x0E\x04\x02\x00
MID_ED2_#023	Tampoco parecían ser conscientes\nde su propia situación.\x0E\x04\x00\x00
MID_ED2_#024	\x0E\x03\x02\x0A\x08リュール\nDeberías habérnoslo contado.\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x10\x0EE004_エル\nPensé que les hacía un favor al ocultarles\nla terrible realidad.\x0E\x04\x00\x00
MID_ED2_#026	\x0E\x03\x02\x0A\x08リュール\nSiempre decides por los demás. ¿Qué tal\nsi lo consultases con Nil o los Cuatro Vientos?\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x02\x10\x0EE004_エル\nTienes razón. Lo lamento.\x0E\x04\x02\x00
MID_ED2_#028	Pero tú provienes de otro mundo, al que\nregresarás cuando la guerra haya acabado.\x0E\x04\x02\x00
MID_ED2_#029	Creí conveniente ahorrarte el disgusto de ver\nlos cadáveres de tus amigos y aliados.\x0E\x04\x02\x00
MID_ED2_#030	Y, sobre todo, el de tener que matarlos\ncon tus propias manos.\x0E\x04\x00\x00
MID_ED2_#031	\x0E\x03\x02\x0A\x08リュール\nYa... Bueno...\x0E\x04\x00\x00
MID_ED2_#032	\x0E\x03\x02\x10\x0EE004_エル\nSí es cierto que me planteé contárselo\na Nil y a los Cuatro Vientos. Más de una vez.\x0E\x04\x02\x00
MID_ED2_#033	Pero, si les hubiera dicho la verdad, tú habrías\nacabado sabiéndolo. Era cuestión de tiempo.\x0E\x04\x02\x00
MID_ED2_#034	Eres igual que el Dragón Divino de este mundo.\nSientes un profundo apego por tus amistades.\x0E\x04\x02\x00
MID_ED2_#035	Y vínculos tan profundos\nmerecen consideración.\x0E\x04\x00\x00
MID_ED2_#036	\x0E\x03\x02\x0A\x08リュール\n¿Estás diciendo que todo lo que has hecho\nha sido con tal de protegerme?\x0E\x04\x00\x00
MID_ED2_#037	\x0E\x03\x02\x10\x0EE004_エル\nEs posible.\x0E\x04\x02\x00
MID_ED2_#038	En todo caso, lamento lo ocurrido.\nEspero que aceptes mis disculpas.\x0E\x04\x00\x00
MID_ED2_#039	\x0E\x03\x02\x0A\x08リュール\nNo. Soy yo quien debo excusarme\npor haberme enojado.\x0E\x04\x02\x00
MID_ED2_#040	Eran tus amigos y tus aliados, más que los míos.\nY has tenido que verlos morir.\x0E\x04\x02\x00
MID_ED2_#041	Por si fuera poco, te has visto obligada\na matarlos tú misma. Habrá sido horrible...\x0E\x04\x02\x00
MID_ED2_#042	Todo ello con el único fin de protegerme a mí.\nTe lo agradezco.\x0E\x04\x02\x00
MID_ED2_#043	No era consciente...\nde cuánto te preocupas por los demás.\x0E\x04\x00\x00
MID_ED2_#044	\x0E\x03\x02\x10\x0EE004_エル\n(...)\x0E\x04\x02\x00
MID_ED2_#045	Tus palabras...\x0E\x04\x00\x00
MID_ED2_#046	\x0E\x03\x02\x0A\x08リュール\n¿Eh? Nel, ¿qué ocurre?\x0E\x04\x00\x00
MID_ED2_#047	\x0E\x03\x02\x10\x0EE004_エル\n¡No me toques!\x0E\x04\x00\x00
MID_ED2_#048	\x0E\x03\x02\x0A\x08リュール\n¿Tanto me odias?\x0E\x04\x00\x00
MID_ED2_#049	\x0E\x03\x02\x10\x0EE004_エル\n(...)\x0E\x04\x02\x00
MID_ED2_#050	Sí.\x0E\x04\x02\x00
MID_ED2_#051	Odio haber posado mi mirada en ti. Ojalá\notra persona hubiese acudido a mi llamada.\x0E\x04\x00\x00
MID_ED2_#052	\x0E\x03\x02\x10\x0EE004_イル\nNel, por favor... Esto es excesivo.\x0E\x04\x00\x00
MID_ED2_#053	\x0E\x03\x00\x1C\x16E004_セレスティア\x023\n\x0E\x03\x02\x18\x16E004_セレスティア\nLord Nil.\x0E\x04\x00\x00
MID_ED2_#054	\x0E\x03\x02\x10\x0EE004_エル\nEl Dragón Divino de este mundo era la persona\nmás amable que he conocido jamás.\x0E\x04\x02\x00
MID_ED2_#055	Era \x0E\x0A\x00Nprotectora, cariñosa, valiente y fuerteLprotector, cariñoso, valiente y fuerte.\nNos aceptaba pese a ser hijos del Dragón Caído.\x0E\x04\x02\x00
MID_ED2_#056	Mirábamos las flores y nos reíamos \x0E\x0A\x00\x1C\x0Cjuntas\x0Cjuntos.\nTodo lo compartíamos.\x0E\x04\x02\x00
MID_ED2_#057	Cada despedida, por breve que fuera, resultaba\ndolorosa. Cada rencuentro me devolvía la vida.\x0E\x04\x02\x00
MID_ED2_#058	¡Dijiste que regresarías! Recuerdo bien aquel\ndía... ¡Me había decidido al fin a confesártelo!\x0E\x04\x00\x00
MID_ED2_#059	\x0E\x03\x02\x0A\x08リュール\nNel, perdóname, no sé a qué...\x0E\x04\x00\x00
MID_ED2_#060	\x0E\x03\x02\x10\x0EE004_エル\n¡¿Por qué tuviste que morir?!\x0E\x04\x02\x00
MID_ED2_#061	Yo te amaba.\x0E\x04\x00\x00
MID_ED2_#062	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_ED2_#063	\x0E\x03\x02\x10\x0EE004_エル\nPrometiste que volverías.\nQue regresarías a casa.\x0E\x04\x02\x00
MID_ED2_#064	Lo juramos con los dedos entrelazados.\nEl calor de tu mano... Y luego estaba tan fría...\x0E\x04\x02\x00
MID_ED2_#065	Tu semblante, tus palabras, tu amabilidad...\nTodo me recuerda a cuanto he perdido.\x0E\x04\x00\x00
MID_ED2_#066	\x0E\x03\x02\x0A\x08リュール\nMi presencia solo te ha causado dolor.\x0E\x04\x00\x00
MID_ED2_#067	\x0E\x03\x02\x10\x0EE004_エル\nNo es culpa tuya.\nIncluso yo soy consciente de ello.\x0E\x04\x02\x00
MID_ED2_#068	Pero, cuanto más tiempo paso junto a ti,\ncon más fuerza vuelven esos sentimientos.\x0E\x04\x02\x00
MID_ED2_#069	Y jamás me lo perdonaría, porque tú no eres\nla persona a la que yo amaba.\x0E\x04\x00\x00
MID_ED2_#070	\x0E\x03\x02\x10\x0EE004_イル\nPor eso te mostrabas tan fría y distante\ncon el Dragón Divino...\x0E\x04\x00\x00
MID_ED2_#071	\x0E\x03\x02\x10\x0EE004_エル\n(...)\x0E\x04\x02\x00
MID_ED2_#072	Necesito despejarme.\x0E\x04\x00\x00
MID_ED2_#073	\x0E\x03\x02\x18\x16E004_セレスティア\n¡Lady Nel! ¡Espere!\x0E\x04\x00\x00
MID_ED2_#074	\x0E\x03\x02\x10\x0EE004_イル\nNo deberíamos dejarla sola. Es peligroso.\n¿Les importaría seguirla?\x0E\x04\x02\x00
MID_ED2_#075	Yo permaneceré aquí, a salvo.\x0E\x04\x00\x00
MID_ED2_#076	\x0E\x03\x02\x18\x16E004_セレスティア\nPor supuesto, lord Nil.\x0E\x04\x00\x00
MID_ED2_#077	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x02\x10\x0EE004_イル\nNel se ha olvidado los brazaletes\nal marcharse.\x0E\x04\x02\x00
MID_ED3_#002	Hay que ver...\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x0A\x08リュール\nYa...\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x10\x0EE004_イル\n¿No quieres ir a hablar con ella, Divinidad?\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x0A\x08リュール\nCreo que será mejor que me quede aquí.\x0E\x04\x02\x00
MID_ED3_#006	\x0E\x03\x02\x10\x0EE004_イル\nSí, puede que tengas razón.\x0E\x04\x02\x00
MID_ED3_#007	A Nel le va a resultar difícil volver.\nNunca le ha gustado mostrarse vulnerable.\x0E\x04\x02\x00
MID_ED3_#008	Y ha confesado su amor delante de todos...\nSeguro que ahora se estará lamentando.\x0E\x04\x02\x00
MID_ED3_#009	Menos mal que cuenta con los Cuatro Vientos\npara consolarla.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x0A\x08リュール\nLa conoces muy bien.\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x03\x02\x10\x0EE004_イル\nLógico. Al fin y al cabo, soy su hermano mellizo.\x0E\x04\x02\x00
MID_ED3_#012	Sé sus preferencias, sus costumbres,\nlo que la preocupa... Lo delicada que es a veces.\x0E\x04\x02\x00
MID_ED3_#013	\x0E\x03\x00\x18\x12E005_Boss\x023\n\x0E\x03\x02\x14\x12E005_Boss\nPero hay una cosa que se me escapa\ny por la que siento una inmensa curiosidad.\x0E\x04\x02\x00
MID_ED3_#014	¿Cómo asimilará perder a la persona que más\nquiere por segunda vez?\x0E\x04\x00\x00
MID_ED3_#015	\x0E\x03\x02\x0A\x08リュール\n¿Eh?\x0E\x04\x00\x00
MID_ED3_#016	\x0E\x03\x02\x14\x12E005_Boss\nDebo descubrirlo a toda costa.\x0E\x04\x02\x00
MID_ED3_#017	Espero que no te importe.\x0E\x04\x00\x00
MID_ED3_#018	\x0E\x03\x02\x0A\x08リュール\n¿De qué... estás hablando?\x0E\x04\x00\x00
MID_ED3_#019	\x0E\x03\x02\x14\x12E005_Boss\nMira a tus espaldas, Divinidad.\x0E\x04\x00\x00
MID_ED3_#020	\x0E\x03\x02\x0A\x08リュール\n¡Emblema Tiki!\x0E\x04\x00\x00
MID_ED3_#021	\x0E\x03\x02\x14\x12E005_Boss\nLa he despertado de su letargo.\x0E\x04\x02\x00
MID_ED3_#022	¿Te sorprende? Por eso te pregunté\nsi no querías seguir a mi hermana.\x0E\x04\x02\x00
MID_ED3_#023	Qué lástima que hayas preferido\nquedarte aquí. Conmigo.\x0E\x04\x02\x00
MID_ED3_#024	Llegó la hora del adiós, Divinidad.\x0E\x04\x00\x00
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x0A\x04イル\x021\n\x0E\x03\x00\x0E\x08ソンブル\x022\n\x0E\x03\x02\x06\x04イル\n¡Lo he conseguido!\x0E\x04\x02\x00
MID_ED4_#002	¡He despertado a un Emblema!\n¡Por fin he demostrado mi poder!\x0E\x04\x02\x00
MID_ED4_#003	Ya nunca dirán que no soy útil.\n¡Nadie se atreverá a llamarme fracasado!\x0E\x04\x02\x00
MID_ED4_#004	Tengo que contárselo a Nel ahora mismo.\x0E\x04\x00\x00
MID_ED4_#005	\x0E\x03\x02\x0A\x08ソンブル\nSería una pésima decisión.\x0E\x04\x00\x00
MID_ED4_#006	\x0E\x03\x02\x06\x04イル\n¡Padre!\x0E\x04\x00\x00
MID_ED4_#007	\x0E\x03\x02\x0A\x08ソンブル\nSigue fingiendo debilidad. Oculta tu verdadero\ntalento y así engañarás a los demás.\x0E\x04\x00\x00
MID_ED4_#008	\x0E\x03\x02\x06\x04イル\nPero...\x0E\x04\x00\x00
MID_ED4_#009	\x0E\x03\x02\x0A\x08ソンブル\nSé que lo conseguirás.\x0E\x04\x02\x00
MID_ED4_#010	Quizá seas digno de convertirte\nen mi heredero...\x0E\x04\x02\x00
MID_ED4_#011	Tu poder supera incluso el de tu hermana.\x0E\x04\x00\x00
MID_ED4_#012	\x0E\x03\x02\x06\x04イル\n(...)\x0E\x04\x00\x00
