MID_TUT_CATEGORY_TITLE_Battle	戰鬥
MID_TUT_GOD_IKE_2	結合武器「戰錘」可對敵人猛擊，\n並能對重裝兵造成大量傷害。
MID_TUT_GOD_IKE_3	結合特技「不動」\n會使所受傷害減半，\n但回避會變為0。
MID_TUT_GOD_IKE_4	結合技「霸克・天空」\n會在1回合內加強防守，抵禦敵人的攻擊，\n下回合還會發動範圍攻擊並回復HP。
MID_TUT_GOD_KAMUI_TITLE	紋章士神威
MID_TUT_GOD_KAMUI_0	「紋章士神威」可控制敵人的行動和地形效果，\n將戰局導向對我軍有利的方向。
MID_TUT_GOD_KAMUI_1	同步技「龍脈」可依據我方單位\n同步時的戰鬥類型賦予地形各種特殊效果，\n並消除該地形上的「火焰」跟「瘴氣」等效果。
MID_TUT_GOD_KAMUI_2	結合武器「逆刀」\n可倒轉武器的互克，使持槍的敵人陷入打破狀態。\n（若被持斧的敵人攻擊，則自身會陷入打破狀態）
MID_TUT_GOD_KAMUI_3	結合特技「咒縛」\n會在自身發動攻擊後，\n使對方與其周圍1格的敵人無法移動1回合。
MID_TUT_GOD_KAMUI_4	結合技「龍穿炮」會一次攻擊前方敵人，\n並賦予地形「水窪」的效果。\n（與龍脈相同，可消除「火焰」等效果）
MID_TUT_GOD_BYLETH_TITLE	紋章士貝雷特
MID_TUT_GOD_BYLETH_0	「紋章士貝雷特」可提升多名我方單位的能力，\n引導我軍取得勝利。
MID_TUT_GOD_BYLETH_1	同步技「天刻之脈動」\n有一定機率使本該失手的攻擊命中敵人。
MID_TUT_GOD_BYLETH_2	結合武器「英雄的遺產」\n可依據我方單位結合時的戰鬥類型\n使用不同的特殊武器。
MID_TUT_GOD_BYLETH_3	結合特技「指導」\n會提升周圍我方單位的基本能力值。
MID_TUT_GOD_BYLETH_4	結合技「計策：女神之舞」\n可讓相鄰的我方全員再次行動，\n並提升基本能力值。
MID_TUT_GOD_EIRIK_TITLE	紋章士艾莉可
MID_TUT_GOD_EIRIK_0	「紋章士艾莉可」和雙胞胎哥哥艾夫拉姆可交替上場，\n並依據戰況不同切換為適合的能力。
MID_TUT_GOD_EIRIK_1	同步技「月之手鐲」在攻擊時，\n面對的敵人防守越高，\n造成的傷害越大。
MID_TUT_GOD_EIRIK_2	結合武器「刺劍」\n可對騎馬的敵人及重裝兵造成大量傷害。
MID_TUT_GOD_EIRIK_3	結合特技「雙聖」\n可同時發動艾莉可和艾夫拉姆的特技。
MID_TUT_GOD_EIRIK_4	結合技「雙流」在以劍與槍\n攻擊時容易對敵人造成打破效果，\n更可對異形類敵人造成大量傷害。
MID_TUT_GOD_LUEUR_TITLE	紋章士\x0E\x06\x03\x00
MID_TUT_GOD_LUEUR_0	「紋章士\x0E\x06\x03\x00」無須同步，\n只要在出擊期間使用「結合+」，\n即可與任何人結合。
MID_TUT_GOD_LUEUR_1	同步技「繫承牽絆者」\n可提升自身與附近正在同步、結合的\n我方單位的命中及回避。
MID_TUT_GOD_LUEUR_2	結合武器「萊拉西昂」\n會在自身發動攻擊並擊敗敵人時，\n增加所有同步中的相鄰我方單位結合計量條。
MID_TUT_GOD_LUEUR_3	結合特技「以心」\n會在自身發動攻擊並擊敗敵人時，\n大幅提升結合對象的基本能力。
MID_TUT_GOD_LUEUR_4	結合技「神龍破」\n為施展劍與光束（魔法）的連續攻擊，\n對高防守、高魔防的敵人，亦能造成大量傷害。
MID_TUT_GOD_LUEUR_KL_TITLE	紋章士\x0E\x06\x03\x00的牽絆等級
MID_TUT_GOD_LUEUR_KL_0	紋章士\x0E\x06\x03\x00提升「牽絆等級」的方法\n和其他紋章士不同，不是透過牽絆經驗值，\n而是要提升和夥伴間的支援等級。
MID_TUT_GOD_LUEUR_KL_1	若和夥伴的支援等級未達C則為「牽絆等級1」，\n是C則為「牽絆等級5」，是B則為「牽絆等級10」，\n是A則為「牽絆等級20」。
MID_TUT_ENGAGE_PLUS_TITLE	結合+
MID_TUT_ENGAGE_PLUS_0	\x0E\x06\x03\x00在結合計量條儲滿的狀態下，\n與欲結合的我方單位相鄰，\n即可選擇「結合+」。
MID_TUT_ENGAGE_PLUS_1	選擇的對象與紋章士\x0E\x06\x03\x00\n進入結合狀態的同時，\n\x0E\x06\x03\x00自身亦會進入結合狀態。
MID_TUT_ENGAGE_PLUS_2	若與結合對象相鄰，\n結合技將會變成「牽絆・神龍破」，\n可藉此施展出強大的攻擊。
MID_TUT_BMAP_SORTIE_TITLE	出擊準備
MID_TUT_BMAP_SORTIE_0	在開始戰鬥前，可在「出擊準備」中\n選擇出擊的我方單位、\n紋章士戒指\x0E\x01\x08\x00及持有物品。
MID_TUT_BMAP_SORTIE_1	準備好後只要選擇「戰鬥開始」，\n即可出擊前往戰場。
MID_TUT_BMAP_UNIT_SELECT_TITLE	編組單位
MID_TUT_BMAP_UNIT_SELECT_0	可在「編組單位」中，\n以\x0E\x08\x02\x04\x02A鍵開啟/關閉\x0E\x08\x02\x16\x14IconSortie\n來選擇要在該地圖出擊的成員。
MID_TUT_BMAP_UNIT_SELECT_1	「綠色框框」的我方單位\n須在該地圖強制出擊，\n無法更改。
MID_TUT_BMAP_UNIT_SELECT_2	每個戰鬥地圖可出擊的\n我方單位總數均為固定。
MID_TUT_BMAP_MAPVERIFICATION_TITLE	更改配置
MID_TUT_BMAP_MAPVERIFICATION_0	可在「更改配置」替換更改\n我方單位出擊時的位置。
MID_TUT_BMAP_MAPVERIFICATION_1	首先，以\x0E\x08\x02\x04\x02A鍵選擇欲更改位置的我方單位。
MID_TUT_BMAP_MAPVERIFICATION_2	接著，以\x0E\x08\x02\x04\x02A鍵選擇其他我方單位，\n即可調換兩人的位置。\n（有些我方單位無法更換位置）
MID_TUT_BMAP_MAPVERIFICATION_3	此時只要移動游標，\n即可查看地形資訊及敵人的能力。
MID_TUT_BMAP_HERALDICCHOICE_TITLE	紋章士戒指\x0E\x01\x08\x00
MID_TUT_BMAP_HERALDICCHOICE_0	可在「紋章士戒指\x0E\x01\x08\x00」中，\n決定或更改與我方單位同步的紋章士。
MID_TUT_BMAP_HERALDICCHOICE_1	只要透過選擇「我方單位」→「戒指\x0E\x01\x08\x00」，\n即可決定該如何配搭。
MID_TUT_BMAP_GETTINGDRESSED_TITLE	整備
MID_TUT_BMAP_GETTINGDRESSED_0	在「整備」中可整理\n出擊期間欲使用的武器及道具。
MID_TUT_BMAP_GETTINGDRESSED_1	在「整理持有物品」、「交換持有物品」中\n可整理我方單位持有的武器及道具，\n或是與運輸隊及其他我方單位交換武器及道具。
MID_TUT_BMAP_GETTINGDRESSED_2	如果選擇「自動裝備」，\n就會從持有的道具中自動選擇適合的物品。
MID_TUT_BMAP_GETTINGDRESSED_3	若選擇「保管所有物品」，\n則可把持有道具都交給運輸隊保管。
MID_TUT_BMAP_EQUIP_SKILL_TITLE	特技裝備
MID_TUT_BMAP_EQUIP_SKILL_0	可在「整備」中的「特技裝備」\n查看已習得的「特技」\n及更換「繼承特技」。
MID_TUT_BMAP_EQUIP_SKILL_1	「繼承特技」可在索拉涅爾的\n「紋章士之間」等地從紋章士身上繼承。
MID_TUT_BMAP_CLASSCHANGE_TITLE	轉職
MID_TUT_BMAP_CLASSCHANGE_0	持有「大師證」就能讓等級10以上的\n我方單位「轉職」為高級兵種。
MID_TUT_BMAP_CLASSCHANGE_1	成為高級兵種後單位會進一步強化，\n不僅能力值提升，可使用的武器也會增加。
MID_TUT_BMAP_CLASSCHANGE_2	只要擁有「轉職證」\n就可「轉職」成其他類型的兵種。
MID_TUT_BMAP_CLASSCHANGE_3	可以從「整備」中「轉職」。
MID_TUT_BMAP_APTITUDE_TITLE	資質
MID_TUT_BMAP_APTITUDE_0	需要擁有特定的「資質」\n才可轉職為其他兵種。
MID_TUT_BMAP_APTITUDE_1	一開始擁有的資質為「天賦資質」，\n若轉職成能善用此資質的兵種，\n則可發揮其優秀的才能。
MID_TUT_BMAP_APTITUDE_2	可從紋章士身上繼承\n尚未擁有的「資質」，\n藉此轉職成喜歡的兵種。
MID_TUT_GMAP_BASIC_TITLE	世界地圖
MID_TUT_GMAP_BASIC_0	要在「世界地圖」執行操作\n才可前往下一章或目的地。
MID_TUT_GMAP_BASIC_1	移動\x0E\x06\x03\x00至欲前往的地方，\n再按下\x0E\x08\x02\x04\x02A鍵打開選單，\n即可推進劇情。
MID_TUT_GMAP_BASIC_2	玩家可從選單執行整備\n或返回據點索拉涅爾。
MID_TUT_GMAP_SIDE_TITLE	外傳
MID_TUT_GMAP_SIDE_0	若持續推進遊戲，\n有時世界地圖會出現「外傳地圖」。
MID_TUT_GMAP_SIDE_1	玩家可自由決定是否要前往外傳地圖，\n但外傳中可能會有新夥伴加入或有些好機遇，\n非常值得造訪看看。
MID_TUT_GMAP_ENCOUNT_TITLE	遭遇戰
MID_TUT_GMAP_ENCOUNT_0	至今為止在世界地圖上經過的地方\n可能會出現異形兵或該國的士兵。
MID_TUT_GMAP_ENCOUNT_1	只要移動到該處，\n即可展開「遭遇戰」或「訓練」。
MID_TUT_GMAP_ENCOUNT_2	可與一般的戰鬥同樣獲得經驗值，\n亦有機會得到金幣或道具，\n建議玩家可好好利用。
MID_TUT_GMAP_RANKING_TITLE	出擊排行榜
MID_TUT_GMAP_RANKING_0	只要連接網路，就能以排行榜的形式\n查看全世界的玩家在此地圖上派遣了\n哪些單位和紋章士出擊。
MID_TUT_GMAP_RANKING_1	建議可在編組單位，\n選擇出擊的我方單位時參考看看。
MID_TUT_KR_KIZUNARESULT_TITLE	散步
MID_TUT_KR_KIZUNARESULT_0	戰鬥結束就會開始「散步」，\n可在周圍走動，和夥伴對話。
MID_TUT_KR_KIZUNARESULT_1	有時還會發現掉落的道具，\n建議可到處找找。
MID_TUT_KR_KIZUNARESULT_2	想要結束散步時，可朝出口走去，\n或按下\x0E\x08\x02\x0A\x08Plus鍵打開選單並選擇「前往下個目的地」。
MID_TUT_KR_KIZUNAPIECE_TITLE	牽絆碎片
MID_TUT_KR_KIZUNAPIECE_0	「散步」時若與夥伴對話，\n就有機會獲得「牽絆碎片」。
MID_TUT_KR_KIZUNAPIECE_1	在索拉涅爾和紋章士鍛鍊\n或精煉牽絆戒指時需要用到「牽絆碎片」。
MID_TUT_KR_KIZUNAPIECE_2	結束「散步」時，\n若未獲得地圖上所有夥伴的「牽絆碎片」，\n也會在結束後自動取得剩下的「牽絆碎片」。
MID_TUT_HUB_BASIC_TITLE	據點
MID_TUT_HUB_BASIC_0	可在據點「索拉涅爾」準備下一場戰鬥\n或和夥伴們交流。
MID_TUT_HUB_BASIC_1	一開始能做的事不多，\n但隨著故事劇情的推進，\n將會慢慢增加可利用的設施。
MID_TUT_HUB_BASIC_2	當一切準備就緒，想前往下個章節時，\n請從入口或是選單中選擇「前往下個目的地」。
MID_TUT_HUB_CENTRALLOBBY_OPEN	可以利用「開放式茶座」了。
MID_TUT_HUB_CENTRALLOBBY_TITLE	開放式茶座
MID_TUT_HUB_CENTRALLOBBY_0	「開放式茶座」是夥伴們\n聚在一起休息的地方，\n有各式各樣的設備。
MID_TUT_HUB_CENTRALLOBBY_1	「音箱」可將索拉涅爾的\n背景音樂更改成自己喜歡的樂曲。\n
MID_TUT_HUB_CENTRALLOBBY_2	「布告欄」可以看到「據點情報」。\n另外，也可「投資」各國，\n或是查看目前為止的「成就」。
MID_TUT_HUB_INVESTMENT_TITLE	投資國家
MID_TUT_HUB_INVESTMENT_0	可在「投資國家」中向各國投資金幣。\n超過一定金額後會提升投資等級，\n並依等級收到不同謝禮。
MID_TUT_HUB_INVESTMENT_1	此外，在已提升等級的國家觸發遭遇戰時，\n有較高機率會出現稀有敵人，\n也較容易獲得金幣與經驗值。
MID_TUT_HUB_INVESTMENT_2	除此之外，亦會增加在該國散步時\n所能發現的材料，投資有非常多好處，\n若金錢充裕，不妨一試。
MID_TUT_HUB_INFORMATION_TITLE	據點情報
MID_TUT_HUB_INFORMATION_0	在「據點情報」中，\n可查看夥伴在索拉涅爾的位置，\n以及設施狀況等資訊。
MID_TUT_HUB_INFORMATION_1	選擇指定區域，\n即可瞬間移動至該區域。
MID_TUT_HUB_ACHIEVEMENT_TITLE	成就
MID_TUT_HUB_ACHIEVEMENT_0	在遊戲中達成各種行動後，\n即可在「成就」中領取獎勵「牽絆碎片」。
MID_TUT_HUB_ACHIEVEMENT_1	達成成就後會收到通知，\n記得要前往領取。
MID_TUT_HUB_MYROOM_TITLE	我的房間
MID_TUT_HUB_MYROOM_0	「我的房間」曾是\x0E\x06\x03\x00的沉睡之地，\n這裡放有「我的床」。
MID_TUT_HUB_MYROOM_1	選擇「休息」就可在床上休息一下，\n稍微推進索拉涅爾的時間。
MID_TUT_HUB_MYROOM_2	「休息」時可能會發生一些特別的事……？\n（建議使用耳機）
MID_TUT_HUB_MYROOM_3	選擇「回憶」就可再次觀看\n先前看過的支援對話或影片。
MID_TUT_HUB_MYROOM_4	選擇「更改難度」，\n即可更改遊戲的難度。\n（若難度為普通，則無法更改）
MID_TUT_HUB_WEAPONSHOP_OPEN	「武器店」和「道具店」開張了。
MID_TUT_HUB_WEAPONSHOP_TITLE	武器店
MID_TUT_HUB_WEAPONSHOP_0	可在「武器店」購買或販售\n戰鬥時使用的武器。
MID_TUT_HUB_WEAPONSHOP_1	一開始的商品種類很少，\n但隨著故事劇情的推進，\n店家會引進新商品，增加品項。
MID_TUT_HUB_ITEMSHOP_TITLE	道具店
MID_TUT_HUB_ITEMSHOP_0	可在「道具店」購買或販售\n「傷藥」或「杖」等戰鬥時使用的道具。
MID_TUT_HUB_ITEMSHOP_1	一開始的商品雖然不多，\n但隨著故事劇情的推進，\n將會慢慢增加品項。
MID_TUT_HUB_HERALDICSPACE_OPEN	可以進入「紋章士之間」了。
MID_TUT_HUB_HERALDICSPACE_TITLE	紋章士之間
MID_TUT_HUB_HERALDICSPACE_0	在「紋章士之間」可以做各種和紋章士有關的事情。\n透過「特技繼承」將可繼承紋章士擁有的特技。
MID_TUT_HUB_HERALDICSPACE_1	透過「精煉牽絆戒指」「合成牽絆戒指」\n將可用牽絆碎片來精煉「牽絆戒指」，\n或利用合成來強化戒指。
MID_TUT_HUB_HERALDICSPACE_2	透過「研磨戒指\x0E\x01\x08\x00」\n可以把戰鬥中弄髒的「紋章士戒指\x0E\x01\x08\x00」擦乾淨，\n加深和紋章士的牽絆。
MID_TUT_HUB_INHERITSKILL_TITLE	特技繼承
MID_TUT_HUB_INHERITSKILL_0	「特技繼承」可讓我方單位\n繼承紋章士的各種特技。
MID_TUT_HUB_INHERITSKILL_1	有「SP」且跟紋章士到達一定的「牽絆等級」\n才能夠執行「特技繼承」。「SP」可透過和\n紋章士同步或裝備「牽絆戒指」戰鬥時累積。
MID_TUT_HUB_INHERITSKILL_2	已繼承的特技需要裝備在單位身上才能發揮效果，\n可從「整備」中的「特技裝備」選擇想要裝備的特技。
MID_TUT_HUB_INHERITSKILL_3	若裝備的特技與同步中紋章士的\n「同步技」相同，效果將不會發動。\n避免裝備重複特技，才能發揮最大的效用。
MID_TUT_HUB_CREATE_RING_TITLE	精煉牽絆戒指
MID_TUT_HUB_CREATE_RING_0	牽絆碎片可用來精煉「牽絆戒指」。
MID_TUT_HUB_CREATE_RING_1	當成戒指裝備時可提升能力。\n雖不及「紋章士戒指\x0E\x01\x08\x00」，\n但可透過戰鬥累積SP。
MID_TUT_HUB_ENGWEAPON_REFINE_OPEN	能在「紋章士之間」「強化結合武器」了。
MID_TUT_HUB_ENGWEAPON_REFINE_TITLE	強化結合武器
MID_TUT_HUB_ENGWEAPON_REFINE_0	紋章士的「結合武器」可以利用下列方式強化。\n・使用紋晶石提升武器的各種能力\n・使用克制之書賦予武器各種克制效果
MID_TUT_HUB_ENGWEAPON_REFINE_1	強化所需的材料可透過挑戰\n「試煉別屋」中的「連戰的試煉」或「續戰的試煉」獲得。
MID_TUT_HUB_ENGWEAPON_REFINE_2	每樣結合武器都有「強化值上限」，\n超過上限就無法強化。
MID_TUT_HUB_ENGWEAPON_REFINE_3	強化的武器可以不限次數重置並重新強化。\n另外，只要提高紋章士和多位夥伴的牽絆等級，\n就會提升「強化值上限」，可進一步強化武器。
MID_TUT_HUB_MASCOT_OPEN	鐘乳洞瀰漫著一股神秘的氣息。
MID_TUT_HUB_MASCOT_TITLE	\x0E\x06\x05\x00
MID_TUT_HUB_MASCOT_0	「\x0E\x06\x05\x00」是個不可思議的生物，\n從很久以前就守護著這片土地。
MID_TUT_HUB_MASCOT_1	細心照顧這個小傢伙的話，\n說不定會發生什麼好事喔。
MID_TUT_HUB_MUSCLEEXERCISES_OPEN	可以玩「肌肉體操」了！
MID_TUT_HUB_MUSCLEEXERCISES_TITLE	肌肉體操
MID_TUT_HUB_MUSCLEEXERCISES_0	「肌肉體操」是一種活動，\n只要挑戰3種運動，就可暫時\n提高\x0E\x06\x03\x00的基本能力。
MID_TUT_HUB_MUSCLEEXERCISES_1	每種體操的操作方法\n與提升能力並不相同，\n目標是獲得最高評價！
MID_TUT_HUB_MUSCLEEXERCISES_2	推進故事劇情\n或許可以開啟更高的難度。
MID_TUT_HUB_ME_PUSHUPS_TITLE	伏地挺身
MID_TUT_HUB_ME_PUSHUPS_0	「伏地挺身」的重點在於按下按鍵的時機！\n讓加速的橫條停在最佳位置吧。\n失敗3次遊戲就會結束。
MID_TUT_HUB_ME_PUSHUPS_1	橫條的速度會逐漸加快，\n集中精神，不要分心了。
MID_TUT_HUB_ME_PUSHUPS_2	目標是Perfect Body！
MID_TUT_HUB_ME_SITUP_TITLE	仰臥起坐
MID_TUT_HUB_ME_SITUP_0	「仰臥起坐」是連按按鍵的體力賽！\n快速連按按鍵，把橫條推到最上面吧。\n橫條掉到最下面的話遊戲就會結束。
MID_TUT_HUB_ME_SITUP_1	越快集滿計量條，就能獲得越高的評價，\n但計量條會越來越難集滿。
MID_TUT_HUB_ME_SITUP_2	目標是Perfect Body！
MID_TUT_HUB_ME_SQUAT_TITLE	深蹲
MID_TUT_HUB_ME_SQUAT_0	「深蹲」比的是節奏感！\n配合朝著畫面上的指示操作\x0E\x08\x02\x0E\x0CStickL\x0E\x08\x02\x0E\x0CStickR吧。\n失敗3次遊戲就會結束。
MID_TUT_HUB_ME_SQUAT_1	「推動\x0E\x08\x02\x0E\x0CStickL\x0E\x08\x02\x0E\x0CStickR」\n「將\x0E\x08\x02\x0E\x0CStickL\x0E\x08\x02\x0E\x0CStickR轉一圈」\n掌握上面兩種操作方式吧。
MID_TUT_HUB_ME_SQUAT_2	目標是Perfect Body！
MID_TUT_HUB_ARENA_OPEN	可以利用「鍛鍊之間」了。
MID_TUT_HUB_ARENA_TITLE	鍛鍊之間
MID_TUT_HUB_ARENA_0	在「鍛鍊之間」可選擇夥伴，\n透過參加模擬戰獲得「經驗值」或「牽絆經驗值」。
MID_TUT_HUB_ARENA_1	「一般鍛鍊」是和夥伴的模擬戰。\n不須消費道具，但參加次數有限，\n也會隨機決定對手。
MID_TUT_HUB_ARENA_2	「特別指名鍛鍊」是與紋章士的模擬戰。\n雖得消費「牽絆碎片」，但不限次數，\n且跟指名對象必定可提升牽絆等級。
MID_TUT_HUB_ANIMAL_OPEN	可以「收容動物」了。
MID_TUT_HUB_ANIMAL_TITLE	動物
MID_TUT_HUB_ANIMAL_0	可收容在散步時遇到的「動物」，\n將其帶回索拉涅爾。
MID_TUT_HUB_ANIMAL_1	在「動物小屋」選擇「放牧」，\n就可與收容的動物近距離接觸，\n有機會獲得掉落的食材等道具。
MID_TUT_HUB_ANIMAL_2	只要在開放式茶座的布告欄\n投資各國並學習飼養方法，\n就能收容更多種類的動物。
MID_TUT_HUB_AMIIBO_OPEN	「amiibo SPOT」開放了。
MID_TUT_HUB_AMIIBO_TITLE	amiibo SPOT
MID_TUT_HUB_AMIIBO_0	只要在「amiibo SPOT」讀取amiibo，\n就可獲得道具等各種特典。
MID_TUT_HUB_AMIIBO_1	若讀取FIRE EMBLEM的相關amiibo，\n就有機會獲得特殊特典。
MID_TUT_HUB_DRILLINGSHOP_OPEN	「鍛造店」和「裝飾品店」開張了。
MID_TUT_HUB_DRILLINGSHOP_TITLE	鍛造店
MID_TUT_HUB_DRILLINGSHOP_0	只要提供「鍛造店」材料跟金幣，\n就可請店家強化武器。
MID_TUT_HUB_DRILLINGSHOP_1	「鍛造・進化」可以提升武器的性能，\n或製作其他更強的武器。
MID_TUT_HUB_DRILLINGSHOP_2	透過「紋章刻印」便能賦予武器紋章士的能力。\n一名紋章士的能力只能刻印在一個喜歡的武器上，\n之後亦能將紋章改為刻印至其他武器上。
MID_TUT_HUB_DRILLINGSHOP_3	「交換材料」能將鍛造用的材料\n交換成其他種類的材料。
MID_TUT_HUB_ACCESSORYSHOP_TITLE	裝飾品店
MID_TUT_HUB_ACCESSORYSHOP_0	只要提供「裝飾品店」材料跟金幣，\n就可請店家製作能在索拉涅爾\n穿戴的「衣服」或「飾品」。
MID_TUT_HUB_ACCESSORYSHOP_1	除了部分特別的飾品，\n其餘店家製作的飾品\n皆可穿戴在每位角色身上。
MID_TUT_HUB_ACCESSORYSHOP_2	隨著故事劇情的發展，\n能請店家製作的東西也會增加。
MID_TUT_HUB_COOK_OPEN	可以在「開放式茶座」製作「料理」了。
MID_TUT_HUB_COOK_TITLE	製作料理
MID_TUT_HUB_COOK_0	可以請負責掌廚的人製作「料理」\n和夥伴一起享用。
MID_TUT_HUB_COOK_1	若做出美味的料理，\n下次出擊期間就會強化我方全員的能力值。
MID_TUT_HUB_COOK_2	此外，一起用餐的夥伴\n也會提升支援值。
MID_TUT_HUB_COOK_3	且用餐後還有機會獲得道具「便當」。\n（在出擊期間使用可回復HP）
MID_TUT_HUB_CAPERIDGE_OPEN	「試煉別屋」開放了。
MID_TUT_HUB_CAPERIDGE_TITLE	試煉別屋
MID_TUT_HUB_CAPERIDGE_0	在「試煉別屋」可以挑戰各式各樣的「試煉」，\n贏得勝利將能獲得獎勵。
MID_TUT_HUB_CAPERIDGE_1	「連戰的試煉」\n須連續過關地圖，\n玩家可在挑戰時選擇難度。
MID_TUT_HUB_CAPERIDGE_2	「續戰的試煉」是利用網路和其他玩家合作，\n用接力的方式遊玩1個地圖關卡，奪得勝利。
MID_TUT_HUB_CAPERIDGE_3	「異界的試煉」是使用自己編輯的地圖\n和其他玩家的部隊在網路上對戰。
MID_TUT_HUB_FISHING_OPEN	可以「釣魚」了！
MID_TUT_HUB_FISHING_TITLE	釣魚
MID_TUT_HUB_FISHING_0	可以享受「釣魚」的活動。\n用\x0E\x08\x02\x04\x02A鍵在喜歡的位置垂下釣竿吧。\n（大波紋下面可能會有大魚）
MID_TUT_HUB_FISHING_1	在浮標完全沉下去的瞬間\n按\x0E\x08\x02\x04\x02A鍵魚就會上鉤。
MID_TUT_HUB_FISHING_2	魚掙扎時就往反方向推動\x0E\x08\x02\x0E\x0CStickL吧！\n如果沒辦法順利收線，魚就會逃跑。
MID_TUT_HUB_FISHING_3	收線將魚拉到身前時，就是大好機會。\n這時要連按\x0E\x08\x02\x04\x02A鍵削減魚的體力。
MID_TUT_HUB_FISHING_4	將魚的體力減至0，就能成功釣起！\n若獲得新的釣竿，搞不好能釣到更大的魚！
MID_TUT_HUB_DRAGONRIDE_OPEN	可以遊玩「飛龍射手」了！
MID_TUT_HUB_DRAGONRIDE_TITLE	飛龍射手
MID_TUT_HUB_DRAGONRIDE_0	「飛龍射手」是要乘著飛龍，\n破壞空中標靶取得高分的活動。
MID_TUT_HUB_DRAGONRIDE_1	破壞特別的標靶，取得最佳得分吧！\n（隨著故事劇情推進，會開放新的難度）
MID_TUT_HUB_FLEAMARKET_OPEN	「跳蚤市場」開張了。
MID_TUT_HUB_FLEAMARKET_TITLE	跳蚤市場
MID_TUT_HUB_FLEAMARKET_0	在「跳蚤市場」裡可以買到\n一般店家所沒有的珍貴商品。
MID_TUT_HUB_FLEAMARKET_1	商品種類會隨時變動，\n建議可以偶爾來看看。
MID_TUT_HUB_FORTUNE_OPEN	「占卜小屋」開張了。
MID_TUT_HUB_FORTUNE_TITLE	占卜小屋
MID_TUT_HUB_FORTUNE_0	「占卜小屋」裡的賽安達斯\n會用卡牌幫人占卜吉凶。
MID_TUT_HUB_FORTUNE_1	只有晚上會營業，\n想占卜就日落之後再來吧。
MID_TUT_HUB_PROFILE_OPEN	可以使用「活動記錄館」了
MID_TUT_HUB_CAPERIDGE_DETAIL_TITLE	試煉中的出擊
MID_TUT_HUB_CAPERIDGE_DETAIL_0	我方在各種「試煉」出擊期間產生的\n「狀態變化」、「消費的道具」及「倒下的夥伴」\n都會在遊玩結束後恢復原狀。
MID_TUT_HUB_CAPERIDGE_DETAIL_1	遊玩結束後可領取道具及經驗值獎勵。
MID_TUT_HUB_CAPERIDGE_DETAIL_2	為了過關獲取獎勵，\n大膽使用道具，盡情遊玩吧。
MID_TUT_CHALLENGE_TITLE	連戰的試煉
MID_TUT_CHALLENGE_0	「連戰的試煉」\n須連續挑戰地圖，\n以過關為目標。
MID_TUT_CHALLENGE_1	過關指定數目的地圖後，\n不僅可獲得材料獎勵，\n出擊的我方單位亦會獲得經驗值。
MID_TUT_CHALLENGE_2	選擇連戰地圖時可設定難度，\n難度越高，過關後獲得的獎勵越豐厚。
MID_TUT_RELAY_TITLE	續戰的試煉
MID_TUT_RELAY_0	「續戰的試煉」就像接力賽一樣，\n要與其他玩家在同一地圖內輪流\n遊玩一定的回合，以過關為目標。
MID_TUT_RELAY_1	選擇「開啟新的戰鬥」，\n就會消費票券展開「續戰的試煉」。
MID_TUT_RELAY_2	選擇「繼承」，\n則可繼承別人的資料遊玩。
MID_TUT_RELAY_3	選擇「查看結果」，\n就可觀看自己參與的戰鬥的重播記錄，\n若戰鬥已結束，則可領取獎勵。
MID_TUT_RELAY_ENTRY_PANEL_TITLE	入口面板
MID_TUT_RELAY_ENTRY_PANEL_0	「入口面板」及周圍4格\n皆可配置我方單位，\n最多可派5人出擊。
MID_TUT_RELAY_ENTRY_PANEL_1	地圖上有數個未啟動的入口面板，\n讓我方單位在面板上待命即可啟動。
MID_TUT_RELAY_ENTRY_PANEL_2	一旦啟動面板，繼承資料的玩家\n即可讓我方單位從該處出擊，\n建議盡可能啟動所有面板。
MID_TUT_RELAY_DATA_TAKEOVER_TITLE	繼承資料
MID_TUT_RELAY_DATA_TAKEOVER_0	遊玩至一定回合數後，\n便可設定讓其他玩家繼承的方式。
MID_TUT_RELAY_DATA_TAKEOVER_1	繼承方式如下，\n「公開」：任何人都可繼承。\n「非公開」：需先取得ID，並輸入該ID繼承。
MID_TUT_RELAY_DATA_TAKEOVER_2	可從「查看結果」中查看之後的\n戰鬥情況及勝負結果。
MID_TUT_RELAY_NEWDATA_TITLE	開啟新的戰鬥
MID_TUT_RELAY_NEWDATA_0	建立新的資料，\n並從頭開始試煉。
MID_TUT_RELAY_NEWDATA_1	請查看「地圖資訊」\n並選擇欲遊玩的地圖。
MID_TUT_RELAY_NEWDATA_2	選擇地圖後將進入出擊準備，\n此時選擇「開始戰鬥」\n就會消費票券展開試煉。
MID_TUT_RELAY_TAKEOVER_TITLE	繼承
MID_TUT_RELAY_TAKEOVER_0	繼承其他玩家的資料，\n並從地圖的中途展開試煉。\n繼承方式分別為「隨機」及「輸入ID」。
MID_TUT_RELAY_TAKEOVER_1	若選擇「隨機」，\n將會自動選擇其他玩家的資料，\n並在繼承後開始遊玩。
MID_TUT_RELAY_TAKEOVER_2	若選擇「輸入ID」，\n則可繼承指定玩家的資料，\n並開始遊玩。
MID_TUT_RELAY_TAKEOVER_3	選擇「開始戰鬥」即可展開試煉。
MID_TUT_RELAY_FINISH_TITLE	查看結果
MID_TUT_RELAY_FINISH_0	可從自己參與的「續戰的試煉」的資料中\n查看遊玩狀況。\n若試煉已結束，則可領取獎勵。
