MAID_LueurWearM	神龍之子便服
MAID_H_Mascot_Flower	\x0E\x06\x05\x00常在花田午睡，這就是用那裡的花朵製成的花冠。\n散發著能消除疲勞、令人安心的香氣。
MAID_Mascot_Wig	神龍髮型
MAID_H_Mascot_Wig	與\x0E\x06\x03\x00一樣的髮型。\n暫且不論適不適合，總之\x0E\x06\x05\x00看起來非常高興。
MAID_Mascot_Eyebrows	帥眉毛
MAID_H_Mascot_Eyebrows	正氣凜然的眉毛，能讓眼神變得更加銳利。\n只要讓\x0E\x06\x05\x00戴上這個，或許就能從表情看出牠的想法。
MAID_Mascot_Butterfly	蝴蝶
MAID_H_Mascot_Butterfly	\x0E\x06\x05\x00追逐的蝴蝶，不知何時停在了牠的尾巴上。\n不管怎麼活動都不會飛走，令人有些懷疑是不是真的蝴蝶。
MAID_Mascot_Ribbon	緞帶
MAID_H_Mascot_Ribbon	牢牢繫在可愛屁屁上的緞帶。材質輕巧零負擔，\n輕到連\x0E\x06\x05\x00自己都忘了身上繫有緞帶，有時還能看到牠被自己嚇到。
MAID_Mascot_Bell	鈴鐺繩結
MAID_H_Mascot_Bell	帶著鈴鐺的紅白雙色繩結，像要參加慶典一樣看起來喜氣洋洋。\n繫上這條繩結，走動跑跳時就會發出清脆的鈴聲，心情也跟著愉快起來。
MAID_Mascot_Feather	輕飄飄翅膀
MAID_H_Mascot_Feather	輕巧飄揚，好像能飛到任何地方的翅膀造型飾品。\n配戴後會讓人誤以為自己真的能飛翔而試圖跳下懸崖，要十分小心。
MAID_Mascot_BackAcce	守護神正裝
MAID_H_Mascot_BackAcce	與神龍族正式服裝同款的套裝，但尺寸為守護神專用。\n\x0E\x06\x05\x00穿上這套衣服時總是洋洋得意，有時則會露出懷念的神情。
MAID_Costume_Marth	英雄王服裝
MAID_H_Costume_Marth	與高尚清廉的群雄之最──「初始紋章士」馬爾斯同款的服裝。
MAID_Costume_Siglud	聖戰騎士服裝
MAID_H_Costume_Siglud	與繼承了聖戰士血脈的騎士──「聖戰紋章士」西格爾特同款的服裝。
MAID_Costume_Celica	慈悲公主服裝
MAID_H_Costume_Celica	與豐饒之國的公主──「聲響紋章士」賽莉卡同款的服裝。
MAID_Costume_Micaiah	拂曉巫女服裝
MAID_H_Costume_Micaiah	與擁有神秘力量的巫女──「拂曉紋章士」米卡雅同款的服裝。
MAID_Costume_Roy	幼獅服裝
MAID_H_Costume_Roy	與聰慧果敢的勳爵──「封印紋章士」羅伊同款的服裝。
MAID_Costume_Lin	草原女爵服裝
MAID_H_Costume_Lin	與武藝高超的游牧民族劍士──「烈火紋章士」琳同款的服裝。
MAID_Costume_Ike	蒼炎勇者服裝
MAID_H_Costume_Ike	與戰鬥技巧超群的傭兵團團長──「蒼炎紋章士」艾克同款的服裝。
MAID_Costume_Lucina	聖公主服裝
MAID_H_Costume_Lucina	與不向絕望低頭的神聖公主──「覺醒紋章士」露琪娜同款的服裝。
MAID_Costume_Leaf	賢王服裝
MAID_H_Costume_Leaf	與繼承了兩位聖戰士血脈的王子──「系譜紋章士」里弗同款的服裝。
MAID_Costume_Kamui	選擇未來之人服裝
MAID_H_Costume_Kamui	與繼承了神祖龍血脈的王族──「選擇紋章士」神威同款的服裝。
MAID_Costume_Eirik	碧綠風空服裝
MAID_H_Costume_Eirik	與為了和平持劍奮戰的公主──「聖魔紋章士」艾莉可同款的服裝。
MAID_Costume_Byleth	引領者服裝
MAID_H_Costume_Byleth	與曾做過傭兵的士官學校教師──「風花紋章士」貝雷特同款的服裝。
