MID_BONDSRING_H_CommonTytle	「登場作品」
MID_BONDSRING_H_Nono03	《覚醒》
MID_BONDSRING_Azul	阿茲爾
MID_BONDSRING_H_Azul00	異界英雄之一，奧利薇的兒子。
MID_BONDSRING_H_Azul01	來自未來的少年少女之一，\n親切友善、開朗活潑。
MID_BONDSRING_H_Azul02	喜歡搭訕女孩子，\n是軍中在外蹓躂到最晚的人。
MID_BONDSRING_H_Azul03	《覚醒》
MID_BONDSRING_Serena	瑟琳娜
MID_BONDSRING_H_Serena00	異界英雄之一，蒂亞莫的女兒。
MID_BONDSRING_H_Serena01	來自未來的少年少女之一，\n個性好強，態度高傲。
MID_BONDSRING_H_Serena02	會裝可愛、耍小心機，\n是軍中最常胡亂購物的人。
MID_BONDSRING_H_Serena03	《覚醒》
MID_BONDSRING_Gaius	蓋亞
MID_BONDSRING_H_Gaius00	異界英雄之一，伊里斯聖王國的盜賊。
MID_BONDSRING_H_Gaius01	沉著冷靜，只要能獲得酬勞，\n原則上無論什麼委託都接受。
MID_BONDSRING_H_Gaius02	喜歡甜食，全身上下藏著糖果。\n是軍中最常流鼻血的人。
MID_BONDSRING_H_Gaius03	《覚醒》
MID_BONDSRING_Oud	伍德
MID_BONDSRING_H_Oud00	異界英雄之一，莉茲的兒子。
MID_BONDSRING_H_Oud01	來自未來的少年少女之一，\n繼承了聖王的血脈，身上有「聖痕」。
MID_BONDSRING_H_Oud02	喜歡萬眾矚目的感覺，愛逞威風，\n是軍中最常情緒激動的人。
MID_BONDSRING_H_Oud03	《覚醒》
MID_BONDSRING_Lissa	莉茲
MID_BONDSRING_H_Lissa00	異界伊里斯聖王國的公主。
MID_BONDSRING_H_Lissa01	平等友善對待他人的少女，\n以庫洛武自衛團成員的身分大顯身手。
MID_BONDSRING_H_Lissa02	自衛團中的開心果，\n是軍中最愛蹦蹦跳跳的人。
MID_BONDSRING_H_Lissa03	《覚醒》
MID_BONDSRING_Lin00	來自異界埃列布陸地的塞迦地區，\n繼承基亞蘭侯爵家血脈的女爵。
MID_BONDSRING_Lin01	與朋友艾利烏德、海克托爾等人\n一同討伐為世界招致災厄者涅爾加魯。
MID_BONDSRING_Hector	海克托爾
MID_BONDSRING_H_Hector00	異界埃列布陸地中\n位於呂基亞地區的奧斯提亞侯爵家勳爵。
MID_BONDSRING_H_Hector01	個性豪爽的青年，擅長用斧，\n以獨樹一格的招式戰鬥，實力堅強。
MID_BONDSRING_H_Hector02	從小認識艾利烏德，\n互相發誓終生為友。
MID_BONDSRING_H_Hector03	《封印の剣》《烈火の剣》
MID_BONDSRING_Dorcas	多爾卡斯
MID_BONDSRING_H_Dorcas00	異界英雄之一，邊境村落的戰士。
MID_BONDSRING_H_Dorcas01	為了賺取妻子的醫藥費，\n而淪為山賊團的爪牙。
MID_BONDSRING_H_Dorcas02	受琳救助後成為夥伴。\n個性穩重，愛護家人。
MID_BONDSRING_H_Dorcas03	《烈火の剣》
MID_BONDSRING_Eliwod	艾利烏德
MID_BONDSRING_H_Eliwod00	異界埃列布陸地中\n位於呂基亞地區的費雷侯爵家勳爵。
MID_BONDSRING_H_Eliwod01	率真誠摯的青年，\n為了尋找下落不明的父親而踏上旅途。
MID_BONDSRING_H_Eliwod02	被捲入奸賊的巨大陰謀後，\n與海克托爾、琳一同挺身奮戰。
MID_BONDSRING_H_Eliwod03	《封印の剣》《烈火の剣》
MID_BONDSRING_Nino	妮諾
MID_BONDSRING_H_Nino00	異界英雄之一，\n誠懇溫柔的見習魔道士。
MID_BONDSRING_H_Nino01	暗殺集團「黑牙」首領之女，\n因遭母親冷落而渴求愛情。
MID_BONDSRING_H_Nino02	非常重視團內的夥伴，\n將他們視為家人。
MID_BONDSRING_H_Nino03	《烈火の剣》
MID_BONDSRING_Flolina	芙羅利娜
MID_BONDSRING_H_Flolina00	異界英雄之一，伊利亞地區的見習天馬騎士。
MID_BONDSRING_H_Flolina01	成熟穩重的少女，\n心地善良，熱愛動物。
MID_BONDSRING_H_Flolina02	害羞內向，不擅長與男性相處，\n卻為了摯友琳，與其一同踏上了旅程。
MID_BONDSRING_H_Flolina03	《烈火の剣》
MID_BONDSRING_Jaffar	賈法爾
MID_BONDSRING_H_Jaffar00	異界英雄之一，\n暗殺集團「黑牙」的暗殺者。
MID_BONDSRING_H_Jaffar01	人稱「四牙」的精銳之一，\n別名「死神」。
MID_BONDSRING_H_Jaffar02	缺乏感情、冷酷的殺手，\n但在與妮諾相處後，逐漸理解人的心。
MID_BONDSRING_H_Jaffar03	《烈火の剣》
MID_BONDSRING_Matthew	馬修
MID_BONDSRING_H_Matthew00	異界英雄之一，\n侍奉奧斯提亞侯爵家的密探。
MID_BONDSRING_H_Matthew01	個性爽朗灑脫，\n平易近人。
MID_BONDSRING_H_Matthew02	乍看輕浮，實際上卻是幕後推手，\n總能確實履行任務。
MID_BONDSRING_H_Matthew03	《烈火の剣》
MID_BONDSRING_Ninian	尼尼安
MID_BONDSRING_H_Ninian00	異界英雄之一，旅行中的舞者。
MID_BONDSRING_H_Ninian01	遭盜賊襲擊時，受艾利烏德與琳所救，\n隨後與之成為朋友。
MID_BONDSRING_H_Ninian02	看似纖弱少女，\n卻身懷能讓世界天翻地覆的巨大秘密。
MID_BONDSRING_H_Ninian03	《烈火の剣》
MID_BONDSRING_Rebacca	蕾貝卡
MID_BONDSRING_H_Rebacca00	異界英雄之一，某村落的村長之女。
MID_BONDSRING_H_Rebacca01	為了報答艾利烏德救助村落，\n成為夥伴，替他戰鬥效命。
MID_BONDSRING_H_Rebacca02	個性溫柔開朗，\n狩獵生活鍛鍊出過人的射箭技術。
MID_BONDSRING_H_Rebacca03	《烈火の剣》
MID_BONDSRING_Serra	賽拉
MID_BONDSRING_H_Serra00	異界英雄之一，\n侍奉奧斯提亞侯爵家的修女。
MID_BONDSRING_H_Serra01	斤斤計較、精打細算，\n為了向有權人士賣人情，成為琳的夥伴。
MID_BONDSRING_H_Serra02	我行我素又趾高氣揚，\n卻令人討厭不起來的少女。
MID_BONDSRING_H_Serra03	《烈火の剣》
MID_BONDSRING_Ike00	異界堤里烏斯陸地中\n率領克里米亞王國格萊爾傭兵團的青年。
MID_BONDSRING_Ike01	挺身對抗在陸地引發戰亂、\n企圖使邪神復活的戴因狂王亞修納德。
MID_BONDSRING_Senerio	塞涅里歐
MID_BONDSRING_H_Senerio00	異界英雄之一，格萊爾傭兵團的魔道士。
MID_BONDSRING_H_Senerio01	擁有冷靜的判斷力，\n擅長蒐集情報，相當於團中參謀。
MID_BONDSRING_H_Senerio02	不擅長交際，與他人保持距離，\n但是十分信賴艾克。
MID_BONDSRING_H_Senerio03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Wayu	瓦育
MID_BONDSRING_H_Wayu00	異界英雄之一，格萊爾傭兵團的劍士。
MID_BONDSRING_H_Wayu01	心思單純、直來直往，\n坦率不做作的活潑少女。
MID_BONDSRING_H_Wayu02	一心鍛鍊劍術，\n只要發現高手，就想一較雌雄。
MID_BONDSRING_H_Wayu03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Tiamat	狄亞馬特
MID_BONDSRING_H_Tiamat00	異界英雄之一，格萊爾傭兵團的副團長。
MID_BONDSRING_H_Tiamat01	曾替克里米亞王宮效命，\n是擅長用斧的資深騎士。
MID_BONDSRING_H_Tiamat02	沉靜內斂的女子，時而像母親、\n時而又像姊姊般照顧艾克與團員。
MID_BONDSRING_H_Tiamat03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Elaice	伊蕾思
MID_BONDSRING_H_Elaice00	異界英雄之一，擅長雷魔法的魔道士。
MID_BONDSRING_H_Elaice01	原本與旅行商人同行，\n意外被捲入戰爭後，加入艾克一夥。
MID_BONDSRING_H_Elaice02	外表嬌小纖弱，卻是個大胃王，\n總是餓著肚子。
MID_BONDSRING_H_Elaice03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Lethe	蕾媞
MID_BONDSRING_H_Lethe00	異界英雄之一，加利亞王國的獸牙戰士。
MID_BONDSRING_H_Lethe01	可變身戰鬥的「拉古茲」之一，\n能化身為巨貓的獸牙族少女。
MID_BONDSRING_H_Lethe02	厭惡身為「貝歐克」的艾克等人，\n對其抱持敵意，卻依然奉王命與他們合作。
MID_BONDSRING_H_Lethe03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Mist	密絲特
MID_BONDSRING_H_Mist00	異界英雄之一，格萊爾傭兵團的操杖士。
MID_BONDSRING_H_Mist01	艾克的妹妹，\n擁有純潔心靈的善良女孩。
MID_BONDSRING_H_Mist02	積極勤快地照顧大家，\n總是為哥哥和團員著想。
MID_BONDSRING_H_Mist03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Chinon	席諾
MID_BONDSRING_H_Chinon00	異界英雄之一，格萊爾傭兵團的弓箭手。
MID_BONDSRING_H_Chinon01	傭兵團的資深團員，\n技藝高超，百發百中。
MID_BONDSRING_H_Chinon02	愛諷刺人，講話尖酸刻薄，\n卻也有擅於照顧他人的一面。
MID_BONDSRING_H_Chinon03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Greil	格萊爾
MID_BONDSRING_H_Greil00	異界英雄之一，\n格萊爾傭兵團第一代團長。
MID_BONDSRING_H_Greil01	廣受信賴的一流傭兵，\n身懷卓越戰力。
MID_BONDSRING_H_Greil02	不僅是艾克與密絲特的父親，\n也將團員視為家人。
MID_BONDSRING_H_Greil03	《蒼炎の軌跡》
MID_BONDSRING_Lay	萊伊
MID_BONDSRING_H_Lay00	異界英雄之一，加利亞王國的獸牙戰士。
MID_BONDSRING_H_Lay01	可變身戰鬥的「拉古茲」之一，\n能化身為巨貓的隨和青年。
MID_BONDSRING_H_Lay02	乍看柔弱卻實力高強，\n擔任大隊長統率獸牙戰士。
MID_BONDSRING_H_Lay03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Gatrie	嘉德列
MID_BONDSRING_H_Gatrie00	異界英雄之一，格萊爾傭兵團的重步兵。
MID_BONDSRING_H_Gatrie01	有時會得意忘形，但是個老好人。\n將同為傭兵的席諾視為大哥。
MID_BONDSRING_H_Gatrie02	拿女性沒轍，動不動就墜入情網，\n常常失戀卻越挫越勇。
MID_BONDSRING_H_Gatrie03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Byleth00	在異界芙朵拉中過著傭兵生活，\n因緣際會之下，成為教師。
MID_BONDSRING_Byleth01	持古代英雄涅梅希斯的武器「天帝之劍」\n開導學生、挺身奮戰。
MID_BONDSRING_Edelgard	艾黛爾賈特
MID_BONDSRING_H_Edelgard00	異界之地芙朵拉中\n阿德剌斯忒亞帝國的皇女。
MID_BONDSRING_H_Edelgard01	就讀加爾古・瑪庫大修道院的士官學校，\n擔任黑鷲學級的級長。
MID_BONDSRING_H_Edelgard02	意志堅定的高貴少女，\n期盼能夠改革世界。
MID_BONDSRING_H_Edelgard03	《風花雪月》
MID_BONDSRING_Dimitri	帝彌托利
MID_BONDSRING_H_Dimitri00	異界之地芙朵拉中\n法嘉斯神聖王國的王子。
MID_BONDSRING_H_Dimitri01	就讀加爾古・瑪庫大修道院的士官學校，\n擔任青獅子學級的級長。
MID_BONDSRING_H_Dimitri02	彬彬有禮的正直青年，\n內心卻深藏著不為人知的黑暗面。
MID_BONDSRING_H_Dimitri03	《風花雪月》
MID_BONDSRING_Claude	庫羅德
MID_BONDSRING_H_Claude00	異界之地芙朵拉中\n雷斯塔諸侯同盟的盟主──里剛公爵家嫡子。
MID_BONDSRING_H_Claude01	就讀加爾古・瑪庫大修道院的士官學校，\n擔任金鹿學級的級長。
MID_BONDSRING_H_Claude02	態度隨和，平易近人，\n卻有思慮周詳、精明幹練的一面。
MID_BONDSRING_H_Claude03	《風花雪月》
MID_BONDSRING_Lysithea	莉絲緹亞
MID_BONDSRING_H_Lysithea00	異界英雄之一，科迪利亞伯爵家長女。
MID_BONDSRING_H_Lysithea01	金鹿學級的學生，\n認真努力，擁有過人魔道天賦。
MID_BONDSRING_H_Lysithea02	熱愛甜食，害怕鬼怪，\n非常討厭被當成小孩子。
MID_BONDSRING_H_Lysithea03	《風花雪月》
MID_BONDSRING_Bernadetta	貝爾娜提塔
MID_BONDSRING_H_Bernadetta00	異界英雄之一，瓦立伯爵家獨生女。
MID_BONDSRING_H_Bernadetta01	黑鷲學級的學生，\n十分怕生。
MID_BONDSRING_H_Bernadetta02	嚴苛的教育導致他足不出戶，\n上課之外的時間幾乎窩在房裡。
MID_BONDSRING_H_Bernadetta03	《風花雪月》
MID_BONDSRING_Felix	菲力克斯
MID_BONDSRING_H_Felix00	異界英雄之一，伏拉魯達力烏斯公爵家嫡子。
MID_BONDSRING_H_Felix01	青獅子學級的學生，\n帝彌托利的兒時玩伴。
MID_BONDSRING_H_Felix02	一心想磨練自己的劍術，\n遇見強勁的對手就想較量一番。
MID_BONDSRING_H_Felix03	《風花雪月》
MID_BONDSRING_Ferdinand	菲爾迪南特
MID_BONDSRING_H_Ferdinand00	異界英雄之一，艾吉爾公爵家嫡子。
MID_BONDSRING_H_Ferdinand01	黑鷲學級的學生，\n以自己的貴族身分為傲。
MID_BONDSRING_H_Ferdinand02	好勝不服輸，\n將皇女艾黛爾賈特視為勁敵。
MID_BONDSRING_H_Ferdinand03	《風花雪月》
MID_BONDSRING_Ingrid	英谷莉特
MID_BONDSRING_H_Ingrid00	異界英雄之一，賈拉提雅伯爵家千金。
MID_BONDSRING_H_Ingrid01	青獅子學級的學生，\n認真獨立，圓融懂事。
MID_BONDSRING_H_Ingrid02	對高尚騎士懷抱憧憬，\n夢想有朝一日自己也能成為騎士。
MID_BONDSRING_H_Ingrid03	《風花雪月》
MID_BONDSRING_Raphael	拉斐爾
MID_BONDSRING_H_Raphael00	異界英雄之一，雷斯塔地區商人家的兒子。
MID_BONDSRING_H_Raphael01	金鹿學級的學生，\n是個大胃王，擁有強健的體格。
MID_BONDSRING_H_Raphael02	不愛聽課，熱衷於鍛鍊體魄，\n努力學習成為獨當一面的騎士。
MID_BONDSRING_H_Raphael03	《風花雪月》
MID_BONDSRING_Flayn	芙蓮
MID_BONDSRING_H_Flayn00	異界英雄之一，\n賽羅司聖教會大司教輔佐西提司的妹妹。
MID_BONDSRING_H_Flayn01	並非士官學校學生，\n是在哥哥的監護下住在大修道院的女孩。
MID_BONDSRING_H_Flayn02	不知人間煙火，\n對萬物充滿好奇心。
MID_BONDSRING_H_Flayn03	《風花雪月》
MID_BONDSRING_Kamui00	出生於異界的白夜王國，\n但年幼時遭擄，在暗夜王國長大的王族。
MID_BONDSRING_Kamui01	為了祈求和平、終止兩國間的戰爭，\n力抗企圖毀滅世界的透魔龍海卓拉。
MID_BONDSRING_Camilla	卡美拉
MID_BONDSRING_H_Camilla00	異界暗夜王國的第一公主。
MID_BONDSRING_H_Camilla01	美麗妖豔的女子，\n駕馭魔龍，親臨戰場。
MID_BONDSRING_H_Camilla02	溺愛神威，對其用情至深。\n欣賞可愛又堅強的女孩子。
MID_BONDSRING_H_Camilla03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Aqua	阿庫婭
MID_BONDSRING_H_Aqua00	異界英雄之一，暗夜王國的公主，\n卻遭人擄走，在白夜王國長大。
MID_BONDSRING_H_Aqua01	情緒鮮少起伏，\n散發著一股夢幻縹緲的氣質。
MID_BONDSRING_H_Aqua02	擅長歌舞的「歌姬」，\n以長槍與舞蹈為武器，活躍於沙場。
MID_BONDSRING_H_Aqua03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Takumi	拓海
MID_BONDSRING_H_Takumi00	異界白夜王國的王子。
MID_BONDSRING_H_Takumi01	是位神箭手，\n操控王室代代相傳的弓神器「風神弓」。
MID_BONDSRING_H_Takumi02	憎恨威脅祖國的暗夜王國，\n對神威懷抱複雜的情感。
MID_BONDSRING_H_Takumi03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Leon	里昂
MID_BONDSRING_H_Leon00	異界暗夜王國的王子。
MID_BONDSRING_H_Leon01	擅長闇魔法的菁英，\n使用魔道書神器「布倫希爾德」。
MID_BONDSRING_H_Leon02	天資聰穎，任何事都難不倒他，\n但有時也很脫線，甚至會把法袍穿反。
MID_BONDSRING_H_Leon03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Elise	艾麗澤
MID_BONDSRING_H_Elise00	異界暗夜王國的公主。
MID_BONDSRING_H_Elise01	暗夜王族兄妹的么女，\n天真爛漫、活潑開朗。
MID_BONDSRING_H_Elise02	非常喜歡哥哥姊姊們，\n十分仰慕神威。
MID_BONDSRING_H_Elise03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Sakura	櫻
MID_BONDSRING_H_Sakura00	異界白夜王國的公主。
MID_BONDSRING_H_Sakura01	白夜王族兄妹的么女，\n心地善良、氣質優雅。
MID_BONDSRING_H_Sakura02	對任何人都恭敬有禮，\n但是生性害羞，容易緊張。
MID_BONDSRING_H_Sakura03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Marks	馬克斯
MID_BONDSRING_H_Marks00	異界暗夜王國的第一王子。
MID_BONDSRING_H_Marks01	下任暗夜國王，\n劍神器「西格弗里德」的繼承人。
MID_BONDSRING_H_Marks02	胸懷騎士精神的聖騎士，\n威嚴與體貼兼備。
MID_BONDSRING_H_Marks03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Joker	喬克
MID_BONDSRING_H_Joker00	異界英雄之一，侍奉神威的管家。
MID_BONDSRING_H_Joker01	聰明伶俐，無所不能，\n從照顧起居、保養武器到戰鬥都能一手包辦。
MID_BONDSRING_H_Joker02	對主子神威忠心不二，\n待其他人則態度冷漠。
MID_BONDSRING_H_Joker03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Ryoma	龍馬
MID_BONDSRING_H_Ryoma00	異界白夜王國的第一王子。
MID_BONDSRING_H_Ryoma01	下任白夜國王，\n刀神器「雷神刀」的繼承人。
MID_BONDSRING_H_Ryoma02	推崇武士精神，\n充滿鬥志、百折不撓的武士。
MID_BONDSRING_H_Ryoma03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Hinoka	火乃香
MID_BONDSRING_H_Hinoka00	異界白夜王國的第一公主。
MID_BONDSRING_H_Hinoka01	懷有武士精神的公主，\n驅使天馬，親臨戰場。
MID_BONDSRING_H_Hinoka02	年幼時神威遭擄，\n為了帶他回國而成為天馬武士。
MID_BONDSRING_H_Hinoka03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Eirik00	異界麥格維爾陸地中\n路奈斯王國的公主。
MID_BONDSRING_Eirik01	與雙胞胎哥哥艾夫拉姆一同使用\n人稱雙聖器的傳說武器，討伐魔王弗德斯。
MID_BONDSRING_Lute	盧特
MID_BONDSRING_H_Lute00	異界英雄之一，天才魔道士。
MID_BONDSRING_H_Lute01	魔道天分優異並學識豐富，\n口頭禪是「因為我很優秀」。
MID_BONDSRING_H_Lute02	措辭獨特，\n難以分辨其真心。
MID_BONDSRING_H_Lute03	《聖魔の光石》
MID_BONDSRING_Jhosua	約書亞
MID_BONDSRING_H_Jhosua00	異界英雄之一，瀟灑不羈的劍士。
MID_BONDSRING_H_Jhosua01	熱愛賭博，\n甚至以擲硬幣來決定重要大事。
MID_BONDSRING_H_Jhosua02	原為格拉多帝國雇用的傭兵，\n卻因擲硬幣的結果叛變為敵。
MID_BONDSRING_H_Jhosua03	《聖魔の光石》
MID_BONDSRING_Marica	瑪莉卡
MID_BONDSRING_H_Marica00	異界英雄之一，\n隸屬吉斯特傭兵團的劍士。
MID_BONDSRING_H_Marica01	劍術高超，令人聞風喪膽，\n別號「緋閃」。
MID_BONDSRING_H_Marica02	沉默寡言，鮮少表現情緒。\n對隊長吉斯特深信不疑。
MID_BONDSRING_H_Marica03	《聖魔の光石》
MID_BONDSRING_Seth	賽特
MID_BONDSRING_H_Seth00	異界英雄之一，侍奉路奈斯王室的騎士。
MID_BONDSRING_H_Seth01	統率騎士團的年輕將軍，\n別名「純銀的騎士」。
MID_BONDSRING_H_Seth02	格拉多帝國遭到侵略時，\n保護艾莉可，協助他脫逃。
MID_BONDSRING_H_Seth03	《聖魔の光石》
MID_BONDSRING_Amelia	亞美利雅
MID_BONDSRING_H_Amelia00	異界英雄之一，格拉多帝國的見習士兵。
MID_BONDSRING_H_Amelia01	雖然涉世未深，\n但性情率直、努力不懈的少女。
MID_BONDSRING_H_Amelia02	誤以為艾莉可與艾夫拉姆是\n窮凶極惡的壞蛋，懷著誤解參戰。
MID_BONDSRING_H_Amelia03	《聖魔の光石》
MID_BONDSRING_Turner	塔娜
MID_BONDSRING_H_Turner00	異界麥格維爾陸地中\n弗萊利亞王國的公主。
MID_BONDSRING_H_Turner01	地位高尚卻活潑好動，\n馳騁天馬，揮槍奮戰。
MID_BONDSRING_H_Turner02	和艾莉可是好朋友，\n為了幫助他而離開王城，前去支援。
MID_BONDSRING_H_Turner03	《聖魔の光石》
MID_BONDSRING_Larchel	拉切爾
MID_BONDSRING_H_Larchel00	異界英雄之一，拯救眾人的正義少女。
MID_BONDSRING_H_Larchel01	巡遍麥格維爾陸地，\n擊敗各處現身的魔物。
MID_BONDSRING_H_Larchel02	真實身分是羅斯通聖教國的聖公主，\n帶著兩位隨從一同奮戰。
MID_BONDSRING_H_Larchel03	《聖魔の光石》
MID_BONDSRING_Ross	羅斯
MID_BONDSRING_H_Ross00	異界英雄之一，戰士賈西亞之子。
MID_BONDSRING_H_Ross01	資歷尚淺的路奈斯王國戰士，\n是充滿幹勁與鬥志的活潑少年。
MID_BONDSRING_H_Ross02	十分尊敬父親，\n總是向他看齊，精進自我。
MID_BONDSRING_H_Ross03	《聖魔の光石》
MID_BONDSRING_Heanius	西尼亞斯
MID_BONDSRING_H_Heanius00	異界麥格維爾陸地中\n弗萊利亞王國的王子。
MID_BONDSRING_H_Heanius01	自尊心強、聰穎過人，\n以神射手著稱。
MID_BONDSRING_H_Heanius02	沉著冷靜，講話一針見血，\n看似冷酷無情，實則心地善良。
MID_BONDSRING_H_Heanius03	《聖魔の光石》
MID_BONDSRING_Xyst	吉斯特
MID_BONDSRING_H_Xyst00	異界英雄之一，吉斯特傭兵團團長。
MID_BONDSRING_H_Xyst01	身經百戰、聲名遠播的傭兵，\n人稱「沙漠之虎」。
MID_BONDSRING_H_Xyst02	重情重義，擅長照顧人，\n深獲眾人信賴。
MID_BONDSRING_H_Xyst03	《聖魔の光石》
MID_BONDSRING_Alfonse	阿爾馮斯
MID_BONDSRING_H_Alfonse00	異界亞斯克王國的王子。
MID_BONDSRING_H_Alfonse01	隸屬護國特務機關「純白義勇隊」，\n個性溫和且老實的青年。
MID_BONDSRING_H_Alfonse02	意志堅強、百折不撓，\n一心尋求勝利。
MID_BONDSRING_H_Alfonse03	《Heroes》
MID_BONDSRING_Sharena	夏蓉
MID_BONDSRING_H_Sharena00	異界亞斯克王國的公主。
MID_BONDSRING_H_Sharena01	隸屬護國特務機關「純白義勇隊」，\n活潑開朗的少女。
MID_BONDSRING_H_Sharena02	天真爛漫、平易近人，\n希望能和異界英雄打成一片。
MID_BONDSRING_H_Sharena03	《Heroes》
MID_BONDSRING_Anna	安娜
MID_BONDSRING_H_Anna00	異界亞斯克王國的戰士。
MID_BONDSRING_H_Anna01	護國特務機關「純白義勇隊」的隊長，\n經驗老道的女子。
MID_BONDSRING_H_Anna02	擅於照顧他人的可靠人物。\n但扯上金錢就會失去理智。
MID_BONDSRING_H_Anna03	《Heroes》
MID_BONDSRING_Lueur00	於戰火中殞命，但藉著「紋章奇蹟」之力，\n以第十三位紋章士的身分重獲新生。
MID_BONDSRING_Lueur01	運用「身為紋章士卻擁有實體」\n這般稀有能力，挺身為和平而戰。
MGID_Ring_Marth	英雄王戒指
MGID_H_Ring_Marth	人稱「初始紋章士」的馬爾斯所寄宿的戒指。\n為人高尚清廉，極具領袖魅力，是群雄之最。
MGID_Ring_Siglud	聖戰騎士戒指
MGID_H_Ring_Siglud	人稱「聖戰紋章士」的西格爾特所寄宿的戒指。\n是位繼承了聖戰士血脈的廉潔騎士。
MGID_Ring_Celica	慈悲公主戒指
MGID_H_Ring_Celica	人稱「聲響紋章士」的賽莉卡所寄宿的戒指。\n是豐饒之國的公主，也是位神官戰士。
MGID_Ring_Micaiah	拂曉巫女戒指
MGID_H_Ring_Micaiah	人稱「拂曉紋章士」的米卡雅所寄宿的戒指。\n擁有治癒、預知等神秘力量。
MGID_Ring_Roy	幼獅戒指
MGID_H_Ring_Roy	人稱「封印紋章士」的羅伊所寄宿的戒指。\n是位聰慧果敢，具有大將之風的勳爵。
MGID_Ring_Lin	草原女爵戒指
MGID_H_Ring_Lin	人稱「烈火紋章士」的琳所寄宿的戒指。\n生於逐水草而居的游牧民族，是位武藝高超的劍士。
MGID_Ring_Ike	蒼炎勇者戒指
MGID_H_Ring_Ike	人稱「蒼炎紋章士」的艾克所寄宿的戒指。\n為著名的傭兵團團長，擁有超群的戰鬥技巧。
MGID_Ring_Lucina	聖公主戒指
MGID_H_Ring_Lucina	人稱「覺醒紋章士」的露琪娜所寄宿的戒指。\n是位懷抱希望，不向絕望低頭的神聖公主。
MGID_Ring_Leaf	賢王戒指
MGID_H_Ring_Leaf	人稱「系譜紋章士」的里弗所寄宿的戒指。\n繼承了兩位聖戰士血脈，是位英勇的王子。
MGID_Ring_Kamui	選擇未來之人戒指
MGID_H_Ring_Kamui	人稱「選擇紋章士」的神威所寄宿的戒指。\n是位繼承了神祖龍血脈，心志百折不撓的王族。
MGID_Ring_Eirik	碧綠風空戒指
MGID_H_Ring_Eirik	人稱「聖魔紋章士」的艾莉可所寄宿的戒指。\n是位為了和平持劍奮戰，心地善良的公主。
MGID_Ring_Byleth	引領者戒指
MGID_H_Ring_Byleth	人稱「風花紋章士」的貝雷特所寄宿的戒指。\n是位曾做過傭兵，後在士官學校任職的教師。
MGID_Ring_Lueur	編織者戒指
MGID_Ring_CharacterName	\x0E\x01\x00\x00的戒指
MGID_Ring_God_Category	\x0E\x01\x00\x00的牽絆戒指
MGID_Ring_Special_Category	特殊牽絆戒指
MID_BondsRing_RankS	階級S
MID_BondsRing_RankA	階級A
MID_BondsRing_RankB	階級B
MID_BondsRing_RankC	階級C
MGID_World_Marth	英雄王的世界
MGID_World_Siglud	聖戰騎士的世界
MGID_World_Celica	慈悲公主的世界
MGID_World_Micaiah	拂曉巫女的世界
MGID_World_Roy	幼獅的世界
MGID_World_Lin	草原女爵的世界
MGID_World_Ike	蒼炎勇者的世界
MGID_World_Lucina	聖公主的世界
MGID_World_Leaf	賢王的世界
MGID_World_Kamui	選擇未來之人的世界
MGID_World_Eirik	碧綠風空的世界
MGID_World_Byleth	引領者的世界
MGID_World_Special	萬象的世界
MGID_World_Lueur	編織者的世界
