MID_SYS_EnchantEffect	附魔效果
PCTMID_Senerio	事實就是如此
PCTMID_Camilla	真是可愛
MID_Movie_K15	紋章士海克托爾
MID_H_Movie_K15	自「熱血猛將的手鐲」顯現的\n紋章士海克托爾。
MID_Movie_K16	紋章士塞涅里歐
MID_H_Movie_K16	自「蒼色參謀的手鐲」顯現的\n紋章士塞涅里歐。
MID_Movie_K17	紋章士卡美拉
MID_H_Movie_K17	自「黑暗妖豔的手鐲」顯現的\n紋章士卡美拉。
MID_MAP_HIS_EngageWait	\x0E\x01\x00\x00已發動止水雷轟架勢。
MID_MAP_HIS_EngageWaitPlus	\x0E\x01\x00\x00已發動止水雷轟架勢+。
MID_MAP_HIS_Enchant	\x0E\x01\x00\x00已發動極限活用。
MID_MAP_HIS_Enchant_Weapon	\x0E\x01\x00\x00已發動武器共鳴。
