MID_FRIENDLIST_Vandre_TextD	【初期兵種】聖騎士\n【生日】11月26日\n【備註】第三十二代的龍之守護者。\n在浮遊島上的離宮索拉涅爾，\n負責照顧沉眠於此的\n\x0E\x06\x03\x00生活起居。
MID_FRIENDLIST_Rosado_TextD	【初期兵種】飛龍騎士\n【生日】1月19日\n【備註】伊爾席翁王國的王城士兵。\n曾隨主子奧爾坦希亞公主，\n以及同袍戈爾德瑪莉三人\n與神龍軍二度交戰。最後帶著\n「碧綠風空戒指」於紺碧海岸\n和神龍軍會合並加入其陣營。
MID_FRIENDLIST_Rosado_TextC	【喜歡的事物】\n時尚、可愛的事物、花、宴會、\n繪畫、繪圖工具、美麗的風景、\n慵懶地消磨時間\n【不喜歡的事物】\n學習、難懂的書、曬太陽、壓抑、\n令人提不起勁的事物、拘泥古板
MID_FRIENDLIST_Rosado_TextB	【興趣】尋找心動的事物、睡午覺\n【專長】繪圖、速寫\n【經歷】來自伊爾席翁王國。\n生於神秘之湖附近的妖精之村。\n為家中獨子，與父親形肖神似。\n邪龍復活時他雖還只是個學生，\n仍因掛心獨自回城的奧爾坦希亞，\n與戈爾德瑪莉兩人決定一同隨行。
MID_FRIENDLIST_Rosado_TextA	【身高】169cm\n【無名指的戒圍】11號\n【個性】追求可愛與美，\n歌頌人生美好的樂天派。\n喜歡把美好的風景畫下來，\n貼在顯眼的地方觀察別人反應。\n喜歡替愛龍搭配穿搭。\n是軍中最擅長綁緞帶的高手。
MID_FRIENDLIST_Rosado_TextS	【成為搭檔後】\n每天都會用心稱讚你很可愛，\n從不吝於對你說些甜言蜜語。\n筆下描繪出的你也越漸出色，\n夥伴都誇讚能從中感受到愛。\n如同收到約定戒指那天所言，\n一直將戒指帶著片刻不離身，\n但僅在兩人獨處時才會戴上。
MID_FRIENDLIST_Goldmary_TextD	【初期兵種】無畏英雄\n【生日】7月18日\n【備註】伊爾席翁王國的王城士兵。\n曾隨主子奧爾坦希亞公主，\n以及同袍羅薩德三人\n與神龍軍二度交戰。最後帶著\n「碧綠風空戒指」於紺碧海岸\n和神龍軍會合並加入其陣營。
MID_FRIENDLIST_Goldmary_TextC	【喜歡的事物】\n時尚、可愛的事物、打掃、下廚、\n花、溫泉、稱讚的話、自己\n【不喜歡的事物】\n武器、鍛鍊、堅硬的食物、曬太陽、\n不懂自己魅力的人
MID_FRIENDLIST_Goldmary_TextB	【興趣】照鏡子、梳理毛髮\n【專長】做便當、淚眼哀求\n【經歷】來自伊爾席翁王國。\n獨生女，家中於溫泉勝地經營旅宿，\n在父母與旅人們的關愛下成長。\n邪龍復活時還只是名學生，\n因掛心獨自回城的奧爾坦希亞，\n與羅薩德兩人決定一同隨行。
MID_FRIENDLIST_Goldmary_TextA	【身高】173cm\n【無名指的戒圍】9號\n【個性】內向又總是畏畏縮縮，\n但其實臉皮有點厚，常口出狂言。\n非常自戀，四處宣揚自己的魅力，\n以便在各方面都能吸引人目光。\n有著一雙巧手，擅長所有家事。\n是軍中對泉質見解最為獨到的人。
MID_FRIENDLIST_Goldmary_TextS	【成為搭檔後】\n雖然還是一直在自誇，\n但現在每天都會稱讚你一番，\n並向同伴誇口自己有多幸福。\n每次戰鬥前總會帶給你充滿愛意的\n手作愛心便當。令人意外的是，\n他似乎並未特地炫耀約定戒指，\n而是偷偷戴上，看著戒指淺笑。
MID_FRIENDLIST_Misutira_TextD	【初期兵種】義警隊\n【生日】8月29日\n【備註】索爾姆王國第一公主。\n有玫琳、帕涅托涅兩名臣子。\n帶著「蒼炎勇者戒指」\n於綠洲短暫休息時，\n和來訪的神龍一行人\n聯手討伐盜賊後成為同伴。
MID_FRIENDLIST_Misutira_TextC	【喜歡的事物】\n肉、音樂、宴會、時尚、動物、\n露營、流浪、自由、\n和大家一起圍著營火\n【不喜歡的事物】\n打掃、童話故事、繁瑣的工作、\n被限制、拘束
MID_FRIENDLIST_Misutira_TextB	【興趣】唱歌、露營、流浪\n【專長】聲東擊西、引誘、生火\n【經歷】生為國家的第一公主，\n即便自幼接受女王應受的教育，\n性格仍愛好自由。總是不在城內，\n透過四處流浪掌握國內的狀況，\n以便國家有事時能及時制定對策。\n為了保衛國家也加入了自衛團。
MID_FRIENDLIST_Misutira_TextA	【身高】159cm\n【無名指的戒圍】10號\n【個性】無拘無束，平易近人。\n對任何人都很親切，也能自然地\n試探出對方的真心。喜歡唱歌，\n常突然唱起有點奇怪的自創曲。\n一旦被他認定為敵人便絕不寬恕。\n是軍中最常在晚上敲邦哥鼓的人。
MID_FRIENDLIST_Misutira_TextS	【成為搭檔後】\n即便可以經常兩人獨處，\n仍會保有幾天分開行動的自由生活。\n閒暇時兩人會坐在營火旁邊，\n聊起彼此最近遇到的事情。\n或許會被人誤解不常戴著約定戒指，\n其實他將戒指收在以金線編織的\n袋子中，每天小心翼翼地帶在身上。
MID_FRIENDLIST_Merin_TextD	【初期兵種】狼騎士\n【生日】9月24日\n【備註】索爾姆王國的王城騎士。\n和主子蜜絲提拉以及\n同袍帕涅托涅於綠洲短暫休息時，\n和來訪的神龍一行人\n聯手討伐盜賊後成為同伴。
MID_FRIENDLIST_Merin_TextC	【喜歡的事物】\n肉、武器、動物、音樂、\n帥氣的事物、珍禽異獸、甜食、\n蜜絲提拉唱的歌\n【不喜歡的事物】\n鬼故事、味道強烈的東西、失敗、\n對動物不友善的傢伙
MID_FRIENDLIST_Merin_TextB	【興趣】觀察、研究珍禽異獸\n【專長】正確說出動物的名稱與習性\n【經歷】來自索爾姆王國，\n沙漠村莊的村長之女。有兩名兄長，\n但索爾姆為女性當家的母系社會，\n自幼便以繼承人身分被教育成人。\n但玫琳無法放棄想成為騎士的夢想，\n毅然決然地離家後遇見了蜜絲提拉。
MID_FRIENDLIST_Merin_TextA	【身高】173cm\n【無名指的戒圍】11號\n【個性】全身散發華麗的氣息，\n不停追求帥氣的騎士。\n喜歡所有動物，特別是珍禽異獸，\n每當遇見動物時總是興奮到忘我。\n但似乎怕不帥氣而壓抑著衝動。\n是軍中最常把點心當作便當的人。
MID_FRIENDLIST_Merin_TextS	【成為搭檔後】\n兩人正仔細編寫神龍圖鑑，\n不論歡笑或是傷悲，\n會將所有事情都記錄在羊皮紙上。\n夢想未來要一起飼養動物。\n一拿起約定戒指就會忍不住傻笑，\n但實在太不帥氣了，因此不常戴。\n不過只要拜託他就會靦腆地戴上。
MID_FRIENDLIST_Panetone_TextD	【初期兵種】狂鬥士\n【生日】10月23日\n【備註】索爾姆王國的王城戰士。\n龐德羅的妹妹。\n和主子蜜絲提拉以及\n同袍玫琳於綠洲短暫休息時，\n和來訪的神龍一行人\n聯手討伐盜賊後成為同伴。
MID_FRIENDLIST_Panetone_TextC	【喜歡的事物】\n辣的食物、奇珍異味、蟲子、\n鬼故事、武器、妖怪、廢墟、\n陰暗處、蜜絲提拉的烤肉\n【不喜歡的事物】\n可愛的事物、下廚、花、打掃、\n繁文縟節、教會、莊嚴神聖的地方
MID_FRIENDLIST_Panetone_TextB	【興趣】漫步於危險的地方\n【專長】打架、近身戰、肉搏戰\n【經歷】來自索爾姆王國，\n生於綠洲之鄉的教會家庭。\n父母皆為神職人員，但因家庭環境\n不好，便拋下哥哥獨自離家出走。\n後來在到處惹事生非的生活之中，\n遇見了漂泊在外的蜜絲提拉。
MID_FRIENDLIST_Panetone_TextA	【身高】164cm\n【無名指的戒圍】11號\n【個性】用字遣詞過度客氣的淑女。\n雖然行為舉止非常有教養，\n但相當有個性，熱愛妖怪跟蟲子。\n曾有一段不堪的過往，\n有時會在戰鬥中不經意表露。\n是軍中最講道義的人。
MID_FRIENDLIST_Panetone_TextS	【成為搭檔後】\n為了在你面前常保端莊，\n行為舉止比以往來得更加高雅。\n他雖擔心自己的個性會導致爭吵，\n但兩人始終過得十分和睦。\n帕涅托涅將約定戒指收在他心愛的\n那個乍看有點不吉利的黑色盒子裡。\n除了戰鬥外都會好好地戴在手上。
MID_FRIENDLIST_Fogato_TextD	【初期兵種】義警隊\n【生日】2月14日\n【備註】索爾姆王國第一王子。\n有龐德羅、波聶兩名臣子。\n以自衛團團長身分，\n在出發準備討伐異形兵的路上\n遇到迷路的神龍一行人，\n主動表示自己可以幫忙引路。
MID_FRIENDLIST_Fogato_TextC	【喜歡的事物】\n肉、宴會、音樂、花、自然、\n熱帶水果、家族、同伴\n【不喜歡的事物】\n鬼故事、童話故事、薯類、\n釣魚、游泳、心思被看穿
MID_FRIENDLIST_Fogato_TextB	【興趣】聊天、搭訕他人\n【專長】偵察、隱藏身分\n【經歷】雖貴為第一王子，但索爾姆\n王國歷為女王制，因此與姊姊相比，\n從小更加自由。年幼時曾隨著父親\n在國內流浪，並學會如何隱蔽身分，\n這份經驗直到今日仍受用，現在則\n為了保護國家成為自衛團的一分子。
MID_FRIENDLIST_Fogato_TextA	【身高】178cm\n【無名指的戒圍】18號\n【個性】個性開朗且不拘小節，\n能輕易成功搭訕任何他感興趣的人。\n非常喜歡宴會與歡樂的事物。\n除了有較輕浮、親切的一面之外，\n也擅於刺探他人真意，不容小覷。\n是軍中最能直接表達感情的人。
MID_FRIENDLIST_Fogato_TextS	【成為搭檔後】\n每次遇見你都會說「超喜歡你」，\n但這句話的含意已經不同以往了。\n由於他表達愛意的方式過於熱情，\n害得一旁的同伴們看了也不好意思。\n幾乎隨時戴著約定戒指，\n每次戰鬥前都會親吻戒指上的寶石，\n祈禱兩人能夠平安歸來。
MID_FRIENDLIST_Pandoro_TextD	【初期兵種】主教\n【生日】1月6日\n【備註】索爾姆王國的王城神官。\n與同袍波聶正在討伐出現於\n圖拉沙漠的異形兵時，\n主子佛賈特前來支援。\n即使自己信仰的神龍也一同出現\n而深感惶恐，依然加入了神龍軍。
MID_FRIENDLIST_Pandoro_TextC	【喜歡的事物】\n神龍、宴會、音樂、玩耍、\n童話故事、乳製品、歌唱、\n合群的信徒\n【不喜歡的事物】\n運動、鍛鍊、特辣的食物、跳舞、\n拒絕接受新事物的人
MID_FRIENDLIST_Pandoro_TextB	【興趣】宴會、狂歡\n【專長】唱歌、熬夜、傾聽煩惱\n【經歷】來自索爾姆王國，\n生於綠洲之鄉的教會家庭。\n父母皆為神職人員，但因家庭\n環境不好，妹妹憤而離家出走。\n他勉力支撐教會之際，因緣際會\n結識了佛賈特，受邀成為家臣。
MID_FRIENDLIST_Pandoro_TextA	【身高】175cm\n【無名指的戒圍】14號\n【個性】非常喜歡開心的事。\n經常構思新的宴會主題。\n雖然常被人誤以為他不夠正經，\n但絕對是名虔敬且真誠的神職人員。\n尤其對神龍更是忠貞不二。\n是軍中聲音最響亮的人。
MID_FRIENDLIST_Pandoro_TextS	【成為搭檔後】\n一開始雖有顧忌又過於客氣，\n但現在對你展現的笑容\n已經不像是在看著信仰對象了。\n對你的感情不像在宴會上那樣浮誇，\n而是會靜靜地思念著你。\n把約定戒指像聖物一樣供在房裡的\n小型祭壇上，每天對著戒指祈禱。
MID_FRIENDLIST_Bonet_TextD	【初期兵種】英勇騎士\n【生日】5月30日\n【備註】索爾姆王國的宮廷御廚。\n與同袍龐德羅在討伐出現於\n圖拉沙漠的異形兵時，\n主子佛賈特前來加入支援。\n此後順勢加入神龍軍。
MID_FRIENDLIST_Bonet_TextC	【喜歡的事物】\n下廚、茶會、香草、花、\n所有的食材、所有看起來美味的物質\n【不喜歡的事物】\n味道強烈的東西、曬太陽、鍛鍊、\n吵雜的地方、光線刺眼的地方、\n重口味的食物
MID_FRIENDLIST_Bonet_TextB	【興趣】嘗試味道、園藝\n【專長】完美重現嘗過味道的料理\n【經歷】來自索爾姆王國。\n獨生子，家中於商港城市經營餐廳。\n餐廳頗具盛名，卻因遭盜賊襲擊\n而毀於一旦。多年後，波聶參加了\n宮廷御廚選拔賽，雖未獲得優勝，\n但收到佛賈特邀約，成為其家臣。
MID_FRIENDLIST_Bonet_TextA	【身高】184cm\n【無名指的戒圍】20號\n【個性】熱心研究且忠於自我。\n不時在找尋新的料理食材。\n就算不是食物，只要他覺得看起來\n美味的事物，都會想要嘗嘗味道。\n不僅是味覺，所有感官都相當敏銳。\n是軍中研究旗幟學最透徹的人。
MID_FRIENDLIST_Bonet_TextS	【成為搭檔後】\n依兩人相處的日常生活為基礎，\n研發許多新料理而感到無比幸福。\n閒暇之餘兩人會一起照顧菜園，\n品嘗滋味甜美的閒話家常時光。\n將約定戒指放在像是銀製餐具的\n盒子裡，並且放入了花與香草。\n其實偷偷品嘗過戒指寶石的味道。
MID_FRIENDLIST_Anna_TextD	【初期兵種】斧戰士\n【生日】6月8日\n【備註】實習旅行商人。\n為了尋找能高價販售的寶物\n而潛入盜賊團根據地時，\n恰巧遇到神龍軍與盜賊交戰，\n因此躲進寶箱裡面避難。\n被發現後加入神龍軍成為同伴。
MID_FRIENDLIST_Anna_TextC	【喜歡的事物】\n乳製品、高級品、工藝、裁縫、\n下廚、慶典、雪、生意興隆\n【不喜歡的事物】\n鬼故事、蟲子、特辣的食物、\n堅硬的食物、夢到家人的早晨
MID_FRIENDLIST_Anna_TextB	【興趣】構思、開發全新商品\n【專長】記帳、砍柴\n【經歷】來自伊爾席翁王國，\n生於秘境內的冬祭之村。\n村內的族人皆為旅行商人，並有著\n許多長相、名字都相同的姊妹。\n在行商途中不小心與家族走散，\n只能靠自己勉強維持生計。
MID_FRIENDLIST_Anna_TextA	【身高】142cm\n【無名指的戒圍】3號\n【個性】腦袋靈光的守財奴。\n一抓到機會就推銷自己的商品，\n但若銷售不佳馬上就會淚眼汪汪。\n非常喜歡慶典，即使只是小確幸，\n都會當成是紀念日一樣大肆慶祝。\n是軍中有著最多紀念日的人。
MID_FRIENDLIST_Anna_TextS	【成為搭檔後】\n兩人總是融洽地討論新商品的\n企劃，夢想著下次一定會發大財。\n將成為搭檔的那一天\n訂為比生日更重要的紀念日，\n並約好每年都要兩人一起慶祝。\n由於約定戒指的尺寸略大，\n將戒指套在繩子上當作項鍊配戴。
MID_FRIENDLIST_Jean_TextD	【初期兵種】僧侶\n【生日】3月31日\n【備註】費列聶王國的平民。\n當茶園之鄉遭異形兵侵襲時，\n他正在父親的診所與之奮戰。\n在趕來救援的神龍軍幫助下，成功\n擊退異形兵後，他雖才初出茅廬，\n仍志願加入神龍軍成了隨軍醫師。
MID_FRIENDLIST_Jean_TextC	【喜歡的事物】\n茶會、學習、閱讀、動物、\n看起來健康的人、稀有的藥草、\n產自故鄉的茶\n【不喜歡的事物】\n運動、鍛鍊、宴會、奇珍異味、\n受傷、生病、自身技術不足
MID_FRIENDLIST_Jean_TextB	【興趣】閱讀圖鑑\n【專長】調配藥品、泡茶\n【經歷】來自費列聶王國，\n生於茶園之鄉裡的一間診所。\n父親是醫生，母親則是茶農。\n有位年紀差距較大，並留在\n費列聶王國內擔任醫生的姊姊。\n賈恩企盼自己終有天能繼承家業。
MID_FRIENDLIST_Jean_TextA	【身高】140cm\n【無名指的戒圍】4號\n【個性】雖內向但相當體貼。\n為實現夢想而不停鑽研的拼命三郎。\n雖然年幼卻完全不害怕鬼怪，\n反而覺得受傷或生病比較可怕。\n較活潑的說話口氣是島上的特色。\n是軍中最擅長剪頭髮的人。
MID_FRIENDLIST_Jean_TextS	【成為搭檔後】\n正如賈恩收到戒指後所言，\n他隨時都在身後扶持著你。\n每當兩人一起去採藥草，都會摘下\n一朵花夾在醫書中當作壓花紀念。\n將約定戒指放進美麗的玻璃瓶裡，\n期待自己有朝一日能夠成為\n配得上這只戒指的有志青年。
MID_FRIENDLIST_Yunaka_TextD	【初期兵種】小偷\n【生日】7月28日\n【備註】神出鬼沒的盜賊。\n與神龍一行人在費列聶郊外相遇，\n為了奪回「拂曉巫女戒指」，\n在廢棄村莊一同戰鬥。戰鬥結束後，\n坦承自己就是竊走戒指的犯人。\n此後加入神龍軍成為同伴。
MID_FRIENDLIST_Yunaka_TextC	【喜歡的事物】\n武器、閱讀、音樂、鍛鍊、毒物、\n在黑暗中執行任務、視線不良的地方\n【不喜歡的事物】\n童話故事、宴會、動物、家事、\n打探、味道強烈的東西、\n暴露自己的長相
MID_FRIENDLIST_Yunaka_TextB	【興趣】待在隱密的地方\n【專長】模仿、保養武器\n【經歷】來自布羅帝亞王國。\n宣稱自幼父母雙亡，\n但是否屬實則無從得知。\n為了揮別過去、活出新的自我，\n離開祖國踏上了旅途。
MID_FRIENDLIST_Yunaka_TextA	【身高】164cm\n【無名指的戒圍】9號\n【個性】活潑好動、與人相處融洽。\n演技相當出色，\n擅於模仿同伴或是動物的叫聲。\n在戰鬥中彷彿換了一個人似的，\n會散發與日常不同的氛圍。\n在軍中是最會分辨真偽的人。
MID_FRIENDLIST_Yunaka_TextS	【成為搭檔後】\n對你已不需要再有任何隱瞞，\n能夠展現最真實的笑容。\n兩人獨處時會像在回想一般，\n一一地向你傾訴自己的往事。\n將約定戒指收在靠正當手段努力\n賺來的錢所買的金製小盒中保管，\n將戒指看得比自己的性命還重要。
MID_FRIENDLIST_Seadas_TextD	【初期兵種】舞蹈家\n【生日】4月21日\n【備註】索爾姆王國的舞者。\n當他在北城塞練習舞蹈時，\n不巧遭遇了異形兵襲擊。此時，\n他聽到自「選擇未來之人戒指」\n傳出來的聲音，指引他躲進城塞中。\n此後獲神龍軍援救並加入成為同伴。
MID_FRIENDLIST_Seadas_TextC	【喜歡的事物】\n音樂、肉、時尚、閱讀、香草、\n星星、月亮、甜食、高脂肪食物、\n幻想自己沒去過的地方\n【不喜歡的事物】\n鍛鍊、曬太陽、早起、苦的食物、\n忍耐、吃太撐的隔日清早
MID_FRIENDLIST_Seadas_TextB	【興趣】眺望未知的城鎮\n【專長】舞蹈、占卜、暴飲暴食\n【經歷】來自索爾姆王國，\n生於風光明媚的紺碧海岸。\n出生時父親已辭世，身為占卜師的\n母親也早逝，因而被商隊收留。\n拜師學成舞蹈後便自食其力，\n現在已是知名的舞蹈家。
MID_FRIENDLIST_Seadas_TextA	【身高】177cm\n【無名指的戒圍】13號\n【個性】華麗、充滿魅力之人。\n全身散發神秘氣息，說話有點毒，\n但是對於中意的對象則分外溫柔。\n非常注重外在，卻也非常嗜吃，\n每天都為了進食與否而十分糾結。\n是軍中最喜歡蜂蜜的人。
MID_FRIENDLIST_Seadas_TextS	【成為搭檔後】\n每一個星光燦爛的夜晚，\n都會兩人一起望著星空談心。\n只要和你在一起就會心滿意足，\n因此每當肚子餓時都會跑來找你，\n並且不願離去。將約定戒指放在以\n金線刺繡的天鵝絨袋中，只有表演\n特別舞蹈時才會將戒指戴在手上。
MID_FRIENDLIST_Linden_TextD	【初期兵種】聖者\n【生日】6月29日\n【備註】伊爾席翁王國的王城士兵。\n起初雖為了阻止神龍等人的船隊\n從費列聶進入伊爾席翁而挑起戰鬥，\n但其實心中有著自己的考量。\n被說服後加入神龍軍成為同伴。
MID_FRIENDLIST_Linden_TextC	【喜歡的事物】\n散步、工藝、閱讀、學習、下廚、\n薯類、實驗、魔道書、有意思的發展\n【不喜歡的事物】\n武器、打掃、激烈運動、\n實驗失敗、收拾爆炸後的殘局
MID_FRIENDLIST_Linden_TextB	【興趣】實驗、和年輕人交流\n【專長】利用魔法製作點心\n【經歷】來自伊爾席翁王國出身。\n生於知識之塔附近的村莊。\n年輕時隸屬海亞信斯王兄長麾下，\n是一名優秀的王城士兵。\n已婚，但妻子已經離世，\n三個小孩也都已各自獨立。
MID_FRIENDLIST_Linden_TextA	【身高】175cm\n【無名指的戒圍】19號\n【個性】擁有龐大魔力的賢者。\n求知慾旺盛，平常總喜歡讀書，\n或者是做一些奇怪的實驗。\n拿手料理是以雷電魔法\n慢慢烘烤出的蛋糕與餅乾。\n是軍中最會釋放靜電的人。
MID_FRIENDLIST_Linden_TextS	【成為搭檔後】\n兩人就像和睦融洽的親子一樣，\n總是充滿歡笑地一起做實驗。\n他表示花心思照顧你這位搭檔，\n已成了他餘生最大的生存意義。\n將約定戒指放在胸前的墜飾中，\n打算等到未來你即位的那一天，\n再將戒指戴在自己的手上。
MID_FRIENDLIST_Saphir_TextD	【初期兵種】勇士\n【誕生日】1月17日\n【備註】布羅帝亞王國的王城士兵。\n為了向順利登陸伊爾席翁的神龍軍\n傳達布羅帝亞城平安無事的消息，\n隻身奔往吉布爾港。\n在戰鬥中順利與神龍軍會合後，\n加入神龍麾下一同並肩作戰。
MID_FRIENDLIST_Saphir_TextC	【喜歡的事物】\n魚、鍛鍊、釣魚、武器、宴會、\n薯類、乳製品、喧囂的夜晚\n【不喜歡的事物】\n繁瑣的工作、時尚、可愛的東西、\n高級品、看起來嬌滴滴的人、\n伊爾席翁兵
MID_FRIENDLIST_Saphir_TextB	【興趣】交手\n【專長】處理魚類、游泳\n【經歷】來自布羅帝亞王國，\n生於鄉下的漁村。年紀尚幼時，\n父母遭到經海路入侵的\n伊爾席翁兵襲擊而不幸殞命。\n自此成為傭兵，征戰各地。\n爾後獲得賞識，成為王城士兵。
MID_FRIENDLIST_Saphir_TextA	【身高】177cm\n【無名指的戒圍】14號\n【個性】勇猛且意志堅定。\n有著力求不斷提升自我的特質，\n喜歡鍛鍊、和強者比試。\n個性大而化之，但很會照顧人，\n常帶頭傾聽青年後進的煩惱。\n是軍中最熟悉魚類知識的人。
MID_FRIENDLIST_Saphir_TextS	【成為搭檔後】\n兩人在一場場鍛鍊與比試中，\n彼此心神交流情誼越漸深重。\n偶爾也會特地為了你下廚，\n用拿手的魚料理表達情意。\n雖然覺得戴戒指不合形象，\n因此並不常戴上約定戒指。\n但出兵時定會藏在鎧甲中。
MID_FRIENDLIST_Veyre_TextD	【初期兵種】邪龍之女\n【誕生日】9月12日\n【備註】邪龍尚卜爾的女兒。\n神龍\x0E\x06\x03\x00唯一的妹妹。\n雙方雖曾因尚卜爾的奸計而敵對，\n但最後貝珥憑著自己的意志戰勝了\n邪惡人格。後為了成為救世之龍，\n決定跟隨在神龍身邊，一同奮戰。
MID_FRIENDLIST_Veyre_TextC	【喜歡的事物】\n特辣的食物、散步、閱讀、花、\n玩耍、燭光、兄弟姊妹\n【不喜歡的事物】\n高級品、味道強烈的東西、惡夢、\n甜食、明亮的地方
MID_FRIENDLIST_Veyre_TextB	【興趣】幫助他人、和同伴交流\n【專長】製作精巧的異形兵\n【經歷】生於古拉鐸隆之地，\n為邪龍諸子的么女。\n母親是心地善良的魔龍族。\n即便歷經千年的孤獨、甚至被父親\n當作棋子，在非自願的情況下戰鬥，\n卻從未失去自己善良的心。
MID_FRIENDLIST_Veyre_TextA	【身高】158cm\n【無名指的戒圍】5號\n【個性】善良且純真。\n總是優先考慮他人心情的大好人。\n盼望自己可以幫助他人，\n對有難的人無法坐視不管。\n為人很客氣，但非常喜歡玩耍。\n是軍中最能忍耐疼痛的人。
MID_FRIENDLIST_Veyre_TextS	【成為搭檔後】\n兩人一起四處助人、一起挑戰\n特辣的食物，過著融洽的生活。\n兩人也建立起了即使分隔兩地\n也能心有靈犀的神奇連繫。\n將約定戒指當作最重要的護身符，\n將戒指用以前保護你交付之龍石的\n那塊神聖布料包覆著並隨身攜帶。
MID_FRIENDLIST_Mauve_TextD	【初期兵種】皇家騎士\n【生日】9月13日\n【備註】保護貝珥的騎士。\n過去曾以四狗成員身分與神龍軍\n敵對，但因為尚卜爾與賽皮雅\n違背道義的行為而選擇叛變。\n為了替同袍復仇，也為了主子貝珥，\n加入神龍陣營。
MID_FRIENDLIST_Mauve_TextC	【喜歡的事物】\n特辣的食物、鍛鍊、工藝、武器、\n肉、花、田園風光、酥皮餡餅\n【不喜歡的事物】\n玩耍、宴會、高級品、時尚、\n隱密行動、不合情理的行為
MID_FRIENDLIST_Mauve_TextB	【興趣】幫助他人、傾聽\n【專長】不眠不休地日夜巡視\n【經歷】來自費列聶王國。\n莫布為有錢人家的獨生子，但父親\n過世後，母親抑鬱成疾，帶著他\n投奔伊爾席翁王國，成為邪龍信徒。\n在隱藏的神殿裡遇見了貝珥，\n邪龍復活後，以四狗的身分侍奉他。
MID_FRIENDLIST_Mauve_TextA	【身高】195cm\n【無名指的戒圍】24號\n【個性】剛毅木訥的習武之人。\n雖然常因沉默寡言而招致誤解，\n實際上個性善良且樂於保護弱勢。\n總是認真執行任務，不太懂得\n如何休息，所有娛樂都與他無緣。\n是軍中最難受到催眠影響的人。
MID_FRIENDLIST_Mauve_TextS	【成為搭檔後】\n並不打算將你占為己有，但只要在\n他的視線範圍內定會竭力保護你。\n兩人獨處時更是格外地溫柔，\n將你當作寶物般捧在手心呵護。\n他將約定戒指保管在自己手邊\n不常見的雕琢精細花紋的小盒中，\n每天都會一絲不苟地細心保養。
MID_FRIENDLIST_Mascot_TextD	【相遇的日子】\x0E\x01\x00\x00月\x0E\x01\x01\x00日\n【大小】約等於蓬鬆的麵包\n【重量】兩顆蜜桃重\n【備註】索拉涅爾的守護神。\n待在洞穴裡的祭壇上。\n一見到\x0E\x06\x03\x00\n便會興奮地追上去。\n與琉彌艾爾相識許久。
MID_FRIENDLIST_Mascot_TextA	【個性】\n溫和、樂觀\n【喜歡的事物】\n\x0E\x06\x03\x00、蝴蝶、\n柔軟的東西、溫暖的東西、\n第一次品嘗的食物\n【不喜歡的事物】\n身邊的人離開自己
