MID_Hub_ThisTime	目前時段
MID_Hub_CafeTerrace_Cook_Specialty	非常拿手
MID_Hub_CafeTerrace_Cook_StrongPoint	拿手
MID_Hub_CafeTerrace_Cook_Experienced	有經驗
MID_Hub_CafeTerrace_Cook_Challenging	具挑戰性
MID_Hub_CafeTerrace_Cook_BasicEffect	基本效果
MID_Hub_CafeTerrace_Cook_Favorite	喜歡的料理
MID_Hub_CafeTerrace_Cook_Favorite_Good	喜歡
MID_Hub_CafeTerrace_Cook_Favorite_Normal	一般
MID_Hub_CafeTerrace_Cook_Favorite_Bad	討厭
MID_Hub_CafeTerrace_Cook_Chef	負責掌廚的人
MID_Hub_CafeTerrace_Friend	一起用餐的夥伴
MID_Hub_CafeTerrace_CookMenu	製作的料理
MID_Hub_CafeTerrace_Cook_CallFriend	用餐的夥伴
MID_Hub_CafeTerrace_Cook_RelianceStatus	支援狀態
MID_Hub_CafeTerrace_Cook_AddFood	添加食材
MID_Hub_CafeTerrace_Cook_AddFood_Nothing	無
MID_Hub_CafeTerrace_Cook_CanAddFood	可添加的食材
MID_Hub_CafeTerrace_Cook_Confirmation	要開始料理嗎？
MID_Hub_CafeTerrace_Cook_Everyone	我方單位全員
MID_Hub_CafeTerrace_Cook_Effect_Nothing	能力沒有變化
MID_Hub_CafeTerrace_Cook_Also	\x0E\x01\x00\x00額外
MID_Hub_CafeTerrace_Cook_Workmanship	品質
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_SS	SS
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_S	S
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_A	A
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_B	B
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_C	C
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_D	D
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_E	E
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_F	F
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_G	G
MID_Hub_CafeTerrace_Bento_Get	吃剩的料理被做成了便當。
MID_Hub_CafeTerrace_Bento_Discard	已丟棄放了太久的\x0E\x01\x00\x00。
MID_MENU_NOTICE_BOARD_TITLE	布告欄
MID_MENU_NOTICE_BOARD_HELP	請選擇要查看的資訊。
MID_MENU_NOTICE_BOARD_INVESTMENT	投資國家
MID_MENU_NOTICE_BOARD_INVESTMENT_HELP	請選擇要投資的國家。
MID_MENU_NOTICE_SOLANEL_INFO	據點情報
MID_MENU_NOTICE_ACHIEVEMENT	成就
MID_MENU_INVESTMENT_AmountOfMoney	要投資多少金額？
MID_MENU_INVESTMENT_G	\x0E\x01\x00\x00\x0E\x01\x01\x00G
MID_MENU_INVESTMENT_NEXT_LEVEL	距離升級還需
MID_MENU_INVESTMENT_TOTAL	累計投資金額
MID_MENU_INVESTMENT_LEVEL_EFFECT	升級效果
MID_MENU_INVESTMENT_LEVEL_BONUS	升級獎勵
MID_MENU_INVESTMENT_RESULT	散步
MID_MENU_INVESTMENT_LEVEL_EFFECT_MAX	已達等級上限。
MID_MENU_INVESTMENT_COMPLETE	COMPLETE!
MID_MENU_INVESTMENT_COMPLETE_INFO	已達投資金額上限。
MID_MENU_INVESTMENT_COMPLETE_HELP	可用\x0E\x08\x02\x04\x02X鍵透過詳細資訊查看內容。
MID_MENU_INVESTMENT_GOLD_ENEMY	金異形兵的出現率
MID_MENU_INVESTMENT_EXP_ENEMY	銀異形兵的出現率
MID_MENU_INVESTMENT_ANIMAL_ENABLE	學習飼養方法
MID_MENU_NATIONDATA_TITLE	可在\x0E\x01\x00\x00獲得的物品
MID_MENU_NATIONDATA_REFINE_ITEM	礦物
MID_MENU_NATIONDATA_FOOD	食材
MID_MENU_NATIONDATA_ANIMAL	動物
MID_MENU_INVESTMENT_BONUS_FILENE_1	大豐收禮包
MID_MENU_INVESTMENT_BONUS_BRODIA_1	大發掘禮包
MID_MENU_INVESTMENT_BONUS_IRCION_1	回復禮包
MID_MENU_INVESTMENT_BONUS_SOLUM_1	攤販禮包
MID_MENU_INVESTMENT_BONUS_2	民族服裝禮包
MID_MENU_INVESTMENT_BONUS_3	朋友禮包
MID_MENU_INVESTMENT_BONUS_4	傳統服裝禮包
MID_MENU_INVESTMENT_BONUS_Get	已領取\x0E\x01\x00\x00。
MID_MENU_INVESTMENT_DIALOG_NEXT_ITEM	距離升級還需（\x0E\x01\x00\x00）
MID_MENU_SOLANEL_INFO_TITLE	據點情報
MID_MENU_SOLANEL_INFO_COMMENT	請選擇要前往的地方。
MID_MENU_SOLANEL_INFO_CONFIRM_TEXT	要前往「\x0E\x01\x00\x00」嗎？
MID_MENU_SOLANEL_INFO_CONFIRM_YES	前往
MID_MENU_ACHIEVEMENT_TITLE	成就
MID_MENU_ACHIEVEMENT_COUNT_TITLE	達成數量
MID_MENU_ACHIEVEMENT_COUNT_UNIT	夥伴
MID_MENU_ACHIEVEMENT_COUNT_BATTLE	戰鬥
MID_MENU_ACHIEVEMENT_COUNT_SOLANEL	索拉涅爾
MID_MENU_ACHIEVEMENT_COUNT_SHOP	商店
MID_MENU_ACHIEVEMENT_COUNT_SYSTEM	系統
MID_MENU_ACHIEVEMENT_COUNT_TOTAL	總計
MID_MENU_ACHIEVEMENT_NOW	目前：
MID_MENU_ACHIEVEMENT_BONUS	獎勵：
MID_MENU_ACHIEVEMENT_CLEAR	達成！
MID_MENU_ACHIEVEMENT_COMPLETE	完成
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE	已領取下列成就達成獎勵。\n「\x0E\x01\x00\x00」
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALL	要統一領取成就達成獎勵嗎？
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALLGET	已統一領取成就達成獎勵。
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALL_YES	領取
MID_MENU_ACHIEVEMENT_UNIT_HUMAN	名
MID_MENU_ACHIEVEMENT_UNIT_ITEM	件
MID_MENU_ACHIEVEMENT_UNIT_COUNT	次
MID_MENU_ACHIEVEMENT_UNIT_TIME	小時
MID_MENU_ACHIEVEMENT_UNIT_ENEMY	個
MID_MENU_ACHIEVEMENT_Clear_Nothing	尚未達成任何成就。
MID_Hub_AnimalCoop_Nothing	尚未飼養任何動物……
MID_Hub_AnimalCoop_Choice	請選擇要放養的動物。
MID_Hub_AnimalCoop_Trade	替換
MID_Hub_AnimalCoop_FreeAnimal	要放養的動物
MID_Hub_AnimalCoop_InAnimal	飼養中的動物
MID_Hub_AnimalCoop_Number	飼養數量
MID_Hub_AnimalCoop_Entrust	回小屋
MID_Hub_AnimalCoop_Contact	凝視
MID_TUT_HUB_RECORD_HALL_TITLE	活動記錄館
MID_TUT_HUB_RECORD_HALL_0	可在活動記錄館\n查看及編輯「神龍戰歷卡」。
MID_TUT_HUB_RECORD_HALL_1	在據點選單的「夥伴」\n也可執行相同操作。\n（只能在索拉涅爾的室外印製風景）
MID_TUT_HUB_PROFILE_TITLE	神龍戰歷卡
MID_TUT_HUB_PROFILE_0	能夠記錄目前為止的遊玩記錄，\n以及自己簡歷的卡片。
MID_TUT_HUB_PROFILE_1	只要使用通訊功能，\n即可向其他玩家公開自己的戰歷卡，\n或是獲得其他玩家的戰歷卡。
MID_TUT_HUB_PROFILE_EDIT_TITLE	編輯戰歷卡
MID_TUT_HUB_PROFILE_EDIT_0	可在「個人卡片」編輯自己的戰歷卡。
MID_TUT_HUB_PROFILE_EDIT_1	持續遊玩來滿足條件，\n能夠選擇的詞語及素材就會增加。
MID_TUT_HUB_PROFILE_PHOTO_TITLE	印製風景
MID_TUT_HUB_PROFILE_PHOTO_0	可以印製（攝影）要顯示在戰歷卡上的圖片。
MID_TUT_HUB_PROFILE_PHOTO_1	選擇喜歡的地點、夥伴、裝飾、姿勢。
MID_TUT_HUB_PROFILE_PHOTO_2	全部選擇完畢後，\n按下\x0E\x08\x02\x0A\x08Plus進入印製模式，再按下\x0E\x08\x02\x04\x02L\x0E\x08\x02\x04\x02R即可印製。
MID_TUT_HUB_PROFILE_TRADE_TITLE	交換戰歷卡
MID_TUT_HUB_PROFILE_TRADE_0	只要遊玩續戰的試煉或異界的試煉，\n就會上傳個人卡片，\n讓其他玩家能夠獲得。
MID_TUT_HUB_PROFILE_TRADE_1	若將卡片設定為「非公開」，\n其他玩家就無法獲得上傳的個人卡片。
MID_TUT_HUB_PROFILE_TRADE_2	可以查看、刪除獲得的卡片。
